Step	Loss
1	2.5979
2	3.3649
3	2.877
4	3.1684
5	3.3573
6	1.9607
7	1.281
8	1.228
9	3.2872
10	3.3654
11	1.0241
12	2.2393
13	0.9747
14	1.1017
15	0.2013
16	1.9715
17	0.7281
18	2.1317
19	1.6728
20	3.0277
21	1.048
22	1.6467
23	2.1937
24	1.9409
25	1.8921
26	3.011
27	2.639
28	2.0327
29	0.9075
30	4.3469
31	1.3752
32	2.5136
33	2.0407
34	3.2351
35	3.755
36	2.0148
37	0.0881
38	1.1737
39	2.2441
40	2.1014
41	2.8865
42	3.1023
43	1.7899
44	0.5722
45	2.4049
46	3.0023
47	2.2199
48	0.4449
49	1.6694
50	0.4015
51	0.4717
52	0.5134
53	2.6605
54	1.4052
55	3.0375
56	1.328
57	2.355
58	1.4715
59	2.8221
60	0.8396
61	1.9734
62	3.0325
63	2.5029
64	2.4691
65	1.4911
66	2.0376
67	0.1878
68	2.9695
69	1.3653
70	2.7934
71	1.512
72	0.5983
73	1.4642
74	0.5134
75	0.7792
76	2.7637
77	3.1906
78	3.4879
79	2.4401
80	0.1765
81	1.7072
82	0.9003
83	2.4637
84	2.2197
85	3.7694
86	0.5458
87	1.8591
88	0.7672
89	2.6077
90	1.2578
91	2.9418
92	0.4872
93	0.525
94	2.7339
95	1.9391
96	2.6715
97	2.8797
98	2.2745
99	0.4908
100	2.1538
101	3.4973
102	2.7121
103	1.1475
104	1.7836
105	1.7251
106	3.1443
107	2.7619
108	2.7638
109	3.2784
110	1.6834
111	1.0711
112	0.3822
113	2.9621
114	2.3938
115	0.284
116	2.1877
117	0.881
118	0.2274
119	0.0357
120	1.9377
121	0.0362
122	1.9634
123	1.6027
124	2.9871
125	0.4618
126	1.5366
127	2.0292
128	1.9938
129	1.5626
130	2.9161
131	2.6247
132	1.4676
133	0.8403
134	3.9639
135	1.2226
136	2.5925
137	1.7777
138	2.9046
139	3.4608
140	1.9346
141	0.0936
142	1.2331
143	2.1341
144	2.1112
145	2.6031
146	2.8898
147	1.8966
148	0.5207
149	2.2307
150	2.8075
151	2.2772
152	0.3989
153	1.3273
154	0.1906
155	0.323
156	0.4237
157	2.5646
158	1.2813
159	2.9825
160	1.1965
161	2.355
162	1.3486
163	2.7881
164	0.8309
165	1.9234
166	3.0352
167	2.3771
168	2.5114
169	1.4976
170	2.0493
171	0.0388
172	2.8332
173	1.047
174	2.552
175	1.3405
176	0.4132
177	1.3208
178	0.3755
179	0.5235
180	2.648
181	3.0331
182	3.4406
183	2.4551
184	0.1061
185	1.7688
186	0.7541
