Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	4.956	3.03	4.956	4.176	5.907
2	0.0	4.149	1.815	4.149	1.721	4.765
3	0.0	3.245	1.604	3.245	1.475	2.932
4	0.0	3.792	3.338	3.792	3.632	4.228
5	0.0	3.119	3.267	3.119	3.123	2.797
6	0.0	2.663	2.381	2.663	2.257	2.874
7	0.0	2.89	4.303	2.89	4.2	2.435
8	0.0	1.796	2.693	1.796	2.85	2.053
9	0.0	2.051	2.681	2.051	2.762	2.212
10	0.0	3.433	3.115	3.433	2.873	3.629
11	0.0	1.939	2.507	1.939	3.14	2.206
12	0.0	2.526	2.816	2.526	3.113	2.838
13	0.0	1.981	1.532	1.981	1.824	2.146
14	0.0	1.892	2.348	1.892	2.496	1.879
15	0.0	1.704	2.203	1.704	2.151	1.75
16	0.0	2.29	2.735	2.29	3.09	2.476
17	0.0	1.719	2.012	1.719	2.059	1.825
18	0.0	0.9909	1.408	0.9909	1.172	0.98
19	0.0	2.078	2.474	2.078	2.799	2.277
20	0.0	2.179	1.585	2.179	1.623	1.774
21	0.0	1.492	0.8122	1.492	0.9469	1.701
22	0.0	2.091	1.369	2.091	1.557	2.385
23	0.0	2.128	2.314	2.128	2.233	2.469
24	0.0	2.35	1.084	2.35	1.19	2.648
25	0.0	1.645	1.666	1.645	1.852	1.799
26	0.0	1.95	1.594	1.95	1.696	2.172
27	0.0	2.123	2.057	2.123	2.144	2.237
28	0.0	1.447	1.278	1.447	1.392	1.366
29	0.0	1.973	1.899	1.973	2.017	1.889
30	0.0	1.634	1.185	1.634	1.197	1.961
31	0.0	1.835	1.605	1.835	1.887	2.349
32	0.0	2.054	1.499	2.054	1.62	2.069
33	0.0	2.016	1.7	2.016	1.908	2.316
34	0.0	1.114	1.284	1.114	1.494	1.219
35	0.0	1.603	1.576	1.603	1.886	1.904
36	0.0	1.592	1.515	1.592	1.707	1.726
37	0.0	1.814	1.555	1.814	2.013	2.497
38	0.0	1.164	1.149	1.164	1.349	1.407
39	0.0	2.506	2.093	2.506	1.594	1.881
40	0.0	1.196	1.095	1.196	1.144	1.35
41	0.0	1.213	1.481	1.213	1.844	1.437
42	0.0	0.8973	1.287	0.8973	1.331	1.096
43	0.0	1.054	0.9472	1.054	1.148	1.24
44	0.0	1.706	0.7967	1.706	0.7577	1.381
45	0.0	1.194	1.348	1.194	1.708	1.372
46	0.0	1.592	1.79	1.592	2.329	2.222
47	0.0	0.9413	0.7973	0.9413	0.9726	1.248
48	0.0	1.006	1.217	1.006	1.533	1.201
49	0.0	1.694	1.263	1.694	1.66	2.011
50	0.0	0.7378	1.153	0.7378	1.459	0.8914
51	0.0	1.311	1.344	1.311	1.639	1.524
52	0.0	0.763	1.252	0.763	1.618	0.909
53	0.0	1.159	1.274	1.159	1.605	1.391
54	0.0	0.8835	1.142	0.8835	1.388	1.103
55	0.0	1.188	1.144	1.188	1.47	1.498
56	0.0	1.314	1.02	1.314	1.35	1.712
57	0.0	1.103	1.032	1.103	1.235	1.189
58	0.0	1.163	1.079	1.163	1.376	1.596
59	0.0	0.8802	1.412	0.8802	1.802	0.8792
60	0.0	0.5802	0.939	0.5802	1.043	0.6267
61	0.0	1.422	1.078	1.422	1.335	1.866
62	0.0	1.012	0.985	1.012	1.249	1.175
63	0.0	0.6742	1.307	0.6742	1.733	0.7838
64	0.0	1.3	0.9798	1.3	1.108	1.59
65	0.0	1.24	0.7789	1.24	1.022	1.529
66	0.0	0.8772	0.9967	0.8772	1.372	1.084
67	0.0	0.7193	1.301	0.7193	1.383	0.7235
68	0.0	1.112	1.281	1.112	1.523	1.514
69	0.0	1.037	0.8927	1.037	1.016	1.132
70	0.0	1.034	1.037	1.034	1.339	1.272
71	0.0	1.089	1.082	1.089	1.267	1.269
72	0.0	1.204	0.8216	1.204	0.8606	1.128
73	0.0	1.235	1.214	1.235	1.357	1.331
74	0.0	0.6081	1.276	0.6081	1.618	0.651
75	0.0	1.13	0.5501	1.13	0.6161	1.173
76	0.0	1.028	1.026	1.028	1.315	1.247
77	0.0	1.316	1.143	1.316	1.487	1.683
78	0.0	0.682	0.9586	0.682	0.9601	0.6684
79	0.0	1.183	1.146	1.183	1.493	1.523
