Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	4.305	3.246	4.163	3.96	4.305
2	0.0	3.808	1.231	3.754	1.214	3.808
3	0.0	2.334	3.143	2.29	3.717	2.334
4	0.0	3.794	2.92	3.72	2.751	3.794
5	0.0	3.167	3.669	4.347	3.128	3.167
6	0.0	2.935	1.786	2.753	1.483	2.935
7	0.0	1.814	4.03	3.057	2.285	1.814
8	0.0	1.795	2.706	2.689	1.918	1.795
9	0.0	1.822	2.556	2.384	1.929	1.822
10	0.0	3.509	4.126	6.895	2.416	3.509
11	0.0	1.595	1.805	1.829	1.79	1.595
12	0.0	1.227	1.633	1.38	1.428	1.227
13	0.0	1.743	2.034	1.722	2.559	1.743
14	0.0	1.366	2.414	2.013	1.677	1.366
15	0.0	1.022	1.568	1.144	1.542	1.022
16	0.0	1.399	2.867	2.107	2.297	1.399
17	0.0	1.137	2.102	1.492	1.45	1.137
18	0.0	2.071	2.681	2.742	1.784	2.071
19	0.0	1.473	1.924	1.858	1.546	1.473
20	0.0	1.456	2.225	2.427	1.999	1.456
21	0.0	0.8802	0.6977	0.9925	0.6973	0.8802
22	0.0	1.642	1.402	1.597	1.167	1.642
23	0.0	1.04	1.744	1.144	1.41	1.04
24	0.0	2.169	0.8342	2.181	0.6693	2.169
25	0.0	1.239	1.496	1.492	1.369	1.239
26	0.0	1.899	2.343	2.129	1.825	1.899
27	0.0	1.706	2.041	2.631	1.435	1.706
28	0.0	1.557	1.929	2.175	1.419	1.557
29	0.0	0.8955	0.8769	1.182	0.6563	0.8955
30	0.0	0.8427	1.044	1.21	0.6932	0.8427
31	0.0	2.478	1.731	2.49	1.379	2.478
32	0.0	1.863	1.463	2.72	0.9724	1.863
33	0.0	1.377	1.362	1.789	1.157	1.377
34	0.0	0.8514	1.326	1.121	1.017	0.8514
35	0.0	0.8123	1.079	0.9123	0.8608	0.8123
36	0.0	1.553	2.206	2.836	1.491	1.553
37	0.0	1.752	1.894	2.536	1.555	1.752
38	0.0	1.017	1.037	1.101	0.9646	1.017
39	0.0	1.471	1.99	2.113	1.019	1.471
40	0.0	0.6268	0.9792	0.9208	0.7048	0.6268
41	0.0	1.013	1.801	1.37	1.437	1.013
42	0.0	0.6622	1.445	0.8553	0.853	0.6622
43	0.0	0.4398	1.483	0.6524	1.068	0.4398
44	0.0	0.689	0.7451	0.9765	0.5425	0.689
45	0.0	0.9927	1.178	1.357	0.7991	0.9927
46	0.0	1.208	1.818	1.464	1.591	1.208
47	0.0	0.5308	0.5651	0.6468	0.4904	0.5308
48	0.0	0.8457	1.92	1.298	1.553	0.8457
49	0.0	1.355	1.337	1.636	1.065	1.355
50	0.0	0.6233	1.264	0.7199	1.199	0.6233
51	0.0	0.9796	1.199	1.052	1.146	0.9796
52	0.0	0.209	1.265	0.2705	1.217	0.209
53	0.0	0.9817	1.23	1.169	1.063	0.9817
54	0.0	0.8059	1.233	0.9223	1.08	0.8059
55	0.0	1.108	1.404	1.609	1.221	1.108
56	0.0	0.978	0.7161	1.096	0.573	0.978
57	0.0	0.6925	1.506	1.184	0.8547	0.6925
58	0.0	0.7358	1.426	1.29	1.103	0.7358
59	0.0	1.528	1.891	2.118	1.436	1.528
