Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.004	0.0	3.004	4.178	3.636	4.906
2	1.758	0.0	1.758	3.818	1.793	4.006
3	1.601	0.0	1.601	2.953	1.462	2.729
4	3.264	0.0	3.264	3.153	3.434	3.441
5	3.005	0.0	3.005	2.889	3.094	2.482
6	2.303	0.0	2.303	2.6	2.224	2.913
7	4.302	0.0	4.302	2.497	3.954	1.943
8	2.704	0.0	2.704	1.707	2.548	1.951
9	2.588	0.0	2.588	1.968	2.682	2.024
10	3.074	0.0	3.074	3.067	2.712	3.157
11	2.222	0.0	2.222	1.805	2.768	2.111
12	2.701	0.0	2.701	2.401	2.935	2.652
13	1.558	0.0	1.558	1.703	1.925	2.057
14	2.308	0.0	2.308	1.813	2.531	1.815
15	1.867	0.0	1.867	1.584	1.998	1.694
16	2.62	0.0	2.62	2.177	3.03	2.339
17	1.967	0.0	1.967	1.667	2.05	1.791
18	1.332	0.0	1.332	0.89	1.105	0.8373
19	2.193	0.0	2.193	1.864	2.512	2.005
20	1.5	0.0	1.5	2.115	1.4	1.549
21	0.7548	0.0	0.7548	1.299	0.8631	1.55
22	1.259	0.0	1.259	1.82	1.387	2.086
23	1.977	0.0	1.977	1.837	1.98	2.275
24	0.9653	0.0	0.9653	1.976	1.118	2.327
25	1.519	0.0	1.519	1.555	1.767	1.767
26	1.558	0.0	1.558	1.893	1.699	2.29
27	1.716	0.0	1.716	1.818	1.897	2.156
28	1.183	0.0	1.183	1.288	1.325	1.227
29	1.562	0.0	1.562	1.602	1.791	1.701
30	1.034	0.0	1.034	1.461	1.1	1.856
31	1.614	0.0	1.614	1.593	1.939	2.154
32	1.286	0.0	1.286	1.77	1.469	2.053
33	1.495	0.0	1.495	1.726	1.797	2.13
34	1.199	0.0	1.199	1.009	1.471	1.13
35	1.488	0.0	1.488	1.381	1.8	1.689
36	1.269	0.0	1.269	1.412	1.61	1.602
37	1.379	0.0	1.379	1.556	1.768	2.013
