Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.97	0.0	3.082	4.227	3.97	4.598
2	1.293	0.0	1.33	3.587	1.293	3.438
3	3.675	0.0	3.122	2.659	3.675	2.498
4	2.856	0.0	2.967	3.472	2.856	3.156
5	3.084	0.0	3.687	4.546	3.084	3.202
6	1.599	0.0	1.964	2.88	1.599	2.927
7	2.275	0.0	3.943	3.181	2.275	1.696
8	2.005	0.0	2.676	2.755	2.005	1.918
9	1.973	0.0	2.77	2.609	1.973	1.824
10	2.479	0.0	4.529	6.778	2.479	3.568
11	1.984	0.0	2.216	1.623	1.984	1.484
12	1.465	0.0	1.725	1.52	1.465	1.233
13	2.286	0.0	1.988	1.89	2.286	1.817
14	1.726	0.0	2.574	2.201	1.726	1.438
15	1.639	0.0	1.815	1.111	1.639	1.068
16	2.406	0.0	3.18	2.21	2.406	1.451
17	1.502	0.0	2.236	1.58	1.502	1.205
18	1.799	0.0	2.839	2.863	1.799	2.028
19	1.576	0.0	1.942	2.01	1.576	1.529
20	2.136	0.0	2.51	2.679	2.136	1.531
21	0.6787	0.0	0.729	1.101	0.6787	0.8924
22	1.181	0.0	1.488	1.64	1.181	1.609
23	1.321	0.0	1.722	1.225	1.321	1.139
24	0.7091	0.0	0.9368	2.499	0.7091	2.212
25	1.402	0.0	1.604	1.538	1.402	1.256
26	1.888	0.0	2.565	2.211	1.888	1.952
27	1.559	0.0	2.324	2.99	1.559	1.761
28	1.581	0.0	2.277	2.272	1.581	1.592
29	0.6683	0.0	0.8744	1.319	0.6683	1.04
30	0.7339	0.0	1.148	1.376	0.7339	0.9741
31	1.354	0.0	1.774	2.268	1.354	2.293
32	1.127	0.0	1.674	3.126	1.127	1.957
33	1.258	0.0	1.536	1.87	1.258	1.393
34	1.084	0.0	1.404	1.253	1.084	0.876
35	0.8218	0.0	1.075	0.9282	0.8218	0.7894
36	1.575	0.0	2.458	3.263	1.575	1.655
37	1.667	0.0	2.27	2.779	1.667	1.755
38	0.9507	0.0	1.052	1.076	0.9507	0.9458
39	1.081	0.0	2.172	2.367	1.081	1.452
40	0.7136	0.0	1.042	0.9569	0.7136	0.6305
41	1.427	0.0	1.867	1.526	1.427	1.091
42	0.8849	0.0	1.551	0.8331	0.8849	0.6984
43	1.197	0.0	1.694	0.6398	1.197	0.4746
44	0.4973	0.0	0.7474	1.223	0.4973	0.8871
45	0.9406	0.0	1.285	1.436	0.9406	1.078
46	1.39	0.0	1.535	1.615	1.39	1.427
47	0.5138	0.0	0.5685	0.6335	0.5138	0.5353
48	1.531	0.0	1.883	1.384	1.531	0.8881
49	0.9644	0.0	1.271	1.598	0.9644	1.299
50	1.224	0.0	1.324	0.6883	1.224	0.599
51	1.137	0.0	1.22	1.028	1.137	0.9657
52	1.331	0.0	1.405	0.2511	1.331	0.2003
53	1.062	0.0	1.278	1.243	1.062	1.05
54	1.027	0.0	1.19	0.9861	1.027	0.8767
55	1.247	0.0	1.515	1.779	1.247	1.191
56	0.6093	0.0	0.7592	1.109	0.6093	0.9707
57	0.9141	0.0	1.642	1.258	0.9141	0.743
58	1.127	0.0	1.56	1.475	1.127	0.9156
59	1.397	0.0	1.885	2.249	1.397	1.575
60	0.9416	0.0	1.654	0.7483	0.9416	0.4865
61	1.083	0.0	1.231	2.118	1.083	1.892
62	0.9782	0.0	1.186	0.9174	0.9782	0.8011
63	1.307	0.0	1.371	0.7923	1.307	0.5632
64	0.8483	0.0	1.001	1.479	0.8483	1.279
65	0.6466	0.0	0.7953	1.663	0.6466	1.101
66	0.4389	0.0	0.5083	1.179	0.4389	0.9795
67	0.7361	0.0	1.131	1.179	0.7361	1.081
68	0.9868	0.0	1.589	1.6	0.9868	1.28
69	0.721	0.0	0.8575	1.1	0.721	0.8524
70	0.8763	0.0	1.126	1.213	0.8763	0.889
71	0.9736	0.0	1.237	1.413	0.9736	1.063
72	0.7308	0.0	0.9975	1.317	0.7308	1.133
73	0.9426	0.0	0.9706	0.6441	0.9426	0.6522
74	1.238	0.0	1.764	1.831	1.238	1.476
75	0.5263	0.0	0.7297	1.994	0.5263	1.092
76	1.055	0.0	1.456	1.311	1.055	0.9601
77	1.25	0.0	1.59	1.582	1.25	1.552
78	0.7623	0.0	1.175	0.9895	0.7623	0.6001
79	1.429	0.0	1.653	1.995	1.429	1.613
80	0.7437	0.0	0.937	0.9706	0.7437	0.8292
81	1.423	0.0	1.85	1.589	1.423	1.407
82	0.7407	0.0	1.333	1.745	0.7407	0.8716
83	1.306	0.0	1.401	1.695	1.306	1.351
84	0.8044	0.0	1.084	0.8559	0.8044	0.5119
85	0.6342	0.0	0.9755	1.699	0.6342	1.295
86	0.665	0.0	0.9005	1.339	0.665	1.004
87	1.622	0.0	2.018	1.699	1.622	1.441
88	0.6201	0.0	0.8673	1.757	0.6201	1.219
89	0.9663	0.0	1.151	1.139	0.9663	0.9907
90	0.9687	0.0	1.191	0.873	0.9687	0.702
91	0.54	0.0	0.6739	0.7781	0.54	0.7113
92	1.124	0.0	1.202	1.43	1.124	1.151
93	0.8302	0.0	1.062	1.2	0.8302	1.025
94	1.044	0.0	1.056	0.9356	1.044	0.8723
