Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	5.261	4.139	5.261	4.317	5.287
2	0.0	2.969	2.819	2.969	2.785	3.042
3	0.0	3.424	2.204	3.424	2.591	4.037
4	0.0	1.378	3.438	1.378	4.448	1.723
5	0.0	1.634	1.678	1.634	2.034	2.024
6	0.0	3.358	2.415	3.358	3.037	4.098
7	0.0	1.487	2.891	1.487	2.915	1.791
8	0.0	1.089	2.13	1.089	2.741	1.286
9	0.0	0.4107	1.072	0.4107	1.265	0.4543
10	0.0	0.7221	0.9095	0.7221	1.142	0.8748
11	0.0	2.092	2.258	2.092	3.104	2.558
12	0.0	1.064	1.321	1.064	2.018	1.495
13	0.0	1.478	1.391	1.478	1.64	2.043
14	0.0	1.318	1.487	1.318	2.128	2.029
15	0.0	1.26	1.622	1.26	2.183	1.452
16	0.0	0.498	1.203	0.498	1.561	0.6911
17	0.0	1.025	0.4074	1.025	0.5014	1.473
18	0.0	0.3813	0.423	0.3813	0.465	0.4253
19	0.0	1.333	1.535	1.333	1.823	1.548
20	0.0	0.6947	0.6025	0.6947	0.6967	0.8802
21	0.0	1.678	0.6445	1.678	0.8357	1.661
22	0.0	0.7866	0.7437	0.7866	0.9143	0.8771
23	0.0	1.572	0.8927	1.572	1.184	1.732
24	0.0	1.109	0.594	1.109	0.765	1.39
25	0.0	1.079	1.223	1.079	1.327	1.175
26	0.0	0.5525	1.082	0.5525	1.369	0.6755
27	0.0	0.401	0.6197	0.401	0.7431	0.4516
28	0.0	0.7007	0.5529	0.7007	0.7025	0.9149
29	0.0	0.4153	0.5334	0.4153	0.6883	0.4962
30	0.0	0.912	0.265	0.912	0.34	1.28
31	0.0	1.144	0.8526	1.144	1.06	1.349
32	0.0	0.5019	0.418	0.5019	0.5949	0.7062
33	0.0	0.4095	0.5362	0.4095	0.7358	0.6214
34	0.0	0.6766	0.7986	0.6766	0.8694	0.7441
35	0.0	1.294	0.8671	1.294	0.9099	1.471
36	0.0	0.5138	0.5225	0.5138	0.7075	0.6747
37	0.0	0.4609	0.5139	0.4609	0.6683	0.5588
38	0.0	0.6637	1.004	0.6637	1.096	0.7379
39	0.0	0.4471	0.3973	0.4471	0.5337	0.5625
40	0.0	0.6118	0.519	0.6118	0.6663	0.8044
41	0.0	0.8789	0.4994	0.8789	0.5997	1.124
42	0.0	0.3904	0.535	0.3904	0.7015	0.4938
43	0.0	0.336	0.6437	0.336	0.779	0.3762
44	0.0	0.3429	0.307	0.3429	0.3905	0.437
45	0.0	0.2499	0.2984	0.2499	0.3886	0.3266
46	0.0	0.347	0.2897	0.347	0.4416	0.4877
47	0.0	0.5139	0.6819	0.5139	0.7908	0.6087
48	0.0	0.3364	0.6387	0.3364	0.8551	0.4405
49	0.0	0.4969	0.7541	0.4969	0.9548	0.6539
50	0.0	1.276	1.16	1.276	1.226	1.44
51	0.0	1.19	0.7408	1.19	0.8947	1.565
52	0.0	0.8382	1.046	0.8382	1.127	0.9454
