Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	5.316	3.988	5.473	4.051	5.316
2	0.0	2.981	3.139	3.009	2.854	2.981
3	0.0	3.906	2.697	3.866	2.668	3.906
4	0.0	1.638	4.461	1.649	4.387	1.638
5	0.0	2.612	2.334	2.161	2.852	2.612
6	0.0	3.306	2.176	3.203	2.074	3.306
7	0.0	1.49	2.874	1.33	2.626	1.49
8	0.0	1.186	3.104	1.158	3.234	1.186
9	0.0	0.4317	1.177	0.4081	1.31	0.4317
10	0.0	0.8881	1.105	0.8285	1.094	0.8881
11	0.0	2.078	2.414	2.104	2.825	2.078
12	0.0	1.309	1.36	1.156	1.704	1.309
13	0.0	1.753	1.569	1.55	1.562	1.753
14	0.0	1.227	1.516	1.202	1.709	1.227
15	0.0	1.397	1.783	1.457	1.817	1.397
16	0.0	0.5681	1.636	0.6175	1.608	0.5681
17	0.0	1.313	0.5455	1.294	0.5191	1.313
18	0.0	0.4112	0.5102	0.463	0.4703	0.4112
19	0.0	1.59	1.917	1.807	1.826	1.59
20	0.0	0.93	0.8551	1.01	0.7296	0.93
21	0.0	1.797	0.6884	2.02	0.7034	1.797
22	0.0	0.8345	0.894	0.9955	0.9042	0.8345
23	0.0	1.866	1.127	2.029	1.162	1.866
24	0.0	1.552	0.6833	1.596	0.6922	1.552
25	0.0	1.131	1.388	1.302	1.202	1.131
26	0.0	0.6032	1.3	0.618	1.276	0.6032
27	0.0	0.4238	0.6954	0.4577	0.6847	0.4238
28	0.0	0.9556	0.7341	0.9485	0.6762	0.9556
29	0.0	0.4664	0.6713	0.5158	0.6716	0.4664
30	0.0	1.173	0.3344	1.112	0.293	1.173
31	0.0	1.259	1.068	1.31	0.9795	1.259
32	0.0	0.5161	0.5	0.5403	0.4862	0.5161
33	0.0	0.4062	0.542	0.4022	0.5199	0.4062
34	0.0	0.6977	0.9982	0.856	0.8757	0.6977
35	0.0	1.424	1.121	1.579	0.9343	1.424
36	0.0	0.8401	0.648	0.8034	0.6504	0.8401
37	0.0	0.7728	0.648	0.7742	0.6236	0.7728
38	0.0	0.7363	1.113	0.8575	0.9611	0.7363
39	0.0	0.5574	0.5671	0.5989	0.542	0.5574
40	0.0	0.8685	0.7105	0.8439	0.7115	0.8685
41	0.0	1.208	0.6236	1.365	0.5975	1.208
42	0.0	0.4943	0.6852	0.4883	0.6899	0.4943
43	0.0	0.3585	0.8665	0.3763	0.809	0.3585
44	0.0	0.3398	0.3132	0.3517	0.2913	0.3398
45	0.0	0.2528	0.3565	0.2739	0.3155	0.2528
