Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.036	0.0	4.036	4.54	4.173	5.121
2	3.004	0.0	3.004	2.518	2.815	2.867
3	2.072	0.0	2.072	2.551	2.478	3.395
4	3.462	0.0	3.462	0.8396	4.637	1.018
5	1.755	0.0	1.755	1.531	2.167	1.812
6	2.558	0.0	2.558	3.437	2.997	4.041
7	2.799	0.0	2.799	0.9446	2.859	1.148
8	2.713	0.0	2.713	0.9666	3.371	1.146
9	1.265	0.0	1.265	0.4009	1.583	0.4445
10	1.024	0.0	1.024	0.7502	1.182	0.923
11	2.267	0.0	2.267	1.839	3.073	2.28
12	1.32	0.0	1.32	1.071	2.016	1.494
13	1.58	0.0	1.58	1.517	1.845	2.049
14	1.494	0.0	1.494	1.207	2.155	1.703
15	1.64	0.0	1.64	1.233	2.122	1.466
16	1.427	0.0	1.427	0.5012	1.825	0.6722
17	0.4587	0.0	0.4587	1.14	0.5908	1.536
18	0.4296	0.0	0.4296	0.3749	0.4958	0.4228
19	1.495	0.0	1.495	1.406	1.815	1.64
20	0.558	0.0	0.558	0.6246	0.6835	0.8545
21	0.6473	0.0	0.6473	1.747	0.8178	1.785
22	0.701	0.0	0.701	0.7443	0.8405	0.8647
23	0.99	0.0	0.99	1.521	1.195	1.728
24	0.5854	0.0	0.5854	1.095	0.6943	1.375
25	1.28	0.0	1.28	1.095	1.385	1.2
26	1.049	0.0	1.049	0.5997	1.279	0.7755
27	0.6279	0.0	0.6279	0.4094	0.8095	0.4914
28	0.5386	0.0	0.5386	0.6357	0.6952	0.8497
29	0.6309	0.0	0.6309	0.4672	0.8671	0.6271
30	0.2587	0.0	0.2587	0.8188	0.3453	1.134
31	0.8853	0.0	0.8853	1.244	1.095	1.517
32	0.422	0.0	0.422	0.459	0.5803	0.5589
33	0.481	0.0	0.481	0.3835	0.6025	0.5353
34	0.8628	0.0	0.8628	0.7284	1.045	0.8508
35	0.947	0.0	0.947	1.344	1.045	1.556
36	0.5412	0.0	0.5412	0.5278	0.817	0.7816
37	0.6238	0.0	0.6238	0.4567	0.9386	0.5857
38	1.01	0.0	1.01	0.6852	1.176	0.7634
39	0.4094	0.0	0.4094	0.4598	0.5782	0.571
40	0.5136	0.0	0.5136	0.6083	0.6686	0.808
41	0.5504	0.0	0.5504	0.9462	0.6292	1.213
42	0.5343	0.0	0.5343	0.3967	0.7167	0.5127
43	0.7185	0.0	0.7185	0.3551	0.8822	0.4039
44	0.3087	0.0	0.3087	0.3643	0.3873	0.4909
