Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.266	0.0	4.359	5.268	4.266	5.205
2	2.74	0.0	3.051	2.832	2.74	2.763
3	2.547	0.0	2.449	3.578	2.547	3.773
4	4.692	0.0	4.21	1.03	4.692	1.196
5	3.063	0.0	2.786	2.057	3.063	2.421
6	2.271	0.0	2.326	2.921	2.271	2.998
7	2.931	0.0	2.967	1.079	2.931	1.234
8	3.243	0.0	3.272	1.216	3.243	1.218
9	1.923	0.0	1.784	0.4283	1.923	0.4547
10	1.225	0.0	1.209	0.8496	1.225	0.8839
11	2.901	0.0	2.403	2.143	2.901	2.164
12	1.644	0.0	1.491	1.156	1.644	1.251
13	1.704	0.0	1.662	1.45	1.704	1.666
14	1.747	0.0	1.564	1.312	1.747	1.549
15	1.815	0.0	1.638	1.383	1.815	1.346
16	1.734	0.0	1.692	0.7007	1.734	0.7875
17	0.5578	0.0	0.5636	1.303	0.5578	1.255
18	0.5088	0.0	0.5754	0.5337	0.5088	0.4507
19	2.024	0.0	2.026	1.791	2.024	1.697
20	0.8215	0.0	0.9736	1.095	0.8215	1.003
21	0.7954	0.0	0.7253	1.891	0.7954	1.728
22	0.8233	0.0	0.8562	0.9306	0.8233	0.8543
23	1.371	0.0	1.306	1.984	1.371	1.747
24	0.6835	0.0	0.6942	1.756	0.6835	1.856
25	1.234	0.0	1.367	1.302	1.234	1.166
26	1.244	0.0	1.204	0.6636	1.244	0.714
27	0.7362	0.0	0.8036	0.488	0.7362	0.4334
28	0.603	0.0	0.6822	0.7708	0.603	0.7845
29	0.8433	0.0	0.7969	0.5673	0.8433	0.5787
30	0.3122	0.0	0.3625	1.121	0.3122	1.149
31	1.1	0.0	1.171	1.349	1.1	1.33
32	0.491	0.0	0.5294	0.6226	0.491	0.5378
33	0.514	0.0	0.5647	0.4515	0.514	0.412
34	0.9292	0.0	0.9985	0.8219	0.9292	0.7382
35	0.9436	0.0	1.094	1.532	0.9436	1.426
36	0.7445	0.0	0.7576	0.7278	0.7445	0.735
37	0.716	0.0	0.7542	0.5386	0.716	0.4921
38	0.9556	0.0	1.05	0.8146	0.9556	0.705
39	0.5804	0.0	0.601	0.6298	0.5804	0.581
40	0.7338	0.0	0.7536	0.9047	0.7338	0.8829
41	0.601	0.0	0.6618	1.334	0.601	1.21
42	0.7332	0.0	0.7567	0.5623	0.7332	0.5053
43	0.8635	0.0	0.916	0.3736	0.8635	0.3526
44	0.2844	0.0	0.3342	0.3631	0.2844	0.3427
45	0.324	0.0	0.3725	0.2773	0.324	0.2558
46	0.3172	0.0	0.3007	0.4191	0.3172	0.4037
47	0.6915	0.0	0.7509	0.5959	0.6915	0.52
48	0.7311	0.0	0.7697	0.3943	0.7311	0.3578
49	0.9948	0.0	0.9614	0.6734	0.9948	0.6094
50	1.219	0.0	1.474	1.423	1.219	1.284
51	0.9219	0.0	0.9796	1.434	0.9219	1.438
52	1.059	0.0	1.228	1.101	1.059	1.048
53	0.5086	0.0	0.5575	1.105	0.5086	1.013
54	0.8639	0.0	0.9601	1.16	0.8639	1.127
55	0.6219	0.0	0.6277	0.4247	0.6219	0.4132
56	0.3981	0.0	0.494	0.3696	0.3981	0.3443
57	0.9904	0.0	0.9234	0.5859	0.9904	0.5705
58	0.2568	0.0	0.2607	0.8481	0.2568	0.7556
59	0.9327	0.0	1.01	0.692	0.9327	0.6388
60	0.5384	0.0	0.521	0.3806	0.5384	0.4182
61	1.162	0.0	1.363	1.343	1.162	1.102
62	0.5321	0.0	0.5494	1.018	0.5321	0.9575
63	1.255	0.0	1.429	1.46	1.255	1.303
64	0.8059	0.0	0.8975	0.769	0.8059	0.6817
65	0.6211	0.0	0.5724	0.4164	0.6211	0.4212
66	1.119	0.0	1.239	0.9006	1.119	0.8058
67	0.5728	0.0	0.6684	0.4956	0.5728	0.4759
68	0.9191	0.0	0.9589	1.028	0.9191	0.9309
69	0.6384	0.0	0.5992	0.7761	0.6384	0.8908
70	0.9304	0.0	1.007	0.8273	0.9304	0.7915
71	0.9712	0.0	1.12	1.095	0.9712	1.047
72	0.5469	0.0	0.5385	0.39	0.5469	0.434
73	0.3956	0.0	0.4145	0.4028	0.3956	0.4158
74	1.064	0.0	1.202	1.49	1.064	1.413
75	0.3427	0.0	0.3909	0.4631	0.3427	0.4757
76	0.7522	0.0	0.9735	0.9636	0.7522	0.8176
77	0.7019	0.0	0.7566	0.4436	0.7019	0.4181
78	0.4229	0.0	0.4471	0.3434	0.4229	0.3186
79	0.6304	0.0	0.5835	0.7306	0.6304	0.7729
80	1.04	0.0	1.021	0.673	1.04	0.5837
81	1.008	0.0	1.035	1.136	1.008	1.076
82	0.606	0.0	0.6468	0.6902	0.606	0.7433
83	1.233	0.0	1.288	0.7113	1.233	0.6203
84	0.6916	0.0	0.7718	0.2988	0.6916	0.2751
85	0.3593	0.0	0.3314	0.5046	0.3593	0.518
86	0.3405	0.0	0.3128	0.5279	0.3405	0.5609
87	0.7206	0.0	0.7447	0.6319	0.7206	0.6677
88	0.3861	0.0	0.4119	0.2143	0.3861	0.2239
89	0.4779	0.0	0.5326	0.4577	0.4779	0.4501
90	0.6551	0.0	0.7105	0.7515	0.6551	0.6718
91	0.4141	0.0	0.4176	0.5009	0.4141	0.4826
92	0.8112	0.0	0.7745	0.6045	0.8112	0.5693
93	0.4392	0.0	0.4099	0.4885	0.4392	0.5292
94	0.8342	0.0	0.9645	0.6385	0.8342	0.5321
95	0.6053	0.0	0.6135	0.281	0.6053	0.2586
96	0.3907	0.0	0.3717	0.8605	0.3907	0.7887
97	0.9222	0.0	0.8925	1.224	0.9222	1.094
98	0.4047	0.0	0.3626	0.2447	0.4047	0.2549
99	0.5294	0.0	0.516	0.406	0.5294	0.3947
100	0.7635	0.0	0.893	0.558	0.7635	0.5394
101	0.5255	0.0	0.5664	1.193	0.5255	0.9803
102	0.3449	0.0	0.3575	0.6591	0.3449	0.7344
103	0.9339	0.0	0.942	0.8579	0.9339	0.8055
104	1.296	0.0	1.356	1.044	1.296	1.105
105	0.3279	0.0	0.3396	0.5186	0.3279	0.5496
106	0.4885	0.0	0.508	0.6639	0.4885	0.5897
107	0.5099	0.0	0.4994	0.5168	0.5099	0.5968
108	0.4872	0.0	0.5479	0.4196	0.4872	0.3984
109	0.4466	0.0	0.4356	0.5225	0.4466	0.4633
110	0.9409	0.0	1.112	0.9842	0.9409	0.8956
111	0.2844	0.0	0.3052	0.4118	0.2844	0.4697
112	1.367	0.0	1.454	1.049	1.367	0.9886
113	0.7019	0.0	0.7221	0.4934	0.7019	0.4978
114	0.5513	0.0	0.6543	0.3335	0.5513	0.3426
115	1.119	0.0	1.174	1.134	1.119	0.9945
116	0.3959	0.0	0.4185	0.5296	0.3959	0.5098
117	0.7704	0.0	0.8752	1.173	0.7704	1.033
118	0.5966	0.0	0.69	0.5042	0.5966	0.4316
119	0.6647	0.0	0.8148	1.322	0.6647	1.182
120	0.7326	0.0	0.8141	0.3983	0.7326	0.3635
121	0.4304	0.0	0.4054	0.5114	0.4304	0.5723
122	0.3611	0.0	0.3696	0.3986	0.3611	0.4057
123	1.085	0.0	1.084	1.37	1.085	1.045
124	0.3699	0.0	0.3676	0.3883	0.3699	0.4419
125	0.41	0.0	0.4498	0.9911	0.41	0.8368
126	0.597	0.0	0.5875	0.6646	0.597	0.5716
127	0.439	0.0	0.4635	1.234	0.439	0.9524
128	0.5649	0.0	0.6172	1.003	0.5649	0.9506
129	0.351	0.0	0.3618	1.079	0.351	0.8407
130	0.294	0.0	0.3143	0.92	0.294	0.7915
131	0.708	0.0	0.7396	1.034	0.708	0.8939
132	0.6502	0.0	0.7487	0.7023	0.6502	0.7097
133	0.3682	0.0	0.3915	0.2753	0.3682	0.255
134	0.2416	0.0	0.2609	0.8416	0.2416	0.7731
135	0.5338	0.0	0.547	0.9767	0.5338	0.8001
136	0.4993	0.0	0.468	0.2713	0.4993	0.2861
137	0.3541	0.0	0.364	0.3563	0.3541	0.4786
138	0.6978	0.0	0.7315	0.7941	0.6978	0.6462
139	1.123	0.0	1.337	0.8691	1.123	0.8307
140	0.4494	0.0	0.4376	0.3516	0.4494	0.3512
141	0.3023	0.0	0.2723	0.3637	0.3023	0.396
142	0.6278	0.0	0.6837	0.5031	0.6278	0.5093
143	0.3286	0.0	0.2973	0.4949	0.3286	0.4908
