Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	3.458	2.98	2.971	4.12	3.458
2	0.0	3.984	1.869	3.714	2.136	3.984
3	0.0	3.028	4.402	2.963	3.84	3.028
4	0.0	2.556	3.053	2.902	2.424	2.556
5	0.0	2.142	8.257	3.184	4.613	2.142
6	0.0	1.256	1.891	3.523	1.41	1.256
7	0.0	1.085	1.102	2.591	0.3312	1.085
8	0.0	2.486	5.314	3.366	2.336	2.486
9	0.0	3.168	5.618	4.668	4.16	3.168
10	0.0	1.137	2.336	2.409	0.6045	1.137
11	0.0	1.671	2.005	1.959	1.805	1.671
12	0.0	1.338	1.724	2.175	1.562	1.338
13	0.0	1.81	2.048	1.744	2.094	1.81
14	0.0	2.043	3.68	3.14	2.608	2.043
15	0.0	1.837	1.744	2.111	1.352	1.837
16	0.0	1.629	3.436	2.85	2.209	1.629
17	0.0	1.672	2.1	2.438	0.7773	1.672
18	0.0	0.6369	2.268	0.8866	1.322	0.6369
19	0.0	1.402	2.246	1.54	1.709	1.402
20	0.0	1.047	2.034	2.283	1.486	1.047
21	0.0	0.3532	0.7332	0.7564	0.6112	0.3532
22	0.0	1.498	1.954	2.53	1.61	1.498
23	0.0	0.9406	1.388	0.9684	1.176	0.9406
24	0.0	0.4907	1.685	0.5942	1.149	0.4907
25	0.0	1.02	1.489	1.167	1.388	1.02
26	0.0	1.053	1.727	1.101	1.386	1.053
27	0.0	1.136	2.354	2.439	1.304	1.136
28	0.0	1.466	2.62	3.387	1.271	1.466
29	0.0	0.8288	0.9293	1.016	0.7493	0.8288
30	0.0	2.563	2.243	2.29	1.034	2.563
31	0.0	1.68	2.155	2.345	1.162	1.68
32	0.0	0.6558	2.975	0.8189	1.307	0.6558
33	0.0	0.9518	1.145	1.657	0.7878	0.9518
34	0.0	0.6415	1.169	1.052	0.8051	0.6415
35	0.0	0.9557	1.014	1.205	1.019	0.9557
36	0.0	1.191	2.268	1.354	1.434	1.191
37	0.0	1.238	2.154	1.5	1.215	1.238
38	0.0	1.38	0.9947	1.819	0.9587	1.38
39	0.0	2.307	3.012	3.179	1.906	2.307
40	0.0	0.873	2.119	0.968	2.541	0.873
41	0.0	1.171	1.293	1.808	0.9629	1.171
42	0.0	1.021	1.937	2.053	1.242	1.021
43	0.0	0.7169	0.9619	0.7121	0.9402	0.7169
44	0.0	1.355	1.344	1.664	1.006	1.355
45	0.0	0.9764	1.432	1.378	0.8919	0.9764
46	0.0	0.5584	1.544	0.672	1.166	0.5584
47	0.0	0.7222	0.6456	0.8933	0.6856	0.7222
48	0.0	0.6815	1.206	0.891	1.126	0.6815
49	0.0	1.338	0.9855	1.457	0.6168	1.338
50	0.0	0.895	1.177	1.105	0.8876	0.895
51	0.0	0.9675	1.018	1.352	0.7157	0.9675
52	0.0	0.1607	1.274	0.2606	0.9143	0.1607
53	0.0	0.8886	1.402	1.207	0.9017	0.8886
54	0.0	0.5714	0.9901	0.7925	0.7756	0.5714
55	0.0	0.921	1.232	1.268	0.8853	0.921
56	0.0	1.045	0.556	1.394	0.4878	1.045
57	0.0	1.117	1.758	1.63	1.394	1.117
58	0.0	1.018	1.207	1.532	0.772	1.018
59	0.0	1.047	1.092	1.283	0.9663	1.047
60	0.0	1.051	1.406	1.369	1.154	1.051
61	0.0	0.629	1.065	0.74	0.8427	0.629
62	0.0	0.8268	0.6983	0.9986	0.5429	0.8268
63	0.0	0.5941	1.128	0.7148	0.9268	0.5941
64	0.0	0.9798	1.137	1.294	0.9632	0.9798
65	0.0	0.6919	0.3809	1.003	0.2791	0.6919
66	0.0	0.7573	0.5327	0.9719	0.4215	0.7573
67	0.0	1.033	0.9907	1.411	0.8805	1.033
68	0.0	0.7488	0.6054	1.123	0.4357	0.7488
69	0.0	0.7197	0.715	0.9315	0.6055	0.7197
70	0.0	0.3001	0.7319	0.5398	0.4945	0.3001
71	0.0	0.915	0.8634	1.204	0.535	0.915
72	0.0	0.5905	0.5806	0.7193	0.4469	0.5905
73	0.0	0.6965	0.8282	0.8107	0.6479	0.6965
74	0.0	0.8176	0.8203	1.111	0.5264	0.8176
75	0.0	1.385	1.386	1.645	0.9554	1.385
76	0.0	0.7058	1.071	0.9976	0.7855	0.7058
77	0.0	0.6984	0.9169	0.8609	0.6883	0.6984
78	0.0	1.292	1.62	1.803	1.27	1.292
79	0.0	0.6579	1.114	0.8578	0.701	0.6579
80	0.0	0.4929	0.7495	0.6799	0.5739	0.4929
81	0.0	0.5466	0.7948	0.8007	0.6783	0.5466
82	0.0	0.8512	1.2	1.134	1.009	0.8512
83	0.0	0.6915	0.9308	0.8698	0.7645	0.6915
84	0.0	0.5787	1.032	0.9196	0.8415	0.5787
85	0.0	1.234	0.8743	1.619	0.6394	1.234
86	0.0	0.7713	0.5443	0.9606	0.3121	0.7713
87	0.0	0.595	1.305	0.7724	0.8427	0.595
88	0.0	1.441	1.571	2.137	1.024	1.441
89	0.0	0.6784	1.122	0.8327	0.7109	0.6784
90	0.0	0.7461	1.104	0.9738	0.9098	0.7461
91	0.0	0.5447	0.4532	0.7062	0.385	0.5447
92	0.0	0.7986	1.184	1.143	0.9886	0.7986
93	0.0	0.5057	0.7646	0.6847	0.5404	0.5057
94	0.0	0.5865	0.7323	0.7473	0.6333	0.5865
95	0.0	0.8248	0.909	0.9824	0.6585	0.8248
96	0.0	0.5517	1.097	0.8996	0.8453	0.5517
97	0.0	0.685	0.9608	0.8245	0.6436	0.685
98	0.0	0.7901	0.8212	1.081	0.6538	0.7901
99	0.0	0.7461	1.385	0.9215	1.021	0.7461
100	0.0	0.7736	0.9549	1.186	0.8171	0.7736
