Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.12	0.0	3.12	2.648	5.241	3.16
2	2.11	0.0	2.11	3.35	2.415	2.861
3	4.093	0.0	4.093	3.145	3.982	2.248
4	3.361	0.0	3.361	2.844	3.024	2.221
5	5.078	0.0	5.078	2.276	4.868	2.524
6	1.589	0.0	1.589	2.112	1.559	1.949
7	1.304	0.0	1.304	2.028	3.061	3.275
8	2.599	0.0	2.599	1.963	3.665	2.074
9	3.783	0.0	3.783	2.769	4.957	3.232
10	1.412	0.0	1.412	1.885	1.862	1.416
11	1.647	0.0	1.647	1.443	1.93	1.655
12	1.6	0.0	1.6	1.551	1.94	1.52
13	1.383	0.0	1.383	1.168	1.991	1.636
14	2.421	0.0	2.421	2.201	2.638	2.965
15	1.323	0.0	1.323	1.695	1.65	1.94
16	2.065	0.0	2.065	1.64	2.544	1.799
17	1.235	0.0	1.235	1.45	1.637	1.994
18	1.409	0.0	1.409	0.7227	1.951	0.8327
19	1.195	0.0	1.195	1.206	1.604	1.379
20	1.159	0.0	1.159	1.108	1.355	1.286
21	0.5409	0.0	0.5409	0.5239	0.7371	0.956
22	0.9882	0.0	0.9882	1.188	1.189	1.453
23	1.137	0.0	1.137	0.859	1.327	0.9572
24	0.7711	0.0	0.7711	0.5416	1.029	0.6561
25	1.112	0.0	1.112	1.048	1.305	1.13
26	1.238	0.0	1.238	0.8222	1.393	1.038
27	0.6555	0.0	0.6555	1.275	0.9288	1.396
28	0.9339	0.0	0.9339	1.31	1.138	1.507
29	0.7124	0.0	0.7124	0.7927	0.9218	1.018
30	0.7662	0.0	0.7662	1.054	0.8911	1.714
31	0.9548	0.0	0.9548	1.056	1.239	1.398
32	0.9984	0.0	0.9984	0.649	1.09	0.8092
33	0.6838	0.0	0.6838	0.9617	1.014	0.9967
34	0.8779	0.0	0.8779	0.644	0.8821	0.7743
35	0.7083	0.0	0.7083	0.9419	1.014	1.064
36	1.003	0.0	1.003	0.8835	1.41	1.068
37	0.914	0.0	0.914	1.074	1.2	1.283
38	0.7714	0.0	0.7714	1.149	0.9506	1.322
39	1.816	0.0	1.816	1.881	2.183	2.176
40	0.5556	0.0	0.5556	0.5925	0.9669	0.8457
41	0.7647	0.0	0.7647	0.9063	0.9323	1.038
42	0.9384	0.0	0.9384	0.8858	1.16	0.7738
43	0.6808	0.0	0.6808	0.632	1.031	0.8027
44	0.7552	0.0	0.7552	1.044	0.8882	1.31
45	0.7029	0.0	0.7029	0.8325	0.946	0.9985
46	0.8187	0.0	0.8187	0.5829	1.042	0.6766
47	0.4996	0.0	0.4996	0.6416	0.6628	0.8286
48	0.9335	0.0	0.9335	0.6587	1.323	0.7783
49	0.6583	0.0	0.6583	0.9429	0.6462	1.246
50	0.8076	0.0	0.8076	0.8253	0.9345	0.9951
51	0.6737	0.0	0.6737	0.8212	0.7616	0.9273
52	0.7618	0.0	0.7618	0.1559	0.9335	0.1935
53	0.8143	0.0	0.8143	0.7691	0.8832	0.8531
54	0.7101	0.0	0.7101	0.5587	0.8253	0.6051
55	0.8766	0.0	0.8766	0.7898	0.9396	0.9255
56	0.4396	0.0	0.4396	0.7739	0.5259	0.9224
57	0.8513	0.0	0.8513	1.027	1.275	1.213
58	0.6703	0.0	0.6703	0.8746	0.7263	1.1
59	0.6932	0.0	0.6932	0.8892	0.9028	1.17
60	0.9325	0.0	0.9325	0.813	1.308	0.9851
61	0.6249	0.0	0.6249	0.5741	0.7683	0.7975
62	0.5002	0.0	0.5002	0.733	0.5468	0.8762
63	0.8465	0.0	0.8465	0.5627	1.027	0.6925
64	0.8358	0.0	0.8358	0.8369	0.9185	0.957
65	0.2857	0.0	0.2857	0.6944	0.4684	0.8293
66	0.4135	0.0	0.4135	0.6584	0.5007	0.8264
67	0.6936	0.0	0.6936	0.8669	0.9659	1.036
68	0.4512	0.0	0.4512	0.8005	0.6076	0.8434
69	0.5332	0.0	0.5332	0.6459	0.6826	0.7827
70	0.5659	0.0	0.5659	0.3361	0.6918	0.3579
71	0.5244	0.0	0.5244	0.9176	0.5998	1.03
72	0.4091	0.0	0.4091	0.6007	0.624	0.9021
73	0.6132	0.0	0.6132	0.673	0.7592	0.8823
74	0.5428	0.0	0.5428	0.7004	0.8	0.8737
75	0.762	0.0	0.762	1.005	0.8631	1.605
76	0.7977	0.0	0.7977	0.6888	1.186	0.8785
77	0.603	0.0	0.603	0.5877	0.7577	0.8175
78	0.9417	0.0	0.9417	1.023	1.213	1.469
79	0.6463	0.0	0.6463	0.7642	0.7427	1.01
80	0.5408	0.0	0.5408	0.497	0.668	0.61
81	0.6795	0.0	0.6795	0.5468	0.9106	0.7496
82	0.892	0.0	0.892	0.6522	1.234	0.8274
83	0.6823	0.0	0.6823	0.7077	0.8764	0.9533
84	0.7426	0.0	0.7426	0.5825	0.9065	0.65
85	0.6795	0.0	0.6795	0.988	1.241	1.463
86	0.3352	0.0	0.3352	0.722	0.3887	0.9153
87	0.8083	0.0	0.8083	0.5765	0.7918	0.7742
88	0.9738	0.0	0.9738	1.329	1.062	1.494
89	0.6286	0.0	0.6286	0.5828	0.8051	0.92
90	0.7199	0.0	0.7199	0.7326	0.8778	0.884
91	0.4163	0.0	0.4163	0.5342	0.4894	0.7519
92	0.7671	0.0	0.7671	0.7645	0.9759	0.926
93	0.5111	0.0	0.5111	0.5254	0.6227	0.5771
94	0.5728	0.0	0.5728	0.5725	0.7741	0.6689
95	0.678	0.0	0.678	0.6892	0.7259	0.883
96	0.6638	0.0	0.6638	0.5611	0.8843	0.6069
97	0.5935	0.0	0.5935	0.6352	0.7158	0.762
98	0.5621	0.0	0.5621	0.8179	0.8351	0.9721
