Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.892	0.0	3.059	2.903	3.892	3.226
2	2.307	0.0	1.847	3.541	2.307	2.911
3	4.095	0.0	4.903	3.188	4.095	2.17
4	2.815	0.0	3.426	4.597	2.815	1.805
5	4.549	0.0	7.248	4.883	4.549	2.323
6	1.474	0.0	2.943	4.045	1.474	1.26
7	0.324	0.0	1.08	2.286	0.324	0.9794
8	2.327	0.0	5.008	3.534	2.327	2.46
9	4.144	0.0	6.288	4.388	4.144	3.054
10	0.6101	0.0	3.272	3.605	0.6101	1.167
11	1.72	0.0	1.963	1.736	1.72	1.659
12	1.568	0.0	1.728	2.151	1.568	1.319
13	2.329	0.0	1.932	1.599	2.329	1.673
14	2.665	0.0	3.942	2.787	2.665	2.491
15	1.588	0.0	1.646	2.163	1.588	2.037
16	2.166	0.0	3.311	2.954	2.166	1.492
17	0.8144	0.0	1.953	2.177	0.8144	1.604
18	1.625	0.0	2.164	0.8408	1.625	0.6592
19	1.527	0.0	1.708	1.296	1.527	1.298
20	1.534	0.0	1.994	2.228	1.534	1.027
21	0.6216	0.0	0.7088	0.808	0.6216	0.3355
22	1.492	0.0	1.865	2.307	1.492	1.443
23	1.15	0.0	1.463	0.9346	1.15	0.8712
24	1.144	0.0	1.581	0.6449	1.144	0.4826
25	1.313	0.0	1.385	1.091	1.313	0.945
26	1.639	0.0	2.061	1.245	1.639	0.937
27	1.399	0.0	2.925	2.562	1.399	1.08
28	1.324	0.0	2.915	3.477	1.324	1.472
29	0.7368	0.0	0.9627	0.8742	0.7368	0.8695
30	1.042	0.0	2.353	1.717	1.042	1.916
31	1.236	0.0	1.897	1.908	1.236	1.553
32	1.24	0.0	2.439	0.7736	1.24	0.6501
33	0.7543	0.0	0.9856	1.403	0.7543	0.9887
34	0.8702	0.0	1.236	1.025	0.8702	0.6446
35	1.083	0.0	0.9751	1.174	1.083	0.9554
36	1.281	0.0	2.266	1.139	1.281	0.9194
37	1.154	0.0	2.188	1.52	1.154	1.187
38	0.8752	0.0	1.034	1.79	0.8752	1.3
39	1.631	0.0	2.747	2.918	1.631	1.956
40	2.441	0.0	2.052	1.114	2.441	1.044
