Step	Loss
1	3.6479
2	3.5633
3	1.6285
4	3.3236
5	3.4873
6	3.048
7	2.4844
8	3.1243
9	2.7092
10	0.7183
11	2.3479
12	3.6956
13	3.4437
14	2.2557
15	0.3036
16	4.0399
17	2.6847
18	0.7425
19	0.8625
20	3.1978
21	3.298
22	3.9635
23	3.498
24	1.1791
25	3.6611
26	2.3335
27	3.355
28	2.4039
29	1.3666
30	1.3728
31	3.5717
32	2.9295
33	2.802
34	4.0152
35	0.0881
36	4.8814
37	3.3229
38	2.494
39	0.1556
40	3.8083
41	3.375
42	0.6869
43	2.6617
44	0.3138
45	2.9442
46	3.0637
47	2.1039
48	3.3549
49	3.6772
50	1.847
51	2.8595
52	0.6964
53	4.9893
54	3.5061
55	1.6818
56	3.2908
57	2.9155
58	1.8718
59	3.3382
60	3.0384
61	3.0368
62	0.5055
63	1.8971
64	2.3524
65	3.5642
66	2.8213
67	3.6252
68	0.6621
69	1.7602
70	0.4269
71	2.2296
72	1.4749
73	1.0394
74	3.3097
75	2.3274
76	2.4828
77	4.2789
78	2.8964
79	0.8506
80	3.402
81	2.4394
82	2.5403
83	3.5861
84	2.1402
85	3.4931
86	3.3416
87	3.1771
88	1.7735
89	1.3534
90	3.7375
91	1.6499
92	2.5799
93	3.3625
94	1.2236
95	3.0114
96	0.4788
97	3.8611
98	1.8351
99	1.0471
100	4.2782
101	3.6219
102	3.5681
103	0.9139
104	2.8306
105	2.7094
106	2.1212
107	0.4171
108	3.3564
109	2.9887
110	2.7484
111	1.9145
112	2.9183
113	2.0499
114	0.5746
115	2.1886
116	3.3484
117	3.06
118	1.9228
119	0.2129
120	3.632
121	2.3808
122	0.1474
123	0.6861
124	2.4324
125	2.8386
126	3.8367
127	3.3982
128	0.9191
129	3.355
130	0.5544
131	3.3462
132	2.3556
133	1.0624
134	1.2882
135	1.1663
136	2.6618
137	2.7069
138	3.9096
139	0.0378
140	3.4904
141	3.2088
142	2.2342
143	0.1026
144	3.3457
145	3.0422
146	0.4009
147	2.5685
148	0.2793
149	2.4465
150	2.9013
151	1.7179
152	3.3478
153	3.3833
154	1.4597
155	2.7079
156	0.5814
157	2.6815
158	3.3876
159	1.5174
160	3.1295
161	2.8637
162	1.9307
163	3.2264
164	2.9491
165	2.8883
166	0.4367
167	1.725
168	2.1612
169	3.2786
170	2.7581
171	3.3469
172	0.7126
173	1.6748
174	0.1467
175	0.3383
176	0.9845
177	1.0753
178	3.2038
179	1.8021
180	1.9634
181	4.0587
182	2.817
183	0.9176
184	3.2219
185	2.1889
186	2.5256
187	3.3608
188	2.0913
189	3.188
190	3.1231
191	3.0962
192	1.6872
193	1.1428
194	3.6635
195	1.8187
196	2.3251
197	2.0599
198	1.1852
199	2.9032
200	0.3721
201	3.5627
202	1.5543
203	0.6362
204	3.7804
205	3.3786
206	3.3045
207	0.7803
208	2.73
209	2.4559
210	2.059
211	0.3543
212	3.1765
213	2.9777
214	2.6293
215	1.5562
216	2.8476
217	1.3856
218	0.557
219	2.0866
220	3.2655
221	2.8315
222	1.7984
223	0.1674
224	3.4921
225	2.3059
226	0.1294
227	0.6366
228	2.3944
229	2.629
230	3.6499
231	3.2885
232	0.8367
233	3.1918
234	0.0677
235	3.4559
236	2.2606
237	1.0919
238	0.9937
239	0.6304
240	2.6151
241	2.5917
242	3.7194
243	0.0475
244	1.4239
245	3.1659
246	2.1523
247	0.08
248	3.0279
249	3.0357
250	0.3052
251	2.4428
252	0.2412
253	2.1033
254	2.8097
255	1.7498
256	3.0644
257	3.3267
258	1.4822
259	2.5838
260	0.4841
261	2.2564
262	3.2291
263	1.4467
264	3.017
265	2.7871
266	1.9156
267	3.0803
268	2.7921
269	2.8404
270	0.3817
271	1.3303
272	2.0392
273	3.1477
274	2.6901
275	3.2686
276	0.7517
277	1.4738
278	0.0607
279	0.4747
280	0.773
281	0.914
282	3.1648
283	1.7669
284	1.8739
285	3.9309
286	2.7418
287	0.8417
288	3.1334
289	2.1205
290	2.4444
291	3.311
292	1.9006
293	3.1244
294	2.9373
295	2.9719
296	1.5277
297	0.877
298	3.5499
299	0.8854
300	2.2031
301	0.7645
302	1.1284
303	2.8052
304	0.2945
305	3.4763
306	1.6281
307	0.4885
308	2.6309
309	3.4681
310	3.2112
311	0.7398
312	2.7317
313	2.3941
314	1.7932
315	0.2926
316	3.2088
317	2.6446
318	2.4525
319	1.4989
320	2.783
321	1.12
322	0.6137
323	2.048
324	3.1119
325	2.7182
326	1.4351
327	0.1526
328	3.3672
329	1.9113
330	0.2435
331	0.7093
332	2.2699
333	2.6057
334	3.5989
335	3.1872
336	0.9216
337	3.1761
338	0.0203
339	2.9247
340	2.1717
341	0.9894
342	1.0273
343	0.1188
344	2.5073
345	1.8522
346	3.6823
347	0.0295
348	1.371
349	3.0936
350	2.0699
351	0.0619
352	2.9199
353	2.9192
354	0.3593
355	2.3856
356	0.1909
357	2.0598
358	2.7562
359	1.4513
360	3.0081
361	3.1187
362	1.2752
363	2.5331
364	0.5655
365	0.8376
366	3.2074
367	1.4042
368	2.8967
369	2.7612
370	1.6444
371	3.0238
372	2.7968
373	2.7546
374	0.2127
375	1.3122
376	2.0641
377	3.0937
378	2.6742
379	3.0885
380	0.5946
381	1.5174
382	0.0572
383	0.3637
384	0.6572
385	0.8544
386	3.1002
387	1.5132
388	1.4815
389	3.256
390	2.6899
391	0.8371
392	3.0571
393	1.9239
394	2.4206
395	3.1758
396	1.9686
397	3.0918
398	2.8646
399	2.9144
400	1.528
401	0.9106
402	3.4298
403	0.7493
404	2.0187
405	0.4854
406	1.0033
407	2.7464
408	0.3725
409	3.5115
410	1.7309
411	0.2502
412	2.6212
413	2.7207
414	3.1969
415	0.7392
416	2.6601
417	2.5782
418	1.8592
419	0.1936
420	3.2036
421	2.623
422	2.4512
423	1.4008
424	2.7521
425	0.8019
426	0.5509
427	1.9629
428	3.1065
429	2.6071
430	1.6076
431	0.17
432	3.2556
433	1.7234
434	0.0763
435	0.558
436	2.2028
437	2.5394
438	3.4045
439	3.1647
440	0.7509
441	3.0709
442	0.0048
443	2.9237
444	2.0536
445	1.0109
446	0.9498
447	0.0634
448	2.4701
449	2.1143
450	3.6434
451	0.0194
452	0.9865
453	3.0711
454	2.0163
455	0.0972
456	1.8377
457	2.9144
458	0.2281
459	2.2838
460	0.2222
461	1.8551
462	2.7139
463	1.3961
464	2.9052
465	3.1029
466	1.1219
467	2.5363
468	0.4585
469	0.4971
470	3.1568
471	1.4468
472	2.8467
473	2.7652
474	1.6844
475	2.8974
476	2.6285
477	2.7025
478	0.2468
479	1.3184
480	1.9144
481	3.0043
482	2.588
483	3.0056
484	0.5139
485	1.5126
486	0.0552
487	0.318
488	0.4286
489	0.8069
490	3.091
491	1.4877
492	1.5084
493	3.3257
494	2.6448
495	0.5148
496	3.0373
497	1.7175
498	2.4333
499	2.945
500	1.6945
501	3.0559
502	2.7581
503	2.9211
504	1.3708
505	0.6364
506	3.444
507	0.3748
508	1.9204
509	0.2488
510	0.9625
511	2.685
512	0.2318
513	3.4801
514	1.5449
515	0.2025
516	1.4011
517	2.7443
518	3.0305
519	0.6137
520	2.6401
521	1.9421
522	1.3194
523	0.1351
524	3.0796
525	2.5265
526	2.3386
527	1.4049
528	2.7
529	0.611
530	0.5
531	1.9533
532	3.0054
533	2.6726
534	1.2858
535	0.1024
536	3.1534
537	1.6724
538	0.0991
539	0.5922
540	2.052
541	2.4328
542	3.5064
543	3.1896
544	0.6714
545	3.009
546	0.0076
547	2.6595
548	2.044
549	0.9983
550	0.9796
551	0.0499
552	2.4122
553	1.3924
554	3.4886
555	0.0377
556	1.0888
557	3.0145
558	2.0006
559	0.0479
560	1.968
561	2.7759
562	0.2593
563	2.2428
564	0.2296
565	1.5618
566	2.6653
567	1.3034
568	2.67
569	3.1028
570	1.1615
571	2.4561
572	0.4127
573	0.2437
574	3.0704
575	1.3909
576	2.7494
577	2.7044
578	1.6891
579	2.8397
580	2.5841
581	2.591
582	0.1692
583	1.1808
584	1.8703
585	2.9856
586	2.5802
587	2.9633
588	0.3925
589	1.3875
590	0.0082
591	0.0974
592	0.5916
593	0.8347
594	3.0378
595	1.1145
596	1.4592
597	3.324
598	2.5583
599	0.5112
600	2.9847
601	1.5911
602	2.3291
603	2.8378
604	1.7493
