Step	Loss
1	1.5174
2	3.1592
3	3.2407
4	2.6005
5	2.9274
6	3.6768
7	0.3378
8	1.0493
9	3.1444
10	9.0414
11	2.9961
12	1.1356
13	3.4628
14	0.9538
15	3.1394
16	4.6798
17	3.799
18	3.0392
19	3.1162
20	2.414
21	3.1794
22	1.5267
23	2.8276
24	2.8965
25	3.3822
26	2.7147
27	3.0651
28	2.3424
29	1.0911
30	3.4837
31	3.1459
32	3.8515
33	1.7109
34	4.8398
35	2.1934
36	0.7242
37	0.5357
38	1.5495
39	3.8908
40	3.1496
41	2.8664
42	2.9547
43	3.3304
44	0.4889
45	2.4897
46	0.5149
47	3.171
48	3.0576
49	2.2873
50	1.4512
51	0.3225
52	3.1163
53	3.4552
54	1.7226
55	3.2388
56	3.8552
57	1.9198
58	2.1174
59	1.1326
60	2.8746
61	3.2575
62	1.2542
63	3.7546
64	2.4959
65	1.154
66	3.3186
67	2.3828
68	0.8013
69	2.3174
70	2.8327
71	0.5106
72	1.6887
73	0.8359
74	1.5332
75	3.5101
76	1.8744
77	2.9203
78	1.6125
79	6.9179
80	2.5064
81	3.3264
82	3.9917
83	2.109
84	1.9821
85	3.0575
86	2.1427
87	2.7284
88	1.2422
89	1.1847
90	2.0303
91	1.6836
92	2.2837
93	2.1764
94	2.7239
95	1.9971
96	0.4195
97	3.0043
98	1.4248
99	3.29
100	2.5367
101	0.9168
102	3.0918
103	0.5461
104	2.7276
105	0.586
106	2.747
107	3.086
108	0.9343
109	2.7172
110	3.4749
111	0.399
112	0.6717
113	2.8661
114	4.9132
115	2.6326
116	0.9302
117	3.3136
118	0.9046
119	2.8855
120	2.49
121	3.5824
122	2.8055
123	2.9268
124	2.1775
125	2.8186
126	1.3949
127	2.6339
128	2.626
129	3.1898
130	2.5181
131	2.862
132	2.3323
133	0.7529
134	3.3181
135	2.9015
136	3.1952
137	1.5577
138	1.6388
139	1.7349
140	0.6553
141	0.3189
142	1.3295
143	3.5512
144	2.9956
145	2.5788
146	2.7322
147	3.2428
148	0.3225
149	2.1189
150	0.4152
151	2.8385
152	2.7014
153	2.012
154	1.2652
155	0.2201
156	2.8839
157	3.2588
158	1.6534
159	3.0061
160	2.5838
161	1.693
162	2.0156
163	1.0421
164	2.783
165	3.0714
166	0.8673
167	3.2025
168	2.3514
169	1.0754
170	3.1444
171	2.5769
172	0.7264
173	1.8134
174	2.7336
175	0.3615
176	1.6892
177	0.7357
178	1.4853
179	3.2734
180	1.7764
181	2.8882
182	1.2741
183	5.6647
184	2.3275
185	3.0367
186	3.8374
187	1.8843
188	1.8458
189	2.8244
190	1.8391
191	2.6381
192	1.1795
193	1.082
194	1.7693
195	1.6351
196	1.6321
197	2.0215
198	2.6105
199	1.7354
200	0.2317
201	2.8046
202	1.381
203	2.9185
204	1.9758
205	0.715
206	3.0543
207	0.1541
208	2.5356
209	0.5222
210	2.5295
211	2.9578
212	0.643
213	2.5818
214	3.3126
215	0.3554
216	0.579
217	2.8863
218	4.248
219	2.385
220	0.8225
221	3.1981
222	0.8058
223	2.6299
224	1.6765
225	3.4756
226	2.6894
227	2.8123
228	1.966
229	2.7219
230	1.2459
231	2.4612
232	2.4389
233	3.0449
234	2.4647
235	2.7861
236	2.0286
237	0.7662
238	3.2621
239	2.7706
240	2.784
241	1.3668
242	0.2821
243	1.6762
244	0.8134
245	0.194
246	1.1401
247	3.2711
248	2.9356
249	2.4838
250	2.6881
251	3.1823
252	0.2263
253	2.0725
254	0.3877
255	2.4888
256	2.3318
257	2.071
258	1.33
259	0.2723
260	2.805
261	3.1768
262	1.5333
263	2.8863
264	1.7513
265	1.5869
266	1.9242
267	0.9008
268	2.6401
269	3.0762
270	0.7132
271	3.1311
272	2.1644
273	1.028
274	3.0708
275	2.4416
276	0.74
277	1.3907
278	2.5669
279	0.3718
280	1.524
281	0.7419
282	1.2841
283	3.2146
284	1.4988
285	2.7556
286	0.6565
287	4.3954
288	2.2692
289	2.9616
290	3.7089
291	1.6282
292	1.8334
293	2.7113
294	1.3948
295	2.5533
296	1.0708
297	1.0566
298	1.6967
299	1.5542
300	1.5131
301	1.9153
302	2.4963
303	1.6663
304	0.1371
305	2.3883
306	1.2069
307	2.857
308	1.2443
309	0.6682
310	2.8646
311	0.3161
312	2.5423
313	0.3987
314	2.4129
315	2.8784
316	0.1927
317	2.5973
318	3.2152
319	0.341
320	0.5765
321	2.7539
322	2.7555
323	2.3733
324	0.7476
325	3.1744
326	0.4614
327	2.7344
328	1.4224
329	3.4597
330	2.6773
331	2.7173
332	1.8704
333	2.596
334	1.2334
335	2.2215
336	2.4594
337	2.9619
338	2.3165
339	2.7274
340	2.0598
341	0.5666
342	3.2129
343	2.7427
344	2.7034
345	1.0594
346	0.2134
347	1.5305
348	0.4291
349	0.0979
350	0.9954
351	3.132
352	2.9058
353	2.5225
354	2.5402
355	3.0444
356	0.2302
357	1.9497
358	0.3958
359	2.5701
360	2.012
361	1.8323
362	1.1994
363	0.2184
364	2.6302
365	3.0573
366	1.3879
367	2.8083
368	1.6131
369	1.5165
370	1.8439
371	0.8205
372	2.592
373	2.9967
374	0.5638
375	2.4642
376	2.1137
377	1.0445
378	2.9691
379	2.2851
380	0.5656
381	1.1062
382	2.5074
383	0.3517
384	1.5229
385	0.5884
386	1.2403
387	2.9538
388	1.5875
389	2.8594
390	0.4727
391	3.7439
392	2.1654
393	2.6547
394	3.5941
395	1.5999
396	1.8015
397	2.6423
398	1.2357
399	2.4983
400	0.6294
401	0.9058
402	1.5097
403	1.4634
404	1.3719
405	1.8866
406	2.4832
407	1.4982
408	0.1402
409	2.0495
410	1.035
411	2.7729
412	1.2806
413	0.604
414	2.8099
415	0.3878
416	2.4118
417	0.4179
418	2.3523
419	2.8878
420	0.1337
421	2.5027
422	3.1544
423	0.3149
424	0.4708
425	2.7209
426	1.8458
427	2.5162
428	0.6716
429	3.1008
430	0.7902
431	1.8541
432	1.2043
433	3.2658
434	2.5309
435	2.7089
436	1.8795
437	2.5511
438	1.1346
439	1.9959
440	2.2151
441	2.8563
442	2.3474
443	2.6669
444	1.9481
445	0.4903
446	3.1373
447	2.6299
448	2.0345
449	1.125
450	0.2072
451	1.5751
452	0.3748
453	0.1283
454	0.9662
455	3.1122
456	2.8852
457	2.4524
458	2.5465
459	3.0836
460	0.1662
461	1.8702
462	0.3611
463	2.4047
464	2.22
465	1.7702
466	1.2381
467	0.2715
468	2.5926
