Step	Loss
1	3.6724
2	3.7723
3	3.9283
4	3.3452
5	3.3044
6	5.4304
7	4.5103
8	2.2398
9	3.4398
10	4.9121
11	4.0662
12	2.4726
13	3.5824
14	3.8857
15	3.0747
16	3.5064
17	1.8267
18	0.594
19	0.3012
20	3.764
21	2.2969
22	3.9791
23	3.9671
24	3.8301
25	2.6988
26	4.7581
27	2.8183
28	2.114
29	1.9815
30	0.3236
31	3.8383
32	1.5154
33	1.8219
34	3.6384
35	3.7167
36	3.4195
37	3.9022
38	2.0464
39	3.2259
40	3.1044
41	3.8901
42	4.8043
43	1.7724
44	5.7211
45	2.8684
46	3.7433
47	2.7124
48	3.6975
49	2.1033
50	3.5828
51	2.2455
52	3.7733
53	2.2604
54	3.3352
55	1.8395
56	3.2503
57	3.4056
58	3.9968
59	2.8408
60	2.3599
61	1.6922
62	2.1461
63	2.1892
64	3.3031
65	4.1202
66	1.5149
67	2.1867
68	4.5351
69	1.7533
70	0.3206
71	0.8135
72	3.6844
73	0.2198
74	3.8267
75	3.3445
76	1.4195
77	3.776
78	1.8781
79	2.1339
80	1.8121
81	0.9141
82	3.5959
83	3.5901
84	3.7362
85	3.735
86	3.4467
87	3.5455
88	3.9853
89	3.4377
90	1.4833
91	1.9594
92	5.3731
93	0.5141
94	4.1669
95	2.1933
96	1.1943
97	0.898
98	3.1666
99	3.1077
100	2.6765
101	2.4945
102	3.8037
103	1.1006
104	3.9228
105	3.4686
106	3.2779
107	3.5663
108	3.099
109	2.5052
110	4.9995
111	4.2595
112	1.4151
113	3.1219
114	4.1822
115	3.4674
116	2.0309
117	3.3147
118	3.535
119	2.9516
120	3.2729
121	1.002
122	0.3874
123	0.146
124	3.7307
125	1.8348
126	3.6586
127	3.782
128	3.5929
129	2.2909
130	4.7067
131	2.5396
132	1.9833
133	1.6137
134	0.1635
135	3.5971
136	1.4575
137	1.5062
138	3.4925
139	3.5491
140	3.3477
141	3.2419
142	1.7419
143	2.8863
144	2.248
145	3.0169
146	4.3741
147	1.1221
148	3.4367
149	2.8633
150	3.2327
151	2.0749
152	3.4392
153	1.7947
154	3.3326
155	2.1188
156	3.5496
157	0.8005
158	3.2701
159	1.1207
160	2.9567
161	3.3202
162	3.5212
163	2.2281
164	2.1477
165	1.592
166	2.0733
167	2.0994
168	3.2628
169	4.0958
170	1.45
171	2.1239
172	4.136
173	1.7191
174	0.1042
175	0.6644
176	3.5021
177	0.1804
178	3.6858
179	3.1885
180	1.2332
181	3.8101
182	1.2348
183	1.996
184	1.7651
185	0.5601
186	3.4275
187	3.4455
188	3.6318
189	3.5769
190	3.3988
191	3.5022
192	3.8614
193	3.3219
194	1.4762
195	1.5233
196	4.2338
197	0.4408
198	3.955
199	2.1603
200	1.0818
201	0.8318
202	2.9752
203	2.7578
204	2.7546
205	2.2478
206	3.5821
207	1.0633
208	3.7075
209	3.3148
210	3.1635
211	3.4199
212	3.0527
213	2.5912
214	4.7233
215	4.1993
216	1.2563
217	2.9678
218	3.9775
219	3.3868
220	1.8389
221	3.2358
222	3.3653
223	2.8339
224	3.254
225	0.7123
226	0.4942
227	0.0907
228	3.5872
229	1.5547
230	3.5067
