Step	Loss
1	3.5474
2	3.5456
3	3.8453
4	3.3027
5	2.8848
6	5.445
7	4.293
8	1.1331
9	3.2198
10	5.044
11	3.4935
12	2.1877
13	3.455
14	3.7424
15	3.0787
16	3.3968
17	1.2944
18	0.5198
19	0.112
20	3.8462
21	2.1729
22	3.9774
23	3.9365
24	3.8057
25	2.5716
26	4.805
27	3.1083
28	1.8508
29	1.6739
30	0.1669
31	3.7886
32	1.4054
33	1.529
34	3.4943
35	3.6487
36	3.2449
37	3.1909
38	1.738
39	3.1996
40	2.7241
41	3.1445
42	4.5101
43	1.5293
44	4.681
45	3.0076
46	3.2344
47	2.6536
48	3.583
49	1.9522
50	3.5467
51	2.1289
52	3.6443
53	0.9865
54	3.3084
55	1.6137
56	3.25
57	3.3756
58	3.5534
59	2.6165
60	2.2306
61	1.5165
62	2.0878
63	2.0828
64	3.1284
65	4.162
66	1.2593
67	2.0775
68	4.2597
69	1.732
70	0.0899
71	0.5328
72	3.6642
73	0.143
74	3.8494
75	3.4038
76	1.3237
77	3.8818
78	1.1343
79	2.0705
80	1.5587
81	0.4617
82	3.5238
83	3.5747
84	3.6655
85	3.6449
86	3.5809
87	3.5447
88	3.9793
89	3.378
90	1.4654
91	1.3789
92	2.0702
93	0.5298
94	3.9587
95	2.0958
96	1.0127
97	0.6507
98	3.2484
99	3.0428
100	2.6519
101	2.5136
102	3.5514
103	1.0668
104	3.9395
105	3.3334
106	3.2088
107	3.5087
108	3.0982
109	2.5356
110	4.8959
111	4.2156
112	0.9854
113	3.1144
114	4.5592
115	3.1968
116	1.8493
117	3.3059
118	3.5177
119	2.9306
120	2.9839
121	0.8305
122	0.2445
123	0.1353
124	3.7007
125	1.6608
126	3.6238
127	3.7574
128	3.5781
129	2.3089
130	4.5823
131	2.9524
132	1.9643
133	1.4926
134	0.1918
135	3.5394
136	1.613
137	1.5231
138	3.4793
139	3.5123
140	3.0778
141	3.0552
142	1.7245
143	2.7961
144	2.4024
145	2.2371
146	4.363
147	1.0685
148	3.6396
149	2.7313
150	2.9411
151	2.0194
152	3.411
153	1.8203
154	3.3543
155	2.0892
156	3.5592
157	0.6056
158	3.1316
159	0.981
160	2.9947
161	3.2888
162	3.4758
163	2.3536
164	2.1401
165	1.455
166	1.9695
167	1.9806
168	3.1396
169	3.8558
170	1.2901
171	1.9434
172	4.1344
173	1.7163
174	0.0893
175	0.565
176	3.5305
177	0.1064
178	3.6532
179	3.1906
180	1.1268
181	3.7514
182	0.8759
183	2.0193
184	1.0905
185	0.3715
186	3.4882
187	3.509
188	3.5935
189	3.5798
190	3.4703
191	3.515
192	3.9516
193	3.2968
194	1.4771
195	1.5706
196	1.6535
197	0.4248
198	3.7074
199	1.9012
200	1.0856
201	0.7891
202	2.9671
203	2.8047
204	2.5819
205	2.3906
206	3.6495
207	1.0879
208	3.7711
209	3.2597
210	3.1186
211	3.4037
212	3.0698
213	2.3768
214	4.8354
215	4.149
216	1.0946
217	2.9906
218	3.4272
219	3.1444
220	1.8982
221	3.2202
222	3.3475
223	2.8404
224	3.1385
225	0.5108
226	0.5137
227	0.123
228	3.5625
229	1.5443
230	3.5909
231	3.6125
232	3.4784
233	2.0919
234	4.4546
235	2.8745
236	1.8255
237	1.4466
238	0.1717
239	3.4001
240	1.1994
241	1.4186
242	3.4255
243	3.4925
244	2.9252
245	2.8654
246	1.6982
247	2.7333
248	1.8657
249	2.1093
250	4.197
251	0.8274
252	3.2294
253	2.3857
254	2.8824
255	1.8645
256	3.319
257	1.7318
258	3.3314
259	2.0288
260	3.5378
261	0.6131
262	3.0566
263	0.5732
264	2.8908
265	3.2279
266	3.3073
267	2.2279
268	1.9481
269	1.4888
270	1.9143
271	2.0867
272	3.212
273	3.6302
274	1.2566
275	1.9735
276	4.0116
277	1.5974
278	0.111
279	0.5183
280	3.4218
281	0.0943
282	3.5897
283	3.1797
284	1.1265
285	3.6372
286	0.8099
287	2.0066
288	1.3783
289	0.2827
290	3.3552
291	3.4307
292	3.594
293	3.4748
294	3.3545
295	3.3994
296	3.8021
297	3.2488
298	1.431
299	1.5105
300	1.679
301	0.4192
302	3.717
303	1.8333
304	0.9313
305	0.8136
306	2.7742
307	2.6849
308	2.4726
309	2.2932
310	3.5646
311	1.2804
312	3.7295
313	3.2395
314	3.0272
315	3.2205
316	3.0765
317	2.383
318	4.3554
319	4.1208
320	0.8099
321	2.9118
322	3.3481
323	3.1979
324	1.8346
325	3.1867
326	3.2923
327	2.7014
328	3.0675
329	0.4567
330	0.334
331	0.1607
332	3.5629
333	1.3926
334	3.4933
335	3.6329
336	3.4258
337	2.0011
338	4.2925
339	2.3902
340	1.6891
341	1.4718
342	0.1222
343	3.3366
344	1.3379
345	1.4119
346	3.2731
347	3.3454
348	2.918
349	2.8423
350	1.6052
351	2.4367
352	1.8895
353	2.5803
354	4.0135
355	0.6629
356	3.3008
357	2.2407
358	2.5527
359	1.9258
360	3.2561
361	1.8648
362	3.2718
363	2.0288
364	3.4699
365	0.4071
366	3.1019
367	0.6494
368	2.7768
369	3.1128
370	3.0891
371	2.0165
372	1.9535
373	1.3212
374	1.961
375	2.0009
376	3.1026
377	3.6988
378	1.1811
379	1.9128
380	3.8304
381	1.6561
382	0.069
383	0.4866
384	3.3509
385	0.0712
386	3.5302
387	3.0778
388	1.1907
389	3.6381
390	0.8559
391	2.0106
392	0.9894
393	0.2324
394	3.2792
395	3.3248
396	3.4864
397	3.4689
398	3.4235
399	3.3974
400	3.734
401	3.2026
402	1.4611
403	1.2561
404	1.43
405	0.4622
406	3.7931
407	1.7061
408	0.783
409	0.6098
410	2.7713
411	2.5392
412	2.5326
413	2.2989
414	3.5547
415	0.9477
416	3.6632
417	3.2317
418	2.8583
419	3.1419
420	2.9937
421	2.4908
422	4.3495
423	4.0741
424	0.8532
425	2.8775
426	2.9016
427	3.1652
428	1.7976
429	3.1184
430	3.213
431	2.7547
432	3.0535
433	0.2815
434	0.4799
435	0.0939
436	3.4385
437	1.2751
438	3.4979
439	3.5073
440	3.3342
441	2.1932
442	4.2345
443	2.5318
444	1.6625
445	1.2666
446	0.1556
447	3.3079
448	1.182
449	1.4119
450	3.2689
451	3.3399
452	2.8444
453	3.0263
454	1.5762
455	2.6202
456	1.8491
457	2.132
458	3.8397
459	0.4343
460	2.153
461	2.2795
462	2.5107
463	1.7041
464	3.209
465	1.6847
466	3.1533
467	1.974
468	3.4003
469	0.1045
470	3.0379
471	0.444
472	2.662
473	3.0859
474	3.1343
475	1.8772
476	1.8992
477	1.2518
478	1.9429
479	1.913
480	3.0618
481	3.4782
482	1.2143
483	1.8689
484	3.8301
485	1.5938
486	0.0674
487	0.3992
488	3.3521
489	0.0594
490	3.4733
491	3.0426
492	1.0321
493	3.4704
494	0.8582
495	1.9827
496	1.0705
497	0.1313
498	3.2984
499	3.3267
500	3.461
501	3.4624
502	3.3161
503	3.3097
504	3.7191
505	3.1593
506	1.4081
507	1.2582
508	1.3456
509	0.4124
510	3.5578
511	1.7441
512	1.0101
513	0.6404
514	2.7559
515	2.6993
516	2.471
517	2.2109
518	3.4447
519	0.9863
520	3.5568
521	3.1056
