Step	Loss
1	4.2106
2	3.7717
3	4.9037
4	3.7953
5	4.2174
6	3.3919
7	5.3233
8	4.3453
9	5.7684
10	2.5288
11	5.8459
12	5.3992
13	2.8846
14	5.0256
15	3.6561
16	5.0471
17	5.4937
18	4.5968
19	5.0841
20	5.4717
21	5.4784
22	5.9602
23	4.6346
24	5.1052
25	4.9003
26	6.0297
27	5.3195
28	3.7361
29	5.1982
30	5.4481
31	2.1965
32	4.9469
33	5.9433
34	3.5426
35	4.697
36	4.4468
37	2.788
38	4.1477
39	4.4248
40	5.0594
41	5.8595
42	3.6933
43	5.3559
44	3.3748
45	5.4084
46	2.1659
47	4.8232
48	4.3495
49	4.8368
50	3.843
51	1.4672
52	4.5482
53	2.4767
54	5.1848
55	4.7518
56	1.4765
57	2.4334
58	4.763
59	4.8006
60	4.4124
61	3.008
62	4.4364
63	3.1579
64	4.7318
65	4.6396
66	4.2574
67	2.0187
68	4.4557
69	4.6044
70	4.5784
71	4.2077
72	4.5336
73	4.0037
74	3.8888
75	2.3985
76	4.6379
77	1.2676
78	2.2798
79	3.8976
80	5.6527
81	4.4614
82	4.5544
83	5.0392
84	3.5521
85	4.704
86	3.9469
87	4.5702
88	4.0111
89	6.0115
90	1.6562
91	4.923
92	4.5089
93	0.9856
94	2.5821
95	4.4082
96	4.601
97	2.9012
98	3.69
99	3.0656
100	4.0292
101	3.986
102	5.2067
103	4.5666
104	4.1229
105	2.7522
106	3.2824
107	4.0781
108	2.5027
109	3.2826
110	2.6012
111	4.6393
112	3.5807
113	4.6531
114	1.9169
115	4.8578
116	4.3261
117	1.9928
118	3.7902
119	2.8439
120	4.1153
121	4.4674
122	4.0237
123	4.1415
124	4.7491
125	4.3532
126	5.0948
127	3.6538
128	4.428
129	4.0929
130	5.322
131	4.413
132	3.4339
133	4.3876
134	4.5745
135	2.2928
136	4.3317
137	4.3851
138	3.0585
139	4.1936
140	3.9909
141	2.3829
142	3.6032
143	3.5226
144	4.2869
145	5.8386
146	2.98
147	4.0089
148	2.4844
149	5.0688
150	1.9016
151	3.6764
152	3.8296
153	4.2316
154	3.6021
155	1.5816
156	3.9274
157	2.2535
158	4.3063
159	4.0241
160	1.0296
161	1.9727
162	4.222
163	4.4198
164	3.6893
165	2.3731
166	4.1464
167	2.9102
168	4.2066
169	4.3365
170	3.6521
171	1.8437
172	3.7389
173	4.1771
174	3.2051
175	3.6888
176	4.1242
177	3.616
178	3.458
179	2.2879
180	4.1027
181	1.2515
182	1.7307
183	3.5227
184	5.318
185	4.0614
186	4.1541
187	4.9562
188	3.5433
189	4.3107
190	3.4435
191	4.2393
192	3.5985
193	5.9669
194	0.7829
195	4.4848
196	4.1978
197	0.4867
198	2.4683
199	3.9467
200	4.1967
201	2.4866
202	3.3698
203	2.4523
204	3.7708
205	3.6843
206	4.9209
207	4.1554
208	3.9643
209	2.1383
210	3.0442
211	3.8219
212	2.3601
213	2.8105
214	2.5452
215	4.2552
216	3.3439
217	4.0567
218	1.7121
219	4.7057
220	4.0049
221	1.6085
222	3.3113
223	2.8287
224	3.8139
225	4.1661
226	3.7219
227	3.9577
228	4.4346
229	4.1056
230	4.7911
231	3.588
232	4.147
233	3.8725
234	4.969
235	4.118
236	3.4208
237	4.1706
238	4.2089
239	2.2949
240	4.0997
241	4.1027
242	2.7484
243	3.856
244	3.8739
245	2.247
246	3.4905
247	3.1476
248	3.9648
249	5.3485
250	2.8431
251	3.9863
252	2.2491
253	4.7924
254	1.6733
255	3.1793
256	3.5595
257	3.9277
258	3.3111
259	1.1722
260	3.6807
261	2.0542
262	4.1225
263	3.7912
264	1.063
265	1.695
266	4.0534
267	4.1915
268	3.3865
269	2.0627
270	4.2663
271	2.825
272	3.942
273	4.0635
274	3.4936
275	1.8139
276	3.5109
277	3.9069
278	2.7682
279	3.4949
280	3.9521
281	3.4675
282	3.3498
283	1.9219
284	4.0479
285	1.2111
286	1.3356
287	3.3125
288	5.2389
289	3.9101
290	3.8484
291	4.7886
292	3.0237
293	4.2092
294	3.2918
295	4.0463
296	3.5271
297	4.8027
298	0.4029
299	4.3107
300	3.9732
301	0.6674
302	1.5285
303	3.8716
304	4.0109
305	2.3928
306	3.2361
307	2.0014
308	3.6078
309	3.6074
310	4.624
311	4.0832
