Step	Loss
1	1.878
2	3.0019
3	2.9814
4	2.184
5	4.6738
6	3.769
7	2.9166
8	1.4427
9	3.5536
10	2.9305
11	4.2031
12	3.7767
13	1.7534
14	0.6029
15	3.4837
16	2.8046
17	2.7252
18	3.2998
19	1.7953
20	2.2948
21	3.1471
22	1.4694
23	1.4511
24	1.2291
25	2.7247
26	2.8509
27	2.0259
28	2.6041
29	2.8166
30	0.8167
31	1.0725
32	3.9973
33	3.5998
34	1.2441
35	2.7018
36	2.0037
37	1.6819
38	1.2072
39	0.2292
40	4.4756
41	1.806
42	0.3077
43	2.7606
44	2.8683
45	0.2305
46	1.7912
47	2.8551
48	0.5584
49	2.4464
50	2.8845
51	3.6039
52	1.2333
53	2.6412
54	3.1037
55	2.2721
56	3.411
57	3.3164
58	2.3312
59	2.6551
60	0.188
61	4.6896
62	2.676
63	3.0944
64	1.8961
65	0.5043
66	1.1172
67	2.1321
68	3.7166
69	3.849
70	1.9786
71	3.5388
72	0.8357
73	2.6586
74	2.6327
75	0.2235
76	1.3175
77	3.0359
78	1.6435
79	1.5291
80	0.69
81	1.5923
82	2.0904
83	2.7809
84	2.7479
85	0.811
86	3.9148
87	2.5169
88	0.592
89	1.9276
90	6.7763
91	1.9237
92	1.3917
93	0.6971
94	3.003
95	2.2882
96	3.9221
97	0.7074
98	2.4914
99	2.8033
100	2.1071
101	0.1804
102	2.8651
103	1.0016
104	1.4633
105	1.3016
106	2.7621
107	2.945
108	1.8329
109	3.7808
110	2.8257
111	2.4006
112	0.9973
113	3.4001
114	1.136
115	3.7255
116	3.4459
117	0.6625
118	0.2022
119	0.7803
120	2.695
121	2.7358
122	3.161
123	1.0201
124	2.3105
125	2.8197
126	0.2877
127	1.0364
128	1.1017
129	2.5629
130	2.834
131	1.9352
132	1.9485
133	2.7571
134	0.5852
135	1.2469
136	3.9678
137	3.5591
138	1.278
139	2.5649
140	1.8998
141	1.12
142	1.2171
143	0.222
144	3.0621
145	1.737
146	0.2035
147	2.7139
148	2.7097
149	0.1111
150	1.5675
151	2.7662
152	0.6162
153	2.2329
154	2.824
155	3.6722
156	1.2707
157	2.3002
158	3.2378
159	2.2295
160	3.2469
161	3.0631
162	2.3061
163	2.5105
164	0.1683
165	4.4508
166	2.6096
167	3.1124
168	1.7142
169	0.3248
170	0.8839
171	1.9271
172	3.7585
173	3.7267
174	1.9368
175	3.537
176	0.9498
177	2.5663
178	2.7153
179	0.2722
180	1.2075
181	3.1729
182	1.4623
183	1.2505
184	0.55
185	1.4571
186	2.0968
187	2.5988
188	2.4551
189	0.6695
190	3.5698
191	2.4473
192	0.5849
193	1.6271
