Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	3.687	4.467	3.687	3.268	2.989
2	0.0	1.633	3.751	1.633	3.212	1.582
3	0.0	3.993	2.887	3.993	2.212	3.407
4	0.0	3.411	4.838	3.411	3.922	2.785
5	0.0	4.09	4.358	4.09	3.586	3.409
6	0.0	1.972	4.17	1.972	4.064	2.032
7	0.0	3.345	2.973	3.345	2.901	2.59
8	0.0	2.554	2.251	2.554	2.379	2.919
9	0.0	2.639	2.195	2.639	2.148	2.743
10	0.0	2.759	3.093	2.759	2.429	2.908
11	0.0	2.14	2.262	2.14	2.35	2.36
12	0.0	2.132	2.296	2.132	2.339	2.272
13	0.0	2.581	2.264	2.581	3.071	3.333
14	0.0	1.976	1.574	1.976	1.796	2.336
15	0.0	2.416	1.473	2.416	1.746	3.35
16	0.0	2.289	1.747	2.289	2.016	2.559
17	0.0	1.691	1.46	1.691	1.574	2.18
18	0.0	2.294	2.753	2.294	2.849	2.86
19	0.0	2.272	1.491	2.272	1.579	2.474
20	0.0	2.429	1.852	2.429	2.087	2.769
21	0.0	0.7914	1.114	0.7914	1.34	0.8837
22	0.0	1.262	2.15	1.262	2.338	1.353
23	0.0	2.164	1.868	2.164	2.231	2.363
24	0.0	0.8817	2.037	0.8817	2.427	0.9972
25	0.0	1.911	1.91	1.911	2.105	2.017
26	0.0	2.272	2.198	2.272	2.351	2.609
27	0.0	1.555	1.872	1.555	2.099	1.754
28	0.0	2.046	2.013	2.046	2.065	2.205
29	0.0	1.16	1.47	1.16	1.533	1.166
30	0.0	0.9866	1.162	0.9866	1.307	1.139
31	0.0	1.454	3.214	1.454	3.794	1.486
32	0.0	1.421	1.784	1.421	2.033	1.608
33	0.0	1.681	1.86	1.681	2.039	2.008
34	0.0	1.456	1.281	1.456	1.37	1.623
35	0.0	1.194	1.37	1.194	1.545	1.479
36	0.0	1.887	1.887	1.887	2.135	2.22
37	0.0	1.734	1.844	1.734	2.207	2.2
38	0.0	1.49	1.43	1.49	1.737	1.611
39	0.0	1.568	1.721	1.568	2.046	1.922
40	0.0	1.419	0.9891	1.419	1.149	1.432
41	0.0	1.6	1.381	1.6	1.719	1.886
42	0.0	1.256	1.013	1.256	1.118	1.527
43	0.0	2.318	1.09	2.318	1.221	2.588
