Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	3.194	4.182	4.272	3.307	3.194
2	0.0	1.616	3.78	1.718	2.795	1.616
3	0.0	3.714	2.92	4.37	2.287	3.714
4	0.0	2.633	5.463	3.327	3.992	2.633
5	0.0	3.301	4.033	5.262	3.152	3.301
6	0.0	2.181	3.753	2.288	3.376	2.181
7	0.0	2.691	3.183	3.285	2.879	2.691
8	0.0	2.646	2.701	2.97	2.331	2.646
9	0.0	2.488	3.148	3.348	2.503	2.488
10	0.0	2.654	4.632	3.849	3.604	2.654
11	0.0	2.474	2.145	2.308	1.967	2.474
12	0.0	2.132	2.509	2.303	2.109	2.132
13	0.0	2.739	2.624	3.176	3.269	2.739
14	0.0	1.991	1.607	2.51	1.421	1.991
15	0.0	2.236	1.834	2.714	1.678	2.236
16	0.0	2.221	2.336	2.921	1.657	2.221
17	0.0	1.574	2.305	2.285	1.293	1.574
18	0.0	2.234	3.247	2.515	2.924	2.234
19	0.0	2.167	1.972	2.507	1.37	2.167
20	0.0	2.387	2.117	2.722	1.634	2.387
21	0.0	0.819	1.219	0.9275	1.087	0.819
22	0.0	1.186	2.626	1.664	1.969	1.186
23	0.0	2.424	2.037	2.672	1.889	2.424
24	0.0	0.8412	2.477	1.098	1.994	0.8412
25	0.0	1.774	2.039	1.882	1.882	1.774
26	0.0	2.349	2.434	2.696	2.029	2.349
27	0.0	1.599	2.208	2.112	1.76	1.599
28	0.0	2.034	2.828	2.861	2.112	2.034
29	0.0	1.046	1.792	1.346	1.519	1.046
30	0.0	1.021	1.791	1.336	1.273	1.021
31	0.0	1.441	3.602	1.893	2.913	1.441
32	0.0	1.48	2.456	2.065	1.72	1.48
33	0.0	1.868	2.093	1.874	1.748	1.868
34	0.0	1.437	1.526	1.584	1.269	1.437
35	0.0	1.247	1.641	1.27	1.529	1.247
36	0.0	1.973	2.638	2.437	1.897	1.973
37	0.0	1.691	2.616	2.545	1.822	1.691
38	0.0	1.522	1.879	1.713	1.626	1.522
39	0.0	1.881	2.538	2.467	1.842	1.881
40	0.0	1.326	1.324	2.083	1.096	1.326
41	0.0	1.737	1.67	2.154	1.247	1.737
42	0.0	1.355	1.331	1.724	0.9997	1.355
43	0.0	2.666	1.594	3.183	1.185	2.666
44	0.0	0.8283	1.225	1.171	1.01	0.8283
45	0.0	1.503	2.203	2.306	1.507	1.503
46	0.0	2.894	3.024	3.234	2.768	2.894
47	0.0	0.8704	0.898	0.9967	0.6019	0.8704
48	0.0	2.024	1.978	2.412	1.343	2.024
49	0.0	1.293	1.824	1.68	1.306	1.293
50	0.0	1.639	1.05	1.824	0.7752	1.639
51	0.0	1.877	1.809	2.103	1.393	1.877
52	0.0	1.555	0.4378	2.14	0.3346	1.555
53	0.0	1.805	1.618	1.936	1.371	1.805
54	0.0	1.638	1.649	1.799	1.43	1.638
55	0.0	1.516	2.31	1.993	1.544	1.516
56	0.0	1.206	1.484	1.211	1.359	1.206
57	0.0	1.309	1.578	1.956	1.119	1.309
58	0.0	1.528	1.606	2.139	1.144	1.528
59	0.0	1.82	2.796	2.76	2.471	1.82
60	0.0	1.226	1.07	1.691	0.7497	1.226
61	0.0	1.55	3.375	1.703	2.928	1.55
62	0.0	0.8771	1.446	1.159	1.36	0.8771
63	0.0	1.698	1.166	1.925	0.8362	1.698
64	0.0	1.376	2.231	1.503	1.868	1.376
65	0.0	1.003	2.074	1.553	1.325	1.003
66	0.0	0.7892	2.088	1.015	1.734	0.7892
67	0.0	1.002	1.985	1.343	1.562	1.002
68	0.0	1.535	2.295	1.873	1.429	1.535
69	0.0	1.521	1.354	1.615	1.02	1.521
70	0.0	1.366	1.744	1.889	1.252	1.366
71	0.0	1.665	2.092	2.122	1.598	1.665
72	0.0	1.058	2.066	1.571	1.881	1.058
73	0.0	1.92	1.151	1.88	1.064	1.92
74	0.0	1.381	2.122	1.852	1.726	1.381
75	0.0	0.8837	1.85	1.295	1.462	0.8837
76	0.0	1.948	1.485	2.044	1.052	1.948
77	0.0	2.106	2.014	2.82	1.854	2.106
78	0.0	1.346	1.074	1.646	0.8201	1.346
79	0.0	1.607	1.631	2.038	1.324	1.607
80	0.0	1.127	1.942	1.226	1.589	1.127
81	0.0	1.679	1.616	1.952	1.473	1.679
82	0.0	1.444	1.464	1.935	1.278	1.444
83	0.0	2.024	2.17	2.687	1.909	2.024
84	0.0	1.13	1.457	1.434	1.048	1.13
85	0.0	1.35	2.096	1.981	1.658	1.35
86	0.0	0.8695	1.459	1.343	1.197	0.8695
87	0.0	1.5	1.83	2.055	1.527	1.5
88	0.0	1.229	1.99	1.33	1.688	1.229
89	0.0	1.553	1.76	1.825	1.53	1.553
90	0.0	1.994	1.417	2.244	1.228	1.994
91	0.0	1.124	1.257	1.21	1.125	1.124
92	0.0	1.574	1.51	1.619	1.27	1.574
93	0.0	1.14	1.625	1.563	1.248	1.14
94	0.0	1.62	1.372	1.621	1.299	1.62
95	0.0	1.073	1.826	1.44	1.334	1.073
96	0.0	1.305	1.474	1.821	1.199	1.305
97	0.0	1.413	1.132	1.897	0.9204	1.413
98	0.0	1.953	2.42	2.294	2.158	1.953
99	0.0	1.744	1.535	1.831	1.546	1.744
100	0.0	1.308	1.588	1.707	1.324	1.308
101	0.0	1.635	1.267	1.559	1.24	1.635
102	0.0	0.4801	1.133	0.5971	1.013	0.4801
103	0.0	1.076	1.791	1.111	1.549	1.076
104	0.0	1.374	2.006	1.806	1.594	1.374
105	0.0	1.813	1.841	2.029	1.37	1.813
106	0.0	1.198	2.067	1.612	1.703	1.198
107	0.0	1.576	1.121	2.235	0.7562	1.576
108	0.0	1.393	1.53	1.565	1.244	1.393
109	0.0	1.183	2.172	1.589	1.354	1.183
110	0.0	1.908	1.769	2.16	1.651	1.908
111	0.0	1.279	1.373	1.516	1.162	1.279
112	0.0	1.852	2.287	2.244	1.749	1.852
113	0.0	1.124	1.239	1.634	0.9715	1.124
114	0.0	1.312	2.238	1.81	1.594	1.312
115	0.0	1.44	0.9878	1.392	0.8595	1.44
116	0.0	1.359	1.028	1.536	0.797	1.359
117	0.0	1.277	1.485	1.585	1.425	1.277
118	0.0	1.114	1.852	1.375	1.359	1.114
119	0.0	1.031	0.9815	1.162	0.7541	1.031
120	0.0	1.354	1.425	1.587	1.18	1.354
121	0.0	1.298	1.51	1.681	1.264	1.298
122	0.0	1.176	1.38	1.389	1.186	1.176
123	0.0	1.056	1.463	1.371	1.386	1.056
124	0.0	2.107	2.047	2.469	1.743	2.107
125	0.0	1.387	1.872	1.441	1.787	1.387
126	0.0	0.884	1.63	1.13	1.283	0.884
127	0.0	1.489	1.298	1.842	1.151	1.489
128	0.0	0.7316	1.811	0.7412	1.365	0.7316
129	0.0	1.272	1.119	1.391	0.8586	1.272
130	0.0	1.236	0.6994	1.469	0.6913	1.236
131	0.0	1.326	1.467	1.642	1.238	1.326
132	0.0	1.357	1.619	1.618	1.236	1.357
133	0.0	0.7201	1.001	0.7906	0.8511	0.7201
134	0.0	0.5537	2.133	0.7094	1.864	0.5537
135	0.0	1.815	1.562	2.063	1.043	1.815
136	0.0	0.9503	1.843	1.36	1.439	0.9503
137	0.0	1.207	1.964	1.554	1.694	1.207
138	0.0	1.4	1.297	1.784	1.233	1.4
139	0.0	0.8684	1.153	1.075	1.076	0.8684
140	0.0	1.397	1.851	1.725	1.226	1.397
141	0.0	1.037	1.38	1.29	1.235	1.037
142	0.0	0.4638	2.865	0.5401	2.383	0.4638
143	0.0	1.229	1.52	1.448	1.171	1.229
144	0.0	1.234	1.325	1.576	1.253	1.234
145	0.0	1.387	1.541	1.959	1.225	1.387
146	0.0	0.8661	1.475	1.02	1.167	0.8661
147	0.0	1.762	1.087	1.622	1.0	1.762
148	0.0	0.7855	1.234	1.061	0.935	0.7855
149	0.0	1.144	1.784	1.566	1.301	1.144
150	0.0	0.8852	1.999	1.014	1.842	0.8852
151	0.0	0.825	1.565	0.8239	1.578	0.825
152	0.0	0.9843	1.781	1.242	1.515	0.9843
153	0.0	1.291	2.294	1.669	1.969	1.291
154	0.0	1.02	1.094	1.143	0.865	1.02
155	0.0	1.331	1.47	1.565	1.214	1.331
156	0.0	0.4468	1.686	0.5392	1.223	0.4468
157	0.0	1.161	1.423	1.345	1.263	1.161
158	0.0	1.243	1.032	1.327	0.9496	1.243
159	0.0	1.215	1.442	1.548	1.105	1.215
160	0.0	1.15	1.043	1.358	0.8659	1.15
161	0.0	0.9928	0.9366	1.316	0.7353	0.9928
162	0.0	1.193	1.25	1.562	0.8154	1.193
163	0.0	0.7411	2.268	1.018	1.43	0.7411
164	0.0	0.8992	1.036	1.108	0.9688	0.8992
165	0.0	1.392	2.319	1.816	2.076	1.392
