Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.482	0.0	4.482	3.724	4.254	3.134
2	3.703	0.0	3.703	1.473	3.067	1.523
3	3.122	0.0	3.122	4.189	2.255	3.444
4	5.196	0.0	5.196	3.389	4.442	3.111
5	4.292	0.0	4.292	4.036	3.847	3.282
6	3.677	0.0	3.677	1.982	3.4	1.997
7	2.794	0.0	2.794	3.042	2.335	3.042
8	2.289	0.0	2.289	2.798	2.447	3.042
9	2.426	0.0	2.426	2.39	2.422	2.278
10	2.929	0.0	2.929	3.02	2.673	2.746
11	2.264	0.0	2.264	2.275	2.478	2.663
12	2.156	0.0	2.156	2.256	2.156	2.563
13	2.822	0.0	2.822	2.541	3.923	2.809
14	1.568	0.0	1.568	1.842	2.052	2.074
15	1.441	0.0	1.441	2.141	1.577	3.098
16	1.722	0.0	1.722	2.229	2.021	2.555
17	1.541	0.0	1.541	1.585	1.615	2.027
18	2.96	0.0	2.96	2.259	3.472	2.741
19	1.567	0.0	1.567	2.225	1.708	2.45
20	1.862	0.0	1.862	2.682	2.03	2.916
21	1.089	0.0	1.089	0.8524	1.276	0.9993
22	2.15	0.0	2.15	1.235	2.531	1.319
23	1.983	0.0	1.983	2.215	2.515	2.58
24	2.179	0.0	2.179	0.8416	2.656	0.9916
25	1.779	0.0	1.779	1.856	2.022	1.96
26	2.276	0.0	2.276	2.406	2.365	2.797
27	1.863	0.0	1.863	1.541	2.123	1.72
28	2.11	0.0	2.11	1.977	2.218	2.163
29	1.521	0.0	1.521	1.101	1.668	1.152
30	1.207	0.0	1.207	1.012	1.363	1.189
31	3.191	0.0	3.191	1.42	3.628	1.563
32	1.827	0.0	1.827	1.431	2.119	1.556
33	2.011	0.0	2.011	1.673	2.337	2.067
34	1.357	0.0	1.357	1.435	1.41	1.592
35	1.453	0.0	1.453	1.281	1.633	1.521
36	1.83	0.0	1.83	1.784	2.031	1.934
37	1.882	0.0	1.882	1.752	2.332	2.22
38	1.628	0.0	1.628	1.505	1.817	1.725
39	1.801	0.0	1.801	1.519	2.049	1.816
40	1.006	0.0	1.006	1.43	1.165	1.383
41	1.207	0.0	1.207	1.67	1.567	1.962
42	1.059	0.0	1.059	1.263	1.232	1.439
43	1.161	0.0	1.161	2.31	1.333	2.692
44	0.8911	0.0	0.8911	0.9428	1.052	0.9765
45	1.586	0.0	1.586	1.444	1.921	1.547
46	2.303	0.0	2.303	2.596	2.974	3.103
47	0.7421	0.0	0.7421	0.8262	0.7651	0.9715
48	1.356	0.0	1.356	2.0	1.45	2.333
49	1.572	0.0	1.572	1.38	1.646	1.663
50	0.8154	0.0	0.8154	1.472	0.8331	1.646
51	1.281	0.0	1.281	1.663	1.409	1.985
52	0.3047	0.0	0.3047	1.745	0.4503	1.695
53	1.444	0.0	1.444	1.488	1.58	1.872
54	1.338	0.0	1.338	1.458	1.451	1.718
55	1.454	0.0	1.454	1.464	1.664	1.707
56	1.243	0.0	1.243	1.053	1.454	1.313
57	1.022	0.0	1.022	1.251	1.22	1.425
58	0.975	0.0	0.975	1.37	1.243	1.702
59	2.004	0.0	2.004	1.817	2.423	2.07
60	0.8663	0.0	0.8663	1.138	0.929	1.387
61	2.579	0.0	2.579	1.323	3.308	1.577
62	1.186	0.0	1.186	0.8907	1.346	1.049
63	0.8167	0.0	0.8167	1.635	0.8726	1.844
64	1.806	0.0	1.806	1.268	1.947	1.57
65	1.342	0.0	1.342	0.916	1.412	1.033
66	1.794	0.0	1.794	0.8099	2.079	0.8969
67	1.325	0.0	1.325	0.9887	1.984	1.152
68	1.662	0.0	1.662	1.482	1.773	1.823
69	1.056	0.0	1.056	1.162	1.136	1.422
70	1.363	0.0	1.363	1.213	1.418	1.279
71	1.464	0.0	1.464	1.506	1.764	1.702
72	1.603	0.0	1.603	1.138	2.04	1.304
73	0.966	0.0	0.966	1.533	1.175	2.108
74	1.696	0.0	1.696	1.405	1.886	1.736
