Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.273	0.0	4.19	4.4	3.273	3.303
2	3.226	0.0	4.265	1.662	3.226	1.569
3	2.113	0.0	2.352	4.481	2.113	3.626
4	4.174	0.0	5.437	3.345	4.174	2.761
5	3.586	0.0	4.671	4.552	3.586	3.16
6	3.529	0.0	4.103	2.248	3.529	2.047
7	2.459	0.0	2.78	3.554	2.459	2.788
8	2.645	0.0	3.153	3.407	2.645	2.833
9	2.68	0.0	3.706	2.903	2.68	2.244
10	4.025	0.0	4.721	3.832	4.025	2.823
11	1.92	0.0	2.152	2.034	1.92	2.096
12	2.12	0.0	2.256	2.321	2.12	2.118
13	2.877	0.0	2.428	2.926	2.877	2.465
14	1.647	0.0	1.769	2.296	1.647	1.716
15	1.489	0.0	1.806	2.827	1.489	3.212
16	1.575	0.0	2.458	2.728	1.575	2.001
17	1.392	0.0	2.215	2.202	1.392	1.499
18	2.806	0.0	3.501	2.759	2.806	2.577
19	1.327	0.0	1.911	2.514	1.327	2.044
20	1.589	0.0	2.439	3.099	1.589	2.5
21	1.027	0.0	1.252	0.939	1.027	0.8632
22	1.872	0.0	2.648	1.588	1.872	1.217
23	1.845	0.0	2.047	2.553	1.845	2.18
24	2.063	0.0	2.522	0.9911	2.063	0.826
25	1.84	0.0	2.075	1.957	1.84	1.783
26	2.05	0.0	2.329	2.574	2.05	2.367
27	1.869	0.0	2.293	2.072	1.869	1.601
28	1.977	0.0	2.916	2.766	1.977	1.999
29	1.5	0.0	1.835	1.298	1.5	1.125
30	1.197	0.0	1.749	1.239	1.197	0.9623
31	3.61	0.0	4.04	1.964	3.61	1.351
32	1.675	0.0	2.799	1.875	1.675	1.386
33	2.402	0.0	2.446	2.054	2.402	1.985
34	1.267	0.0	1.521	1.611	1.267	1.5
35	1.555	0.0	1.526	1.305	1.555	1.249
36	1.881	0.0	2.458	2.517	1.881	1.751
37	1.735	0.0	2.611	2.421	1.735	1.758
38	1.665	0.0	1.868	1.667	1.665	1.531
39	1.777	0.0	2.476	2.191	1.777	1.834
40	1.03	0.0	1.278	2.209	1.03	1.439
41	1.262	0.0	1.683	2.021	1.262	1.605
42	1.035	0.0	1.372	1.678	1.035	1.278
43	1.336	0.0	1.61	2.83	1.336	2.465
44	0.8594	0.0	1.132	1.213	0.8594	0.7979
45	1.43	0.0	2.25	2.073	1.43	1.38
46	2.556	0.0	2.724	2.795	2.556	2.536
47	0.605	0.0	0.9304	1.032	0.605	0.9236
48	1.386	0.0	2.057	2.403	1.386	1.989
49	1.457	0.0	1.814	1.624	1.457	1.286
50	0.7789	0.0	1.053	1.792	0.7789	1.554
51	1.314	0.0	1.668	1.946	1.314	1.766
52	0.3416	0.0	0.4319	2.135	0.3416	1.559
53	1.389	0.0	1.643	1.812	1.389	1.736
54	1.355	0.0	1.565	1.747	1.355	1.588
55	1.509	0.0	2.142	1.957	1.509	1.506
56	1.339	0.0	1.511	1.292	1.339	1.234
57	1.182	0.0	1.58	1.856	1.182	1.33
58	1.19	0.0	1.578	2.057	1.19	1.506
59	2.404	0.0	2.623	2.549	2.404	1.796
60	0.7547	0.0	1.082	1.744	0.7547	1.31
61	2.919	0.0	3.302	1.611	2.919	1.524
62	1.415	0.0	1.516	1.214	1.415	0.8901
63	0.8728	0.0	1.202	1.935	0.8728	1.693
64	1.702	0.0	2.046	1.52	1.702	1.452
65	1.341	0.0	2.031	1.638	1.341	1.078
66	1.707	0.0	2.1	0.9797	1.707	0.7753
67	1.475	0.0	1.799	1.343	1.475	1.05
