Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	5.634	8.016	5.634	5.998	4.519
2	0.0	5.8	7.401	5.8	5.854	4.798
3	0.0	6.275	4.219	6.275	3.544	4.762
4	0.0	1.158	7.836	1.158	6.215	0.9827
5	0.0	4.789	5.735	4.789	5.049	4.559
6	0.0	2.994	3.035	2.994	3.02	3.699
7	0.0	3.586	5.036	3.586	4.709	3.883
8	0.0	3.137	2.535	3.137	2.99	3.227
9	0.0	1.003	2.335	1.003	2.75	1.147
10	0.0	1.708	2.267	1.708	3.534	2.517
11	0.0	2.561	2.154	2.561	3.137	3.116
12	0.0	1.848	2.197	1.848	2.806	2.326
13	0.0	2.256	2.484	2.256	3.461	3.241
14	0.0	1.603	1.039	1.603	1.199	2.154
15	0.0	1.436	1.608	1.436	2.18	1.811
16	0.0	1.351	1.072	1.351	1.283	1.84
17	0.0	2.43	1.08	2.43	1.437	3.577
18	0.0	1.076	2.36	1.076	3.622	1.556
19	0.0	1.973	1.579	1.973	2.198	2.593
20	0.0	1.775	3.611	1.775	3.9	2.077
21	0.0	2.948	1.096	2.948	1.296	3.883
22	0.0	2.292	2.006	2.292	2.476	2.652
23	0.0	1.918	1.837	1.918	2.584	2.08
24	0.0	2.264	2.078	2.264	2.843	2.847
25	0.0	1.194	1.65	1.194	1.964	1.421
26	0.0	0.7728	2.133	0.7728	2.695	0.9905
27	0.0	0.8023	1.755	0.8023	2.551	1.254
28	0.0	1.133	1.218	1.133	2.222	2.05
29	0.0	1.02	1.537	1.02	1.769	1.154
30	0.0	1.112	0.8239	1.112	1.312	1.795
31	0.0	1.723	2.262	1.723	2.215	2.258
32	0.0	1.1	0.7907	1.1	1.311	1.911
33	0.0	1.715	1.47	1.715	2.179	2.095
34	0.0	1.679	1.346	1.679	1.72	2.117
35	0.0	1.547	1.281	1.547	1.57	1.889
36	0.0	1.029	0.839	1.029	1.052	1.342
37	0.0	0.6599	0.8906	0.6599	1.167	1.032
38	0.0	0.8501	1.214	0.8501	1.489	1.047
39	0.0	0.8842	0.6518	0.8842	0.725	0.9363
40	0.0	0.6422	0.6761	0.6422	0.8856	0.7231
41	0.0	0.9825	0.4846	0.9825	0.6954	1.362
42	0.0	0.6013	0.7364	0.6013	0.75	0.7162
43	0.0	0.7361	0.4718	0.7361	0.8031	0.9625
44	0.0	0.6343	0.5676	0.6343	0.7792	0.8256
45	0.0	0.4818	0.7507	0.4818	1.08	0.6269
46	0.0	0.7019	2.057	0.7019	2.78	0.9748
47	0.0	0.6131	0.6754	0.6131	0.7365	0.7642
48	0.0	0.842	0.5807	0.842	0.6794	1.546
49	0.0	0.6905	1.599	0.6905	1.648	1.289
50	0.0	1.438	0.609	1.438	0.6669	1.761
51	0.0	1.609	1.054	1.609	1.074	1.953
52	0.0	1.762	0.2762	1.762	0.3387	1.881
53	0.0	0.7834	1.288	0.7834	1.464	0.8959
54	0.0	1.106	1.368	1.106	1.446	1.365
55	0.0	0.6295	0.5982	0.6295	0.7364	1.016
56	0.0	1.103	0.897	1.103	1.018	1.155
57	0.0	0.6094	0.7727	0.6094	0.865	0.6504
58	0.0	1.291	0.4055	1.291	0.543	1.405
59	0.0	1.262	1.162	1.262	1.367	1.703
60	0.0	0.4951	0.5197	0.4951	0.5887	0.5635
61	0.0	0.8225	2.155	0.8225	2.51	0.9247
62	0.0	1.072	1.081	1.072	1.191	1.425
63	0.0	1.301	0.4956	1.301	0.5012	1.369
64	0.0	0.7934	1.589	0.7934	1.608	1.103
65	0.0	0.5173	0.7212	0.5173	0.896	0.5998
66	0.0	1.143	1.325	1.143	1.535	1.44
67	0.0	0.4256	0.6203	0.4256	0.7202	0.5371
68	0.0	1.17	0.943	1.17	1.227	1.41
69	0.0	0.7287	0.7385	0.7287	0.8777	0.8549
70	0.0	0.5443	1.124	0.5443	1.444	0.8004
71	0.0	0.9362	1.597	0.9362	1.893	1.391
72	0.0	0.9218	1.244	0.9218	1.285	1.066
73	0.0	1.001	0.9713	1.001	1.228	1.003
74	0.0	1.459	0.9674	1.459	1.088	1.767
75	0.0	0.4731	0.5438	0.4731	0.6639	0.5618
76	0.0	0.9289	1.216	0.9289	1.238	1.052
77	0.0	0.4591	0.8075	0.4591	0.997	0.6413
78	0.0	0.3676	0.4685	0.3676	0.6191	0.4626
79	0.0	0.8248	0.7248	0.8248	0.8355	1.087
80	0.0	0.7471	1.236	0.7471	1.23	0.7928
81	0.0	1.239	0.8294	1.239	1.117	1.353
82	0.0	0.429	0.6777	0.429	0.8554	0.5649
83	0.0	0.8462	1.28	0.8462	1.338	1.045
84	0.0	0.4508	0.2482	0.4508	0.3391	0.6811
85	0.0	0.7644	0.4738	0.7644	0.6213	1.004
86	0.0	0.5235	0.9767	0.5235	1.527	0.6512
87	0.0	0.6279	0.4895	0.6279	0.6526	0.9449
88	0.0	0.2924	0.4828	0.2924	0.6498	0.3609
89	0.0	0.3548	0.3934	0.3548	0.5284	0.449
90	0.0	0.7157	0.9749	0.7157	1.068	0.8104
91	0.0	1.023	0.8992	1.023	0.9258	1.199
92	0.0	1.271	1.122	1.271	1.578	1.716
93	0.0	1.022	0.9792	1.022	1.271	1.245
94	0.0	0.6509	0.9426	0.6509	1.027	0.713
95	0.0	0.4308	0.3773	0.4308	0.4805	0.4956
96	0.0	0.4991	0.8819	0.4991	0.9564	0.6003
97	0.0	0.7777	0.6294	0.7777	0.6723	0.9976
98	0.0	1.072	1.277	1.072	1.366	1.33
99	0.0	1.084	1.214	1.084	1.417	1.232
100	0.0	0.7702	1.161	0.7702	1.438	1.139
101	0.0	0.9313	0.8625	0.9313	0.976	1.031
102	0.0	1.095	0.8203	1.095	0.9817	1.194
103	0.0	1.075	1.358	1.075	1.691	1.174
104	0.0	1.114	1.255	1.114	1.499	1.475
105	0.0	0.5708	0.8539	0.5708	1.051	0.7839
106	0.0	0.4941	0.5068	0.4941	0.6898	0.5634
107	0.0	0.9736	0.5274	0.9736	0.6689	1.179
108	0.0	0.4479	0.5139	0.4479	0.5812	0.5496
109	0.0	1.028	0.4944	1.028	0.6499	1.343
110	0.0	0.7714	1.471	0.7714	1.531	0.8383
111	0.0	0.3721	0.4974	0.3721	0.6297	0.6362
112	0.0	1.254	1.426	1.254	1.662	1.462
113	0.0	0.5714	0.6309	0.5714	0.7902	0.7142
114	0.0	0.3922	0.6679	0.3922	0.8377	0.5955
115	0.0	0.8842	1.038	0.8842	1.23	1.064
116	0.0	1.158	0.7465	1.158	0.7901	1.204
117	0.0	0.9436	0.8556	0.9436	0.9354	1.204
118	0.0	0.382	0.5823	0.382	0.7676	0.5571
119	0.0	1.055	0.8951	1.055	0.9773	1.222
120	0.0	0.4963	0.445	0.4963	0.5381	0.6942
121	0.0	0.5238	0.7579	0.5238	0.9056	0.6045
122	0.0	0.6547	0.9657	0.6547	1.305	0.977
123	0.0	0.7669	0.764	0.7669	0.8626	0.8449
124	0.0	0.862	0.9548	0.862	1.054	0.9214
125	0.0	0.8084	0.7566	0.8084	0.7696	0.7924
126	0.0	0.7267	0.6058	0.7267	0.6246	0.8474
127	0.0	0.8453	1.338	0.8453	1.512	0.934
128	0.0	1.194	0.9353	1.194	1.385	1.635
129	0.0	0.9062	1.04	0.9062	1.244	1.066
130	0.0	0.9169	0.9852	0.9169	1.337	1.073
131	0.0	1.236	0.6378	1.236	0.8956	1.367
132	0.0	0.444	0.4491	0.444	0.5171	0.587
133	0.0	0.8824	0.6859	0.8824	0.7156	0.9407
134	0.0	0.9282	1.007	0.9282	1.2	1.45
135	0.0	0.9489	0.5856	0.9489	0.5973	1.179
