Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	5.242	8.258	6.848	6.248	5.242
2	0.0	4.572	7.288	6.103	5.651	4.572
3	0.0	4.906	4.507	6.671	3.402	4.906
4	0.0	0.9482	6.803	1.025	5.856	0.9482
5	0.0	4.532	5.854	6.706	4.895	4.532
6	0.0	3.728	3.096	3.568	2.97	3.728
7	0.0	4.578	6.725	4.732	5.049	4.578
8	0.0	3.039	3.157	3.625	2.964	3.039
9	0.0	1.251	3.813	1.426	3.933	1.251
10	0.0	3.43	5.023	3.761	5.832	3.43
11	0.0	2.288	2.092	2.565	2.411	2.288
12	0.0	1.887	1.999	2.121	2.113	1.887
13	0.0	2.232	2.178	2.297	2.371	2.232
14	0.0	3.72	2.656	3.484	2.932	3.72
15	0.0	1.088	1.564	1.203	1.671	1.088
16	0.0	3.334	2.056	2.807	2.395	3.334
17	0.0	2.29	2.218	2.088	2.639	2.29
18	0.0	2.757	2.164	2.407	2.211	2.757
19	0.0	1.798	1.524	2.028	1.552	1.798
20	0.0	1.735	4.115	1.745	3.603	1.735
21	0.0	2.846	1.304	2.859	1.389	2.846
22	0.0	2.572	2.664	2.776	2.622	2.572
23	0.0	1.967	1.895	2.401	2.247	1.967
24	0.0	3.246	2.28	3.108	2.683	3.246
25	0.0	1.458	1.967	1.373	2.008	1.458
26	0.0	0.9056	2.693	0.8979	2.87	0.9056
27	0.0	0.8288	2.203	0.7364	2.258	0.8288
28	0.0	1.268	1.168	1.02	1.343	1.268
29	0.0	1.17	1.71	1.185	1.654	1.17
30	0.0	1.558	1.014	1.277	1.273	1.558
31	0.0	2.15	2.934	2.159	2.241	2.15
32	0.0	1.861	0.8412	1.418	0.9278	1.861
33	0.0	1.705	1.865	2.021	1.902	1.705
34	0.0	1.935	1.516	2.164	1.207	1.935
35	0.0	1.553	1.536	1.701	1.494	1.553
36	0.0	1.186	1.067	1.295	0.9899	1.186
37	0.0	0.7351	1.201	0.6814	1.236	0.7351
38	0.0	0.8731	1.445	0.9025	1.188	0.8731
39	0.0	1.121	1.068	1.491	0.7838	1.121
40	0.0	0.7291	0.6178	0.8504	0.5264	0.7291
41	0.0	1.15	0.5887	1.019	0.5703	1.15
42	0.0	0.6662	1.01	0.7607	0.8069	0.6662
43	0.0	1.097	0.6446	1.232	0.6456	1.097
44	0.0	0.6184	0.7257	0.6695	0.7706	0.6184
45	0.0	0.4857	0.8529	0.6701	0.8221	0.4857
46	0.0	1.205	2.565	0.8986	2.369	1.205
47	0.0	0.8408	0.7384	0.8622	0.6441	0.8408
48	0.0	1.123	0.8632	0.8914	0.6264	1.123
49	0.0	0.6586	2.242	0.7005	1.62	0.6586
50	0.0	1.532	0.743	1.705	0.6369	1.532
51	0.0	1.684	1.386	1.819	0.9934	1.684
52	0.0	1.854	0.3646	2.325	0.3546	1.854
53	0.0	0.775	1.588	0.977	1.28	0.775
54	0.0	1.32	1.426	1.477	1.258	1.32
55	0.0	0.5756	0.6778	0.5778	0.6665	0.5756
56	0.0	1.114	1.126	1.405	1.026	1.114
57	0.0	0.6652	1.315	0.8275	0.9687	0.6652
58	0.0	1.252	0.5257	1.457	0.4288	1.252
59	0.0	1.389	1.427	1.67	1.278	1.389
60	0.0	0.6037	0.5598	0.8052	0.4969	0.6037
