Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	6.419	0.0	6.419	7.345	5.64	4.847
2	7.041	0.0	7.041	5.58	5.273	4.416
3	3.908	0.0	3.908	5.688	3.622	4.639
4	6.455	0.0	6.455	0.9786	5.781	0.9065
5	5.202	0.0	5.202	4.776	4.701	4.421
6	3.587	0.0	3.587	3.358	4.174	3.7
7	4.42	0.0	4.42	2.023	4.419	2.882
8	2.684	0.0	2.684	3.115	3.091	3.404
9	2.216	0.0	2.216	0.9032	2.852	1.156
10	2.525	0.0	2.525	1.666	3.887	2.455
11	2.153	0.0	2.153	2.405	2.94	3.25
12	2.014	0.0	2.014	2.018	2.612	2.553
13	2.215	0.0	2.215	2.671	3.418	4.308
14	0.9789	0.0	0.9789	1.48	1.096	1.897
15	1.645	0.0	1.645	1.376	2.217	1.724
16	0.9912	0.0	0.9912	0.9904	1.212	1.337
17	0.986	0.0	0.986	1.967	1.204	2.811
18	2.65	0.0	2.65	1.086	4.22	1.53
19	1.566	0.0	1.566	1.966	2.226	2.647
20	3.236	0.0	3.236	1.864	3.932	2.092
21	1.087	0.0	1.087	2.765	1.39	3.434
22	1.806	0.0	1.806	2.27	2.096	2.448
23	1.592	0.0	1.592	1.957	2.298	2.268
24	2.196	0.0	2.196	2.37	3.202	2.7
25	1.668	0.0	1.668	1.305	1.916	1.61
26	2.164	0.0	2.164	0.8727	2.805	1.083
27	1.666	0.0	1.666	0.6689	2.4	0.9609
28	0.8636	0.0	0.8636	0.9801	1.419	1.621
29	1.577	0.0	1.577	1.08	1.819	1.167
30	0.7883	0.0	0.7883	0.9376	1.319	1.459
31	2.413	0.0	2.413	1.734	2.364	2.156
32	0.722	0.0	0.722	0.9909	1.119	1.582
33	1.491	0.0	1.491	1.612	1.87	1.975
34	1.363	0.0	1.363	1.666	1.545	2.165
35	1.261	0.0	1.261	1.472	1.559	1.819
36	0.8759	0.0	0.8759	1.138	1.194	1.431
37	0.9926	0.0	0.9926	0.5793	1.486	0.8203
38	1.212	0.0	1.212	0.9158	1.475	1.05
39	0.6568	0.0	0.6568	0.9107	0.9411	0.9795
40	0.5477	0.0	0.5477	0.6677	0.5686	0.7568
41	0.5781	0.0	0.5781	0.9111	0.9349	1.473
42	0.7493	0.0	0.7493	0.5604	0.8245	0.6768
43	0.5391	0.0	0.5391	0.9007	0.9926	1.176
44	0.4891	0.0	0.4891	0.6443	0.7229	0.8448
45	0.6626	0.0	0.6626	0.4705	0.9919	0.5777
46	2.052	0.0	2.052	0.7115	2.624	0.9253
47	0.6619	0.0	0.6619	0.6962	0.6932	0.8536
48	0.5537	0.0	0.5537	0.6513	0.6403	1.09
49	1.624	0.0	1.624	0.5427	1.655	0.8419
50	0.5853	0.0	0.5853	1.424	0.643	1.723
51	1.058	0.0	1.058	1.429	1.091	1.71
52	0.2925	0.0	0.2925	1.812	0.4191	1.94
53	1.232	0.0	1.232	0.7468	1.398	0.809
54	1.258	0.0	1.258	1.301	1.354	1.462
55	0.6088	0.0	0.6088	0.5055	0.7143	0.7568
56	0.9506	0.0	0.9506	1.104	1.131	1.224
57	0.7289	0.0	0.7289	0.5921	0.8273	0.6973
58	0.3888	0.0	0.3888	1.273	0.5002	1.429
59	1.196	0.0	1.196	1.341	1.424	1.686
60	0.5897	0.0	0.5897	0.4804	0.7285	0.5882
61	1.865	0.0	1.865	0.8193	2.333	0.931
62	0.9875	0.0	0.9875	0.9845	1.137	1.273
63	0.4804	0.0	0.4804	1.285	0.494	1.33
64	1.53	0.0	1.53	0.8325	1.603	1.183
65	0.7394	0.0	0.7394	0.531	0.89	0.6274
66	1.325	0.0	1.325	1.073	1.576	1.349
67	0.5984	0.0	0.5984	0.4012	0.6568	0.4845
68	0.9885	0.0	0.9885	1.176	1.327	1.387
69	0.7213	0.0	0.7213	0.7137	0.8982	0.7861
70	1.26	0.0	1.26	0.56	1.627	0.9
71	1.617	0.0	1.617	0.9558	1.905	1.408
72	1.186	0.0	1.186	0.9291	1.165	1.166
73	0.9774	0.0	0.9774	0.9864	1.339	0.9801
74	0.9782	0.0	0.9782	1.515	1.043	1.819
75	0.5173	0.0	0.5173	0.4798	0.6691	0.6005
76	1.208	0.0	1.208	0.8471	1.306	0.9667
77	0.9331	0.0	0.9331	0.4829	1.458	0.6729
78	0.4757	0.0	0.4757	0.4113	0.6435	0.5632
79	0.7185	0.0	0.7185	0.8071	0.7958	1.065
80	1.243	0.0	1.243	0.8487	1.258	0.8442
81	0.9376	0.0	0.9376	1.218	1.189	1.316
82	0.7085	0.0	0.7085	0.4599	0.9011	0.5795
83	1.285	0.0	1.285	0.7661	1.366	0.9465
84	0.2309	0.0	0.2309	0.3745	0.2851	0.4944
85	0.4498	0.0	0.4498	0.7652	0.5628	1.02
86	0.8192	0.0	0.8192	0.5538	1.135	0.6721
87	0.4737	0.0	0.4737	0.6366	0.593	0.9459
88	0.4991	0.0	0.4991	0.2387	0.6183	0.2925
89	0.3631	0.0	0.3631	0.385	0.4376	0.4953
90	0.9357	0.0	0.9357	0.6332	1.014	0.7397
91	0.9051	0.0	0.9051	0.9971	0.9849	1.201
92	0.9504	0.0	0.9504	1.22	1.311	1.575
93	1.139	0.0	1.139	0.9964	1.483	1.174
94	0.9831	0.0	0.9831	0.6374	1.008	0.7027
95	0.3486	0.0	0.3486	0.4368	0.4402	0.5222
96	0.8834	0.0	0.8834	0.5114	0.9557	0.6135
97	0.5754	0.0	0.5754	0.7931	0.6595	1.032
98	1.195	0.0	1.195	1.015	1.217	1.221
99	1.147	0.0	1.147	1.048	1.356	1.228
100	0.9788	0.0	0.9788	0.7376	1.213	1.074
101	0.9659	0.0	0.9659	0.7087	1.065	1.006
102	0.7627	0.0	0.7627	1.007	0.9025	1.181
103	1.398	0.0	1.398	0.9584	1.682	1.1
104	1.422	0.0	1.422	1.119	1.594	1.459
105	0.7672	0.0	0.7672	0.5368	1.053	0.679
106	0.4278	0.0	0.4278	0.4892	0.5481	0.6111
107	0.519	0.0	0.519	0.9613	0.588	1.115
108	0.3628	0.0	0.3628	0.4362	0.4774	0.548
109	0.3802	0.0	0.3802	1.089	0.4576	1.395
110	0.8814	0.0	0.8814	0.8036	1.125	0.8457
111	0.7461	0.0	0.7461	0.3416	1.044	0.5284
112	0.916	0.0	0.916	1.308	0.9828	1.555
113	0.7702	0.0	0.7702	0.5432	0.9712	0.6898
114	0.54	0.0	0.54	0.3862	0.6926	0.5333
115	1.111	0.0	1.111	0.9144	1.439	1.098
116	0.9156	0.0	0.9156	1.108	1.012	1.212
117	0.8852	0.0	0.8852	0.8931	1.143	1.195
118	0.4933	0.0	0.4933	0.3827	0.7913	0.5997
119	0.7564	0.0	0.7564	1.071	0.7796	1.357
120	0.606	0.0	0.606	0.4979	0.6724	0.629
121	0.5269	0.0	0.5269	0.5385	0.6172	0.6581
122	0.5485	0.0	0.5485	0.6784	0.806	1.023
123	0.912	0.0	0.912	0.6923	0.9876	0.7922
124	0.4495	0.0	0.4495	0.7961	0.4894	0.858
125	0.4764	0.0	0.4764	0.9704	0.5086	0.9694
126	0.6847	0.0	0.6847	0.6753	0.8208	0.8587
127	0.7495	0.0	0.7495	0.8861	0.7797	1.042
128	0.8822	0.0	0.8822	1.026	1.135	1.434
129	0.9587	0.0	0.9587	0.9423	1.057	1.164
130	0.6648	0.0	0.6648	0.9673	0.8057	1.026
131	0.9326	0.0	0.9326	1.137	1.27	1.31
132	0.5822	0.0	0.5822	0.4885	0.7202	0.6749
133	0.7244	0.0	0.7244	0.8317	0.838	0.9021
134	0.8332	0.0	0.8332	0.8438	1.003	1.357
135	1.402	0.0	1.402	0.9075	1.546	1.074
136	0.584	0.0	0.584	0.3535	0.8022	0.4615
137	0.4866	0.0	0.4866	1.085	0.6141	1.239
138	0.6851	0.0	0.6851	1.046	0.795	1.248
139	0.6781	0.0	0.6781	1.293	0.6811	1.445
140	0.5032	0.0	0.5032	0.4032	0.6299	0.4864
141	0.3823	0.0	0.3823	0.4102	0.457	0.5726
142	0.5631	0.0	0.5631	0.6851	0.5968	0.8062
143	0.513	0.0	0.513	0.4669	0.7478	0.6771
144	0.4853	0.0	0.4853	0.5188	0.5391	0.6622
145	0.4331	0.0	0.4331	0.3249	0.5809	0.4695
146	1.125	0.0	1.125	0.4473	1.207	0.5219
147	1.516	0.0	1.516	0.4278	1.92	0.5028
148	0.4534	0.0	0.4534	0.506	0.5715	0.625
149	0.399	0.0	0.399	0.3316	0.511	0.4667
150	1.011	0.0	1.011	0.5474	1.266	0.6431
151	0.9637	0.0	0.9637	0.843	1.474	1.014
152	0.4566	0.0	0.4566	0.3127	0.6494	0.3956
153	0.8318	0.0	0.8318	1.021	0.9883	1.393
154	0.6205	0.0	0.6205	0.9547	0.6508	1.159
155	1.236	0.0	1.236	1.176	1.385	1.431
156	0.6565	0.0	0.6565	0.4843	0.8245	0.6914
157	0.6857	0.0	0.6857	1.141	0.7628	1.32
158	0.8768	0.0	0.8768	0.7052	0.9733	0.7491
159	0.4558	0.0	0.4558	0.4056	0.5455	0.6205
160	0.9267	0.0	0.9267	0.5625	1.149	0.62
161	0.4543	0.0	0.4543	0.4473	0.4965	0.6744
162	0.3328	0.0	0.3328	0.379	0.4922	0.578
163	0.7837	0.0	0.7837	1.569	0.9165	1.73
164	0.492	0.0	0.492	0.3702	0.6394	0.4923
165	1.726	0.0	1.726	1.434	2.16	1.911
166	0.6502	0.0	0.6502	1.054	0.7437	1.34
167	1.121	0.0	1.121	0.6335	1.307	0.7169
168	0.7076	0.0	0.7076	0.7334	0.7509	0.8458
169	0.6256	0.0	0.6256	0.6786	0.7462	0.82
170	0.8831	0.0	0.8831	0.8771	1.097	1.193
171	0.46	0.0	0.46	0.4961	0.5398	0.6877
172	0.8397	0.0	0.8397	1.141	0.8911	1.307
173	1.043	0.0	1.043	1.137	1.138	1.512
174	1.178	0.0	1.178	1.069	1.259	1.372
175	1.469	0.0	1.469	1.142	1.675	1.441
176	0.7955	0.0	0.7955	0.8055	1.087	0.8875
177	0.9325	0.0	0.9325	1.138	1.107	1.714
178	1.346	0.0	1.346	0.7789	1.437	0.9717
179	0.4332	0.0	0.4332	0.415	0.4958	0.5003
180	0.7968	0.0	0.7968	0.8523	0.9621	0.9274
181	0.717	0.0	0.717	0.6211	0.8369	0.7183
182	0.3649	0.0	0.3649	0.3044	0.4812	0.5072
183	0.5474	0.0	0.5474	0.3998	0.6127	0.5974
184	0.6731	0.0	0.6731	0.5339	0.7076	0.624
185	0.534	0.0	0.534	1.176	0.6669	1.669
186	0.4561	0.0	0.4561	0.3517	0.5773	0.4594
187	0.9119	0.0	0.9119	0.9468	1.092	1.172
188	0.5035	0.0	0.5035	0.5562	0.6258	0.7327
189	0.6116	0.0	0.6116	0.4568	0.7801	0.6404
