Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.848	0.0	4.656	5.947	4.848	4.422
2	5.376	0.0	7.113	5.586	5.376	4.487
3	3.264	0.0	4.111	5.287	3.264	4.658
4	6.312	0.0	7.764	0.9587	6.312	0.959
5	5.315	0.0	6.814	5.43	5.315	4.468
6	3.298	0.0	3.12	3.717	3.298	3.331
7	4.634	0.0	5.918	4.42	4.634	3.959
8	2.898	0.0	3.687	3.436	2.898	3.018
9	3.655	0.0	3.979	1.425	3.655	1.26
10	5.401	0.0	4.622	2.679	5.401	2.91
11	2.215	0.0	2.035	2.873	2.215	2.445
12	2.364	0.0	2.482	1.862	2.364	1.727
13	2.494	0.0	2.067	2.029	2.494	1.947
14	2.801	0.0	2.529	3.193	2.801	3.47
15	1.629	0.0	1.552	1.199	1.629	1.117
16	2.458	0.0	2.142	2.842	2.458	3.65
17	2.546	0.0	2.111	2.694	2.546	2.874
18	2.196	0.0	2.259	1.721	2.196	2.129
19	1.747	0.0	1.647	2.09	1.747	1.719
20	3.338	0.0	3.989	2.441	3.338	1.962
21	1.251	0.0	1.227	3.076	1.251	2.974
22	2.012	0.0	2.113	2.815	2.012	2.567
23	2.351	0.0	2.0	2.332	2.351	1.711
24	2.757	0.0	2.551	2.783	2.757	2.822
25	1.95	0.0	1.945	1.626	1.95	1.737
26	2.858	0.0	2.763	0.954	2.858	0.9404
27	2.196	0.0	2.083	0.6871	2.196	0.7784
28	0.9279	0.0	1.011	1.03	0.9279	1.043
29	1.753	0.0	1.783	1.205	1.753	1.106
30	0.9757	0.0	0.8639	1.101	0.9757	1.345
31	2.153	0.0	3.14	2.086	2.153	2.304
32	0.9138	0.0	0.8293	1.392	0.9138	1.561
33	1.819	0.0	1.832	1.903	1.819	1.636
34	1.315	0.0	1.703	2.008	1.315	1.888
35	1.479	0.0	1.505	1.735	1.479	1.464
36	1.42	0.0	1.211	1.317	1.42	1.281
37	1.164	0.0	1.196	0.689	1.164	0.7223
38	1.273	0.0	1.591	1.112	1.273	0.9339
39	0.7294	0.0	0.887	1.265	0.7294	1.028
40	0.5647	0.0	0.653	0.9332	0.5647	0.8265
41	0.5765	0.0	0.5763	0.9787	0.5765	0.9921
42	0.8549	0.0	1.037	0.7767	0.8549	0.6465
43	0.7348	0.0	0.6931	1.201	0.7348	1.039
44	0.643	0.0	0.6091	0.6504	0.643	0.6045
45	0.769	0.0	0.9021	0.6756	0.769	0.5267
46	2.333	0.0	2.477	0.9347	2.333	1.215
47	0.7306	0.0	0.8782	0.9105	0.7306	0.8831
48	0.6033	0.0	0.746	0.6632	0.6033	0.7404
49	1.695	0.0	2.263	0.6378	1.695	0.6136
50	0.5897	0.0	0.6897	1.69	0.5897	1.537
51	1.022	0.0	1.312	1.876	1.022	1.668
52	0.3603	0.0	0.3469	2.28	0.3603	1.864
53	1.404	0.0	1.722	0.9982	1.404	0.7817
54	1.292	0.0	1.493	1.426	1.292	1.27
55	0.587	0.0	0.6433	0.59	0.587	0.6514
56	1.06	0.0	1.188	1.376	1.06	1.094
57	0.9277	0.0	1.183	0.8033	0.9277	0.6516
58	0.4403	0.0	0.5136	1.646	0.4403	1.393
59	1.244	0.0	1.488	1.813	1.244	1.538
60	0.527	0.0	0.5707	0.7461	0.527	0.5992
61	2.128	0.0	2.789	1.129	2.128	0.8779
62	1.228	0.0	1.336	1.275	1.228	1.219
63	0.501	0.0	0.6383	1.546	0.501	1.303
64	1.577	0.0	1.924	0.9852	1.577	1.066
65	1.102	0.0	1.135	0.6574	1.102	0.5634
66	1.364	0.0	1.4	1.263	1.364	1.151
67	0.6599	0.0	0.8282	0.5295	0.6599	0.4673
68	1.131	0.0	1.101	1.407	1.131	1.343
69	0.8253	0.0	0.8527	0.9582	0.8253	0.7857
70	1.898	0.0	1.894	0.5964	1.898	0.6921
71	1.675	0.0	2.035	1.195	1.675	1.308
72	1.246	0.0	1.722	1.249	1.246	1.084
73	1.218	0.0	1.159	1.318	1.218	0.9615
74	1.084	0.0	1.497	2.175	1.084	1.983
75	0.682	0.0	0.8117	0.7137	0.682	0.5724
76	1.173	0.0	1.418	1.092	1.173	0.8113
77	1.465	0.0	1.319	0.5398	1.465	0.5562
78	0.5203	0.0	0.5025	0.4838	0.5203	0.4231
79	0.7443	0.0	0.8564	1.035	0.7443	1.066
80	1.08	0.0	1.455	1.038	1.08	0.7339
81	1.112	0.0	1.1	1.753	1.112	1.402
82	0.9295	0.0	1.147	0.6509	0.9295	0.5175
83	1.311	0.0	1.747	0.9466	1.311	0.9062
84	0.2266	0.0	0.2802	0.3761	0.2266	0.3511
85	0.5963	0.0	0.6679	0.7814	0.5963	0.8851
86	0.9093	0.0	0.8195	0.7584	0.9093	0.6971
87	0.5542	0.0	0.6298	0.7718	0.5542	0.8711
88	0.5306	0.0	0.5795	0.2769	0.5306	0.2339
89	0.3586	0.0	0.3902	0.4478	0.3586	0.416
90	0.9683	0.0	1.124	0.816	0.9683	0.76
91	0.9361	0.0	1.092	1.171	0.9361	1.072
92	1.341	0.0	1.287	1.398	1.341	1.386
93	1.335	0.0	1.361	1.3	1.335	1.182
94	0.9378	0.0	1.105	0.7621	0.9378	0.6433
95	0.3429	0.0	0.4008	0.4883	0.3429	0.4468
96	0.8769	0.0	1.07	0.6176	0.8769	0.5822
97	0.578	0.0	0.7064	0.922	0.578	0.908
98	1.276	0.0	1.611	1.527	1.276	1.355
99	1.426	0.0	1.495	1.334	1.426	1.05
100	1.31	0.0	1.445	0.9095	1.31	1.036
101	0.7239	0.0	1.05	0.9896	0.7239	0.862
102	0.7941	0.0	0.9446	1.155	0.7941	0.9841
