Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	2.99	4.304	2.99	3.927	2.81
2	0.0	4.781	4.109	4.781	3.61	4.612
3	0.0	5.02	2.78	5.02	2.889	5.12
4	0.0	2.9	3.782	2.9	4.371	3.22
5	0.0	2.275	4.748	2.275	5.288	2.674
6	0.0	3.174	3.809	3.174	3.856	3.108
7	0.0	3.365	2.76	3.365	3.963	3.372
8	0.0	3.067	2.911	3.067	2.102	2.631
9	0.0	4.365	3.743	4.365	3.193	3.352
10	0.0	1.968	1.203	1.968	1.43	2.142
11	0.0	2.494	2.547	2.494	2.443	2.502
12	0.0	2.093	2.214	2.093	2.426	1.8
13	0.0	2.495	2.927	2.495	3.076	2.632
14	0.0	3.603	1.458	3.603	1.37	4.332
15	0.0	2.03	1.407	2.03	1.405	2.128
16	0.0	2.079	2.14	2.079	2.237	2.09
17	0.0	2.433	1.844	2.433	2.432	3.199
18	0.0	0.7335	3.139	0.7335	3.66	0.9184
19	0.0	2.035	1.768	2.035	1.733	2.635
20	0.0	1.825	1.842	1.825	2.79	2.249
21	0.0	0.7041	0.8186	0.7041	1.102	1.167
22	0.0	2.205	2.297	2.205	2.596	2.26
23	0.0	1.207	1.878	1.207	1.729	1.431
24	0.0	0.5874	2.976	0.5874	3.117	0.8453
25	0.0	1.686	1.839	1.686	2.192	1.7
26	0.0	1.463	1.861	1.463	1.869	1.457
27	0.0	1.616	2.05	1.616	2.246	1.655
28	0.0	1.95	2.006	1.95	2.125	1.813
29	0.0	1.084	1.278	1.084	1.154	1.275
30	0.0	3.414	0.9692	3.414	1.759	4.035
31	0.0	2.172	2.449	2.172	3.679	2.744
32	0.0	0.5985	1.19	0.5985	1.153	0.6583
33	0.0	1.458	1.498	1.458	1.529	1.517
34	0.0	0.7675	1.071	0.7675	1.097	0.919
35	0.0	1.272	1.019	1.272	1.095	1.396
36	0.0	1.606	2.928	1.606	2.147	1.873
37	0.0	1.861	1.586	1.861	1.87	2.031
38	0.0	1.574	1.169	1.574	1.226	1.731
39	0.0	2.677	1.786	2.677	2.133	2.735
40	0.0	0.9662	0.7081	0.9662	0.9071	1.343
41	0.0	1.64	1.132	1.64	1.224	1.57
42	0.0	1.362	1.029	1.362	1.081	1.248
43	0.0	0.935	0.4168	0.935	0.7941	1.216
44	0.0	1.293	0.9772	1.293	1.458	1.534
45	0.0	1.399	1.446	1.399	1.565	1.465
46	0.0	0.9253	1.627	0.9253	2.245	1.116
47	0.0	1.044	0.6039	1.044	0.7468	1.23
48	0.0	0.9512	1.435	0.9512	1.397	1.04
49	0.0	1.883	1.579	1.883	1.734	2.195
