Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	2.926	5.053	3.242	4.086	2.926
2	0.0	4.826	3.782	5.315	3.417	4.826
3	0.0	4.946	3.364	5.477	2.833	4.946
4	0.0	3.147	4.388	3.107	4.469	3.147
5	0.0	2.71	5.894	2.248	5.784	2.71
6	0.0	3.194	3.892	3.524	3.688	3.194
7	0.0	3.985	3.898	3.259	6.106	3.985
8	0.0	2.78	3.401	3.298	3.083	2.78
9	0.0	3.074	4.221	3.554	3.86	3.074
10	0.0	2.331	3.577	2.387	4.088	2.331
11	0.0	2.037	2.489	2.826	1.865	2.037
12	0.0	1.767	2.408	2.019	2.607	1.767
13	0.0	2.21	3.45	3.051	2.573	2.21
14	0.0	2.695	2.354	4.046	0.9544	2.695
15	0.0	1.8	2.016	3.746	1.149	1.8
16	0.0	1.607	3.559	3.245	1.685	1.607
17	0.0	1.858	2.406	3.6	1.336	1.858
18	0.0	0.5531	5.436	0.8746	2.839	0.5531
19	0.0	2.043	2.97	2.537	1.904	2.043
20	0.0	1.313	2.831	2.684	1.775	1.313
21	0.0	0.4345	1.228	1.01	0.8268	0.4345
22	0.0	2.282	4.137	4.11	2.68	2.282
23	0.0	1.202	2.85	1.325	2.182	1.202
24	0.0	0.6353	3.812	0.589	2.429	0.6353
25	0.0	1.426	2.43	2.198	1.755	1.426
26	0.0	1.343	2.851	2.095	1.689	1.343
27	0.0	1.286	3.856	2.228	1.724	1.286
28	0.0	1.816	2.557	3.24	1.488	1.816
29	0.0	1.064	1.883	1.477	1.213	1.064
30	0.0	4.118	1.368	5.057	0.8781	4.118
31	0.0	2.307	3.827	3.254	2.754	2.307
32	0.0	0.6364	2.167	0.7402	1.151	0.6364
33	0.0	1.304	2.486	2.102	1.412	1.304
34	0.0	0.6396	1.883	1.005	0.9145	0.6396
35	0.0	1.401	1.843	2.075	1.429	1.401
36	0.0	1.457	3.858	1.734	1.905	1.457
37	0.0	1.83	3.049	2.429	0.8613	1.83
38	0.0	1.995	1.65	2.661	0.8797	1.995
39	0.0	2.444	3.266	3.26	2.817	2.444
40	0.0	0.9534	0.8143	1.835	0.5838	0.9534
41	0.0	1.501	2.071	2.811	1.091	1.501
42	0.0	1.15	1.213	2.278	0.8023	1.15
43	0.0	1.157	0.6371	1.355	0.3343	1.157
44	0.0	1.315	0.9753	1.554	0.9928	1.315
45	0.0	1.376	1.66	2.23	1.188	1.376
46	0.0	1.057	2.776	1.253	2.034	1.057
47	0.0	0.9168	0.9701	1.174	0.5412	0.9168
48	0.0	0.8768	2.304	1.238	1.335	0.8768
49	0.0	2.082	2.431	3.03	1.634	2.082
50	0.0	1.206	0.7347	1.472	0.5463	1.206
51	0.0	1.197	1.662	1.688	1.034	1.197
52	0.0	0.2494	0.246	0.5218	0.2334	0.2494
53	0.0	1.196	1.679	1.433	1.25	1.196
54	0.0	0.6957	1.209	0.973	0.9631	0.6957
55	0.0	1.213	1.187	2.79	0.5862	1.213
56	0.0	1.475	1.151	2.047	0.9744	1.475
57	0.0	1.59	2.131	2.566	1.611	1.59
58	0.0	1.393	1.363	2.258	0.4947	1.393
59	0.0	2.096	3.101	3.202	2.465	2.096
60	0.0	1.174	1.233	1.531	0.9086	1.174
61	0.0	0.9354	3.231	1.086	2.522	0.9354
62	0.0	1.275	1.266	1.809	1.11	1.275
63	0.0	0.7103	1.134	0.9203	0.6837	0.7103
64	0.0	1.522	1.687	1.891	1.365	1.522
65	0.0	0.9184	2.084	1.827	1.22	0.9184
66	0.0	1.163	1.892	1.401	1.216	1.163
67	0.0	1.667	2.609	2.164	1.732	1.667
68	0.0	1.121	2.048	1.806	0.9545	1.121
69	0.0	0.8909	1.127	1.259	0.8127	0.8909
70	0.0	0.4741	1.641	0.7826	1.045	0.4741
71	0.0	1.055	1.608	1.403	0.5767	1.055
72	0.0	1.006	1.685	1.722	1.031	1.006
73	0.0	1.04	0.6492	1.455	0.5908	1.04
