Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.782	0.0	4.782	3.309	4.346	3.513
2	3.923	0.0	3.923	4.93	3.536	4.178
3	3.278	0.0	3.278	4.876	3.338	5.043
4	3.572	0.0	3.572	2.767	4.18	3.009
5	4.602	0.0	4.602	1.966	5.353	2.76
6	4.074	0.0	4.074	2.726	4.015	2.959
7	3.56	0.0	3.56	1.607	2.993	1.039
8	3.171	0.0	3.171	2.887	3.257	2.712
9	3.716	0.0	3.716	4.006	3.317	3.22
10	1.404	0.0	1.404	2.027	2.311	1.518
11	2.207	0.0	2.207	2.279	2.113	2.054
12	2.161	0.0	2.161	1.863	2.45	1.648
13	3.025	0.0	3.025	2.062	3.086	2.48
14	1.535	0.0	1.535	3.47	1.728	3.622
15	1.546	0.0	1.546	2.22	1.378	2.535
16	2.017	0.0	2.017	1.985	2.271	1.912
17	1.821	0.0	1.821	2.275	1.962	2.551
18	2.935	0.0	2.935	0.8477	3.511	1.079
19	1.818	0.0	1.818	2.048	1.829	2.476
20	2.37	0.0	2.37	1.755	2.905	2.127
21	0.8722	0.0	0.8722	0.6723	1.152	1.219
22	2.069	0.0	2.069	2.476	2.293	2.505
23	2.282	0.0	2.282	1.125	2.172	1.329
24	2.727	0.0	2.727	0.6004	3.12	0.8145
25	1.757	0.0	1.757	1.74	1.989	1.695
26	1.992	0.0	1.992	1.45	2.138	1.636
27	2.052	0.0	2.052	1.758	2.103	1.94
28	1.753	0.0	1.753	2.062	1.508	1.791
29	1.354	0.0	1.354	1.165	1.256	1.336
30	1.078	0.0	1.078	3.477	1.369	4.305
31	2.794	0.0	2.794	2.32	3.68	2.938
32	1.126	0.0	1.126	0.6214	1.302	0.6671
33	1.486	0.0	1.486	1.618	1.59	1.567
34	1.095	0.0	1.095	0.747	1.185	0.7673
35	0.9818	0.0	0.9818	1.189	1.107	1.437
36	2.428	0.0	2.428	1.487	2.054	1.791
37	1.621	0.0	1.621	1.63	2.022	1.806
38	0.9068	0.0	0.9068	1.608	1.196	2.3
39	2.143	0.0	2.143	2.544	2.402	2.779
40	0.7759	0.0	0.7759	1.195	0.9865	1.734
41	1.041	0.0	1.041	1.614	1.084	1.779
42	1.024	0.0	1.024	1.386	1.181	1.25
43	0.3422	0.0	0.3422	0.9652	0.721	1.292
44	0.8806	0.0	0.8806	1.314	1.171	1.528
45	1.404	0.0	1.404	1.557	1.775	1.584
46	1.687	0.0	1.687	0.865	2.175	1.196
47	0.6066	0.0	0.6066	0.9878	0.7228	1.164
48	1.409	0.0	1.409	0.9216	1.425	1.002
49	1.688	0.0	1.688	1.839	1.714	2.275
50	0.5653	0.0	0.5653	1.15	0.5895	1.312
51	1.139	0.0	1.139	1.272	1.187	1.253
52	0.2441	0.0	0.2441	0.4035	0.4192	0.6494
53	1.163	0.0	1.163	1.105	1.476	1.198
54	0.9063	0.0	0.9063	0.7273	1.006	0.7998
55	0.8236	0.0	0.8236	1.546	1.149	1.926
56	0.9336	0.0	0.9336	1.398	1.088	1.514
57	1.594	0.0	1.594	1.641	1.849	1.957
58	0.711	0.0	0.711	1.496	1.107	1.671
59	1.865	0.0	1.865	1.613	2.679	1.941
60	0.948	0.0	0.948	1.282	1.005	1.498
61	1.784	0.0	1.784	0.9403	2.289	1.222
62	0.9491	0.0	0.9491	1.13	1.082	1.367
63	0.7553	0.0	0.7553	0.7572	0.7116	0.8189
64	1.37	0.0	1.37	1.503	1.671	1.604
65	1.238	0.0	1.238	1.192	1.281	1.512
66	1.07	0.0	1.07	1.028	1.368	1.274
67	1.583	0.0	1.583	1.667	2.044	1.873
68	1.236	0.0	1.236	1.165	1.577	1.288
69	0.8535	0.0	0.8535	0.9309	1.095	1.088
70	1.06	0.0	1.06	0.5001	1.213	0.7477
71	0.9101	0.0	0.9101	1.096	1.065	1.199
72	1.127	0.0	1.127	1.115	1.363	1.396
73	0.483	0.0	0.483	0.9836	0.5594	1.2
74	1.222	0.0	1.222	1.193	1.508	1.331
75	1.582	0.0	1.582	2.252	2.258	2.719
76	0.8644	0.0	0.8644	0.9854	1.368	1.418
77	1.145	0.0	1.145	1.491	1.678	2.676
78	0.9535	0.0	0.9535	1.996	1.088	2.348
79	0.9756	0.0	0.9756	0.9734	1.484	1.501
80	0.9402	0.0	0.9402	0.6427	1.522	0.9047
81	0.9831	0.0	0.9831	0.8012	1.531	1.028
82	1.569	0.0	1.569	1.114	2.101	1.194
83	1.282	0.0	1.282	1.189	1.661	1.664
84	1.164	0.0	1.164	1.133	1.153	1.112
85	1.206	0.0	1.206	1.648	1.633	2.118
86	0.9977	0.0	0.9977	1.058	1.127	1.286
87	1.077	0.0	1.077	0.7663	1.123	0.984
88	1.864	0.0	1.864	1.749	1.753	1.775
89	1.435	0.0	1.435	0.8705	1.799	1.436
90	0.5947	0.0	0.5947	0.9289	0.8687	1.129
91	0.7514	0.0	0.7514	0.6078	0.8147	0.7645
92	1.054	0.0	1.054	1.083	1.296	1.301
93	0.9242	0.0	0.9242	0.569	1.155	0.5835
94	0.8478	0.0	0.8478	0.7734	1.131	0.9438
95	1.027	0.0	1.027	1.129	1.257	1.18
96	0.9827	0.0	0.9827	0.9217	1.173	1.01
97	0.7931	0.0	0.7931	0.8914	1.066	1.028
98	1.314	0.0	1.314	1.171	1.83	1.407
99	0.8366	0.0	0.8366	0.8762	1.023	1.028
100	1.236	0.0	1.236	1.006	1.482	1.167
101	0.7303	0.0	0.7303	0.9749	1.026	1.594
102	0.7884	0.0	0.7884	0.9658	0.8762	1.017
103	1.008	0.0	1.008	0.6404	1.234	0.7978
104	0.9621	0.0	0.9621	0.5742	1.326	1.089
105	1.011	0.0	1.011	0.7568	1.299	0.8507
106	1.164	0.0	1.164	1.157	1.204	1.256
107	1.215	0.0	1.215	1.061	1.305	1.107
108	0.8077	0.0	0.8077	1.105	1.096	1.294
109	1.566	0.0	1.566	1.674	2.0	1.86
110	0.5644	0.0	0.5644	0.9997	0.6412	1.198
111	0.8338	0.0	0.8338	1.164	1.067	1.986
112	0.9066	0.0	0.9066	1.135	1.184	1.302
113	1.169	0.0	1.169	1.502	1.398	2.353
114	0.8098	0.0	0.8098	0.4139	1.021	0.5215
115	0.9034	0.0	0.9034	0.618	1.19	0.7616
116	0.959	0.0	0.959	1.132	1.119	1.213
117	0.8757	0.0	0.8757	0.9898	1.15	1.167
118	0.8349	0.0	0.8349	0.7693	0.9324	0.7698
119	0.7029	0.0	0.7029	0.5786	0.7998	0.6223
120	1.199	0.0	1.199	1.517	1.258	1.381
