Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.8	0.0	4.638	3.735	3.8	3.186
2	3.627	0.0	4.48	4.759	3.627	4.473
3	3.011	0.0	3.058	4.137	3.011	4.746
4	4.49	0.0	3.566	3.223	4.49	2.823
5	6.113	0.0	5.369	2.269	6.113	2.332
6	3.579	0.0	3.829	3.175	3.579	3.345
7	4.089	0.0	3.952	2.391	4.089	2.127
8	3.153	0.0	3.665	3.287	3.153	2.597
9	4.024	0.0	4.324	4.219	4.024	3.124
10	1.802	0.0	1.474	2.12	1.802	1.709
11	1.728	0.0	2.572	2.617	1.728	2.048
12	2.215	0.0	2.8	2.429	2.215	2.049
13	2.621	0.0	2.895	3.26	2.621	2.313
14	0.9947	0.0	2.552	5.468	0.9947	2.569
15	1.412	0.0	2.643	3.219	1.412	1.829
16	1.695	0.0	4.174	3.405	1.695	1.653
17	1.105	0.0	2.898	4.507	1.105	1.959
18	2.535	0.0	4.36	0.8734	2.535	0.5438
19	1.88	0.0	3.418	3.592	1.88	2.728
20	1.328	0.0	2.689	3.548	1.328	1.175
21	0.7586	0.0	1.517	1.524	0.7586	0.5342
22	2.807	0.0	4.533	3.449	2.807	2.009
23	1.922	0.0	2.946	1.346	1.922	1.11
24	2.366	0.0	4.113	0.6202	2.366	0.6306
25	1.843	0.0	2.432	2.272	1.843	1.546
26	1.603	0.0	2.551	2.407	1.603	1.487
27	1.669	0.0	3.289	2.636	1.669	1.406
28	1.417	0.0	2.812	3.498	1.417	1.829
29	1.266	0.0	2.002	1.792	1.266	1.22
30	0.8021	0.0	1.877	4.536	0.8021	3.702
31	2.776	0.0	5.056	3.715	2.776	2.347
32	1.273	0.0	2.58	0.7222	1.273	0.6056
33	1.356	0.0	2.336	2.476	1.356	1.191
34	1.001	0.0	2.301	1.353	1.001	0.6478
35	1.23	0.0	1.432	1.758	1.23	1.253
36	1.94	0.0	4.867	2.412	1.94	1.664
37	0.8915	0.0	3.588	2.833	0.8915	1.845
38	0.9451	0.0	1.731	2.647	0.9451	1.737
39	2.166	0.0	2.633	3.428	2.166	3.319
40	0.9013	0.0	0.9153	2.021	0.9013	0.9519
41	1.262	0.0	2.693	2.916	1.262	1.616
42	1.065	0.0	1.351	3.283	1.065	1.365
43	0.3196	0.0	0.5867	1.5	0.3196	1.136
44	1.369	0.0	1.099	1.655	1.369	1.355
45	1.129	0.0	2.406	2.472	1.129	1.322
46	2.123	0.0	2.884	1.23	2.123	0.9313
47	0.5932	0.0	0.9956	1.209	0.5932	1.03
48	1.649	0.0	2.579	1.344	1.649	0.867
49	1.677	0.0	2.426	3.227	1.677	2.271
50	0.5292	0.0	0.7492	1.485	0.5292	1.227
51	1.165	0.0	1.72	1.931	1.165	1.273
52	0.24	0.0	0.2533	0.5457	0.24	0.3484
53	1.279	0.0	1.619	1.364	1.279	1.125
54	1.116	0.0	1.396	1.076	1.116	0.725
55	0.5294	0.0	1.14	3.029	0.5294	1.28
56	1.052	0.0	1.201	2.047	1.052	1.539
57	1.538	0.0	2.018	2.62	1.538	1.547
58	0.4802	0.0	1.21	2.687	0.4802	1.574
59	2.58	0.0	3.752	2.955	2.58	1.922
60	0.906	0.0	1.226	1.573	0.906	1.257
61	2.383	0.0	2.88	1.23	2.383	0.8264
62	1.048	0.0	1.213	1.927	1.048	1.442
63	0.66	0.0	1.186	0.9631	0.66	0.693
64	1.559	0.0	2.01	1.931	1.559	1.628
65	1.373	0.0	2.352	1.733	1.373	1.07
66	1.321	0.0	1.625	1.452	1.321	1.093
67	1.894	0.0	3.039	2.42	1.894	1.912
68	1.026	0.0	2.207	1.927	1.026	1.146
69	0.7918	0.0	1.21	1.279	0.7918	0.8933
70	1.113	0.0	2.097	0.917	1.113	0.4459
71	0.6482	0.0	1.544	1.512	0.6482	1.06
72	1.149	0.0	2.065	1.697	1.149	1.073
73	0.5438	0.0	0.6007	1.446	0.5438	1.096
74	1.607	0.0	2.167	2.568	1.607	1.178
75	1.574	0.0	1.843	3.358	1.574	2.277
76	0.8352	0.0	1.863	1.667	0.8352	1.028
77	1.619	0.0	2.087	3.335	1.619	2.729
78	1.027	0.0	1.398	2.848	1.027	2.026
79	0.8159	0.0	1.485	2.302	0.8159	1.383
80	1.242	0.0	1.502	1.058	1.242	0.5534
81	1.415	0.0	2.28	1.135	1.415	0.722
82	1.512	0.0	1.995	1.374	1.512	0.9999
83	1.297	0.0	2.058	1.84	1.297	1.296
84	0.9215	0.0	1.812	1.605	0.9215	0.9943
85	1.155	0.0	1.649	2.275	1.155	1.687
86	0.9287	0.0	1.335	1.625	0.9287	1.205
87	1.335	0.0	2.264	1.43	1.335	0.6563
88	1.558	0.0	3.391	3.222	1.558	1.544
89	1.565	0.0	3.484	1.622	1.565	0.8862
90	0.6945	0.0	0.9517	1.318	0.6945	1.108
91	0.7826	0.0	1.019	0.7148	0.7826	0.7861
92	1.236	0.0	1.712	1.808	1.236	1.264
93	1.007	0.0	1.476	0.8725	1.007	0.5316
94	1.518	0.0	1.758	1.573	1.518	1.019
95	1.415	0.0	1.797	1.515	1.415	0.955
96	1.375	0.0	1.836	1.483	1.375	0.7955
97	0.827	0.0	1.306	1.171	0.827	0.8867
98	2.33	0.0	2.447	2.015	2.33	1.705
99	0.9363	0.0	1.094	1.251	0.9363	1.092
100	2.098	0.0	2.043	1.671	2.098	1.208
101	0.7394	0.0	1.24	1.371	0.7394	1.092
102	0.9039	0.0	1.076	1.132	0.9039	0.9308
103	1.46	0.0	1.748	1.032	1.46	0.6883
104	1.1	0.0	1.51	1.239	1.1	1.321
105	1.334	0.0	1.961	1.102	1.334	0.8939
106	1.13	0.0	2.02	2.045	1.13	1.176
107	0.5531	0.0	1.019	2.393	0.5531	1.049
108	0.8717	0.0	1.479	1.821	0.8717	1.398
109	2.405	0.0	2.999	3.076	2.405	2.244
110	1.27	0.0	1.629	1.624	1.27	1.335
111	0.6708	0.0	1.061	1.551	0.6708	1.131
112	1.366	0.0	1.744	1.761	1.366	1.232
113	2.062	0.0	2.415	2.827	2.062	2.603
114	0.4128	0.0	1.228	0.7549	0.4128	0.265
115	1.127	0.0	1.372	1.042	1.127	0.7921
116	1.172	0.0	1.069	1.558	1.172	1.203
117	1.104	0.0	1.326	1.242	1.104	0.9151
