Step	Loss
1	4.0804
2	3.6146
3	3.9622
4	3.8113
5	4.7243
6	2.5271
7	3.8286
8	4.1398
9	3.021
10	5.961
11	3.3923
12	1.5074
13	3.429
14	4.6517
15	3.6266
16	3.7124
17	3.8789
18	2.422
19	4.3971
20	1.337
21	4.8736
22	3.4319
23	1.7436
24	3.8457
25	3.4657
26	2.9624
27	1.5945
28	0.6337
29	1.1123
30	2.0014
31	0.7885
32	3.2818
33	1.3362
34	3.8928
35	4.1984
36	2.3606
37	3.8302
38	3.4178
39	3.647
40	3.8807
41	4.7603
42	3.0491
43	3.4549
44	1.8932
45	3.6808
46	2.747
47	2.118
48	3.7547
49	2.0806
50	3.1632
51	1.7192
52	4.0765
53	1.7898
54	4.4116
55	2.1431
56	3.8161
57	3.4973
58	2.8886
59	3.2829
60	0.3641
61	3.7968
62	3.3323
63	1.5546
64	1.0278
65	3.0452
66	3.4337
67	1.4787
68	3.023
69	2.0563
70	4.2682
71	2.5529
72	3.1309
73	2.1831
74	0.1653
75	2.8243
76	3.611
77	0.4142
78	3.1995
79	3.5832
80	1.8424
81	0.4443
82	1.9342
83	4.0778
84	2.108
85	4.5764
86	0.2848
87	1.7282
88	3.3856
89	3.4282
90	0.6907
91	3.9408
92	3.6205
93	3.1552
94	3.1104
95	3.4851
96	2.8745
97	3.8353
98	3.6606
99	0.3906
100	3.8537
101	3.825
102	3.822
103	3.32
104	4.1471
105	3.7116
106	2.9995
107	3.5656
108	3.3769
109	3.9012
110	1.1808
111	3.5815
112	3.8159
113	1.9684
114	3.7221
115	3.0158
116	1.1829
117	2.9329
118	4.0553
119	3.5346
120	3.4523
121	3.6539
122	1.6318
123	3.8614
124	1.1546
125	4.2326
126	2.8736
127	1.1031
128	2.7274
129	3.3086
130	2.4803
131	0.2692
132	0.6494
133	0.3002
134	1.9037
135	0.6587
136	3.6331
137	1.273
138	3.5808
139	3.8205
140	1.923
141	3.7533
142	3.3843
143	3.4653
144	3.7143
145	4.599
146	2.7565
147	3.1174
148	1.6634
149	3.5275
150	2.5535
151	1.9019
152	3.4113
153	1.5091
154	3.081
155	1.5954
156	3.689
157	1.9632
158	4.139
159	1.7233
160	3.6902
161	3.3476
162	3.3273
163	3.218
164	0.221
165	3.7361
166	3.3219
167	0.9562
168	0.8357
169	2.9574
170	3.2829
171	1.4271
172	3.0275
173	1.8809
174	4.3305
175	1.4119
176	2.9843
177	2.084
178	0.0832
179	2.832
