Step	Loss
1	4.2807
2	2.9044
3	1.3447
4	3.8286
5	3.3166
6	3.5571
7	2.8662
8	3.5029
9	2.5921
10	0.703
11	2.5851
12	3.8928
13	3.4837
14	2.1146
15	0.1644
16	4.2969
17	2.7606
18	0.8925
19	0.7097
20	3.6283
21	3.6172
22	4.2256
23	3.9195
24	1.2058
25	3.9988
26	0.9946
27	3.9035
28	2.811
29	1.5157
30	1.2983
31	3.8844
32	3.0445
33	4.2244
34	3.6365
35	0.1153
36	3.0783
37	3.527
38	2.7602
39	0.1286
40	4.3451
41	3.6206
42	0.9721
43	3.1893
44	0.3399
45	3.7937
46	3.3382
47	2.4889
48	3.6909
49	3.994
50	1.6983
51	3.1424
52	0.7016
53	5.087
54	3.7574
55	1.8335
56	3.2466
57	3.0303
58	2.4011
59	3.7564
60	3.5693
61	3.3925
62	0.5701
63	2.1443
64	2.1536
65	3.9785
66	3.0795
67	3.995
68	0.6618
69	1.9897
70	0.5387
71	3.0338
72	1.0818
73	1.1921
74	3.6481
75	2.5226
76	2.6664
77	4.353
78	3.2513
79	0.6533
80	3.8358
81	2.2828
82	2.7127
83	3.6985
84	1.7763
85	3.7406
86	3.6731
87	3.6909
88	2.2503
89	1.5331
90	4.0199
91	1.9572
92	3.0159
93	1.8748
94	1.3334
95	3.2452
96	0.8735
97	4.0859
98	2.1998
99	2.619
100	3.306
101	4.3509
102	3.8382
103	0.8721
104	3.1743
105	3.7927
106	2.4793
107	0.6656
108	3.728
109	3.2272
110	3.0911
111	2.2938
112	3.3283
113	2.1433
114	0.7268
115	2.4753
116	3.7308
117	3.2932
118	1.953
119	0.1956
120	4.1934
121	2.6918
122	0.1611
123	0.7238
124	3.2477
125	3.3806
126	4.109
127	3.7753
128	0.9963
129	3.7972
130	0.1339
131	3.7669
132	2.6131
133	1.4175
134	0.9981
135	1.6423
136	2.9134
137	3.523
138	3.7674
139	0.0792
140	2.1836
141	3.4297
142	2.5869
143	0.1651
144	4.171
145	3.474
146	0.6981
147	2.9399
148	0.2442
149	3.0905
150	3.2681
151	2.2215
152	3.487
153	3.8602
154	1.808
155	3.0258
156	0.661
157	5.0531
158	3.6775
159	1.7765
160	3.0427
161	2.9083
162	2.4462
163	3.6926
164	3.3869
165	3.2452
166	0.3413
167	1.9322
168	2.295
169	3.7301
170	2.9731
171	3.8645
172	0.5125
173	1.6925
174	0.2505
175	1.2657
176	1.1756
177	1.2156
178	3.5832
179	2.2329
180	2.5474
181	4.0154
182	3.1063
183	0.5989
184	3.6863
185	2.1896
186	2.6055
187	3.7472
188	2.0164
189	3.6323
190	3.5144
191	3.5164
192	1.8744
193	1.4452
194	3.9692
195	1.6987
196	2.6615
197	1.8247
198	1.2552
199	3.1759
200	0.6348
201	4.042
202	2.2503
203	1.201
204	2.6914
205	3.6228
206	3.6767
207	0.825
208	3.1192
209	3.3319
210	2.2979
211	0.6127
212	3.6252
213	2.9946
214	3.1166
215	2.1039
216	3.2491
217	1.8302
218	0.6382
219	2.3869
220	3.5837
221	3.2413
222	1.7076
223	0.1249
224	4.0756
225	2.4638
226	0.1177
227	0.6896
228	3.105
229	3.2383
230	3.998
231	3.6825
232	1.1011
233	3.6697
234	0.0951
235	3.6652
236	2.4168
237	1.3577
238	1.1561
239	1.1575
240	2.86
241	2.6923
242	3.8378
243	0.0469
244	1.9611
245	3.3972
246	2.4447
247	0.1112
248	3.7173
249	3.4559
250	0.5822
251	2.829
252	0.2338
253	2.8692
254	3.2691
255	1.9782
256	3.4722
257	3.5714
258	1.873
259	2.9571
260	0.6212
261	3.5618
262	3.5803
263	1.711
264	3.0082
265	2.9105
266	2.3559
267	3.57
268	3.2638
269	3.104
270	0.2204
271	1.7807
272	2.1636
273	3.7054
274	2.8631
275	3.735
276	0.7119
277	1.6992
278	0.415
279	0.3352
280	1.1392
281	1.0641
282	3.5188
283	2.1345
284	2.3677
285	3.7956
286	3.0698
287	0.6474
288	3.5774
289	2.3692
290	2.6598
291	3.6676
292	2.0092
293	3.546
294	3.3707
295	3.4455
296	2.0236
297	1.1858
298	4.0096
299	1.4894
300	2.469
301	1.8407
302	1.1823
303	3.131
304	0.5641
305	3.9861
306	2.073
307	1.0431
308	2.5465
309	3.4466
310	3.6726
311	0.8183
312	3.0789
313	3.326
314	2.0641
315	0.354
316	3.5486
317	2.8438
318	2.9027
319	1.9389
320	3.2587
321	1.6332
322	0.6321
323	2.3739
324	3.663
325	3.0834
326	1.8257
327	0.1316
328	3.9434
329	2.472
330	0.0672
331	0.6
332	2.8278
333	3.2693
334	3.949
335	3.6444
336	0.9556
337	3.6232
338	0.0555
339	3.7234
340	2.3626
341	1.3269
342	1.2582
343	0.6892
344	2.7475
345	3.1083
346	3.7155
347	0.0442
348	1.7775
349	3.344
350	2.3655
351	0.0979
352	3.7177
353	3.3128
354	0.4654
355	2.7811
356	0.2445
357	2.878
358	3.1008
359	2.0388
360	3.4443
361	3.5557
362	1.9799
363	2.9324
364	0.6095
365	2.6128
366	3.4876
367	1.6904
368	2.9982
369	2.8846
370	2.4356
371	3.5226
372	3.2575
373	3.0925
374	0.2217
375	1.8126
376	2.2792
377	3.6308
378	2.822
379	3.595
380	0.7503
381	1.8895
382	0.2742
383	0.2245
384	1.0627
385	1.0763
386	3.4726
387	1.8661
388	2.3156
389	3.956
390	3.0281
391	0.6997
392	3.6388
393	2.1385
394	2.6877
395	3.5653
396	1.7764
397	3.5201
398	3.2532
399	3.4115
400	1.876
401	1.3207
402	3.8668
403	1.2813
404	2.5423
405	1.3573
406	1.1937
407	3.081
408	0.4429
409	4.0247
410	2.0428
411	0.1692
412	2.4933
413	3.3021
414	3.6529
415	0.7761
416	3.0645
417	3.2305
418	2.3379
419	0.3243
420	3.4959
421	2.9811
422	2.8749
423	1.7599
424	3.1762
425	1.2877
426	0.5561
427	2.2675
428	3.3876
429	3.0418
430	1.5814
431	0.1404
432	3.8589
433	2.3221
434	0.0707
435	0.6079
436	2.7024
437	3.103
438	3.8928
439	3.5243
440	0.9193
441	3.5307
442	0.0587
443	3.5067
444	2.3597
445	1.3172
446	1.2972
447	0.6271
448	2.7165
449	1.9461
450	3.7002
451	0.1116
452	1.5243
453	3.3272
454	2.3288
455	0.1128
456	3.6675
457	3.1644
458	0.4001
459	2.7158
460	0.2003
461	2.4514
462	3.0966
463	2.2713
464	3.3757
465	3.5238
466	1.5344
467	2.9287
468	0.5538
469	1.5757
470	3.4459
471	1.6381
472	3.0142
473	2.9015
474	2.1453
475	3.3476
476	3.1967
477	3.0578
478	0.2147
479	1.6579
480	2.2567
481	3.5706
482	2.8461
483	3.4966
484	0.5673
485	1.6088
486	0.1061
487	0.2182
488	0.9779
489	1.1518
490	3.4677
491	1.9804
492	1.9803
493	3.756
494	2.974
495	0.63
496	3.5174
497	2.1657
498	2.5571
499	3.3966
500	1.9629
501	3.4554
502	3.1722
503	3.3177
504	1.8805
505	1.7334
506	3.8494
507	1.7077
508	2.3685
509	0.733
510	1.1629
511	3.0027
512	0.5288
513	3.811
514	1.9534
515	0.3215
516	2.0299
517	3.0476
518	3.4976
519	0.7367
520	3.0033
521	3.1456
522	2.0085
523	0.351
524	3.5746
525	2.6571
526	2.7834
527	1.7288
528	3.1587
529	0.8041
530	0.5321
