Step	Loss
1	5.1217
2	3.5006
3	2.0696
4	5.1876
5	4.8719
6	4.7566
7	3.9112
8	4.5239
9	3.5404
10	1.7653
11	3.6449
12	5.0231
13	4.2817
14	2.5421
15	1.0628
16	5.2408
17	3.3604
18	1.6834
19	2.3384
20	4.5965
21	4.2631
22	5.0883
23	4.9565
24	1.5563
25	5.056
26	0.6025
27	4.4946
28	3.6948
29	2.1284
30	1.7286
31	3.1509
32	4.0606
33	4.398
34	4.1987
35	0.7739
36	3.1707
37	4.6223
38	3.719
39	0.9008
40	6.7307
41	4.6736
42	1.6202
43	3.3071
44	0.8755
45	4.5703
46	4.485
47	4.0663
48	4.5758
49	4.6465
50	2.8428
51	4.0776
52	1.4311
53	5.8029
54	4.6737
55	2.5509
56	4.3459
57	4.1323
58	3.0178
59	4.6541
60	4.2294
61	3.9433
62	0.7692
63	3.2728
64	2.8877
65	4.7039
66	3.8525
67	4.905
68	1.7124
69	3.4135
70	1.0352
71	2.8572
72	1.6442
73	1.7666
74	4.4308
75	3.5396
76	3.0936
77	5.0729
78	4.0229
79	1.4746
80	4.3178
81	3.1866
82	3.2981
83	4.818
84	2.5096
85	4.3929
86	4.3476
87	4.3047
88	2.6338
89	1.6242
90	4.7564
91	3.4752
92	3.2396
93	2.7316
94	1.7902
95	3.8529
96	1.1149
97	4.5847
98	2.6528
99	2.0579
100	3.2657
101	4.7833
102	4.6684
103	1.1358
104	3.7932
105	4.2798
106	2.9826
107	1.1415
108	4.5005
109	4.2113
110	4.0268
111	3.3495
112	3.9792
113	2.4119
114	1.2703
115	3.0308
116	4.3158
117	3.7348
118	2.0816
119	0.6064
120	4.7624
121	3.1185
122	0.3225
123	1.4049
124	3.6155
125	3.7722
126	4.5454
127	4.277
128	1.1859
129	4.5468
130	0.1209
131	4.0145
132	3.0802
133	1.8403
134	1.6437
135	1.6066
136	3.7044
137	3.857
138	3.993
139	0.5243
140	2.3053
141	4.1836
142	3.0555
143	0.538
144	5.5625
145	4.1682
146	1.1337
147	3.0006
148	0.6471
149	3.5021
150	3.9745
151	3.3679
152	4.0915
153	3.9996
154	2.6194
155	3.6014
156	1.0833
157	3.9993
158	4.2554
159	2.151
160	3.7311
161	3.6936
162	2.7822
163	4.0024
164	4.0529
165	3.6211
166	0.5575
167	2.7144
168	2.5353
169	4.3453
170	3.4301
171	4.5375
172	0.7233
173	3.0862
174	0.6359
175	1.6052
176	1.5629
177	1.6322
178	4.0703
179	2.5062
180	2.4645
181	4.3876
182	3.5731
183	1.1893
184	4.0827
185	2.934
186	3.0006
187	4.4781
188	2.2506
189	4.0706
190	3.9679
191	4.0709
192	2.3686
193	1.7339
194	4.183
195	2.4364
196	2.9779
197	1.9043
198	1.6012
199	3.6002
200	0.8202
201	4.3817
202	2.5914
203	1.4921
204	3.5496
205	4.4952
206	4.2796
207	1.0457
208	3.4818
209	3.86
210	2.5548
211	0.9742
212	4.275
213	3.5442
214	3.6272
215	2.6784
216	3.7203
217	1.8719
218	1.2772
219	2.849
220	4.0268
221	3.459
222	2.0841
223	0.3962
224	4.4231
225	3.1265
226	0.1525
227	1.5051
228	3.0741
229	3.6107
230	4.2989
231	4.0723
232	0.9368
233	4.1957
234	0.1157
235	3.8807
236	2.8932
237	1.7379
238	1.557
239	1.0329
240	3.4352
241	3.564
242	3.9151
243	0.4067
244	1.9089
245	3.9821
246	2.855
247	0.3938
248	5.2215
249	3.9221
250	1.0129
251	2.8276
252	0.5278
253	3.4237
254	3.7599
255	2.4692
256	3.8492
257	3.7957
258	2.2471
259	3.4641
260	0.9152
261	3.8601
262	4.0557
263	2.0732
264	3.6801
265	3.4798
266	2.674
267	3.8623
268	3.765
269	3.4452
270	0.3132
271	2.3708
272	2.5078
273	4.0832
274	3.3809
275	4.1995
276	0.8502
277	2.7226
278	0.4791
279	1.0736
280	1.4491
281	1.5119
282	3.9905
283	2.7362
284	2.4445
285	4.6623
286	3.4612
287	0.9722
288	3.9251
289	3.0726
290	2.8764
291	4.5736
292	2.3173
293	3.8104
294	3.8166
295	3.9313
296	2.3252
297	1.4844
298	4.2796
299	2.0878
300	2.819
301	2.0634
302	1.6134
303	3.4954
304	0.5951
305	4.3129
306	2.3687
307	0.8081
308	3.3806
309	4.3378
310	4.1254
311	1.1364
312	3.3543
313	3.7629
314	2.6576
315	0.8448
316	4.1923
317	3.7658
318	3.3321
319	2.6171
320	3.5793
321	1.6072
322	1.1523
323	2.7125
324	3.8406
325	3.466
326	1.7948
327	0.446
328	4.319
329	2.7986
330	0.124
331	1.3521
332	3.0752
333	3.3929
334	4.1333
335	4.0342
336	1.0465
337	4.1864
338	0.0416
339	3.9608
340	2.5977
341	1.4799
342	1.4994
343	0.5196
344	3.4091
345	3.1556
346	3.9354
347	0.4221
348	2.0299
349	3.9123
350	2.7865
351	0.2811
352	5.0306
353	3.8052
354	0.8724
355	2.8538
356	0.5132
357	3.1134
358	3.649
359	2.303
360	3.9427
361	3.6948
362	2.3629
363	3.3127
364	1.0375
365	3.4031
366	3.9096
367	1.9827
368	3.5311
369	3.3585
370	2.2692
371	3.6793
372	3.6134
373	3.3755
374	0.3573
375	2.1934
376	2.3242
377	4.0554
378	3.3087
379	4.037
380	0.7684
381	2.3461
382	0.1593
383	0.4715
384	1.1743
385	1.3742
386	3.8579
387	2.2363
388	2.2361
389	4.5672
390	3.3884
391	0.9406
392	3.7415
393	2.9708
394	2.7836
395	4.3158
396	2.3055
397	3.7422
398	3.6766
399	3.8121
400	2.2626
401	1.526
402	4.2245
403	2.069
404	2.7607
405	1.0051
406	1.4531
407	3.4161
408	0.7592
