Step	Loss
1	3.6726
2	3.5468
3	3.9392
4	4.0741
5	2.7319
6	2.5385
7	4.6283
8	3.6511
9	2.5857
10	2.642
11	3.4261
12	3.8074
13	6.7814
14	4.6065
15	1.4178
16	2.7687
17	1.865
18	1.2293
19	3.1457
20	1.3258
21	3.962
22	3.8682
23	2.3903
24	3.5159
25	3.0711
26	3.5401
27	1.1139
28	1.9481
29	3.9014
30	2.5947
31	0.3479
32	3.3845
33	2.011
34	1.2326
35	1.093
36	2.6134
37	2.5364
38	0.9903
39	2.8778
40	2.9004
41	1.4909
42	2.932
43	3.9289
44	0.9201
45	3.6828
46	3.149
47	3.2218
48	1.2796
49	3.4319
50	2.8234
51	3.8891
52	1.5376
53	2.282
54	3.672
55	3.7684
56	3.1041
57	4.4393
58	1.3609
59	1.6357
60	3.3098
61	3.8578
62	3.2883
63	3.6009
64	4.4721
65	3.5552
66	2.5738
67	1.8909
68	2.9407
69	2.2541
70	2.0619
71	0.8023
72	1.7385
73	3.4516
74	1.3279
75	3.4798
76	2.5006
77	4.1223
78	2.3309
79	3.1607
80	3.3077
81	3.6026
82	2.5431
83	1.3984
84	2.3166
85	3.5185
86	3.2209
87	1.7041
88	3.2098
89	2.3671
90	0.6917
91	2.6017
92	3.6804
93	3.1086
94	3.5702
95	2.093
96	2.6166
97	3.0871
98	2.6879
99	4.346
100	1.7477
101	1.6079
102	4.5582
103	2.6577
104	3.9826
105	3.2032
106	3.2878
107	2.6456
108	3.7744
109	0.5604
110	1.746
111	4.2224
112	3.3557
113	2.3865
114	1.9808
115	3.1839
116	3.0526
117	6.1793
118	3.1687
119	1.4623
120	2.0984
121	1.6137
122	0.8414
123	3.0283
124	1.1115
125	2.6483
126	3.6244
127	2.0404
128	3.1537
129	2.1666
130	3.3228
131	0.274
132	1.514
133	3.4736
134	2.1005
135	0.1948
136	3.0937
137	1.6976
138	0.939
139	0.8825
140	2.457
141	1.9553
142	0.3425
143	2.812
144	2.8126
145	1.4304
146	2.6756
147	3.7483
148	0.9085
149	3.6163
150	3.1893
151	3.0746
152	1.1068
153	3.2667
154	2.7946
155	3.7133
156	0.5955
157	2.1448
158	3.4104
159	3.5417
160	2.9979
161	4.2631
162	1.1783
163	1.4448
164	2.6139
165	3.1971
166	2.0509
167	3.4417
168	4.1572
169	3.43
170	2.1071
171	1.9833
172	2.8111
173	1.8067
174	1.7818
175	0.6874
176	1.5754
177	3.3577
178	1.2217
179	3.4715
180	2.2801
181	3.8417
182	2.3384
183	3.0693
184	3.1965
185	3.277
186	2.3142
187	1.0778
188	2.2525
189	3.3679
190	3.1642
191	1.7636
192	3.0814
193	2.3305
194	0.5887
195	2.4449
196	3.6778
197	3.0258
198	3.4317
199	1.9397
200	2.66
201	3.0217
202	2.6055
203	4.1174
204	1.4329
205	1.456
206	4.3358
207	1.8338
208	3.2491
209	2.9821
210	3.1016
211	2.3296
212	3.67
213	0.3431
214	1.7702
215	4.0617
216	3.3399
217	2.2139
218	1.9349
219	3.0363
220	2.8551
221	6.0384
222	2.733
223	1.4181
224	2.2736
225	1.445
226	1.012
227	2.9938
228	0.9799
229	2.7636
230	3.4888
231	1.4023
232	2.9939
233	1.9725
234	3.2039
235	0.2165
236	1.3162
237	3.2301
238	1.9304
239	0.1286
240	3.0433
241	1.6187
242	0.8539
243	0.8636
244	2.4764
245	2.4081
246	0.27
247	2.7232
248	2.7211
249	1.3177
250	2.661
251	3.5846
252	0.9601
253	3.4598
254	3.0602
255	2.9841
256	1.1982
257	3.2067
258	2.9793
259	3.4663
260	0.4184
261	1.941
262	3.2635
263	3.3787
264	2.9686
265	4.1261
266	0.7681
267	1.3706
268	2.6938
269	2.9927
270	2.451
271	3.3449
272	4.3106
273	3.2673
274	2.0835
275	1.6642
276	2.7212
277	1.739
278	1.5942
279	0.6201
280	1.6058
281	3.2956
282	1.0781
283	3.4155
284	2.3608
285	3.8378
286	2.216
287	2.969
288	3.078
289	3.111
290	2.5698
291	0.8887
292	2.2598
293	3.3522
294	3.0827
295	1.8491
296	2.963
297	2.324
298	0.3146
299	2.338
300	3.165
301	3.0382
302	3.3517
303	1.6804
304	2.4742
305	2.928
306	2.5717
307	3.9857
308	1.4891
309	1.4602
310	4.3335
311	1.4095
312	3.4425
313	2.9977
314	3.0892
315	2.3743
316	3.5966
317	0.221
318	1.7119
319	3.8826
320	3.2198
321	2.2881
322	1.9299
323	2.9584
324	2.8279
325	5.0454
326	2.5329
327	1.2063
328	1.529
329	1.3828
330	1.1636
331	2.9532
332	0.9096
333	2.2699
334	3.4065
335	1.1571
336	2.7673
337	2.0016
338	3.1885
339	0.1597
340	1.3597
341	3.1826
342	1.8687
343	0.124
344	3.0461
345	1.5306
346	0.8534
347	0.8315
348	2.513
349	1.9055
350	0.1538
351	2.6785
352	2.5331
353	1.3519
354	2.7107
355	3.5082
356	0.8784
357	3.5775
358	3.2031
359	2.8371
360	1.0184
361	3.1151
362	2.4591
363	3.6856
364	0.2365
365	1.9503
366	3.0907
367	3.5475
368	2.9326
369	4.0918
370	0.9429
371	1.3359
372	2.6431
373	2.9817
374	2.5441
375	3.2088
376	3.6284
377	3.2622
378	2.0045
379	1.4462
380	2.6885
381	1.6471
382	1.5554
383	0.5694
384	1.5657
385	3.1884
386	0.9035
387	3.3173
388	2.1493
389	3.7183
390	2.1309
391	2.9704
392	2.9682
393	2.9645
394	2.5978
395	0.6927
396	1.9226
397	3.26
398	3.0486
399	1.7433
400	2.9618
401	2.3385
402	0.2962
403	2.3948
404	3.2279
405	2.941
406	3.3388
407	1.5273
408	2.3498
409	2.8747
410	2.5665
411	3.8551
412	1.3532
413	1.3391
414	4.2702
415	1.3476
416	3.4074
417	2.8657
418	3.0391
419	2.3632
420	3.6406
421	0.3737
422	1.7399
423	3.7589
424	3.0729
425	2.1185
426	1.7384
427	2.9213
428	2.7115
429	3.5589
430	2.1957
431	1.4018
432	1.7301
433	1.2703
434	0.8436
435	3.0139
436	0.8058
437	2.5443
438	3.4438
439	1.1265
440	2.7684
441	1.9146
442	3.0945
443	0.1738
444	1.3955
445	3.0327
446	1.7721
447	0.1373
448	2.9658
449	1.5172
450	0.835
451	0.9932
452	2.4909
453	2.016
454	0.1822
455	2.7246
456	2.6869
457	1.303
458	2.6062
459	3.4807
460	0.9399
461	3.4466
462	2.9181
463	2.7966
464	0.9443
465	3.1226
466	2.4087
467	3.3684
468	0.1882
469	1.8939
470	3.1041
471	3.4498
472	2.9072
473	4.0097
474	0.7923
475	1.3125
476	2.4957
477	2.4293
478	1.7776
479	3.3237
480	4.0556
481	3.1288
482	1.4056
483	1.0957
