Step	Loss
1	1.6479
2	4.6509
3	5.4345
4	3.8545
5	4.882
6	5.0047
7	1.9542
8	2.1026
9	4.6123
10	4.4327
11	4.279
12	2.032
13	5.0175
14	1.0085
15	5.9026
16	2.2796
17	4.6997
18	4.2088
19	4.5089
20	4.0986
21	4.3826
22	2.7467
23	3.9564
24	4.5142
25	4.7102
26	4.2971
27	4.3218
28	3.9832
29	1.7876
30	4.9191
31	4.332
32	4.9498
33	2.5051
34	5.9217
35	3.5399
36	1.7697
37	1.1292
38	2.1246
39	5.3674
40	4.5724
41	3.3908
42	3.8833
43	4.6422
44	0.8185
45	3.1933
46	1.5991
47	4.6892
48	4.8209
49	2.6345
50	2.5931
51	1.4781
52	4.7508
53	4.2738
54	3.0461
55	4.1676
56	5.2538
57	2.9594
58	3.1485
59	2.1066
60	3.0387
61	4.3661
62	2.5135
63	4.6344
64	3.5743
65	2.7557
66	4.422
67	2.9256
68	1.3316
69	3.0052
70	4.1301
71	1.383
72	2.6083
73	2.0194
74	2.2629
75	4.4202
76	3.1091
77	3.9446
78	1.4716
79	8.1678
80	4.0998
81	3.3745
82	5.2739
83	4.8056
84	3.1349
85	3.9579
86	2.7831
87	3.9879
88	1.9629
89	2.0827
90	4.1748
91	2.5257
92	2.3566
93	3.0887
94	3.7327
95	3.208
96	0.8031
97	4.1244
98	2.4246
99	4.2371
100	2.8515
101	2.3655
102	4.001
103	0.7433
104	3.3652
105	1.2052
106	3.9595
107	4.1777
108	1.3572
109	3.6647
110	4.3228
111	1.1014
112	1.4134
113	3.8422
114	3.4238
115	3.4154
116	1.4289
117	4.1587
118	1.0751
119	4.4325
120	2.2475
121	4.3256
122	3.6848
123	3.87
124	3.2366
125	3.8228
126	2.1973
127	3.473
128	3.596
129	3.9315
130	3.5626
131	3.7399
132	3.1033
133	1.2085
134	4.3554
135	3.7922
136	4.4119
137	1.7554
138	4.8454
139	2.9043
140	1.2795
141	0.4624
142	1.9085
143	4.4215
144	3.9099
145	3.1856
146	3.4353
147	4.1569
148	0.7074
149	2.7808
150	1.2903
151	4.0759
152	3.8341
153	2.3558
154	1.9997
155	0.9377
156	4.2434
157	3.9125
158	2.7174
159	3.6126
