Step	Loss
1	2.4667
2	2.8521
3	2.938
4	2.0173
5	1.0378
6	1.7251
7	3.0913
8	1.7006
9	4.0393
10	1.1716
11	3.9527
12	3.2104
13	0.8604
14	2.737
15	1.9082
16	2.9698
17	3.2983
18	2.6287
19	2.9432
20	3.2976
21	3.0921
22	3.7618
23	2.6339
24	3.0596
25	2.5991
26	4.1885
27	3.2322
28	2.594
29	3.0905
30	3.136
31	1.2006
32	3.1168
33	3.7604
34	2.2048
35	2.7477
36	3.368
37	1.2177
38	2.5002
39	1.6112
40	2.6652
41	4.2277
42	1.6255
43	3.3474
44	1.4698
45	3.2769
46	1.6299
47	3.156
48	2.5385
49	3.0553
50	2.4835
51	0.6883
52	2.7557
53	1.6755
54	2.9569
55	2.9831
56	0.2792
57	0.5728
58	3.0762
59	3.2011
60	2.3435
61	1.2069
62	2.3144
63	1.9779
64	2.7814
65	2.7643
66	2.2998
67	0.9082
68	2.1859
69	3.0153
70	2.1554
71	2.861
72	2.8494
73	2.4016
74	2.3423
75	1.9722
76	2.9687
77	0.806
78	2.6417
79	2.2318
80	4.0333
81	2.9156
82	2.9552
83	5.031
84	1.2813
85	3.2437
86	1.7567
87	3.1726
88	2.745
89	5.5247
90	0.1646
91	3.549
92	2.8828
93	0.3038
94	1.9441
95	2.7743
96	2.887
97	1.6743
98	2.0525
99	1.6032
100	2.65
101	2.6323
102	3.9826
103	2.9579
104	2.5763
105	2.0605
106	2.2443
107	2.8225
108	1.5977
109	0.8412
110	1.3999
111	2.6907
112	1.0938
113	3.711
114	0.9094
115	3.2056
116	2.9215
117	0.7575
118	2.3746
119	1.6606
120	2.818
121	3.0512
122	2.4932
123	2.7513
124	3.11
125	2.8008
126	3.5063
127	2.4787
128	2.912
129	2.3734
130	3.9116
131	3.1732
132	2.309
133	2.8596
134	3.1842
135	0.9092
136	2.996
137	3.1201
138	1.8692
139	2.5545
140	3.2605
141	1.237
142	2.1206
143	1.3783
144	2.5244
145	3.9178
146	1.3737
147	2.9447
148	1.3429
149	3.1333
150	1.3704
151	0.1247
152	2.2985
153	2.8956
154	2.4968
155	0.4865
156	2.6259
157	1.1744
158	2.581
159	2.8317
160	0.1894
161	0.3884
162	2.8859
163	3.1408
164	2.1382
165	0.7435
166	2.2652
167	1.8464
168	2.5484
169	2.5658
170	2.2673
171	0.925
172	2.0167
173	2.8435
174	1.2858
175	2.8051
176	2.5514
177	2.288
178	2.3622
179	1.8534
180	2.7928
181	0.8006
182	1.1422
183	2.1573
184	3.893
185	2.9603
186	2.6692
187	3.2601
188	0.6449
189	3.1941
190	1.518
191	3.072
192	2.7354
193	3.7931
194	0.0848
195	3.2819
196	2.7269
197	0.1937
198	0.5011
199	2.6455
200	2.7972
201	1.1398
202	1.9922
203	1.1488
204	2.5455
205	2.5271
206	3.5118
207	2.8592
208	2.5083
209	1.1455
210	2.1694
211	2.7666
212	1.5043
213	0.7006
214	1.2622
215	2.673
216	0.9311
217	2.7016
218	0.8247
219	3.1448
220	2.7756
221	0.6903
222	2.2696
223	1.4792
224	2.7107
225	3.0166
226	2.3856
227	2.6657
228	2.9139
229	2.7249
230	3.3079
231	2.3786
232	2.9206
233	2.2504
234	3.7748
235	3.0644
236	2.2239
237	2.6957
238	2.6143
239	0.7124
240	2.8717
241	2.7072
242	1.7714
243	2.5255
244	3.1562
245	1.1988
246	2.195
247	1.0813
248	2.3921
249	3.5823
250	0.9585
251	2.3911
252	1.2097
253	3.0324
254	1.3811
255	0.0038
256	2.2705
257	2.8026
258	2.2363
