Step	Loss
1	5.2182
2	3.2782
3	8.117
4	2.4775
5	2.2127
6	2.1698
7	4.6058
8	1.2217
9	2.7314
10	5.436
11	3.1417
12	1.8828
13	1.6345
14	4.8949
15	3.0643
16	2.5714
17	0.0875
18	1.8917
19	4.024
20	1.8642
21	1.8382
22	1.8606
23	3.2602
24	3.5569
25	2.7578
26	3.7886
27	2.8688
28	2.1796
29	2.6056
30	1.4355
31	2.7688
32	2.4092
33	2.9001
34	0.5655
35	0.5375
36	2.7514
37	1.721
38	2.7173
39	2.1924
40	2.5213
41	2.45
42	2.3768
43	1.4461
44	2.5664
45	3.3365
46	3.0978
47	1.4887
48	3.2833
49	2.0191
50	0.5729
51	2.7395
52	1.4602
53	2.6975
54	3.097
55	1.6075
56	2.0618
57	3.3768
58	1.9793
59	2.9453
60	2.4719
61	1.482
62	2.2155
63	3.8107
64	3.0534
65	3.3583
66	1.538
67	3.3079
68	0.7395
69	1.1991
70	0.6069
71	3.0739
72	1.901
73	2.8439
74	1.5755
75	1.518
76	0.5586
77	1.8315
78	2.7602
79	0.7318
80	0.8394
81	3.503
82	2.3169
83	3.7671
84	1.4001
85	2.8563
86	1.416
87	1.7351
88	2.3097
89	3.7156
90	0.129
91	3.6441
92	3.7282
93	2.2467
94	0.4175
95	3.0861
96	2.4045
97	3.4482
98	2.6069
99	0.3119
100	1.4581
101	0.8384
102	2.6252
103	3.1179
104	0.3944
105	3.741
106	2.9156
107	2.3096
108	2.1898
109	1.812
110	1.6947
111	3.71
112	0.9378
113	1.8661
114	4.8819
115	2.762
116	1.1856
117	1.2897
118	4.1575
119	2.6913
120	1.5026
121	0.0734
122	1.8062
123	3.2808
124	1.6281
125	1.7105
126	1.6343
127	3.0626
128	3.2138
129	2.5885
130	3.4851
131	2.6671
132	1.9375
133	2.2844
134	0.9469
135	2.6554
136	2.1939
137	2.7447
138	0.4517
139	0.0928
140	2.5712
141	1.6143
142	2.2321
143	1.9758
144	2.3683
145	2.2859
146	2.2052
147	1.3328
148	2.1796
149	3.199
150	2.8342
151	1.0471
152	3.2768
153	1.8955
154	0.5128
155	2.5999
156	1.3799
157	2.6589
158	2.8989
159	1.4798
160	1.8826
161	2.8967
162	1.842
163	2.66
164	2.0129
165	1.2052
166	2.0227
167	3.2358
168	2.9436
169	3.2062
170	1.3182
171	2.9872
172	0.5188
173	0.4893
174	0.3602
175	2.9457
176	1.4563
177	2.7847
178	1.4039
179	1.2494
180	0.4939
181	1.7088
182	2.6697
183	0.7315
184	0.5609
185	3.3886
186	2.2774
187	3.7138
188	0.9528
189	2.8177
190	1.3374
191	1.5773
192	2.1978
193	3.5965
194	0.1323
195	3.4293
196	3.3337
197	2.1916
198	0.153
199	2.9341
200	2.2225
201	3.335
202	2.521
203	0.1466
204	1.3355
205	0.8026
206	2.4963
207	2.9415
208	0.3807
209	3.1611
210	2.897
211	1.6476
212	2.0945
213	1.7337
214	1.4143
215	3.0876
216	0.5475
217	1.6957
218	4.4792
219	2.6114
220	1.2503
221	1.0313
222	3.7894
223	2.5416
224	1.0998
225	0.0722
226	1.6777
227	3.1449
228	1.4914
229	1.4044
230	1.3589
231	2.9816
232	3.2357
233	2.5026
234	3.2124
235	2.5708
236	1.8437
237	2.1967
238	0.4834
239	2.6512
240	2.1649
241	2.6417
242	0.435
243	0.0859
244	2.439
245	1.5493
246	2.1048
247	1.8751
248	2.3427
249	2.2149
250	2.0776
251	1.1029
252	1.9088
253	3.1859
254	2.8346
255	0.7693
256	3.1297
257	1.807
258	0.5107
259	2.5
260	1.2951
261	2.1379
262	2.6132
263	1.3493
264	1.8073
265	2.4681
266	1.786
267	2.4789
268	1.665
269	1.2237
270	1.9587
271	2.6239
272	2.8727
273	3.1381
274	1.1351
275	2.8097
276	0.5026
277	0.2196
278	0.218
279	2.884
280	1.1844
281	2.5784
282	1.3985
283	1.2415
284	0.4787
285	1.4216
286	2.6334
287	0.6806
288	0.5088
289	3.3432
290	2.0527
291	3.6492
292	0.4493
293	2.6501
294	1.2739
295	1.5062
296	2.0881
297	3.4702
298	0.0347
299	3.3705
300	3.102
301	2.1135
302	0.0902
303	2.873
304	2.2235
305	3.2905
306	2.5592
307	0.0783
308	1.2231
309	0.7907
310	2.3779
311	2.8331
312	0.3555
313	2.7344
314	2.8187
315	0.248
316	2.0941
317	1.6805
318	1.2639
319	2.3383
320	0.1766
321	1.6096
322	4.1157
323	2.5515
324	1.0528
325	0.9539
326	3.2991
327	2.5226
328	1.078
329	0.0615
330	1.6839
331	2.933
332	1.4352
333	1.2841
334	1.1977
335	2.928
336	3.2759
337	2.3367
338	3.2085
339	2.3621
340	1.6415
341	2.0518
342	0.4586
343	2.5614
344	2.0293
345	2.6751
346	0.4132
347	0.0611
348	2.3864
349	1.3763
350	1.9753
351	1.6329
352	2.2582
353	2.1772
354	2.0509
355	0.8985
356	1.579
357	3.0511
358	2.7226
359	0.5999
360	3.0749
361	1.7431
362	0.4845
363	2.4588
364	1.2185
365	2.3023
366	2.536
367	1.3906
368	1.7735
369	2.5678
370	1.6627
371	2.4278
372	1.3406
373	0.9787
374	1.888
375	2.5064
376	2.7671
377	3.0606
378	1.1615
379	2.5364
380	0.3997
381	0.3383
382	0.2569
383	2.8223
384	0.9499
385	2.4706
