Step	Loss
1	2.1582
2	2.7642
3	2.6052
4	1.9166
5	3.9539
6	2.6694
7	2.3382
8	1.1674
9	3.3345
10	1.0371
11	3.6233
12	3.2754
13	0.553
14	0.3291
15	0.808
16	2.5115
17	2.4899
18	3.0893
19	1.0553
20	2.1525
21	2.6049
22	0.2806
23	0.8872
24	1.0765
25	2.385
26	2.72
27	1.7525
28	1.6229
29	2.4712
30	0.6016
31	1.2887
32	3.6694
33	3.0711
34	1.0595
35	2.3928
36	1.6042
37	1.0537
38	1.3779
39	0.1916
40	2.4376
41	1.73
42	0.2317
43	2.5808
44	2.3619
45	0.1318
46	1.6045
47	2.6699
48	0.5066
49	1.964
50	2.5427
51	3.4127
52	1.0851
53	1.8887
54	2.7016
55	2.1299
56	3.0455
57	2.7077
58	2.1328
59	2.434
60	0.1709
61	4.1053
62	2.399
63	2.8225
64	1.7234
65	0.3723
66	1.1712
67	1.8157
68	2.5851
69	2.8066
70	1.7742
71	3.2465
72	0.442
73	2.411
74	2.4181
75	0.2717
76	1.031
77	2.2982
78	0.9614
79	1.1671
80	0.6162
81	1.3576
82	1.8568
83	2.396
84	2.308
85	0.1646
86	2.1938
87	2.1786
88	0.1615
89	1.1766
90	5.4677
91	1.8109
92	0.8781
93	0.0717
94	3.0191
95	2.0007
96	3.4433
97	0.7007
98	2.3007
99	2.2616
100	1.6803
101	0.2842
102	2.4097
103	0.6623
104	1.3461
105	0.9732
106	2.455
107	2.4755
108	1.6616
109	3.0482
110	2.3472
111	2.0761
112	0.8711
113	3.0195
114	0.7332
115	3.19
116	3.1944
117	0.2417
118	0.1832
119	0.182
120	2.5166
121	2.4088
122	3.0472
123	0.6819
124	1.9248
125	2.4249
126	0.0256
127	0.8558
128	0.9605
129	2.2969
130	2.6691
131	1.4171
132	1.3077
133	2.3881
134	0.5553
135	1.0279
136	3.6516
137	2.967
138	1.044
139	2.2459
140	1.6263
141	0.785
142	1.1341
143	0.1373
144	1.3721
145	1.5915
146	0.1848
147	2.5067
148	2.2661
149	0.0431
150	1.2849
151	2.5889
152	0.524
153	1.9197
154	2.4124
155	3.2245
156	0.9221
157	1.9124
158	2.5433
159	2.0476
160	2.9734
161	2.5326
162	2.0624
163	2.2663
164	0.1478
165	4.2002
166	2.3669
167	2.8066
168	1.5226
169	0.2518
170	0.6121
171	1.796
172	2.4284
173	2.7466
174	1.7105
175	3.1796
176	0.5021
177	2.2989
178	2.3519
179	0.2667
180	0.9004
181	2.1862
182	0.741
183	0.8602
184	0.2753
185	1.2395
186	1.8444
187	2.3116
188	2.0559
189	0.2965
190	1.8111
191	2.1204
192	0.0905
193	0.9868
194	4.1306
195	1.6923
196	0.5504
197	0.1394
198	2.9274
199	1.9335
200	3.3098
201	0.5627
202	2.1889
203	2.0534
204	1.4646
205	0.2094
206	2.4745
207	0.6158
208	1.2401
209	0.8377
210	2.3911
211	2.3956
212	1.6404
213	2.6034
214	2.158
215	1.9568
216	0.6229
217	2.8521
218	0.48
219	2.8741
220	3.0592
221	0.2451
222	0.1543
223	0.1717
224	2.4543
225	2.3912
226	2.5551
227	0.3753
228	1.6713
229	2.4012
230	0.0102
231	0.8325
232	0.9524
233	2.2528
234	2.5525
235	1.2977
236	1.2086
237	2.361
238	0.4822
239	1.0721
240	3.5118
241	2.8357
242	0.9117
243	2.1874
244	1.4594
245	0.4177
246	1.0232
247	0.1105
248	0.6866
249	1.3929
250	0.107
251	2.5004
252	2.1503
253	0.054
254	1.1381
255	2.4355
256	0.5167
257	1.8919
258	2.3674
259	3.0961
260	0.8321
261	1.7874
262	1.9381
263	1.8984
264	2.9166
265	2.4674
266	2.0351
267	2.2007
268	0.134
269	4.179
270	2.3342
271	2.7649
272	1.384
273	0.2096
274	0.3313
275	1.6161
276	2.0489
277	2.2578
278	1.6883
279	3.1919
280	0.4379
281	2.2812
282	2.3196
283	0.1779
284	0.8643
285	1.9916
286	0.508
287	0.8606
288	0.1988
289	1.1294
290	1.8395
291	2.1526
292	1.876
293	0.0171
294	1.6567
295	2.0283
296	0.0572
297	0.7984
298	1.7799
299	1.7502
300	0.4778
