Step	Loss
1	3.3974
2	2.8639
3	3.1746
4	3.0945
5	3.7133
6	1.2614
7	3.2561
8	3.3006
9	2.0011
10	3.997
11	2.6515
12	1.1641
13	2.7731
14	3.7315
15	3.0835
16	3.1836
17	3.1618
18	1.4856
19	3.4244
20	1.065
21	3.6037
22	2.1864
23	0.9335
24	2.6719
25	2.8468
26	2.0616
27	0.3654
28	0.5762
29	0.3839
30	1.6878
31	0.4627
32	2.4855
33	1.5514
34	3.178
35	3.3506
36	1.5431
37	3.2607
38	2.923
39	2.8665
40	3.1782
41	3.8335
42	2.2618
43	2.6977
44	1.4463
45	2.9589
46	2.11
47	1.7281
48	2.9332
49	1.3948
50	2.4879
51	1.4648
52	3.1823
53	1.3323
54	3.7472
55	1.7579
56	2.9669
57	2.9841
58	2.3958
59	2.694
60	0.191
61	3.201
62	2.8247
63	0.6376
64	0.6949
65	2.522
66	2.6813
67	1.383
68	2.7208
69	1.5388
70	3.5196
71	0.867
72	2.5776
73	1.6727
74	0.0631
75	2.3478
76	2.5997
77	0.1166
78	2.7216
79	3.1184
80	1.8128
81	0.4717
82	1.1081
83	3.3242
84	1.6773
85	3.7734
86	0.1702
87	1.3513
88	2.9021
89	2.7999
90	0.161
91	3.2591
92	3.0026
93	2.2037
94	2.5451
95	2.7511
96	1.9654
97	3.2222
98	2.3676
99	0.1986
100	3.6005
101	3.112
102	3.1583
103	2.7461
104	3.656
105	3.0586
106	2.1248
107	2.9002
108	2.7085
109	2.9503
110	0.8497
111	2.7595
112	3.1224
113	1.2903
114	3.4786
115	2.3963
116	0.9129
117	2.4284
118	3.0336
119	2.9162
120	2.9106
121	2.9139
122	0.8215
123	2.8741
124	0.8568
125	2.5382
126	1.0042
127	0.7605
128	2.2415
129	2.6701
130	1.5722
131	0.0925
132	0.4064
133	0.0616
134	1.4273
135	0.4267
136	2.0558
137	1.0511
138	2.9699
139	2.8368
140	1.3937
141	3.1645
142	2.6557
143	2.7562
144	3.0098
145	3.188
146	1.9903
147	2.472
148	1.1683
149	2.8635
150	1.9515
151	1.5062
152	2.7184
153	1.2107
154	2.42
155	1.2875
156	2.8016
157	1.236
158	3.5168
159	1.0921
160	2.7083
161	2.8093
162	1.5815
163	2.4122
164	0.1064
165	2.9576
166	2.5867
167	0.2075
168	0.6254
169	2.4376
170	2.5
171	1.2282
172	2.5966
173	1.2161
174	3.3152
175	0.2737
176	2.4666
177	1.5961
178	0.0414
179	2.1635
180	2.219
181	0.0679
182	2.6388
183	2.9406
184	1.5197
185	0.4141
186	0.9356
187	3.1624
188	1.6454
189	3.7272
190	0.1017
191	1.1712
192	2.8038
193	2.6267
194	0.1793
195	3.0565
196	2.8142
197	1.5747
198	2.349
199	2.6774
200	1.8165
201	3.2164
202	1.3678
203	0.1342
204	3.2823
205	2.9862
206	2.9231
207	2.6523
208	3.1921
209	3.113
210	1.8635
211	2.7606
212	2.6388
213	2.8776
214	0.8223
215	2.7047
216	2.9903
217	1.108
218	2.5249
219	2.3772
220	0.7823
221	2.3428
222	2.6841
223	2.9445
224	2.7972
225	2.7162
226	0.6885
227	2.6915
228	0.7858
229	2.1054
