Step	Loss
1	0.9843
2	2.8619
3	3.0937
4	1.6839
5	2.49
6	3.6494
7	0.3536
8	0.9649
9	2.8611
10	3.9073
11	2.6884
12	0.8304
13	3.1796
14	0.9123
15	2.7377
16	1.09
17	3.8351
18	2.7933
19	2.9127
20	2.1601
21	2.8547
22	1.2017
23	2.5187
24	2.6712
25	2.842
26	2.4063
27	2.7938
28	2.4028
29	0.7182
30	3.173
31	2.7283
32	3.0525
33	1.8586
34	0.6195
35	1.86
36	0.3033
37	0.2968
38	1.3081
39	3.2346
40	2.9001
41	2.2242
42	2.7295
43	3.0953
44	0.2018
45	2.0437
46	0.2955
47	2.6265
48	2.5645
49	1.923
50	1.2824
51	0.2567
52	2.9164
53	3.2158
54	1.5363
55	3.0255
56	2.9685
57	1.5326
58	1.89
59	0.7867
60	2.2049
61	3.0069
62	0.9152
63	3.1241
64	2.2489
65	1.0413
66	3.0251
67	2.0671
68	0.7216
69	0.2138
70	2.4952
71	0.3355
72	1.7297
73	0.9549
74	1.1634
75	3.1015
76	1.6334
77	2.7151
78	0.6545
79	6.0889
80	2.2148
81	2.9341
82	3.7083
83	1.9691
84	1.6666
85	2.7929
86	1.7807
87	2.5052
88	0.6187
89	1.0256
90	1.9524
91	1.5914
92	2.081
93	2.0182
94	2.5483
95	1.5506
96	0.2746
97	2.8379
98	1.2956
99	2.2173
100	1.2463
101	0.8402
102	2.698
103	0.1381
104	2.4171
105	0.4383
106	2.4086
107	2.8712
108	0.3049
109	2.162
110	3.3085
111	0.2878
112	0.5104
113	2.6364
114	0.345
115	2.328
116	0.4919
117	3.0037
118	0.5611
119	2.2198
120	0.0747
121	3.5126
122	2.4492
123	2.747
124	1.892
125	2.5755
126	1.0442
127	2.1292
128	2.3535
129	2.7087
130	2.2821
131	2.6376
132	2.1143
133	0.5874
134	3.0314
135	2.5726
136	2.4351
137	1.5729
138	0.0461
139	1.6474
140	0.1326
141	0.2268
142	0.8444
143	2.7894
144	2.7428
145	2.1065
146	2.5395
147	3.0116
148	0.2196
149	1.9535
150	0.3471
151	2.4637
152	2.1745
153	1.8091
154	1.2053
155	0.2266
156	2.6073
157	3.1551
158	1.3805
159	2.6954
160	0.0713
