Step	Loss
1	5.3779
2	5.1536
3	4.1822
4	4.0589
5	2.6795
6	2.7807
7	4.5847
8	3.0559
9	6.4879
10	3.202
11	5.3118
12	4.1603
13	1.328
14	3.6899
15	3.8458
16	4.0282
17	4.394
18	3.6998
19	3.9861
20	4.5385
21	4.0392
22	5.1597
23	3.7713
24	4.3091
25	4.1622
26	5.2462
27	4.1957
28	4.0054
29	4.2873
30	4.1609
31	3.8214
32	4.1355
33	5.2149
34	3.0417
35	3.9777
36	4.6375
37	2.7621
38	3.393
39	3.1292
40	3.8671
41	5.8247
42	3.1589
43	5.0154
44	2.8423
45	4.5737
46	2.2837
47	6.247
48	3.8101
49	4.0417
50	3.4966
51	1.5026
52	4.0087
53	3.3618
54	4.1051
55	4.1861
56	1.2978
57	2.2639
58	4.2881
59	4.5203
60	3.2451
61	2.3684
62	4.3019
63	3.0484
64	4.1228
65	4.0444
66	3.4773
67	2.0727
68	3.1639
69	4.1452
70	4.3077
71	4.4291
72	4.5446
73	3.3955
74	3.5441
75	2.6681
76	4.1315
77	2.1169
78	4.5882
79	3.0748
80	5.2922
81	4.13
82	3.942
83	5.9313
84	1.7658
85	4.2905
86	3.4979
87	4.0968
88	3.7024
89	7.8557
90	1.7315
91	4.3361
92	4.0824
93	1.3895
94	3.5096
95	4.0681
96	3.8233
97	2.6677
98	3.084
99	3.2892
100	3.5702
101	3.6361
102	4.7636
103	4.2663
104	3.9729
105	2.4693
106	3.2575
107	3.9953
108	2.9738
109	1.9788
110	2.8638
111	3.6395
112	2.4771
113	5.1226
114	1.7407
115	4.8632
116	3.9203
117	1.0812
118	3.3973
119	2.9565
120	3.8444
121	4.0498
122	3.3982
123	3.7783
124	4.201
125	3.9134
126	4.9128
127	3.3657
128	4.1751
129	3.8763
130	4.9805
131	4.0832
132	3.5401
133	3.8008
134	3.886
135	3.294
136	3.957
137	4.6146
138	2.7323
139	3.8094
140	4.0961
141	2.0235
142	3.211
143	2.8634
144	3.6824
145	5.5155
146	2.5312
147	4.4747
148	2.2878
149	4.4319
150	1.8839
151	3.9724
152	3.5579
153	3.8882
154	3.3515
155	1.0406
156	3.8218
157	2.6254
158	4.0384
159	4.0043
160	1.0605
161	1.8334
162	4.1329
163	4.2511
164	3.0435
165	1.9935
166	4.1609
167	2.8384
168	3.9309
169	3.8089
170	3.2669
171	1.7196
172	2.8696
173	4.0064
174	3.7281
175	4.6434
176	4.2222
177	3.2235
178	3.4771
179	2.5148
180	4.082
181	1.7192
182	3.905
183	2.8612
184	5.3429
185	4.0553
186	3.9725
187	6.1949
188	1.8718
189	4.2784
190	3.0375
191	4.0314
192	3.462
193	5.4578
194	0.9916
195	4.3229
196	3.8527
197	1.1886
198	2.3653
199	3.8923
200	3.7839
201	2.0391
202	2.9877
203	2.9755
204	3.4471
205	3.5397
206	4.7524
207	4.1525
208	3.7202
209	2.8898
210	3.0473
211	3.8671
212	2.7592
213	1.8004
214	2.6153
215	3.6352
216	2.5903
217	4.5864
218	1.7279
219	4.8
220	3.786
221	0.9958
222	3.329
223	2.7632
224	3.6825
225	3.9303
226	3.3214
227	3.6974
228	4.1986
229	3.8282
230	4.7551
231	3.3549
232	3.9836
233	3.7725
234	4.9547
235	3.8949
236	3.4072
237	3.7669
238	4.04
239	2.8894
240	3.9072
241	5.0637
242	2.6371
243	3.628
244	4.131
245	1.7537
246	3.1432
247	2.4864
248	3.4956
249	5.3911
250	2.5177
251	4.5752
252	2.2158
253	4.2957
254	1.5872
255	2.7309
256	3.5193
257	3.7649
258	3.2723
259	0.9163
260	3.6954
261	2.7641
262	3.6173
263	3.8319
264	0.8425
265	1.5744
266	4.0056
267	4.1699
268	2.8335
269	1.7674
270	4.2499
271	2.6781
272	3.8291
273	3.6975
274	3.1848
275	1.8088
276	2.7691
277	3.9673
278	3.4946
279	4.1903
280	4.0495
281	3.1911
282	2.9967
283	2.2921
284	3.8856
285	1.6002
286	3.1186
287	2.6931
288	5.1882
289	3.9384
290	3.708
291	5.8213
292	1.7405
293	4.1935
294	2.9114
295	3.9158
296	3.3994
297	5.9032
298	0.7853
299	4.2071
300	3.7804
301	0.849
302	2.7844
303	3.6887
304	3.5951
305	2.4211
306	2.9224
307	2.7326
308	3.3509
309	3.4814
310	4.5894
311	4.012
312	3.9618
313	2.6678
314	3.38
315	3.7879
316	2.5414
317	1.85
318	2.4324
319	3.4258
320	2.0617
321	4.7729
322	1.5632
323	4.7871
324	3.6759
325	1.0002
326	3.3422
327	3.0413
328	3.597
329	3.8008
330	3.2183
331	3.5808
332	4.1414
333	3.7713
334	4.67
335	3.2011
336	3.9833
337	3.6186
338	4.7896
339	3.8954
340	3.5302
341	3.5489
342	3.7705
343	3.1706
344	3.8091
345	4.1676
346	2.7894
347	3.5381
348	3.956
349	2.0875
350	3.0846
351	2.2308
352	3.4178
353	5.2134
354	2.1074
355	4.3128
356	2.3273
357	4.2917
358	1.7684
359	2.6334
360	3.4083
361	3.7106
362	3.1618
363	0.8847
364	3.684
365	2.1546
366	3.5188
367	3.7336
368	0.6826
369	1.8696
370	3.8192
371	4.0066
372	3.1138
373	1.7282
374	4.1184
375	2.7472
376	3.7992
377	3.5947
378	3.083
379	1.5823
380	2.5827
381	3.8382
382	3.516
383	4.0877
384	3.7956
385	3.1625
386	3.4304
387	2.1887
388	3.7872
389	1.5684
390	3.4984
391	2.7669
392	5.2612
393	3.8577
394	3.4409
395	5.704
396	1.6172
397	4.2839
398	2.6596
399	3.9445
400	3.3245
401	5.5472
402	0.5229
403	4.2249
404	3.6601
405	1.1955
406	2.1674
407	3.5086
408	3.6783
409	2.1254
410	2.7802
411	2.6584
412	3.2784
413	3.376
414	4.5812
415	3.9647
416	3.4739
417	2.1449
418	2.8117
419	3.7169
420	2.419
421	1.6888
422	2.6274
423	3.529
424	1.9941
425	4.2111
426	1.655
427	4.6271
428	3.6321
429	1.0819
430	2.9926
431	2.307
432	3.5739
433	3.8065
434	3.2155
435	3.5925
436	4.089
437	3.638
438	4.5923
439	3.2127
440	3.9218
441	3.4764
442	4.6916
443	3.849
444	3.4457
