Step	Loss
1	3.0768
2	3.8888
3	4.2223
4	3.0652
5	1.6779
6	3.1373
7	3.9716
8	2.4654
9	5.2002
10	2.1047
11	5.2169
12	4.0922
13	1.2509
14	3.6222
15	3.3744
16	3.9526
17	4.3119
18	3.4464
19	3.9751
20	4.3822
21	4.1771
22	5.1122
23	3.6915
24	4.2755
25	4.0094
26	5.3106
27	4.1337
28	3.4668
29	3.9949
30	4.2573
31	2.7394
32	4.1462
33	4.9911
34	2.9148
35	3.8286
36	4.2586
37	1.8617
38	3.3095
39	2.9723
40	3.8696
41	5.667
42	2.5153
43	4.7146
44	2.3971
45	4.6002
46	1.9311
47	6.3043
48	3.8031
49	3.975
50	3.3375
51	1.2341
52	3.93
53	3.1639
54	4.0726
55	4.1447
56	0.8786
57	1.7488
58	4.1537
59	4.3102
60	3.2585
61	2.2469
62	3.9705
63	2.897
64	3.972
65	4.0285
66	3.2781
67	1.6864
68	3.1594
69	4.1357
70	4.2018
71	4.5306
72	4.2508
73	3.315
74	3.4502
75	2.306
76	4.2173
77	1.493
78	3.3729
79	2.9029
80	5.2499
81	4.1621
82	3.8125
83	6.6192
84	2.0833
85	4.3081
86	3.3159
87	4.0538
88	3.5047
89	6.6095
90	1.5106
91	4.3792
92	4.1577
93	0.556
94	3.0361
95	4.0222
96	3.8953
97	2.1237
98	2.9183
99	3.3964
100	3.5016
101	3.6554
102	4.916
103	4.1978
104	3.755
105	2.4133
106	3.3008
107	3.8761
108	2.4216
109	1.5361
110	2.5044
111	3.6969
112	2.376
113	5.3681
114	1.9353
115	4.9601
116	3.8959
117	1.1433
118	3.4189
119	2.8193
120	3.7466
121	4.0195
122	3.5247
123	3.8156
124	4.2179
125	3.9517
126	4.9124
127	3.3904
128	4.2508
129	3.7301
130	5.0035
131	3.9945
132	3.4523
133	3.8144
134	4.0874
135	2.6203
136	4.0848
137	4.8273
138	2.7348
139	3.6789
140	4.0834
141	1.7669
142	3.2853
143	2.6355
144	3.6676
145	5.5213
146	2.4481
147	4.6185
148	2.2833
149	4.3228
150	1.8801
151	3.9839
152	3.6001
153	3.7914
154	3.2834
155	1.0099
156	3.7966
157	2.589
158	4.0307
159	3.9797
160	0.7892
161	1.4122
162	4.0832
163	4.0738
164	3.2131
165	2.0433
166	3.9284
167	2.7663
168	3.9738
169	3.8186
170	3.1786
171	1.5585
172	2.9506
173	3.9658
174	3.9037
175	4.1654
176	4.1737
177	3.2359
178	3.3414
179	2.1263
180	4.002
181	1.5459
182	2.6712
183	2.789
184	5.4782
185	4.1626
186	3.7664
187	6.1779
188	1.6791
189	4.2124
190	3.0968
191	4.0276
192	3.4416
193	5.3328
194	0.7224
195	4.3475
196	3.8454
197	0.7069
198	2.5643
199	3.7744
200	3.8162
201	2.4186
202	2.952
203	2.6078
204	3.41
205	3.5981
206	4.7209
207	4.0843
208	4.0088
209	2.5073
210	3.4696
211	3.8706
212	2.6598
213	1.4266
214	2.4334
215	3.5391
216	2.0347
217	4.6533
218	1.8665
219	4.5805
220	3.8132
221	1.0594
222	3.3218
223	2.558
224	3.6836
225	3.798
226	3.2678
227	3.6801
