Step	Loss
1	3.8463
2	3.2812
3	4.9821
4	3.6519
5	4.6341
6	3.0219
7	5.1562
8	4.1038
9	5.0413
10	2.6651
11	5.4364
12	5.3991
13	2.7668
14	4.7888
15	3.8148
16	5.0712
17	5.513
18	4.7362
19	5.0977
20	5.6719
21	5.4038
22	5.9846
23	4.8557
24	5.3221
25	4.9021
26	5.7963
27	5.3907
28	3.9475
29	5.161
30	5.3115
31	2.9333
32	4.9744
33	5.714
34	3.6982
35	4.8636
36	4.8785
37	2.9846
38	4.2142
39	4.4434
40	5.2274
41	5.7755
42	3.6979
43	5.3605
44	3.3254
45	5.5515
46	2.7039
47	0.5776
48	4.3301
49	4.9403
50	3.8566
51	1.4752
52	4.7558
53	1.8381
54	5.1534
55	4.7445
56	1.3103
57	2.2625
58	4.8258
59	4.781
60	4.4334
61	2.6776
62	4.6505
63	3.2774
64	4.8074
65	4.7695
66	4.2722
67	2.2787
68	4.2646
69	4.8141
70	2.7179
71	4.2488
72	4.5862
73	4.0754
74	3.5718
75	2.4252
76	4.8009
77	1.5168
78	1.6019
79	4.1019
80	6.5064
81	4.8117
82	4.5375
83	5.486
84	3.9089
85	5.1486
86	3.9772
87	4.7116
88	4.2685
89	4.1034
90	1.9976
91	5.0981
92	4.5273
93	0.6477
94	1.2816
95	4.5226
96	4.5628
97	2.6142
98	3.755
99	2.7016
100	4.368
101	4.2324
102	5.1216
103	4.8085
104	4.3944
105	3.233
106	2.9607
107	4.2627
108	2.7309
109	3.9838
110	2.5569
111	4.6197
112	3.5533
113	5.0272
114	2.0404
115	5.1808
116	4.5208
117	2.0833
118	3.9672
119	3.3417
120	4.2827
121	4.5868
122	4.1372
123	4.2762
124	4.8488
125	4.5105
126	5.2134
127	4.005
128	4.6508
129	4.2125
130	5.194
131	4.5398
132	3.8372
133	4.4519
134	4.3666
135	2.7639
136	4.4438
137	4.5954
138	3.2922
139	4.3228
140	4.1199
141	2.6747
142	3.7446
143	4.2948
144	4.3716
145	5.6811
146	3.258
147	4.3986
148	2.6141
149	5.1165
150	2.0953
151	1.1168
152	4.1228
153	4.3603
154	3.5118
155	1.2152
156	4.0404
157	1.5627
158	4.2888
159	4.1522
160	1.1696
161	2.0767
162	4.3157
163	4.6725
164	3.8053
165	2.2589
166	4.4872
167	3.1572
168	4.4456
169	4.2832
170	3.8589
171	2.0554
172	3.9684
173	4.4632
174	2.1813
175	3.92
176	4.1684
177	3.8361
178	3.2308
179	2.2571
180	4.2618
181	1.5119
182	1.2407
183	3.5638
184	6.0799
185	4.4355
186	4.1055
187	5.8296
188	2.9571
189	4.7569
190	3.4703
191	4.4579
192	3.7742
193	4.9683
194	0.9872
195	4.71
196	4.3224
197	0.4587
198	1.4259
199	4.1932
200	4.25
201	2.2803
202	3.5086
203	2.5522
204	4.0193
205	3.852
206	4.7054
207	4.4664
208	3.8842
209	3.1886
210	2.6871
211	4.0323
212	2.5072
213	3.6778
214	2.4392
215	4.4311
216	2.931
217	4.2188
218	1.5629
219	4.8983
220	4.3228
221	1.7061
222	3.649
223	3.1605
224	4.0982
225	4.4251
226	3.9579
227	4.0962
228	4.6177
229	4.2642
230	5.1492
231	3.7913
232	4.6166
233	4.0279
234	4.936
235	4.348
236	3.6306
237	4.2174
238	4.1598
239	2.6317
240	4.2863
241	4.7644
242	3.1448
243	4.1551
244	3.8663
245	2.4423
246	3.525
247	3.7997
248	4.2416
249	5.8051
250	3.3251
251	4.0085
252	2.54
253	4.9401
254	1.9069
255	1.1318
256	3.7466
257	4.1335
258	3.3934
259	1.2566
260	3.9688
261	1.6816
262	4.1202
263	3.95
264	1.1962
265	1.688
266	4.211
267	4.4476
268	3.7103
269	2.0703
270	4.3855
271	2.963
272	4.1247
273	4.1535
274	3.7557
275	2.2114
276	3.6539
