Step	Loss
1	5.6835
2	4.4968
3	5.5198
4	4.0979
5	4.4202
6	3.8994
7	5.6437
8	4.5455
9	6.4006
10	2.7853
11	6.5371
12	5.9356
13	3.2254
14	5.665
15	4.8111
16	5.452
17	6.005
18	5.0324
19	5.5417
20	6.0135
21	5.9507
22	6.5458
23	5.25
24	5.7217
25	5.6282
26	6.2754
27	5.7769
28	4.0079
29	5.5605
30	6.0161
31	3.0068
32	5.3499
33	6.1387
34	4.1382
35	5.3023
36	5.0919
37	3.2065
38	4.6173
39	5.1577
40	5.5155
41	6.238
42	4.6709
43	6.5022
44	3.9193
45	6.0398
46	2.5602
47	7.5225
48	5.2247
49	5.382
50	4.3779
51	2.1589
52	5.2065
53	2.9245
54	5.7031
55	5.3298
56	2.0934
57	3.2908
58	5.3508
59	5.321
60	4.9821
61	3.5809
62	4.8635
63	3.7598
64	5.1872
65	5.3125
66	4.676
67	2.6018
68	5.1188
69	5.3319
70	4.8448
71	5.1263
72	5.2363
73	4.3963
74	4.1083
75	2.6043
76	5.1918
77	1.9909
78	3.0086
79	4.2571
80	6.5642
81	5.2802
82	5.3046
83	6.4885
84	4.3521
85	5.2355
86	4.6755
87	5.0754
88	4.5501
89	6.8027
90	2.7148
91	5.5363
92	5.2072
93	0.643
94	2.6513
95	5.1339
96	5.0546
97	3.3357
98	4.1351
99	3.9635
100	4.6438
101	4.6042
102	5.613
103	5.2215
104	4.5709
105	4.3499
106	3.7978
107	4.7795
108	3.2067
109	3.7296
110	3.2293
111	4.8227
112	3.4733
113	5.6575
114	2.1806
115	5.8428
116	4.9007
117	2.2711
118	4.556
119	3.8181
120	4.6495
121	5.0481
122	4.3418
123	4.8123
124	5.174
125	4.8339
126	5.8725
127	4.326
128	5.0927
129	4.7779
130	5.4563
131	4.8472
132	3.852
133	4.8937
134	5.1194
135	2.9696
136	4.7611
137	5.5221
138	3.58
139	4.6246
140	4.9626
141	2.8373
142	3.9226
143	4.6333
144	4.7115
145	5.9303
146	4.0498
147	5.4204
148	2.9798
149	5.3803
150	2.1684
151	5.1317
152	4.8594
153	4.6632
154	3.7398
155	1.8914
156	4.5486
157	2.8555
158	4.9693
159	4.6258
160	1.6344
161	2.6666
162	4.6286
163	4.8471
164	4.3384
165	2.8047
166	4.3995
167	3.3608
168	4.644
169	4.8261
170	4.1686
171	2.3066
172	4.3677
173	4.8027
174	4.4849
175	4.3838
176	4.6579
177	4.0922
178	3.9618
179	2.6291
180	4.5626
181	1.7338
182	2.0883
183	3.8032
