Step	Loss
1	3.2249
2	3.9718
3	3.4442
4	4.055
5	4.1714
6	3.1067
7	2.2633
8	8.3059
9	4.2815
10	5.4798
11	2.156
12	2.8774
13	5.1728
14	2.779
15	2.6991
16	3.1083
17	2.6216
18	2.9039
19	4.1465
20	3.6441
21	2.0072
22	2.0274
23	2.3348
24	2.5227
25	3.907
26	3.6634
27	3.2285
28	3.2669
29	1.0385
30	4.9128
31	2.0405
32	2.7727
33	2.4404
34	3.9877
35	4.5924
36	2.5981
37	0.2421
38	2.0031
39	2.7539
40	2.661
41	3.6463
42	3.8254
43	2.2821
44	0.9814
45	2.896
46	3.6045
47	2.745
48	0.8728
49	2.4211
50	2.1781
51	1.1103
52	1.0887
53	3.1509
54	1.972
55	3.6635
56	1.4153
57	2.9445
58	1.7774
59	3.3891
60	1.5009
61	2.6666
62	3.7671
63	2.9295
64	3.0163
65	2.9498
66	2.9062
67	0.7353
68	3.6367
69	2.7176
70	3.3638
71	1.4022
72	0.6963
73	1.78
74	0.8413
75	1.4712
76	3.2979
77	3.8792
78	4.3016
79	2.9746
80	0.7992
81	2.4513
82	1.8832
83	3.0477
84	3.0533
85	5.2128
86	1.6849
87	2.1439
88	0.9091
89	3.4655
90	2.3746
91	3.3582
92	1.363
93	1.3618
94	3.3466
95	2.3771
96	3.1844
97	3.3824
98	2.8376
99	1.3356
100	3.11
101	4.2064
102	3.1608
103	2.1161
104	2.4385
105	2.1593
106	3.8022
107	3.2678
108	3.3912
109	3.8288
110	1.8417
111	1.6524
112	2.2878
113	3.4776
114	2.9529
115	1.4653
116	2.7392
117	1.3352
118	0.9293
119	0.3269
120	2.7272
121	0.6565
122	2.6907
123	2.5625
124	3.637
125	1.6926
126	2.3291
127	2.2947
128	2.4991
129	2.9611
130	3.5649
131	3.1236
132	2.3779
133	0.8943
134	4.8792
135	1.9431
136	2.7512
137	2.27
138	3.8579
139	4.2785
140	2.7059
141	0.2049
142	1.8766
143	2.6533
144	2.6009
145	3.4859
146	3.5263
147	2.5614
148	1.0515
149	2.7413
150	3.5102
151	2.7101
152	0.7622
153	2.2705
154	2.3447
155	0.7052
156	0.8708
157	2.8945
158	1.9152
159	3.6504
160	1.4791
161	2.9286
162	1.6917
163	3.3247
164	0.983
165	2.4244
166	3.6726
167	2.8792
168	2.9167
169	2.9676
170	2.9594
171	0.2876
172	3.5582
173	2.2537
174	3.4412
175	1.4803
176	0.6552
177	1.6573
178	0.6756
179	1.4567
180	3.3575
181	3.723
182	4.3389
183	2.9144
184	0.6868
185	2.2878
186	2.0671
187	2.8959
188	3.0398
189	4.6872
190	1.3869
191	2.2939
192	0.9371
193	3.5386
194	2.0872
195	3.2436
196	0.6187
197	1.0992
198	3.3226
199	2.3694
200	3.104
201	3.2527
202	2.6618
203	1.3772
204	2.9843
205	3.9241
206	3.1673
207	2.212
208	2.3598
209	2.227
210	3.6874
211	3.2294
212	3.3066
213	3.7725
214	1.9322
215	1.4082
216	1.2733
217	3.448
218	2.7578
219	1.3356
220	2.7811
221	1.5722
222	0.6678
223	0.0858
224	2.7099
225	0.1832
226	2.5132
227	2.5441
228	3.5521
229	1.6273
230	2.1219
231	2.4732
232	2.4431
233	2.7816
234	3.5259
235	3.1572
236	2.5634
237	1.0112
238	4.3472
239	1.9528
240	2.7619
241	2.1456
242	3.6478
243	4.177
244	2.4655
245	0.2117
246	1.7712
247	2.6891
248	2.5961
249	3.3496
250	3.4704
251	1.7597
252	0.952
253	2.7706
254	3.598
255	2.6625
256	0.8041
257	1.8652
258	1.9684
259	0.563
260	0.7916
261	2.9787
262	1.8012
263	3.5998
264	1.5735
265	3.0649
266	1.6566
267	3.281
268	0.9208
269	2.5098
270	3.6597
271	2.8213
272	2.9414
273	3.0457
274	2.8453
275	0.1129
276	3.5918
277	1.6848
278	3.2765
279	1.703
280	0.6647
281	1.5152
282	0.6546
283	1.8618
284	3.1739
285	3.7674
286	4.014
287	2.9303
288	0.2069
289	2.2957
290	1.5978
291	2.9189
292	2.6855
293	4.4743
294	1.2015
295	2.0974
296	0.7705
297	3.2029
298	2.3741
299	3.2638
300	1.0382
301	1.1601
302	3.2099
303	1.9945
304	3.1025
305	3.2861
306	2.6763
307	1.3374
308	2.9367
309	3.8797
310	3.1766
311	1.9432
312	2.3906
313	2.1994
314	3.6607
315	3.1251
316	3.1879
317	3.8431
318	2.1273
319	1.3289
320	0.98
321	3.3547
322	3.2709
323	1.3726
324	2.7934
325	1.1234
326	0.5096
327	0.0731
328	2.5116
329	0.4731
330	2.4958
331	3.0791
332	3.6021
333	1.5087
334	2.1971
335	2.4739
336	2.3896
337	2.9115
338	3.5059
339	3.1066
340	2.4178
341	0.7438
342	4.4103
343	1.8205
344	2.6734
345	2.2168
346	3.5687
347	4.0088
348	2.5159
349	0.2756
350	1.5757
351	2.6451
352	2.5792
353	3.2468
354	3.422
355	1.5006
356	0.8837
357	2.6815
358	3.3331
359	2.6383
360	0.6273
361	1.7499
362	1.4043
363	0.3444
364	0.861
365	2.9502
366	1.9804
367	3.542
368	1.5074
369	2.8452
370	1.6847
371	3.2476
372	0.8155
373	2.3601
374	3.8261
375	2.7806
376	2.93
377	3.0559
378	2.7645
379	0.0824
380	3.4432
381	1.7917
382	3.3942
383	1.1933
384	0.622
385	1.5735
386	0.4937
387	1.0799
388	3.178
389	3.8285
390	3.8771
391	2.9276
392	0.4435
393	2.2699
394	1.6886
395	2.8589
396	2.5718
397	4.2915
398	1.1586
399	2.0213
400	0.8246
401	3.3179
402	1.9158
403	3.2745
404	0.5492
405	0.7368
406	3.2004
407	2.1438
408	3.0443
409	3.2306
410	2.6631
411	1.3213
412	2.8902
413	3.8329
414	3.1389
415	1.9062
416	2.2003
417	2.0938
418	3.7162
419	3.1858
420	3.2653
421	3.7784
422	1.7802
423	1.3381
424	0.8506
425	3.3264
426	2.3923
427	1.2675
428	2.7723
429	1.2728
430	0.3333
431	0.4288
432	2.4208
433	0.1309
434	2.4931
435	2.2965
436	3.5497
437	1.6651
438	1.9822
439	2.3978
440	2.2942
441	2.7202
442	3.5058
443	3.0392
444	2.3092
445	0.8737
446	4.2833
447	1.8104
448	2.7099
449	2.016
450	3.576
451	4.1558
452	2.5178
453	0.12
454	1.8576
455	2.6139
456	2.6465
457	3.2356
458	3.3184
459	1.5203
460	0.854
461	2.657
462	3.1441
463	2.5676
464	0.7163
465	1.8479
466	1.7974
467	0.7709
468	0.8101
469	2.8219
470	1.8292
471	3.5156
472	1.5463
473	2.9072
474	1.6729
475	3.2648
476	0.8074
477	2.4222
478	3.5809
479	2.6711
480	2.9613
481	2.9914
482	2.6649
483	0.0963
484	3.4945
485	2.1736
486	3.3896
487	1.2467
488	0.6169
489	1.4604
490	0.284
491	1.132
492	3.2807
493	3.7851
494	3.9567
495	2.9191
496	0.0499
497	2.2017
498	1.4949
499	2.9202
500	2.6866
501	4.7745
502	1.1633
503	2.0576
504	0.7905
505	3.4723
506	1.9464
507	3.1881
508	0.2081
509	0.478
510	3.2105
511	2.1967
512	3.0856
513	3.264
514	2.6657
515	1.0581
516	2.9194
517	3.8048
518	3.1337
519	1.8815
520	2.3719
521	2.03
522	3.7598
523	3.0669
524	3.1395
525	3.7341
526	1.9257
527	1.4226
528	0.6226
529	3.4773
530	2.885
531	1.1232
532	2.763
533	1.3819
534	0.3856
535	0.1915
536	2.4605
537	0.0766
538	2.4421
539	2.2158
540	3.5399
541	1.3361
542	2.0779
543	2.2807
544	2.5958
545	3.0344
546	3.4693
547	3.0867
548	2.6091
549	0.7643
550	4.2801
551	1.8532
552	2.6353
553	2.0914
554	3.4891
555	3.92
556	2.5277
557	0.1874
558	2.0145
559	2.6656
560	2.5399
561	3.1421
562	3.3411
563	1.3925
564	0.7776
565	2.5899
566	3.2567
567	2.631
568	0.7653
569	1.6819
570	1.3453
571	0.4639
572	0.8895
573	2.8331
574	1.8261
575	3.4973
576	1.3095
577	2.9371
578	1.6256
579	3.2048
580	0.607
581	2.316
582	3.7075
583	2.7573
584	2.8986
585	2.8342
586	2.7359
587	0.0286
588	3.457
589	1.753
590	3.3564
591	1.4601
592	0.5912
593	1.6681
594	0.5662
595	1.0778
596	3.1934
597	3.7656
598	3.7671
599	2.8192
600	0.0509
601	2.264
602	1.6611
603	2.812
604	2.3612
605	4.6196
606	1.1296
607	1.9717
608	0.6689
609	3.1721
610	1.9973
611	3.1251
612	0.2845
613	0.4146
614	3.2018
615	2.104
616	3.0595
617	3.2576
618	2.6582
619	1.0485
620	2.8098
621	3.8248
622	3.1147
623	1.8969
624	2.1927
625	2.1964
626	3.7291
627	3.084
628	3.3562
629	3.7944
630	1.8522
631	1.2444
632	0.5648
633	3.4183
634	2.7513
635	0.949
636	2.6359
637	0.7904
638	0.3505
639	0.0446
640	2.4949
641	0.0618
642	2.5218
643	2.2072
644	3.6311
645	1.5644
646	2.0147
647	2.3411
648	2.6098
649	2.9452
650	3.4841
651	3.0504
652	2.1422
653	0.6182
654	4.4123
655	1.8421
656	2.6356
657	2.02
658	3.405
659	3.9574
660	2.5307
661	0.237
662	1.7646
663	2.5011
664	2.4837
665	3.0789
666	3.2005
667	1.5174
668	0.7298
669	2.661
670	3.1407
671	2.6104
672	0.4637
673	1.619
674	1.2979
675	0.4655
676	0.6864
677	2.8251
678	1.7737
679	3.4687
680	1.3397
681	2.9033
682	1.6043
683	3.2361
684	0.6476
685	2.5409
686	3.7042
687	2.7204
688	2.8902
689	2.8877
690	2.6818
691	0.0269
692	3.5263
693	1.4718
694	3.1998
695	1.1139
696	0.5828
697	1.3581
698	0.6167
699	0.8499
700	3.2517
701	3.9009
702	3.9949
703	2.8553
704	0.0777
705	2.5278
706	1.3871
707	2.7984
708	2.7195
709	3.8788
710	1.0993
711	2.118
712	0.8384
713	3.0966
714	1.8588
715	3.1378
716	0.3424
717	0.3743
718	3.2613
719	2.0421
720	3.1121
721	3.2518
722	2.7679
723	1.0293
724	2.9645
725	3.8104
726	3.0836
727	1.6848
728	2.3604
729	2.0549
730	3.7451
731	3.107
732	3.145
733	3.6847
734	1.7562
735	1.2553
736	0.4611
737	3.1814
738	2.2981
739	1.0547
740	2.7003
741	1.3677
742	0.2932
743	0.1296
744	2.3767
745	0.1233
746	2.521
747	2.2807
748	3.5182
749	1.4685
750	2.0038
751	2.2021
752	2.405
753	2.7476
754	3.4597
755	3.0659
756	2.077
757	0.7707
758	4.187
759	1.8215
760	2.5566
761	2.0479
762	3.5262
763	3.7599
764	2.5108
765	0.1956
766	1.5906
767	2.5504
768	2.4793
769	3.0612
770	3.2459
771	1.712
772	0.8347
773	2.6579
774	3.0852
775	2.5812
776	0.6651
777	1.4389
778	1.0267
779	0.2817
780	0.7558
781	2.8455
782	1.751
783	3.4772
784	1.369
785	2.9666
786	1.5759
787	3.2275
788	0.7684
789	2.4173
790	3.5619
791	2.7582
792	2.9188
793	2.8795
794	2.7922
795	0.0152
796	3.4207
797	1.6982
798	3.3907
799	1.0343
800	0.532
801	1.4614
802	0.3944
803	0.7535
804	3.003
805	3.7084
806	3.7836
807	2.8957
808	0.0793
809	2.3425
810	1.395
811	2.9101
812	2.5368
813	4.0904
814	0.978
815	1.9294
816	0.8954
817	3.1922
818	1.8104
819	3.2516
820	0.1728
821	0.4759
822	3.2035
823	2.1045
824	3.0371
825	3.2249
826	2.6371
827	0.9446
828	2.9206
829	3.7917
830	2.9434
831	1.4947
832	2.2915
833	2.1263
834	3.6716
835	3.1339
836	3.0897
837	3.7555
838	1.8086
839	1.4554
840	0.3026
841	2.9496
842	2.3452
843	0.9866
844	2.6851
845	1.2382
846	0.2801
847	0.0805
848	2.4965
849	0.0438
850	2.4696
851	2.9688
852	3.5505
853	1.453
854	1.9151
855	2.2016
856	2.4222
857	2.7737
858	3.4899
859	3.0647
860	1.9089
861	0.6265
862	4.1157
863	1.653
864	2.5605
865	1.9368
866	3.3697
867	3.883
868	2.5062
869	0.1936
870	1.5251
871	2.5592
872	2.6142
873	3.0941
874	3.2709
875	1.4083
876	0.7388
877	2.6651
878	2.8022
879	2.5259
880	0.5052
881	1.5736
882	1.3225
883	0.3404
884	0.7938
885	2.8845
886	1.7023
887	3.4834
888	1.2477
889	2.8382
890	1.5918
891	3.1346
892	0.5058
893	2.5393
894	3.59
895	2.738
896	2.8779
897	2.796
898	2.6929
899	0.0257
900	3.4445
901	1.3866
902	3.2724
903	1.5464
904	0.4596
905	1.4725
906	0.6628
907	0.8236
908	3.1538
909	3.4347
910	3.7464
911	2.8618
912	0.127
913	2.2197
914	1.4082
915	2.8265
916	2.3213
917	3.6651
918	0.938
919	2.0675
920	0.6368
921	3.4875
922	1.6034
923	3.196
924	0.7059
925	0.6089
926	3.1782
927	2.1399
928	2.9263
929	3.28
930	2.7038
931	0.6713
932	2.8854
933	3.7637
934	3.1256
935	1.6506
936	2.1534
937	1.7965
938	3.7089
939	3.1512
940	3.2937
941	3.7088
942	1.9083
943	1.2433
944	0.3136
945	3.2447
946	1.9852
947	0.9551
948	2.6627
949	1.0
950	0.1348
951	0.0432
952	2.3575
953	0.0483
954	2.4483
955	2.1833
956	3.4136
957	1.1931
958	2.1444
959	2.3283
960	2.2957
961	2.4473
962	3.4506
963	3.0728
964	2.0819
965	0.573
966	3.8184
967	1.7365
968	2.7332
969	1.958
970	3.3221
971	3.9739
972	2.5239
973	0.1539
974	1.2244
975	2.5217
976	2.4734
977	3.0637
978	3.3435
979	1.2615
980	0.7726
981	2.5155
982	3.0714
983	2.5877
984	0.3729
985	1.421
986	1.3947
987	0.3291
988	0.8995
989	2.8438
990	1.5756
991	3.4145
992	1.3249
993	2.8678
994	1.6162
995	3.1846
996	0.6564
997	2.3278
998	3.5711
999	2.7861
1000	2.8716
1001	2.7114
1002	2.7092
1003	0.0721
1004	3.4801
1005	1.5855
1006	3.2716
1007	1.3253
1008	0.5862
1009	1.5223
1010	0.641
1011	0.9176
1012	3.0696
1013	3.6146
1014	3.9201
1015	2.8675
1016	0.0986
1017	2.0963
1018	1.3297
1019	2.769
1020	2.3019
1021	3.9512
1022	1.0352
1023	2.0743
1024	0.5241
1025	3.0175
1026	1.7648
1027	3.111
1028	0.2048
1029	0.6644
1030	3.1496
1031	2.1662
1032	3.0157
1033	3.2729
1034	2.6738
1035	0.9557
1036	2.786
1037	3.6418
1038	2.9836
1039	1.5676
1040	2.2293
