Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.1447	0.1522	2.656	2.894	2.568	2.445
2	0.1592	0.1425	2.395	2.625	2.407	2.107
3	0.2406	0.2048	4.797	3.769	3.871	3.448
4	0.2343	0.2194	4.859	4.096	4.389	4.327
5	0.2106	0.2557	4.323	5.689	3.669	4.186
6	0.1487	0.131	2.252	1.971	2.251	1.886
7	0.1283	0.09302	2.07	1.32	1.741	1.424
8	0.1659	0.1551	2.558	2.68	2.574	2.682
9	0.1488	0.1618	2.316	2.595	2.056	2.324
10	0.1233	0.1618	1.798	2.652	1.692	2.405
11	0.1484	0.205	2.174	3.066	2.427	3.989
12	0.1528	0.1327	2.061	2.29	2.266	1.735
13	0.1762	0.1589	2.957	2.594	3.096	3.113
14	0.1828	0.1622	2.774	2.211	3.098	2.756
15	0.1058	0.1226	1.436	1.819	1.411	1.751
16	0.1415	0.1617	2.092	2.419	1.987	2.035
17	0.09423	0.117	1.292	1.674	1.088	1.565
18	0.08124	0.162	1.014	2.382	0.9337	2.079
19	0.1739	0.1542	2.535	2.684	2.345	1.884
20	0.1647	0.1802	2.562	3.033	2.708	2.416
21	0.1381	0.1062	1.963	1.356	1.926	1.414
22	0.128	0.1006	1.878	1.214	1.588	1.324
23	0.1392	0.1567	1.821	2.259	1.812	2.235
24	0.1381	0.09474	1.895	1.178	1.717	1.182
25	0.1497	0.1499	2.013	2.038	2.118	2.097
26	0.1144	0.1432	1.556	1.84	1.344	2.056
27	0.1291	0.1352	1.64	1.835	1.626	1.826
28	0.1536	0.1251	2.545	1.934	1.838	1.548
29	0.142	0.1576	2.314	2.335	1.741	2.004
30	0.1046	0.05493	1.522	0.83	1.259	0.8509
31	0.1333	0.1583	1.801	2.174	1.695	2.334
32	0.07308	0.1359	0.8868	1.78	0.7672	1.855
33	0.086	0.1562	1.09	2.621	0.9794	1.965
34	0.08606	0.1504	1.101	1.804	0.9695	2.524
35	0.1217	0.1232	1.617	1.745	1.593	1.603
36	0.1459	0.1538	1.829	2.426	1.849	1.799
37	0.1498	0.1326	1.96	2.121	1.909	1.691
38	0.1414	0.1913	1.865	3.039	2.132	2.964
39	0.1475	0.1304	1.969	1.868	1.856	1.513
40	0.08496	0.1005	1.062	1.364	1.037	1.332
41	0.1089	0.1052	1.401	1.365	1.255	1.241
42	0.08625	0.1281	1.172	1.759	1.038	1.53
43	0.1057	0.166	1.345	2.366	1.325	2.504
44	0.1267	0.09322	1.846	1.307	1.503	1.075
45	0.135	0.1299	2.163	2.107	1.679	1.673
46	0.1169	0.1438	1.436	2.03	1.553	2.191
47	0.1336	0.1094	1.751	1.336	1.66	1.383
