Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	3.814	4.921	3.814	3.833	3.139
2	0.0	3.176	3.959	3.176	3.763	2.566
3	0.0	3.101	3.763	3.101	3.282	2.913
4	0.0	4.371	5.766	4.371	4.505	4.24
5	0.0	4.859	4.671	4.859	4.492	4.255
6	0.0	3.433	3.324	3.433	2.692	2.932
7	0.0	5.21	4.788	5.21	4.204	4.849
8	0.0	3.204	3.251	3.204	3.358	3.495
9	0.0	3.908	3.466	3.908	3.596	4.212
10	0.0	3.897	3.625	3.897	3.842	4.197
11	0.0	3.254	2.675	3.254	3.1	3.603
12	0.0	2.937	3.193	2.937	3.543	3.452
13	0.0	3.117	3.184	3.117	3.671	3.413
14	0.0	2.448	2.555	2.448	2.879	2.657
15	0.0	2.669	1.497	2.669	1.651	2.997
16	0.0	2.026	2.555	2.026	2.911	2.446
17	0.0	2.153	2.564	2.153	2.843	2.64
18	0.0	1.901	2.255	1.901	2.389	2.106
19	0.0	1.842	2.532	1.842	2.763	2.187
20	0.0	2.494	2.429	2.494	2.769	2.598
21	0.0	2.379	2.583	2.379	2.814	2.664
22	0.0	1.835	2.307	1.835	2.66	2.146
23	0.0	2.228	2.196	2.228	2.564	2.48
24	0.0	2.249	2.174	2.249	2.385	2.723
25	0.0	2.234	2.182	2.234	2.314	2.451
26	0.0	1.913	1.908	1.913	2.04	2.157
27	0.0	2.26	2.119	2.26	2.484	2.451
28	0.0	1.661	2.273	1.661	2.308	1.74
29	0.0	2.035	2.059	2.035	2.164	2.294
30	0.0	2.119	1.892	2.119	2.081	3.399
31	0.0	1.979	1.633	1.979	1.883	2.205
32	0.0	1.886	1.323	1.886	1.456	2.196
33	0.0	1.528	1.618	1.528	1.813	1.741
34	0.0	2.018	1.905	2.018	2.127	2.48
35	0.0	2.123	2.096	2.123	2.282	2.459
36	0.0	2.102	1.772	2.102	2.003	2.307
37	0.0	1.272	1.944	1.272	2.239	1.458
38	0.0	1.66	1.912	1.66	2.149	1.88
39	0.0	1.715	1.785	1.715	2.103	2.11
40	0.0	1.871	2.062	1.871	2.314	2.001
41	0.0	2.023	1.813	2.023	2.064	2.239
42	0.0	1.732	1.56	1.732	1.718	1.928
43	0.0	1.211	2.178	1.211	2.295	1.77
44	0.0	1.423	1.506	1.423	1.75	1.633
45	0.0	1.958	2.048	1.958	2.21	2.119
46	0.0	2.019	1.85	2.019	1.898	2.391
47	0.0	1.39	1.613	1.39	2.04	1.669
48	0.0	1.665	1.622	1.665	1.806	1.93
49	0.0	1.763	1.545	1.763	1.646	1.924
50	0.0	1.295	1.417	1.295	1.778	1.62
51	0.0	1.747	1.467	1.747	1.619	2.075
52	0.0	2.096	1.927	2.096	2.168	2.349
53	0.0	1.533	1.232	1.533	1.424	1.779
54	0.0	2.025	1.598	2.025	1.767	2.166
55	0.0	1.724	1.729	1.724	1.969	1.922
56	0.0	1.691	1.835	1.691	2.073	1.987
57	0.0	1.61	1.705	1.61	1.839	1.883
58	0.0	1.724	1.52	1.724	1.835	1.914
59	0.0	1.986	1.828	1.986	2.059	2.222
60	0.0	1.574	1.241	1.574	1.404	1.745
61	0.0	1.46	1.745	1.46	1.952	1.728
62	0.0	1.692	1.412	1.692	1.582	1.82
63	0.0	2.203	1.255	2.203	1.411	2.407
64	0.0	1.901	1.676	1.901	1.907	1.963
65	0.0	1.526	1.624	1.526	1.884	1.868
66	0.0	2.002	1.218	2.002	1.377	2.364
67	0.0	1.454	1.456	1.454	1.769	1.698
68	0.0	1.135	1.475	1.135	1.735	1.394
69	0.0	1.372	1.391	1.372	1.709	1.701
70	0.0	1.663	1.51	1.663	2.211	1.851
71	0.0	1.837	1.756	1.837	1.872	2.082
72	0.0	1.425	1.33	1.425	1.9	1.851
73	0.0	1.34	1.489	1.34	1.609	1.677
74	0.0	1.361	1.903	1.361	2.11	1.72
75	0.0	1.338	1.403	1.338	1.823	1.443
76	0.0	1.53	1.403	1.53	1.509	1.87
77	0.0	1.365	1.298	1.365	1.446	1.536
78	0.0	1.197	1.185	1.197	1.517	1.445
79	0.0	1.462	1.403	1.462	1.555	1.742
80	0.0	1.659	1.737	1.659	2.089	1.931
81	0.0	1.85	1.74	1.85	1.888	2.071
82	0.0	1.314	1.285	1.314	1.467	1.58
83	0.0	1.765	1.657	1.765	1.798	2.075
84	0.0	1.319	1.503	1.319	1.666	1.469
85	0.0	1.386	1.396	1.386	1.617	1.558
86	0.0	1.642	1.668	1.642	1.797	1.867
87	0.0	1.222	1.378	1.222	1.567	1.459
88	0.0	1.311	1.088	1.311	1.295	1.687
89	0.0	1.0	1.569	1.0	1.921	1.153
90	0.0	1.561	1.357	1.561	1.573	1.982
91	0.0	1.516	1.439	1.516	1.626	1.769
92	0.0	1.423	1.473	1.423	1.665	1.676
93	0.0	1.313	1.486	1.313	1.617	1.644
94	0.0	1.793	1.826	1.793	1.977	1.973
95	0.0	1.447	1.502	1.447	1.763	1.654
96	0.0	1.649	1.565	1.649	1.709	2.017
97	0.0	1.289	1.249	1.289	1.442	1.578
98	0.0	1.403	1.361	1.403	1.563	1.598
99	0.0	1.55	1.796	1.55	1.957	1.861
100	0.0	1.385	1.228	1.385	1.408	1.693
101	0.0	1.12	1.797	1.12	1.865	1.365
102	0.0	0.8881	1.158	0.8881	1.414	0.9803
103	0.0	1.728	1.071	1.728	1.192	1.882
104	0.0	1.803	1.202	1.803	1.367	2.062
105	0.0	1.529	1.076	1.529	1.182	1.637
106	0.0	1.181	1.054	1.181	1.136	1.428
107	0.0	1.221	1.104	1.221	1.208	1.535
108	0.0	1.387	1.088	1.387	1.324	1.572
109	0.0	1.218	1.539	1.218	1.681	1.532
110	0.0	1.122	1.267	1.122	1.519	1.444
111	0.0	1.281	1.249	1.281	1.536	1.512
112	0.0	1.797	1.149	1.797	1.405	1.95
113	0.0	1.278	1.073	1.278	1.244	1.439
114	0.0	1.155	1.246	1.155	1.535	1.474
115	0.0	1.819	2.111	1.819	2.399	1.977
116	0.0	1.486	1.287	1.486	1.455	1.742
117	0.0	1.436	1.545	1.436	1.772	1.874
118	0.0	1.344	1.44	1.344	1.722	1.62
119	0.0	1.569	1.587	1.569	1.686	1.803
120	0.0	1.339	1.396	1.339	1.572	1.595
121	0.0	1.006	1.157	1.006	1.467	1.294
122	0.0	1.001	1.095	1.001	1.362	1.257
123	0.0	1.379	1.208	1.379	1.367	1.761
124	0.0	1.023	1.191	1.023	1.446	1.357
125	0.0	1.243	1.582	1.243	1.775	1.48
126	0.0	1.598	0.9706	1.598	1.212	1.967
127	0.0	1.397	1.533	1.397	1.711	1.695
128	0.0	1.023	1.041	1.023	1.201	1.273
129	0.0	1.508	1.14	1.508	1.247	1.623
130	0.0	1.279	1.183	1.279	1.245	1.336
131	0.0	1.349	1.463	1.349	1.645	1.614
132	0.0	1.165	1.121	1.165	1.284	1.391
133	0.0	1.065	1.281	1.065	1.486	1.32
134	0.0	1.227	1.413	1.227	1.526	1.43
135	0.0	1.534	0.9965	1.534	1.178	1.829
136	0.0	1.163	1.254	1.163	1.477	1.373
137	0.0	1.263	1.364	1.263	1.522	1.555
138	0.0	1.084	1.187	1.084	1.382	1.338
139	0.0	1.288	1.251	1.288	1.515	1.6
140	0.0	1.255	0.934	1.255	1.094	1.436
141	0.0	1.02	1.282	1.02	1.552	1.302
142	0.0	1.017	1.403	1.017	1.508	1.167
143	0.0	1.202	1.245	1.202	1.445	1.44
144	0.0	1.167	1.35	1.167	1.476	1.354
145	0.0	1.295	1.126	1.295	1.259	1.47
146	0.0	1.128	1.26	1.128	1.401	1.341
147	0.0	1.616	1.587	1.616	1.706	1.811
148	0.0	0.9119	1.154	0.9119	1.412	1.101
149	0.0	1.196	1.268	1.196	1.44	1.464
150	0.0	1.382	1.547	1.382	1.707	1.692
151	0.0	1.052	1.159	1.052	1.258	1.194
152	0.0	1.202	1.107	1.202	1.267	1.324
153	0.0	1.404	1.202	1.404	1.376	1.553
154	0.0	1.185	1.408	1.185	1.542	1.374
155	0.0	1.18	0.9822	1.18	1.079	1.348
156	0.0	1.353	0.9292	1.353	0.9826	1.551
157	0.0	1.468	1.11	1.468	1.342	1.549
158	0.0	0.9908	1.378	0.9908	1.474	1.294
159	0.0	1.062	1.258	1.062	1.483	1.199
160	0.0	1.233	1.035	1.233	1.155	1.444
161	0.0	1.055	1.117	1.055	1.334	1.223
162	0.0	1.13	1.33	1.13	1.435	1.376
163	0.0	1.021	1.254	1.021	1.288	1.331
164	0.0	0.9371	0.9194	0.9371	1.03	1.212
165	0.0	1.4	1.747	1.4	1.963	1.664
166	0.0	1.208	0.9732	1.208	1.196	1.438
167	0.0	1.572	1.466	1.572	1.683	1.664
168	0.0	1.232	1.415	1.232	1.621	1.332
169	0.0	1.048	1.333	1.048	1.49	1.217
170	0.0	1.96	1.771	1.96	2.038	2.386
171	0.0	0.9309	1.069	0.9309	1.285	1.073
172	0.0	0.8805	0.8129	0.8805	1.009	1.197
173	0.0	0.9143	1.082	0.9143	1.346	1.214
174	0.0	1.542	1.229	1.542	1.275	1.685
175	0.0	1.786	1.072	1.786	1.255	1.941
176	0.0	0.8656	1.09	0.8656	1.326	1.113
177	0.0	1.123	1.146	1.123	1.396	1.428
178	0.0	1.261	1.091	1.261	1.271	1.719
179	0.0	0.9807	1.053	0.9807	1.346	1.206
180	0.0	1.28	1.036	1.28	1.157	1.407
181	0.0	1.065	1.078	1.065	1.116	1.214
182	0.0	0.9199	1.09	0.9199	1.195	1.162
183	0.0	1.378	1.05	1.378	1.262	1.522
184	0.0	1.669	1.624	1.669	1.884	1.98
185	0.0	1.939	0.8344	1.939	0.9725	2.27
186	0.0	0.9904	1.197	0.9904	1.338	1.276
187	0.0	1.437	0.8763	1.437	1.005	1.81
188	0.0	1.091	0.9967	1.091	1.171	1.276
189	0.0	0.8851	1.067	0.8851	1.241	1.043
190	0.0	1.312	1.152	1.312	1.266	1.466
191	0.0	1.052	1.142	1.052	1.239	1.201
192	0.0	1.069	1.36	1.069	1.544	1.258
193	0.0	1.145	1.645	1.145	1.738	1.308
194	0.0	1.001	1.062	1.001	1.254	1.214
195	0.0	1.319	1.206	1.319	1.314	1.429
196	0.0	0.9865	0.888	0.9865	1.021	1.184
197	0.0	0.9592	1.348	0.9592	1.448	1.348
198	0.0	1.526	1.168	1.526	1.279	1.688
199	0.0	0.8832	1.071	0.8832	1.329	1.152
200	0.0	1.188	1.233	1.188	1.436	1.378
201	0.0	0.8957	1.009	0.8957	1.337	1.159
202	0.0	1.207	1.078	1.207	1.229	1.403
203	0.0	1.455	1.159	1.455	1.259	1.679
204	0.0	1.031	1.174	1.031	1.379	1.088
205	0.0	1.435	0.9475	1.435	1.115	1.565
206	0.0	1.192	1.106	1.192	1.25	1.334
207	0.0	0.9867	1.328	0.9867	1.536	1.129
208	0.0	1.084	1.079	1.084	1.208	1.314
209	0.0	0.8379	0.864	0.8379	1.084	1.033
210	0.0	1.491	0.8553	1.491	0.967	1.713
211	0.0	1.012	1.06	1.012	1.096	1.213
212	0.0	1.136	1.111	1.136	1.272	1.339
213	0.0	0.9592	0.9446	0.9592	1.164	1.267
214	0.0	0.9278	1.17	0.9278	1.277	1.232
215	0.0	0.8238	0.8292	0.8238	0.9133	1.072
216	0.0	1.552	1.464	1.552	1.698	1.754
217	0.0	0.9599	1.143	0.9599	1.377	1.288
218	0.0	0.9395	0.9777	0.9395	1.132	1.206
219	0.0	1.394	1.428	1.394	1.568	1.586
220	0.0	1.204	1.194	1.204	1.416	1.384
221	0.0	1.469	1.686	1.469	1.845	1.675
222	0.0	1.325	0.8017	1.325	1.028	1.528
223	0.0	1.364	0.8917	1.364	0.9844	1.58
224	0.0	1.274	1.098	1.274	1.182	1.489
225	0.0	0.9323	0.9885	0.9323	1.219	1.118
226	0.0	0.8916	0.9065	0.8916	1.175	1.151
227	0.0	1.472	0.9734	1.472	1.101	1.749
228	0.0	0.9012	1.21	0.9012	1.222	1.149
229	0.0	1.198	1.486	1.198	1.679	1.397
230	0.0	1.102	1.323	1.102	1.53	1.236
231	0.0	1.484	1.497	1.484	1.653	1.683
232	0.0	1.099	1.231	1.099	1.481	1.358
233	0.0	1.583	1.335	1.583	1.474	1.754
234	0.0	0.9116	0.9444	0.9116	1.159	1.113
235	0.0	1.289	1.269	1.289	1.538	1.559
236	0.0	0.9552	1.217	0.9552	1.466	1.116
237	0.0	1.04	0.9286	1.04	1.081	1.244
238	0.0	0.9405	0.9918	0.9405	1.263	1.108
239	0.0	0.9486	1.116	0.9486	1.19	1.178
240	0.0	1.024	0.8873	1.024	1.055	1.268
241	0.0	1.104	1.228	1.104	1.494	1.84
242	0.0	1.053	0.925	1.053	0.9901	1.241
243	0.0	1.198	1.298	1.198	1.406	1.374
244	0.0	1.135	1.155	1.135	1.268	1.301
245	0.0	1.005	1.241	1.005	1.277	1.098
246	0.0	0.7827	1.016	0.7827	1.195	0.9256
247	0.0	0.9276	0.8988	0.9276	0.9705	1.127
248	0.0	1.173	1.19	1.173	1.253	1.343
249	0.0	0.9932	1.047	0.9932	1.225	1.19
250	0.0	1.106	0.8092	1.106	0.9251	1.291
251	0.0	1.466	1.086	1.466	1.166	1.73
252	0.0	1.002	0.9062	1.002	1.06	1.185
253	0.0	0.9145	1.048	0.9145	1.194	1.232
254	0.0	1.12	1.311	1.12	1.504	1.422
255	0.0	0.8698	0.8685	0.8698	0.9798	1.083
256	0.0	1.011	1.023	1.011	1.264	1.182
257	0.0	1.132	1.186	1.132	1.332	1.27
258	0.0	0.867	0.7083	0.867	0.8368	0.9956
259	0.0	0.9149	1.105	0.9149	1.326	1.157
260	0.0	0.7287	1.082	0.7287	1.21	0.8864
261	0.0	0.9521	1.103	0.9521	1.346	1.267
262	0.0	0.6728	1.324	0.6728	1.437	0.9377
263	0.0	1.21	1.062	1.21	1.259	1.356
264	0.0	1.213	1.454	1.213	1.578	1.349
265	0.0	1.083	0.9694	1.083	1.187	1.245
266	0.0	0.8667	1.012	0.8667	1.184	1.124
267	0.0	1.06	1.211	1.06	1.281	1.389
268	0.0	0.8116	1.12	0.8116	1.183	0.9734
269	0.0	1.22	1.034	1.22	1.128	1.367
270	0.0	0.8969	1.038	0.8969	1.196	1.053
271	0.0	1.286	1.261	1.286	1.511	1.459
272	0.0	1.348	1.369	1.348	1.579	1.533
