Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	4.048	4.149	5.434	3.559	4.048
2	0.0	2.539	2.702	2.32	2.786	2.539
3	0.0	3.421	3.776	3.622	3.193	3.421
4	0.0	2.776	2.894	3.084	2.793	2.776
5	0.0	3.826	4.444	4.47	4.134	3.826
6	0.0	4.158	4.36	5.391	3.474	4.158
7	0.0	3.694	4.438	4.745	3.58	3.694
8	0.0	2.976	3.552	4.503	3.052	2.976
9	0.0	3.072	2.036	4.64	1.698	3.072
10	0.0	3.103	3.781	4.426	3.088	3.103
11	0.0	2.777	4.557	5.399	3.591	2.777
12	0.0	2.166	3.304	3.328	3.531	2.166
13	0.0	2.661	4.387	3.026	3.02	2.661
14	0.0	2.371	3.646	4.582	3.064	2.371
15	0.0	2.297	3.825	4.85	2.411	2.297
16	0.0	2.588	3.769	4.48	2.241	2.588
17	0.0	2.275	3.848	3.632	2.479	2.275
18	0.0	2.558	4.051	4.701	2.676	2.558
19	0.0	2.264	3.333	3.722	2.051	2.264
20	0.0	2.862	3.799	3.694	2.542	2.862
21	0.0	2.047	3.285	3.101	1.996	2.047
22	0.0	1.957	4.696	3.212	2.773	1.957
23	0.0	2.481	2.675	2.378	2.375	2.481
24	0.0	1.543	3.501	1.913	1.957	1.543
25	0.0	2.074	2.645	2.854	1.993	2.074
26	0.0	2.016	3.514	2.302	2.303	2.016
27	0.0	2.753	2.847	3.332	2.214	2.753
28	0.0	2.601	2.109	3.396	1.507	2.601
29	0.0	1.394	3.133	1.833	1.932	1.394
30	0.0	1.91	2.476	2.585	1.604	1.91
31	0.0	2.017	1.273	2.926	1.222	2.017
32	0.0	1.546	1.34	2.037	1.003	1.546
33	0.0	2.144	2.772	2.722	2.349	2.144
34	0.0	1.889	2.781	2.697	2.334	1.889
35	0.0	2.155	3.305	3.565	2.154	2.155
36	0.0	2.09	2.741	2.54	1.968	2.09
37	0.0	1.682	2.113	2.033	1.61	1.682
38	0.0	1.734	3.2	2.21	2.015	1.734
39	0.0	1.598	2.356	2.272	1.856	1.598
40	0.0	1.872	3.409	3.003	2.327	1.872
41	0.0	1.581	3.451	1.971	2.121	1.581
42	0.0	1.765	3.446	2.518	2.239	1.765
43	0.0	1.413	2.002	1.778	1.477	1.413
44	0.0	1.316	1.863	1.954	1.42	1.316
45	0.0	1.933	2.6	2.071	2.519	1.933
46	0.0	1.715	2.387	2.555	1.614	1.715
47	0.0	1.401	2.989	1.682	1.984	1.401
48	0.0	1.865	2.767	3.022	1.886	1.865
49	0.0	1.756	2.287	2.695	1.71	1.756
50	0.0	1.304	2.462	1.946	1.956	1.304
51	0.0	1.957	2.173	2.522	1.537	1.957
52	0.0	1.47	1.323	1.925	1.118	1.47
53	0.0	1.903	2.537	2.174	2.095	1.903
54	0.0	1.717	1.743	2.132	1.233	1.717
55	0.0	1.875	2.9	2.454	2.006	1.875
56	0.0	1.859	2.363	2.508	1.611	1.859
57	0.0	1.752	2.541	2.424	1.755	1.752
58	0.0	1.941	2.447	3.221	1.891	1.941
59	0.0	1.933	2.097	2.795	1.618	1.933
60	0.0	1.763	1.514	2.682	1.214	1.763
61	0.0	1.266	2.002	1.649	1.663	1.266
62	0.0	1.593	1.795	2.179	1.369	1.593
63	0.0	1.779	1.138	2.312	0.8684	1.779
64	0.0	1.699	1.948	2.407	1.457	1.699
65	0.0	1.387	2.463	2.02	1.665	1.387
66	0.0	1.696	1.777	2.644	1.3	1.696
67	0.0	1.474	2.402	2.013	1.688	1.474
68	0.0	1.493	2.314	1.866	1.855	1.493
69	0.0	1.457	1.918	1.884	1.855	1.457
70	0.0	2.711	2.365	2.374	1.799	2.711
71	0.0	1.6	2.509	2.122	1.723	1.6
72	0.0	1.668	2.6	2.492	1.711	1.668
73	0.0	1.479	1.634	1.935	1.23	1.479
74	0.0	2.133	1.433	2.542	1.178	2.133
75	0.0	1.248	1.794	1.704	1.431	1.248
76	0.0	1.555	2.564	2.167	1.885	1.555
77	0.0	1.12	2.151	1.57	1.644	1.12
78	0.0	1.294	2.069	1.508	1.872	1.294
79	0.0	2.285	1.47	2.412	1.183	2.285
80	0.0	1.397	2.23	1.916	1.792	1.397
81	0.0	0.9539	1.919	1.169	1.593	0.9539
82	0.0	1.458	1.513	1.918	1.142	1.458
83	0.0	2.055	2.323	2.345	1.927	2.055
84	0.0	1.031	2.188	1.473	1.451	1.031
85	0.0	1.59	2.492	2.36	1.822	1.59
86	0.0	1.195	1.743	1.813	1.332	1.195
87	0.0	1.816	2.223	2.266	1.744	1.816
88	0.0	1.746	2.121	2.795	1.509	1.746
89	0.0	1.126	2.218	1.238	1.832	1.126
90	0.0	1.305	2.316	1.745	1.771	1.305
91	0.0	1.527	2.103	2.027	1.478	1.527
92	0.0	1.621	2.392	2.416	1.67	1.621
93	0.0	2.341	1.604	2.726	1.224	2.341
94	0.0	1.482	2.001	1.723	1.531	1.482
95	0.0	1.285	1.744	1.747	1.224	1.285
96	0.0	1.801	1.74	2.24	1.554	1.801
97	0.0	1.651	1.486	2.248	1.187	1.651
98	0.0	1.565	1.876	2.054	1.475	1.565
99	0.0	1.598	1.759	1.965	1.335	1.598
100	0.0	1.619	1.879	2.227	1.334	1.619
101	0.0	1.755	2.091	2.286	1.679	1.755
102	0.0	0.9155	1.762	1.097	1.315	0.9155
103	0.0	0.986	2.203	1.156	1.611	0.986
104	0.0	0.8585	1.346	1.021	1.066	0.8585
105	0.0	1.506	2.086	2.073	1.499	1.506
106	0.0	1.694	1.775	1.761	1.362	1.694
107	0.0	1.475	2.152	1.86	1.875	1.475
108	0.0	1.126	1.636	1.384	1.36	1.126
109	0.0	1.053	1.454	1.404	1.16	1.053
110	0.0	1.229	1.682	1.715	1.157	1.229
111	0.0	1.223	1.079	1.616	0.8049	1.223
112	0.0	1.611	1.619	2.442	1.229	1.611
113	0.0	1.354	1.667	1.856	1.202	1.354
114	0.0	1.524	1.516	2.059	1.112	1.524
115	0.0	1.877	1.97	2.34	1.537	1.877
116	0.0	1.826	1.25	2.133	0.9601	1.826
117	0.0	1.608	1.509	2.168	1.144	1.608
118	0.0	1.377	2.226	1.78	1.71	1.377
119	0.0	1.467	1.522	1.903	1.217	1.467
120	0.0	1.653	1.522	2.198	1.172	1.653
121	0.0	1.789	1.844	2.097	1.412	1.789
122	0.0	1.148	1.428	1.421	1.06	1.148
123	0.0	1.124	1.664	1.336	1.242	1.124
124	0.0	2.304	2.118	2.566	1.733	2.304
125	0.0	1.175	1.361	1.435	0.9909	1.175
126	0.0	1.469	1.218	2.288	0.9713	1.469
127	0.0	1.91	1.517	1.973	1.239	1.91
128	0.0	0.9108	1.55	0.9915	1.102	0.9108
129	0.0	1.096	1.619	1.368	1.232	1.096
130	0.0	1.268	1.607	1.502	1.32	1.268
131	0.0	1.322	1.926	1.761	1.53	1.322
132	0.0	1.539	1.104	1.789	0.8849	1.539
133	0.0	1.118	1.422	1.496	1.04	1.118
134	0.0	1.469	1.443	1.986	1.055	1.469
135	0.0	1.047	1.669	1.35	1.308	1.047
136	0.0	1.479	2.151	1.883	1.624	1.479
137	0.0	1.686	1.878	2.176	1.439	1.686
138	0.0	1.641	1.589	2.147	1.168	1.641
139	0.0	1.447	1.758	1.948	1.478	1.447
140	0.0	1.489	1.938	1.857	1.646	1.489
141	0.0	1.532	2.006	1.86	1.627	1.532
142	0.0	1.42	1.118	1.709	0.8709	1.42
143	0.0	1.161	1.836	1.679	1.246	1.161
144	0.0	1.83	1.849	2.009	1.361	1.83
145	0.0	1.133	1.717	1.458	1.207	1.133
146	0.0	1.181	2.501	1.462	1.887	1.181
147	0.0	1.041	1.552	1.37	1.201	1.041
148	0.0	1.03	1.395	1.412	1.044	1.03
149	0.0	1.138	1.244	1.407	0.9429	1.138
150	0.0	1.443	2.046	1.805	1.676	1.443
151	0.0	1.031	1.729	1.225	1.445	1.031
152	0.0	1.47	1.622	1.849	1.263	1.47
153	0.0	1.098	1.954	1.399	1.563	1.098
154	0.0	1.277	1.724	1.527	1.61	1.277
155	0.0	1.155	1.378	1.624	1.196	1.155
156	0.0	1.129	1.087	1.33	0.9317	1.129
157	0.0	1.643	1.591	1.919	1.403	1.643
158	0.0	1.374	1.432	1.476	1.192	1.374
159	0.0	1.424	1.849	1.767	1.472	1.424
160	0.0	1.717	1.535	2.156	1.149	1.717
161	0.0	1.286	1.699	1.781	1.235	1.286
162	0.0	1.55	1.745	1.925	1.345	1.55
163	0.0	1.03	1.968	1.336	1.505	1.03
164	0.0	1.225	1.42	1.533	1.038	1.225
165	0.0	1.434	1.549	1.556	1.213	1.434
166	0.0	1.747	1.811	1.899	1.684	1.747
167	0.0	1.114	1.784	1.405	1.463	1.114
168	0.0	1.42	1.599	1.721	1.352	1.42
169	0.0	1.253	1.484	1.833	1.229	1.253
170	0.0	1.205	1.72	1.568	1.368	1.205
171	0.0	1.207	1.416	1.454	1.07	1.207
172	0.0	1.168	1.149	1.267	0.89	1.168
173	0.0	2.111	2.248	2.538	1.856	2.111
174	0.0	1.123	1.873	1.528	1.431	1.123
175	0.0	1.175	1.057	1.545	0.9398	1.175
176	0.0	1.213	1.72	1.738	1.155	1.213
177	0.0	1.5	1.205	1.918	0.9608	1.5
178	0.0	1.135	1.415	1.433	1.099	1.135
179	0.0	1.08	1.381	1.423	1.163	1.08
180	0.0	1.271	1.047	1.705	0.8854	1.271
181	0.0	1.42	1.924	1.846	1.542	1.42
182	0.0	1.675	1.81	1.99	1.561	1.675
183	0.0	1.457	1.343	1.88	1.001	1.457
184	0.0	0.9344	1.485	1.171	1.157	0.9344
185	0.0	1.996	1.566	2.169	1.325	1.996
186	0.0	1.081	1.518	1.238	1.191	1.081
187	0.0	1.465	1.601	1.85	1.29	1.465
188	0.0	1.301	1.495	1.721	1.086	1.301
189	0.0	1.301	1.422	1.632	1.107	1.301
190	0.0	1.414	1.809	1.57	1.399	1.414
191	0.0	1.626	1.741	2.217	1.397	1.626
192	0.0	1.205	1.333	1.435	1.02	1.205
193	0.0	0.9022	1.254	1.105	1.063	0.9022
194	0.0	1.27	1.533	1.5	1.324	1.27
195	0.0	1.177	1.772	1.482	1.38	1.177
196	0.0	0.9425	1.919	1.299	1.364	0.9425
197	0.0	1.917	2.164	2.627	1.689	1.917
198	0.0	1.566	1.823	1.864	1.63	1.566
199	0.0	0.9948	1.336	1.197	1.103	0.9948
200	0.0	1.437	1.586	1.737	1.283	1.437
201	0.0	1.151	1.635	1.36	1.359	1.151
202	0.0	1.268	1.489	1.691	1.196	1.268
203	0.0	0.9951	1.456	1.376	1.098	0.9951
204	0.0	1.308	1.497	1.697	1.239	1.308
205	0.0	1.262	1.694	1.483	1.322	1.262
206	0.0	1.256	1.514	1.752	1.138	1.256
207	0.0	1.181	1.682	1.483	1.387	1.181
208	0.0	1.174	1.013	1.495	0.9138	1.174
209	0.0	1.285	1.129	1.61	0.9411	1.285
210	0.0	1.204	1.141	1.472	0.867	1.204
211	0.0	1.348	1.626	1.503	1.334	1.348
212	0.0	1.091	1.293	1.343	1.08	1.091
213	0.0	1.406	1.651	1.627	1.279	1.406
214	0.0	1.147	1.427	1.336	0.9912	1.147
215	0.0	1.174	1.504	1.323	1.264	1.174
216	0.0	1.745	1.47	2.358	1.13	1.745
217	0.0	0.8371	1.393	1.069	1.179	0.8371
218	0.0	1.291	1.121	1.546	0.8123	1.291
219	0.0	1.566	1.547	2.026	1.353	1.566
220	0.0	1.431	1.336	1.673	1.031	1.431
221	0.0	1.262	1.381	1.565	1.171	1.262
222	0.0	1.325	1.796	1.624	1.538	1.325
223	0.0	1.514	1.211	1.856	1.002	1.514
224	0.0	1.357	1.168	1.697	0.9222	1.357
225	0.0	1.305	1.649	1.621	1.295	1.305
226	0.0	1.143	1.538	1.307	1.184	1.143
227	0.0	1.091	1.041	1.229	0.8484	1.091
228	0.0	1.146	1.984	1.38	1.778	1.146
229	0.0	1.595	0.7922	1.904	0.6495	1.595
230	0.0	0.8103	1.236	0.9927	1.018	0.8103
231	0.0	1.83	1.376	2.036	1.0	1.83
232	0.0	1.433	1.582	1.709	1.322	1.433
233	0.0	1.197	1.061	1.371	0.837	1.197
234	0.0	1.126	1.603	1.149	1.241	1.126
235	0.0	1.173	1.657	1.406	1.19	1.173
236	0.0	1.419	1.249	1.655	0.9833	1.419
237	0.0	1.218	1.257	1.626	0.9846	1.218
238	0.0	0.8597	1.176	1.138	0.8773	0.8597
239	0.0	1.05	1.079	1.265	0.837	1.05
240	0.0	1.121	1.497	1.362	1.152	1.121
241	0.0	1.298	0.8462	1.505	0.69	1.298
242	0.0	1.322	1.687	1.552	1.413	1.322
243	0.0	1.061	1.026	1.506	0.75	1.061
244	0.0	1.498	1.294	1.738	1.098	1.498
245	0.0	1.401	1.401	1.626	1.219	1.401
246	0.0	1.07	1.295	1.382	1.076	1.07
247	0.0	0.9805	1.273	1.19	1.079	0.9805
248	0.0	1.391	1.211	1.775	1.005	1.391
249	0.0	1.023	1.274	1.313	0.9914	1.023
250	0.0	0.9912	1.137	1.294	0.8616	0.9912
251	0.0	0.9076	0.834	1.172	0.7515	0.9076
252	0.0	1.016	1.237	1.316	1.0	1.016
253	0.0	1.698	1.364	2.07	1.099	1.698
254	0.0	1.399	1.575	1.717	1.254	1.399
255	0.0	1.109	1.226	1.223	1.038	1.109
256	0.0	1.07	1.403	1.44	1.148	1.07
257	0.0	1.186	1.114	1.441	0.9455	1.186
258	0.0	1.125	1.537	1.37	1.439	1.125
259	0.0	1.311	1.342	1.47	1.262	1.311
260	0.0	1.737	2.005	2.127	1.706	1.737
261	0.0	2.106	1.558	2.478	1.129	2.106
262	0.0	0.6891	1.164	0.68	0.9053	0.6891
263	0.0	1.588	0.9265	2.092	0.7555	1.588
264	0.0	1.35	1.094	1.749	0.9247	1.35
265	0.0	1.268	1.221	1.364	1.057	1.268
266	0.0	1.151	1.466	1.264	1.236	1.151
267	0.0	1.075	1.376	1.284	1.074	1.075
268	0.0	0.8587	0.934	1.022	0.7864	0.8587
269	0.0	1.09	1.192	1.143	0.9646	1.09
270	0.0	1.24	1.526	1.516	1.229	1.24
271	0.0	1.446	0.8491	1.666	0.7537	1.446
272	0.0	1.167	1.286	1.37	0.9201	1.167
273	0.0	1.037	1.223	1.316	1.044	1.037
274	0.0	0.9863	1.283	1.155	1.005	0.9863
275	0.0	0.964	1.157	1.19	0.9583	0.964
276	0.0	1.093	2.035	1.267	1.788	1.093
277	0.0	1.329	0.94	1.605	0.7453	1.329
278	0.0	1.27	1.232	1.424	0.9984	1.27
279	0.0	0.9971	1.746	1.243	1.227	0.9971
280	0.0	1.039	0.8467	1.438	0.5957	1.039
281	0.0	1.178	1.585	1.429	1.269	1.178
282	0.0	1.331	1.283	1.805	1.028	1.331
283	0.0	0.9842	1.279	1.311	0.9808	0.9842
284	0.0	1.13	0.872	1.361	0.6915	1.13
285	0.0	1.379	1.09	1.65	0.881	1.379
286	0.0	1.817	1.843	2.181	1.599	1.817
287	0.0	1.34	1.5	1.833	1.199	1.34
288	0.0	1.252	1.23	1.565	1.025	1.252
289	0.0	0.912	1.449	1.049	1.381	0.912
290	0.0	1.046	1.012	1.173	0.9634	1.046
291	0.0	1.573	1.095	1.881	0.8936	1.573
292	0.0	1.102	1.022	1.435	0.8727	1.102
293	0.0	1.059	1.481	1.244	1.274	1.059
294	0.0	1.129	0.8813	1.41	0.7401	1.129
295	0.0	1.649	1.441	1.862	1.187	1.649
296	0.0	1.23	1.267	1.548	1.07	1.23
297	0.0	1.157	0.956	1.398	0.7936	1.157
298	0.0	1.092	1.018	1.3	0.878	1.092
299	0.0	1.252	1.631	1.677	1.265	1.252
300	0.0	1.278	1.282	1.532	1.074	1.278
301	0.0	2.354	2.218	2.664	1.834	2.354
302	0.0	1.467	1.304	2.008	1.056	1.467
303	0.0	0.9816	0.9802	1.263	0.8874	0.9816
304	0.0	1.143	1.602	1.419	1.354	1.143
305	0.0	1.497	1.594	1.776	1.336	1.497
306	0.0	1.147	1.578	1.409	1.322	1.147
307	0.0	1.015	1.257	1.127	1.04	1.015
308	0.0	1.156	0.915	1.514	0.7112	1.156
309	0.0	1.145	1.035	1.417	0.8832	1.145
310	0.0	1.221	1.003	1.454	0.9381	1.221
311	0.0	0.8424	1.956	0.6857	1.544	0.8424
312	0.0	1.049	1.408	1.175	1.147	1.049
313	0.0	1.147	1.077	1.429	0.9804	1.147
314	0.0	1.048	1.121	1.251	0.844	1.048
315	0.0	1.54	2.312	1.921	1.855	1.54
316	0.0	1.361	1.721	1.698	1.402	1.361
317	0.0	1.07	1.301	1.364	1.055	1.07
318	0.0	0.953	1.438	1.062	1.161	0.953
319	0.0	1.188	1.246	1.366	1.115	1.188
320	0.0	1.292	1.06	1.657	0.9294	1.292
321	0.0	0.8729	1.548	1.011	1.225	0.8729
322	0.0	0.8828	1.319	0.9365	1.033	0.8828
323	0.0	1.375	2.29	1.727	1.694	1.375
324	0.0	1.342	0.9975	1.546	0.8105	1.342
325	0.0	1.22	1.021	1.634	0.7745	1.22
326	0.0	0.9389	1.644	1.21	1.266	0.9389
327	0.0	1.492	1.519	1.837	1.337	1.492
328	0.0	1.132	0.8097	1.358	0.8029	1.132
329	0.0	1.051	1.596	1.342	1.294	1.051
330	0.0	1.002	1.001	1.189	0.8845	1.002
331	0.0	0.8845	1.27	0.936	1.044	0.8845
332	0.0	1.489	1.817	2.044	1.552	1.489
333	0.0	1.341	1.35	1.549	1.122	1.341
334	0.0	1.379	1.481	1.581	1.117	1.379
335	0.0	1.683	1.635	1.956	1.396	1.683
336	0.0	1.46	1.543	1.868	1.233	1.46
337	0.0	0.7181	0.9852	0.7906	0.9404	0.7181
338	0.0	0.7285	1.135	0.7611	0.9823	0.7285
339	0.0	1.153	1.457	1.392	1.071	1.153
340	0.0	1.495	0.8814	1.803	0.7691	1.495
341	0.0	1.176	1.303	1.322	1.097	1.176
342	0.0	0.8179	1.347	1.009	1.075	0.8179
343	0.0	0.8208	1.396	0.9766	1.149	0.8208
344	0.0	0.8756	1.037	1.067	0.8707	0.8756
345	0.0	1.478	1.664	1.575	1.287	1.478
346	0.0	1.284	1.407	1.613	1.154	1.284
347	0.0	1.395	1.459	1.81	1.138	1.395
348	0.0	1.173	1.542	1.361	1.292	1.173
349	0.0	1.361	0.8297	1.598	0.5802	1.361
350	0.0	1.026	0.9852	1.229	0.7073	1.026
351	0.0	1.113	1.25	1.404	0.885	1.113
352	0.0	0.976	1.11	1.177	0.9688	0.976
353	0.0	0.8459	0.9023	1.074	0.736	0.8459
354	0.0	1.134	1.088	1.345	0.8685	1.134
355	0.0	0.975	1.016	1.129	1.058	0.975
