Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.13	2.521	3.752	2.499	2.803
2	0.0	0.9222	2.438	2.375	2.535	1.936
3	0.0	1.359	4.497	4.068	3.745	3.338
4	0.0	1.482	5.395	4.247	4.103	4.138
5	0.0	1.598	4.205	4.838	3.707	4.251
6	0.0	0.8711	2.341	1.974	2.567	1.886
7	0.0	0.604	2.074	1.286	2.309	1.404
8	0.0	0.9519	2.503	2.573	2.548	2.161
9	0.0	1.123	2.385	2.944	2.252	2.306
10	0.0	1.075	1.664	2.522	1.773	2.459
11	0.0	1.315	2.115	3.226	2.212	3.901
12	0.0	0.9049	1.994	2.299	2.208	1.844
13	0.0	1.134	2.721	2.959	3.107	3.78
14	0.0	0.9609	3.146	1.921	3.422	2.55
15	0.0	0.8569	1.476	1.856	1.507	1.944
16	0.0	1.154	2.036	2.576	1.732	2.174
17	0.0	0.826	1.276	1.898	1.101	1.65
18	0.0	1.161	0.9614	2.503	0.9775	2.419
19	0.0	1.15	2.582	2.857	2.451	2.384
20	0.0	1.237	2.721	2.922	2.854	2.617
21	0.0	0.6791	2.06	1.277	1.965	1.33
22	0.0	0.6759	1.765	1.253	1.689	1.389
23	0.0	1.074	1.893	2.297	1.937	2.456
24	0.0	0.6448	2.046	1.226	1.944	1.197
25	0.0	0.9852	2.096	1.969	2.192	2.055
26	0.0	0.9612	1.544	1.83	1.409	2.086
27	0.0	0.9393	1.599	1.886	1.627	1.972
28	0.0	0.8744	2.278	2.007	1.934	1.721
29	0.0	1.102	2.223	2.509	1.988	2.045
30	0.0	0.3484	1.58	0.8202	1.376	0.7819
31	0.0	1.065	1.799	2.173	1.728	2.377
32	0.0	0.9507	0.8656	1.832	0.7904	1.989
33	0.0	1.083	1.087	2.635	0.9845	2.047
34	0.0	0.9551	1.062	1.671	0.9617	2.545
35	0.0	0.8573	1.558	1.822	1.502	1.688
36	0.0	1.058	1.963	2.473	1.984	1.782
37	0.0	0.9168	2.09	2.041	2.011	1.871
38	0.0	1.229	2.45	2.996	2.69	2.838
39	0.0	0.9119	2.044	1.876	1.994	1.642
40	0.0	0.6775	1.095	1.374	1.044	1.353
41	0.0	0.6985	1.426	1.361	1.281	1.229
42	0.0	0.9127	1.199	1.862	1.036	1.629
43	0.0	1.053	1.424	2.184	1.451	2.279
44	0.0	0.6666	1.769	1.306	1.432	1.194
45	0.0	0.901	2.139	2.157	1.83	1.782
46	0.0	0.9903	1.448	2.05	1.607	2.36
47	0.0	0.7667	1.724	1.415	1.685	1.511
48	0.0	1.075	0.8068	2.238	0.6881	2.243
49	0.0	1.1	1.864	2.677	1.683	2.385
50	0.0	0.8346	1.405	1.552	1.487	1.81
51	0.0	1.002	1.814	2.102	1.868	2.228
52	0.0	1.059	1.287	2.358	1.147	2.044
53	0.0	0.9443	2.197	1.922	2.844	2.097
54	0.0	0.7588	0.8984	1.414	0.8022	1.492
55	0.0	0.6857	1.563	1.219	1.339	1.232
56	0.0	0.699	2.212	1.297	2.316	1.498
57	0.0	0.8573	1.984	1.821	1.516	1.423
58	0.0	0.9639	2.235	2.215	1.857	1.993
59	0.0	0.7988	1.493	1.651	1.575	1.725
60	0.0	0.9471	1.481	1.966	1.578	1.658
61	0.0	0.7496	1.689	1.563	1.777	1.565
62	0.0	0.683	1.076	1.245	1.055	1.176
63	0.0	1.016	1.41	2.044	1.377	2.143
64	0.0	0.9921	1.913	1.977	2.016	2.052
65	0.0	0.7039	1.508	1.546	1.361	1.39
66	0.0	0.8431	2.196	1.483	2.299	2.016
67	0.0	0.957	1.738	1.791	1.656	1.798
68	0.0	0.8984	2.03	1.832	1.892	1.842
69	0.0	0.8608	1.627	1.707	1.86	1.65
70	0.0	0.8494	0.933	1.881	0.8594	1.59
71	0.0	0.7475	1.366	1.748	1.185	1.439
72	0.0	0.7503	1.844	1.502	2.273	1.501
73	0.0	0.9965	1.522	2.308	1.404	1.862
74	0.0	0.9696	1.707	2.059	1.885	2.294
75	0.0	0.6055	2.412	1.13	2.247	1.086
76	0.0	0.916	1.68	1.759	1.589	1.842
77	0.0	0.7872	1.665	1.511	1.526	1.4
78	0.0	0.9216	1.555	1.842	1.694	2.014
79	0.0	0.9117	1.098	1.976	0.967	2.0
80	0.0	0.8538	1.303	1.658	1.182	1.648
81	0.0	0.9602	1.662	1.799	1.486	1.846
82	0.0	0.7342	1.393	1.51	1.353	1.345
83	0.0	0.9577	1.777	1.854	1.69	1.782
84	0.0	0.5469	1.848	0.9983	1.716	0.8866
85	0.0	0.8937	1.906	1.71	2.04	2.262
86	0.0	0.2707	1.228	0.5441	1.186	0.6298
87	0.0	0.8673	2.1	1.673	2.066	1.538
88	0.0	0.6264	1.324	1.505	1.271	2.093
89	0.0	0.8667	1.369	1.756	1.278	1.709
90	0.0	0.8548	1.58	1.635	1.619	1.548
91	0.0	0.8423	1.16	1.508	1.247	1.756
92	0.0	0.961	1.723	2.06	1.65	2.048
93	0.0	0.8274	1.602	1.627	1.487	1.64
94	0.0	0.7806	1.41	1.441	1.436	1.382
95	0.0	0.7368	1.261	1.433	1.236	1.223
96	0.0	0.7769	1.643	1.501	1.409	1.41
97	0.0	0.8973	2.023	1.81	1.738	1.659
98	0.0	0.5637	1.357	1.207	1.183	0.9469
99	0.0	0.9561	1.696	2.046	1.629	1.833
100	0.0	0.947	1.527	1.821	1.47	1.828
