Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.118	2.496	3.489	2.363	2.765
2	0.0	0.9661	2.448	2.544	2.464	2.188
3	0.0	1.413	5.047	3.905	3.871	3.64
4	0.0	1.564	5.185	4.395	3.723	5.113
5	0.0	1.439	4.756	3.814	4.11	3.291
6	0.0	0.8358	2.443	2.025	2.719	1.806
7	0.0	0.6484	1.677	1.482	1.591	1.471
8	0.0	1.226	2.883	3.864	2.853	3.08
9	0.0	1.066	2.361	2.943	2.152	2.171
10	0.0	1.018	1.683	2.352	1.693	2.369
11	0.0	1.451	2.157	3.337	2.455	4.326
12	0.0	0.9148	1.965	2.482	2.135	1.89
13	0.0	1.091	2.718	2.491	2.681	3.133
14	0.0	1.11	3.039	2.331	3.054	2.888
15	0.0	0.8452	1.55	1.908	1.551	1.878
16	0.0	1.17	2.341	2.615	1.869	2.346
17	0.0	0.798	1.326	1.676	1.095	1.647
18	0.0	1.094	1.008	2.478	1.009	2.097
19	0.0	1.09	2.692	3.364	2.457	1.982
20	0.0	1.287	2.691	3.361	2.48	2.921
21	0.0	0.7296	2.063	1.383	1.856	1.394
22	0.0	0.6857	1.878	1.219	1.574	1.37
23	0.0	1.105	1.95	2.428	1.914	2.527
24	0.0	0.6482	2.019	1.195	1.806	1.18
25	0.0	1.033	2.168	2.093	2.097	2.154
26	0.0	0.9718	1.697	1.807	1.457	2.027
27	0.0	0.8873	1.669	1.878	1.653	1.777
28	0.0	0.8856	2.613	2.403	1.876	1.565
29	0.0	1.088	2.275	2.51	1.888	2.014
30	0.0	0.3673	1.571	0.8556	1.208	0.7974
31	0.0	1.082	1.815	2.169	1.676	2.362
32	0.0	0.9459	0.9107	1.878	0.7913	1.924
33	0.0	1.094	1.102	2.808	0.9453	2.056
34	0.0	1.038	1.132	1.884	0.9659	2.473
35	0.0	0.8924	1.689	1.987	1.607	1.767
36	0.0	1.104	1.953	2.69	1.851	1.983
37	0.0	0.9052	2.222	2.27	1.945	1.632
38	0.0	1.292	2.219	3.298	2.462	2.926
39	0.0	0.896	2.254	1.938	1.858	1.567
40	0.0	0.6935	1.088	1.513	1.012	1.327
41	0.0	0.7008	1.454	1.413	1.208	1.198
42	0.0	0.9008	1.255	2.022	1.036	1.568
43	0.0	1.091	1.547	2.256	1.456	2.292
44	0.0	0.6413	1.892	1.338	1.399	1.096
45	0.0	0.9176	2.33	2.297	1.712	1.736
46	0.0	0.9496	1.491	1.957	1.49	2.154
47	0.0	0.7528	1.866	1.394	1.659	1.429
48	0.0	1.067	0.8653	2.215	0.7205	2.138
49	0.0	1.07	2.001	2.48	1.711	2.155
50	0.0	0.8362	1.482	1.553	1.449	1.676
51	0.0	0.9579	1.757	1.908	1.901	2.091
52	0.0	1.046	1.35	2.466	1.177	2.039
53	0.0	0.9957	2.052	2.0	2.162	2.162
54	0.0	0.768	0.9336	1.429	0.8256	1.468
55	0.0	0.6882	1.683	1.286	1.33	1.214
56	0.0	0.6607	2.157	1.22	2.168	1.391
57	0.0	0.8447	2.179	1.967	1.532	1.384
58	0.0	0.9568	2.472	2.295	1.833	1.88
59	0.0	0.7713	1.661	1.656	1.542	1.6
60	0.0	0.8959	1.563	1.976	1.564	1.573
61	0.0	0.8007	1.876	1.481	1.872	1.685
62	0.0	0.6755	1.137	1.318	1.018	1.124
63	0.0	1.034	1.48	2.139	1.354	2.137
64	0.0	0.9543	2.069	2.035	1.876	1.886
65	0.0	0.6528	1.696	1.602	1.384	1.202
66	0.0	0.8855	2.119	1.552	1.907	2.045
67	0.0	0.9678	1.842	1.886	1.69	1.748
68	0.0	0.9134	2.2	1.982	1.846	1.791
69	0.0	0.8799	1.788	1.812	1.84	1.597
70	0.0	0.9025	1.018	2.154	0.8281	1.734
71	0.0	0.8141	1.424	1.99	1.108	1.598
72	0.0	0.7768	2.062	1.534	2.351	1.486
73	0.0	1.049	1.638	2.653	1.478	1.913
74	0.0	1.023	1.627	2.159	1.613	2.252
75	0.0	0.6211	2.485	1.292	2.088	1.098
76	0.0	0.9437	1.741	1.894	1.572	1.818
77	0.0	0.7891	1.796	1.604	1.504	1.35
78	0.0	0.9042	1.629	1.697	1.601	1.869
79	0.0	0.8994	1.219	2.039	0.987	1.795
80	0.0	0.8753	1.361	1.78	1.176	1.669
81	0.0	1.006	1.784	2.036	1.466	1.898
82	0.0	0.7341	1.475	1.614	1.277	1.26
83	0.0	0.9883	1.894	2.041	1.675	1.757
84	0.0	0.5286	2.043	1.057	1.726	0.8287
85	0.0	1.052	2.155	2.081	2.084	2.536
86	0.0	0.2752	1.391	0.5702	1.18	0.5816
87	0.0	0.8344	2.233	1.746	2.061	1.409
88	0.0	0.6601	1.417	1.215	1.27	2.025
89	0.0	0.881	1.505	1.88	1.526	1.685
90	0.0	0.8816	1.549	1.784	1.451	1.636
91	0.0	0.8806	1.413	1.64	1.366	1.818
92	0.0	0.9681	1.838	2.242	1.633	1.928
93	0.0	0.831	1.708	1.719	1.473	1.528
94	0.0	0.7759	1.533	1.472	1.518	1.342
95	0.0	0.7414	1.331	1.574	1.216	1.244
96	0.0	0.7862	1.754	1.607	1.344	1.403
97	0.0	0.8787	2.157	1.906	1.733	1.572
98	0.0	0.5607	1.51	1.306	1.287	0.9339
99	0.0	0.9385	1.75	2.158	1.549	1.74
100	0.0	0.9274	1.65	1.857	1.532	1.728
101	0.0	0.4778	1.505	0.8572	1.361	0.7325
102	0.0	0.5673	1.8	1.09	1.679	1.002
103	0.0	0.8059	1.532	1.852	1.365	1.587
104	0.0	0.9976	2.043	2.356	1.821	1.927
105	0.0	0.8319	0.7691	1.507	0.6826	1.405
106	0.0	0.7941	1.406	1.434	1.231	1.456
107	0.0	0.7623	1.208	1.442	1.183	1.317
108	0.0	0.8579	1.405	1.649	1.256	1.458
109	0.0	0.8064	1.938	1.487	1.571	1.419
110	0.0	0.8426	1.542	1.567	1.477	1.645
111	0.0	0.9652	1.283	2.035	1.649	2.175
112	0.0	0.9487	0.9339	2.036	0.8126	1.852
113	0.0	0.6087	1.992	1.388	1.8	1.036
114	0.0	0.7692	1.766	1.485	1.689	1.545
115	0.0	0.8733	1.416	1.937	1.498	1.832
116	0.0	0.7672	0.8974	1.458	0.8587	1.474
117	0.0	0.8032	1.653	1.987	1.523	2.084
118	0.0	0.5213	0.9829	1.021	0.9423	1.27
119	0.0	0.7523	1.636	1.568	1.443	1.437
120	0.0	0.8417	1.062	1.609	0.913	1.509
121	0.0	0.7431	0.9412	1.425	0.776	1.416
122	0.0	0.9338	1.779	1.822	1.678	1.632
123	0.0	0.9927	1.881	2.259	1.741	2.118
124	0.0	0.8911	1.555	1.661	1.546	1.663
125	0.0	0.7295	0.8711	1.646	0.7266	1.437
126	0.0	0.9203	1.412	1.777	1.167	1.809
127	0.0	0.8666	1.401	1.655	1.258	2.145
128	0.0	0.611	1.723	1.339	1.602	1.036
129	0.0	0.7207	0.9121	1.529	0.7681	1.264
130	0.0	0.6534	1.717	1.315	1.609	1.223
131	0.0	0.833	1.772	1.731	1.602	1.567
132	0.0	0.7345	2.02	1.507	1.564	1.321
133	0.0	0.8715	1.591	1.957	1.382	1.614
134	0.0	0.2673	1.594	0.5068	1.45	0.559
135	0.0	0.8501	0.9872	1.643	0.8831	1.704
136	0.0	0.6368	1.372	1.359	1.33	1.188
137	0.0	0.8911	1.613	1.778	1.356	1.651
138	0.0	0.9177	1.646	1.833	1.457	1.843
139	0.0	0.9298	1.81	2.123	1.721	1.871
140	0.0	0.836	1.448	1.843	1.743	1.415
141	0.0	0.6563	2.075	1.304	1.561	1.189
142	0.0	1.035	1.8	2.684	1.666	2.369
143	0.0	0.6988	1.303	1.344	1.211	1.275
144	0.0	0.839	1.589	1.67	1.36	1.517
145	0.0	0.8649	1.189	1.761	1.125	1.631
146	0.0	0.66	1.398	1.298	1.218	1.108
147	0.0	0.87	1.255	1.721	0.8696	1.733
148	0.0	0.6063	1.63	1.308	1.34	0.9947
149	0.0	0.7338	1.561	1.685	1.335	1.339
