Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.571	0.0	4.571	3.806	3.822	3.181
2	4.167	0.0	4.167	3.115	4.145	2.666
3	3.984	0.0	3.984	2.953	3.201	2.639
4	5.279	0.0	5.279	4.086	3.918	4.073
5	4.63	0.0	4.63	4.679	4.415	4.409
6	3.283	0.0	3.283	3.379	2.908	3.067
7	4.842	0.0	4.842	4.161	4.362	4.447
8	3.112	0.0	3.112	3.272	3.365	3.592
9	3.447	0.0	3.447	4.046	3.646	4.298
10	3.918	0.0	3.918	3.706	3.954	4.005
11	2.706	0.0	2.706	3.078	2.856	3.253
12	2.984	0.0	2.984	3.083	3.198	3.592
13	3.141	0.0	3.141	2.761	3.843	3.209
14	2.691	0.0	2.691	2.166	3.065	2.414
15	1.445	0.0	1.445	2.521	1.507	2.911
16	2.537	0.0	2.537	2.075	2.9	2.436
17	2.378	0.0	2.378	2.158	2.715	2.743
18	2.338	0.0	2.338	1.921	2.557	2.16
19	2.518	0.0	2.518	1.843	2.883	2.152
20	2.181	0.0	2.181	2.421	2.396	2.476
21	2.277	0.0	2.277	2.293	2.437	2.607
22	2.271	0.0	2.271	1.63	2.619	2.019
23	2.122	0.0	2.122	2.184	2.513	2.431
24	2.198	0.0	2.198	2.406	2.409	2.837
25	2.128	0.0	2.128	2.194	2.25	2.332
26	1.946	0.0	1.946	1.778	2.078	1.99
27	2.121	0.0	2.121	2.232	2.502	2.484
28	2.259	0.0	2.259	1.628	2.262	1.836
29	2.036	0.0	2.036	2.06	2.167	2.257
30	1.86	0.0	1.86	2.255	2.079	3.6
31	1.616	0.0	1.616	1.895	1.86	2.091
32	1.341	0.0	1.341	1.989	1.474	2.289
33	1.626	0.0	1.626	1.521	1.807	1.715
34	1.908	0.0	1.908	1.969	2.08	2.414
35	2.054	0.0	2.054	2.05	2.227	2.281
36	2.062	0.0	2.062	2.011	2.352	2.177
37	1.893	0.0	1.893	1.271	2.146	1.461
38	1.901	0.0	1.901	1.671	2.124	1.859
39	1.796	0.0	1.796	1.712	2.078	2.088
40	2.098	0.0	2.098	1.85	2.367	1.958
41	1.796	0.0	1.796	2.037	2.025	2.29
42	1.531	0.0	1.531	1.705	1.673	1.913
43	2.164	0.0	2.164	1.254	2.253	1.866
44	1.482	0.0	1.482	1.45	1.742	1.663
45	2.018	0.0	2.018	1.927	2.139	2.111
46	1.86	0.0	1.86	2.008	1.934	2.325
47	1.615	0.0	1.615	1.41	2.09	1.746
48	1.597	0.0	1.597	1.624	1.829	1.936
49	1.54	0.0	1.54	1.702	1.639	1.862
50	1.396	0.0	1.396	1.316	1.738	1.638
51	1.476	0.0	1.476	1.658	1.633	1.975
52	1.841	0.0	1.841	2.059	2.11	2.366
53	1.266	0.0	1.266	1.512	1.461	1.774
54	1.549	0.0	1.549	2.02	1.722	2.167
55	1.709	0.0	1.709	1.683	1.929	1.935
56	1.777	0.0	1.777	1.677	2.056	1.979
57	1.697	0.0	1.697	1.588	1.9	1.811
58	1.538	0.0	1.538	1.696	1.849	1.932
59	1.814	0.0	1.814	1.944	2.044	2.111
60	1.252	0.0	1.252	1.574	1.414	1.745
61	1.754	0.0	1.754	1.453	1.964	1.678
62	1.405	0.0	1.405	1.711	1.559	1.818
63	1.252	0.0	1.252	2.199	1.391	2.402
64	1.659	0.0	1.659	1.92	1.818	1.988
65	1.636	0.0	1.636	1.371	1.879	1.584
66	1.218	0.0	1.218	2.01	1.363	2.377
67	1.447	0.0	1.447	1.444	1.749	1.725
