Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	4.001	0.0	4.547	3.928	4.001	3.254
2	3.865	0.0	4.056	3.25	3.865	2.765
3	3.292	0.0	3.636	3.153	3.292	2.769
4	4.198	0.0	5.345	4.411	4.198	3.74
5	4.222	0.0	4.71	5.456	4.222	4.144
6	2.856	0.0	3.586	3.798	2.856	3.036
7	3.994	0.0	5.029	5.382	3.994	3.524
8	3.027	0.0	3.94	4.212	3.027	2.925
9	3.282	0.0	5.048	5.409	3.282	3.693
10	3.545	0.0	4.7	4.616	3.545	3.119
11	2.788	0.0	3.497	4.113	2.788	3.35
12	2.864	0.0	4.064	4.147	2.864	2.802
13	2.793	0.0	4.109	3.981	2.793	3.131
14	2.655	0.0	3.974	4.111	2.655	2.737
15	2.159	0.0	2.198	3.921	2.159	2.289
16	2.496	0.0	4.292	3.061	2.496	1.903
17	2.425	0.0	3.497	2.902	2.425	2.153
18	2.421	0.0	3.446	2.512	2.421	1.705
19	2.553	0.0	3.897	2.894	2.553	1.857
20	2.22	0.0	3.064	3.762	2.22	2.493
21	2.159	0.0	3.516	3.361	2.159	2.13
22	2.044	0.0	3.101	2.055	2.044	1.7
23	2.09	0.0	2.632	2.785	2.09	2.031
24	1.953	0.0	2.716	2.807	1.953	2.379
25	1.959	0.0	2.914	2.551	1.959	2.07
26	1.761	0.0	2.702	2.482	1.761	1.602
27	2.117	0.0	2.668	3.104	2.117	2.501
28	2.337	0.0	3.285	2.266	2.337	1.722
29	2.033	0.0	2.887	2.962	2.033	2.318
30	2.035	0.0	2.807	2.847	2.035	3.142
31	1.764	0.0	2.151	2.843	1.764	2.152
32	1.197	0.0	1.699	2.755	1.197	2.1
33	1.704	0.0	2.233	2.114	1.704	1.615
34	1.891	0.0	2.55	2.872	1.891	2.286
35	2.077	0.0	3.02	2.997	2.077	2.194
36	2.003	0.0	2.472	2.882	2.003	1.957
37	2.062	0.0	2.861	1.526	2.062	1.188
38	1.876	0.0	2.699	2.399	1.876	1.626
39	1.941	0.0	2.677	2.528	1.941	1.96
40	1.98	0.0	2.871	2.709	1.98	1.764
41	1.714	0.0	2.305	2.625	1.714	1.937
42	1.434	0.0	2.092	2.382	1.434	1.752
43	2.058	0.0	2.751	1.629	2.058	1.662
44	1.676	0.0	2.152	2.018	1.676	1.479
45	2.079	0.0	2.944	2.995	2.079	2.062
46	1.995	0.0	2.999	3.371	1.995	2.068
47	1.866	0.0	2.376	1.925	1.866	1.451
48	1.817	0.0	2.406	2.445	1.817	1.92
49	1.576	0.0	2.39	2.648	1.576	1.712
50	1.471	0.0	1.812	1.846	1.471	1.472
51	1.544	0.0	2.069	2.616	1.544	1.844
52	1.834	0.0	2.263	2.613	1.834	2.394
53	1.357	0.0	1.771	2.25	1.357	1.629
54	1.586	0.0	2.082	2.345	1.586	1.899
55	1.787	0.0	2.719	2.645	1.787	1.796
56	1.917	0.0	2.41	2.411	1.917	1.784
57	1.77	0.0	2.517	2.386	1.77	1.74
58	1.738	0.0	2.319	2.705	1.738	1.84
59	1.959	0.0	2.788	2.81	1.959	2.01
60	1.248	0.0	1.795	2.334	1.248	1.637
61	1.686	0.0	2.43	2.079	1.686	1.549
62	1.448	0.0	2.081	2.536	1.448	1.735
63	1.308	0.0	1.828	2.614	1.308	2.24
64	1.632	0.0	2.176	2.428	1.632	1.774
65	1.73	0.0	2.298	2.085	1.73	1.817
66	1.313	0.0	1.874	2.263	1.313	2.205
67	1.606	0.0	2.063	2.0	1.606	1.539
68	1.638	0.0	2.276	1.571	1.638	1.246
69	1.645	0.0	2.119	2.047	1.645	1.589
70	2.175	0.0	2.074	2.315	2.175	1.66
71	1.689	0.0	2.147	2.279	1.689	1.838
72	1.653	0.0	1.911	2.097	1.653	1.584
73	1.531	0.0	2.011	1.854	1.531	1.432
74	1.895	0.0	2.359	1.955	1.895	1.51
75	1.552	0.0	1.941	1.906	1.552	1.308
76	1.417	0.0	2.027	2.177	1.417	1.624
77	1.374	0.0	2.012	1.812	1.374	1.421
78	1.465	0.0	1.758	1.739	1.465	1.339
79	1.462	0.0	1.947	2.032	1.462	1.522
80	2.159	0.0	2.308	1.955	2.159	1.735
81	1.806	0.0	2.37	2.256	1.806	1.892
82	1.304	0.0	1.691	1.915	1.304	1.419
83	1.585	0.0	2.004	2.442	1.585	1.91
84	1.549	0.0	2.188	1.84	1.549	1.409
85	1.534	0.0	2.079	2.061	1.534	1.443
86	1.654	0.0	2.04	2.181	1.654	1.737
87	1.43	0.0	1.991	1.701	1.43	1.299
88	1.206	0.0	1.432	1.821	1.206	1.497
89	1.599	0.0	1.922	1.39	1.599	1.091
90	1.366	0.0	1.933	2.069	1.366	1.692
91	1.517	0.0	2.142	2.159	1.517	1.566
92	1.574	0.0	2.217	2.077	1.574	1.526
93	1.479	0.0	2.132	2.045	1.479	1.6
94	1.785	0.0	2.45	2.122	1.785	1.726
95	1.667	0.0	1.997	1.94	1.667	1.468
96	1.526	0.0	2.079	2.302	1.526	1.795
97	1.334	0.0	1.662	1.912	1.334	1.446
98	1.364	0.0	1.91	2.005	1.364	1.44
99	1.809	0.0	2.194	2.127	1.809	1.604
100	1.284	0.0	1.747	1.837	1.284	1.543
101	1.759	0.0	2.344	1.545	1.759	1.263
102	1.378	0.0	1.685	1.141	1.378	0.9418
103	1.108	0.0	1.484	2.013	1.108	1.667
104	1.353	0.0	1.827	2.178	1.353	1.731
105	1.145	0.0	1.355	1.911	1.145	1.484
106	1.309	0.0	1.497	1.604	1.309	1.273
107	1.482	0.0	1.817	1.714	1.482	1.417
108	1.421	0.0	1.842	1.833	1.421	1.511
109	1.153	0.0	1.367	1.674	1.153	1.348
110	1.14	0.0	1.535	1.566	1.14	1.299
111	1.367	0.0	1.745	1.956	1.367	1.467
112	1.742	0.0	2.089	2.301	1.742	1.824
113	1.25	0.0	1.73	1.845	1.25	1.328
114	1.408	0.0	1.787	1.611	1.408	1.354
115	1.297	0.0	1.725	2.274	1.297	1.83
116	1.453	0.0	1.827	1.751	1.453	1.446
117	1.326	0.0	1.597	1.928	1.326	1.66
118	1.044	0.0	1.207	1.746	1.044	1.527
119	1.916	0.0	2.35	1.793	1.916	1.488
120	1.45	0.0	1.778	1.783	1.45	1.456
121	1.191	0.0	1.408	1.399	1.191	1.18
122	1.099	0.0	1.486	1.396	1.099	1.19
123	1.323	0.0	1.616	1.758	1.323	1.594
124	1.342	0.0	1.614	1.358	1.342	1.227
125	1.506	0.0	1.891	1.693	1.506	1.324
126	1.202	0.0	1.555	2.129	1.202	1.837
127	1.593	0.0	1.858	1.819	1.593	1.522
128	1.192	0.0	1.683	1.339	1.192	1.116
129	0.9341	0.0	1.135	1.93	0.9341	1.485
130	1.064	0.0	1.439	1.771	1.064	1.174
131	1.446	0.0	1.839	1.86	1.446	1.506
132	1.377	0.0	1.798	1.506	1.377	1.173
133	1.387	0.0	1.725	1.413	1.387	1.164
134	1.283	0.0	1.738	1.638	1.283	1.29
135	1.402	0.0	1.873	1.928	1.402	1.628
