Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.9057	0.0	2.096	3.02	2.125	3.184
2	1.1	0.0	2.489	2.318	2.58	1.987
3	1.605	0.0	4.656	3.344	3.919	3.412
4	1.608	0.0	5.214	3.973	4.007	3.984
5	1.435	0.0	4.518	4.468	3.784	3.967
6	1.023	0.0	2.316	1.636	2.432	1.696
7	0.8201	0.0	1.719	1.373	1.705	1.604
8	1.098	0.0	2.54	2.484	2.479	2.59
9	0.991	0.0	2.217	3.01	2.071	1.844
10	0.8155	0.0	1.621	2.38	1.642	2.326
11	0.9682	0.0	2.018	2.762	2.269	3.289
12	0.9993	0.0	1.952	2.192	2.099	1.849
13	1.126	0.0	2.912	2.621	3.004	3.794
14	1.365	0.0	3.225	2.146	3.571	2.78
15	0.7686	0.0	1.534	1.752	1.655	1.789
16	0.9399	0.0	2.002	2.444	1.947	2.085
17	0.6111	0.0	1.188	1.564	1.042	1.564
18	0.5461	0.0	0.9523	2.381	0.9582	2.29
19	1.166	0.0	2.495	2.477	2.273	2.181
20	1.166	0.0	2.424	2.806	2.627	2.616
21	0.9371	0.0	2.045	1.363	2.07	1.467
22	0.9187	0.0	1.954	1.171	1.578	1.441
23	0.9804	0.0	1.919	2.528	1.983	2.601
24	0.9677	0.0	1.921	1.206	1.774	1.249
25	1.057	0.0	2.206	1.908	2.207	1.975
26	0.7587	0.0	1.482	1.841	1.305	2.085
27	0.8487	0.0	1.567	1.896	1.604	1.815
28	1.038	0.0	2.325	1.993	2.029	1.721
29	0.9733	0.0	2.179	2.27	1.782	2.054
30	0.725	0.0	1.483	0.8048	1.373	0.8795
31	0.8943	0.0	1.733	2.056	1.754	2.268
32	0.502	0.0	0.8611	1.803	0.8167	2.051
33	0.5806	0.0	1.057	2.547	0.9513	1.962
34	0.5861	0.0	1.089	1.723	0.9937	2.461
35	0.8288	0.0	1.6	1.779	1.612	1.751
36	0.9998	0.0	1.831	2.38	1.907	1.856
37	1.035	0.0	2.0	2.119	1.941	1.654
38	1.011	0.0	2.088	3.174	2.418	2.75
39	1.021	0.0	2.026	1.836	1.924	1.843
