Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.9352	0.0	2.294	3.397	2.43	3.621
2	1.086	0.0	2.358	2.526	2.482	2.187
3	1.664	0.0	4.842	4.115	3.81	3.559
4	1.512	0.0	4.408	3.728	3.732	3.43
5	1.473	0.0	4.768	4.744	3.717	3.709
6	1.014	0.0	2.162	1.757	2.315	1.873
7	0.9145	0.0	2.106	1.576	2.059	1.585
8	1.133	0.0	2.537	2.644	2.563	2.011
9	1.047	0.0	2.35	2.743	2.2	2.031
10	0.7981	0.0	1.602	2.429	1.574	2.262
11	1.072	0.0	2.296	2.984	2.768	3.82
12	0.9537	0.0	1.889	2.159	1.933	1.946
13	1.075	0.0	2.699	2.922	3.055	3.985
14	1.261	0.0	2.862	1.973	3.275	2.572
15	0.7617	0.0	1.599	1.865	1.549	1.702
16	0.9439	0.0	2.076	2.584	1.802	2.075
17	0.6126	0.0	1.277	1.562	1.049	1.536
18	0.5773	0.0	1.027	2.393	1.017	2.271
19	1.225	0.0	2.649	2.859	2.562	2.161
20	1.287	0.0	2.984	2.915	3.238	2.58
21	0.9452	0.0	2.13	1.246	2.034	1.344
22	0.9004	0.0	2.122	1.227	1.611	1.401
23	0.9759	0.0	1.939	2.246	1.895	2.393
24	0.9418	0.0	1.984	1.214	1.717	1.144
25	1.069	0.0	2.208	2.02	2.109	2.054
26	0.8015	0.0	1.633	1.902	1.373	2.098
27	0.8786	0.0	1.644	1.95	1.662	1.777
28	0.9932	0.0	2.535	1.999	1.853	1.536
29	0.9528	0.0	2.228	2.281	1.775	1.982
30	0.7037	0.0	1.583	0.8361	1.196	0.938
31	0.8829	0.0	1.785	2.087	1.604	2.265
32	0.4972	0.0	0.9142	1.828	0.7888	2.018
33	0.5791	0.0	1.13	2.711	0.9701	1.904
34	0.5898	0.0	1.174	2.113	0.9629	2.762
35	0.8438	0.0	1.724	1.93	1.644	1.849
36	0.7975	0.0	1.506	2.476	1.408	1.813
37	1.043	0.0	2.061	2.284	1.949	1.54
38	0.9709	0.0	2.057	3.194	2.274	3.148
39	1.018	0.0	2.156	1.873	1.873	1.561
40	0.5592	0.0	1.003	1.4	0.995	1.297
41	0.7173	0.0	1.384	1.392	1.231	1.181
42	0.5672	0.0	1.153	1.873	0.9893	1.443
43	0.7402	0.0	1.474	2.296	1.419	2.374
44	0.8378	0.0	1.832	1.31	1.438	1.178
45	0.8986	0.0	2.197	2.13	1.667	1.64
46	0.7588	0.0	1.43	2.059	1.5	2.374
47	0.8492	0.0	1.754	1.433	1.539	1.47
48	0.4652	0.0	0.8209	2.185	0.7277	2.043
49	0.9043	0.0	1.866	2.342	1.615	2.131
50	0.7956	0.0	1.487	1.489	1.461	1.723
51	0.8268	0.0	1.567	2.158	1.63	2.141
52	0.6395	0.0	1.335	2.233	1.35	2.006
53	1.058	0.0	2.199	1.818	2.164	1.975
54	0.4712	0.0	0.8488	1.433	0.7896	1.614
55	0.8286	0.0	1.666	1.194	1.42	1.17
56	1.027	0.0	2.147	1.264	2.136	1.411
57	0.8938	0.0	2.127	1.876	1.462	1.338
58	0.9877	0.0	2.355	2.305	1.809	1.828
59	0.8261	0.0	1.61	1.746	1.588	1.646
60	0.7619	0.0	1.591	2.041	1.607	1.623
61	0.9207	0.0	1.781	1.637	1.795	1.7
62	0.5986	0.0	1.097	1.348	0.9701	1.136
63	0.7484	0.0	1.424	2.038	1.302	2.004
64	1.081	0.0	2.061	1.916	2.149	1.896
65	0.8033	0.0	1.606	1.563	1.382	1.227
66	0.9876	0.0	2.032	1.535	2.033	1.957
67	0.899	0.0	1.797	1.852	1.613	1.7
68	0.977	0.0	2.022	1.976	1.707	1.749
69	1.054	0.0	1.959	1.88	2.026	1.644
70	0.4482	0.0	1.036	2.021	0.8813	1.51
71	0.671	0.0	1.383	1.848	1.149	1.507
72	1.125	0.0	2.108	1.554	2.2	1.474
73	0.7582	0.0	1.509	2.512	1.387	1.811
74	0.7875	0.0	1.656	2.05	1.668	2.292
75	1.349	0.0	2.852	1.214	2.814	1.084
76	0.8967	0.0	1.798	1.994	1.62	1.918
77	0.8319	0.0	1.739	1.502	1.454	1.287
78	0.8301	0.0	1.525	1.74	1.627	1.882
79	0.5904	0.0	1.142	2.057	0.9765	1.74
80	0.6527	0.0	1.32	1.647	1.148	1.585
81	0.8056	0.0	1.751	1.92	1.408	1.944
82	0.8007	0.0	1.501	1.573	1.397	1.346
83	0.9522	0.0	1.912	1.989	1.672	1.794
84	0.9475	0.0	1.927	0.9998	1.669	0.841
85	1.05	0.0	2.099	2.018	2.119	2.726
86	0.6832	0.0	1.339	0.6307	1.189	0.7942
87	1.074	0.0	2.134	1.713	1.98	1.478
88	0.6923	0.0	1.284	1.208	1.253	1.857
89	0.6731	0.0	1.399	1.792	1.371	1.752
90	0.7658	0.0	1.468	1.891	1.515	1.779
91	0.655	0.0	1.252	1.547	1.173	1.675
92	0.9068	0.0	1.831	2.256	1.626	2.125
93	0.8839	0.0	1.781	1.801	1.596	1.727
94	0.7742	0.0	1.458	1.39	1.404	1.291
95	0.6877	0.0	1.293	1.62	1.177	1.306
96	0.8355	0.0	1.765	1.582	1.342	1.416
97	0.9518	0.0	2.162	1.939	1.749	1.574
98	0.679	0.0	1.454	1.31	1.171	0.9363
99	0.9149	0.0	1.771	2.127	1.569	1.942
100	0.8699	0.0	1.595	1.872	1.482	1.666
101	0.7465	0.0	1.512	0.8404	1.403	0.7219
102	0.8456	0.0	1.771	1.13	1.582	1.096
103	0.7114	0.0	1.475	1.864	1.282	1.469
104	0.9332	0.0	1.983	2.267	1.844	1.847
105	0.6117	0.0	1.295	1.501	1.046	1.393
106	0.6332	0.0	1.217	1.413	1.033	1.426
107	0.7564	0.0	1.531	1.387	1.34	1.206
108	0.8086	0.0	1.635	1.56	1.431	1.423
109	0.6611	0.0	1.308	1.211	1.094	1.154
110	0.7331	0.0	1.395	1.652	1.236	1.766
111	0.7977	0.0	1.491	2.043	1.974	2.542
112	0.6457	0.0	1.184	1.976	1.093	1.733
113	0.8315	0.0	1.624	1.32	1.456	1.021
114	0.6641	0.0	1.263	1.471	1.102	1.474
115	0.9899	0.0	1.971	1.953	2.258	1.901
116	0.7441	0.0	1.416	1.555	1.28	1.524
117	0.7495	0.0	1.608	1.718	1.389	2.022
118	0.5072	0.0	0.9477	1.083	1.057	1.25
119	0.6974	0.0	1.405	1.481	1.178	1.491
120	0.5893	0.0	1.114	1.569	1.038	1.429
121	0.6997	0.0	1.373	1.5	1.233	1.476
122	1.015	0.0	2.09	1.821	1.897	1.632
123	0.5499	0.0	0.9421	2.136	0.877	2.169
124	0.7694	0.0	1.475	1.516	1.369	1.628
125	0.4898	0.0	0.8954	1.609	0.7784	1.493
126	0.864	0.0	1.652	1.769	1.635	1.946
127	0.7942	0.0	1.528	1.71	1.586	2.165
128	0.8623	0.0	1.713	1.302	1.49	1.077
129	0.6348	0.0	1.244	1.488	1.064	1.286
130	0.7137	0.0	1.336	1.303	1.21	1.256
131	0.8643	0.0	1.745	1.656	1.551	1.565
132	0.7235	0.0	1.481	1.526	1.238	1.391
133	0.7882	0.0	1.63	1.928	1.547	1.631
134	0.8022	0.0	1.608	0.4943	1.35	0.5027
135	0.7179	0.0	1.368	1.698	1.237	1.792
136	0.6139	0.0	1.102	1.365	1.066	1.407
137	0.8649	0.0	1.862	1.671	1.484	1.516
138	0.9149	0.0	1.863	1.894	1.826	1.901
139	0.4623	0.0	0.8451	2.097	0.7582	1.728
140	0.9236	0.0	1.914	1.81	1.617	1.37
141	0.8319	0.0	2.063	1.317	1.362	1.143
142	0.8632	0.0	1.975	3.034	1.631	2.847
143	0.6802	0.0	1.226	1.341	1.147	1.22
144	0.7648	0.0	1.569	1.741	1.289	1.561
145	0.6968	0.0	1.348	1.786	1.246	1.654
146	0.7741	0.0	1.412	1.339	1.309	1.201
147	0.8329	0.0	1.917	1.743	1.458	1.786
148	0.693	0.0	1.378	1.267	1.098	1.009
149	0.8527	0.0	1.75	1.666	1.478	1.395
150	0.6412	0.0	1.217	1.566	1.249	1.7
151	0.5646	0.0	1.021	1.098	0.924	1.128
152	0.8521	0.0	1.69	1.085	1.551	1.004
153	0.7993	0.0	1.537	1.935	1.481	1.761
154	0.6471	0.0	1.226	1.204	1.091	1.113
155	0.8488	0.0	1.711	1.692	1.624	1.674
156	0.8675	0.0	1.915	1.353	1.515	1.112
157	0.7885	0.0	1.543	1.547	1.478	1.532
158	0.6552	0.0	1.163	1.364	1.078	1.383
159	0.8452	0.0	1.736	1.501	1.565	1.356
160	0.9895	0.0	2.1	1.635	2.029	1.535
161	0.5289	0.0	1.008	1.657	0.9155	1.325
162	0.9381	0.0	2.151	1.808	1.697	1.644
163	0.653	0.0	1.317	1.113	1.098	1.085
164	0.9007	0.0	1.832	2.7	1.726	1.912
165	0.553	0.0	1.132	1.688	0.8912	2.023
166	0.8145	0.0	1.65	1.388	1.586	1.218
167	0.9117	0.0	1.817	1.33	1.801	1.047
168	0.5302	0.0	0.9033	1.87	0.9191	1.739
169	0.6815	0.0	1.488	1.468	1.149	1.236
170	0.6084	0.0	1.149	1.34	1.006	1.702
171	0.8352	0.0	1.612	1.73	1.479	1.683
172	0.8185	0.0	1.691	1.462	1.4	1.422
173	0.6583	0.0	1.1	1.174	1.188	1.287
174	0.5597	0.0	1.01	1.638	0.9181	1.383
175	0.4525	0.0	0.7762	1.6	0.705	1.426
176	0.6631	0.0	1.301	1.033	1.217	1.033
177	0.8216	0.0	1.717	0.6658	1.419	0.6111
178	0.8389	0.0	1.69	2.727	1.544	3.107
179	0.8047	0.0	1.457	1.331	1.418	1.191
180	0.6943	0.0	1.377	2.129	1.285	1.863
181	0.7973	0.0	1.633	1.543	1.438	1.315
182	0.4848	0.0	0.8148	1.341	0.7838	1.379
183	0.6912	0.0	1.202	1.248	1.214	1.27
184	0.4969	0.0	0.9559	1.721	0.8221	1.589
185	0.4126	0.0	0.6853	1.4	0.6181	1.418
186	0.7305	0.0	1.638	1.153	1.31	1.155
187	0.6871	0.0	1.349	1.766	1.179	1.532
188	0.8744	0.0	1.706	1.567	1.578	1.358
189	0.8899	0.0	1.811	1.466	1.771	1.592
190	0.5749	0.0	1.129	0.8955	0.9976	0.8839
191	0.8027	0.0	1.606	1.452	1.412	1.198
192	0.4674	0.0	0.894	1.695	0.961	2.046
193	0.7571	0.0	1.456	0.9114	1.358	0.8777
