Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.1085	0.0	1.825	3.802	1.92	4.035
2	0.1409	0.0	2.356	2.032	2.796	1.983
3	0.2392	0.0	4.581	1.607	5.29	1.796
4	0.1987	0.0	4.037	4.111	4.05	4.811
5	0.1744	0.0	3.693	3.84	2.996	3.612
6	0.1205	0.0	2.084	2.033	2.043	2.176
7	0.1056	0.0	1.995	2.305	1.785	2.34
8	0.145	0.0	2.591	3.287	2.833	2.892
9	0.1202	0.0	1.803	2.099	1.945	2.228
10	0.09701	0.0	1.552	1.285	1.556	1.349
11	0.09236	0.0	1.423	2.267	1.362	1.735
12	0.1233	0.0	2.093	1.531	1.924	1.492
13	0.1232	0.0	2.088	1.649	2.485	2.005
14	0.1505	0.0	2.336	0.9963	2.819	1.059
15	0.07771	0.0	1.352	1.552	1.22	1.5
16	0.09144	0.0	1.568	1.291	1.251	1.359
17	0.0756	0.0	1.325	1.607	1.115	1.439
18	0.06251	0.0	0.9974	3.249	0.9068	2.903
19	0.1525	0.0	2.682	1.223	2.501	1.092
20	0.1409	0.0	3.559	2.401	2.101	1.508
21	0.105	0.0	1.801	1.325	1.694	1.257
22	0.09816	0.0	1.528	1.91	1.461	2.157
23	0.1044	0.0	1.569	1.813	1.52	1.5
24	0.1253	0.0	2.116	3.033	1.944	3.122
25	0.1194	0.0	2.005	1.905	1.968	1.609
26	0.1152	0.0	2.186	1.869	1.805	1.582
27	0.1036	0.0	1.778	1.722	1.523	1.493
28	0.117	0.0	2.389	1.702	1.67	1.191
29	0.1068	0.0	1.933	2.293	1.509	1.902
30	0.08545	0.0	1.392	1.989	1.208	1.847
31	0.1048	0.0	1.646	1.885	1.578	2.004
32	0.05303	0.0	0.7669	1.473	0.6549	1.608
33	0.06598	0.0	0.998	2.532	0.8767	2.173
34	0.08203	0.0	1.514	1.178	1.242	0.9152
35	0.09674	0.0	1.648	1.951	1.42	1.558
36	0.1102	0.0	1.76	1.739	1.455	1.416
37	0.1337	0.0	2.149	1.946	1.944	1.884
38	0.1168	0.0	1.898	0.9326	1.831	0.9402
39	0.1138	0.0	2.839	3.658	1.472	2.042
40	0.0588	0.0	0.8618	2.494	0.8079	2.311
41	0.08387	0.0	1.57	1.198	1.17	0.914
42	0.0735	0.0	1.169	1.417	1.076	1.056
43	0.07647	0.0	1.219	2.476	0.9806	1.833
44	0.09359	0.0	1.951	2.412	1.164	1.529
45	0.1197	0.0	2.072	1.824	1.799	1.449
46	0.08796	0.0	1.24	2.206	1.302	1.787
47	0.106	0.0	1.626	1.544	1.555	1.343
48	0.04721	0.0	0.6415	1.144	0.599	0.8947
49	0.1279	0.0	2.305	2.435	1.901	2.524
50	0.07839	0.0	1.25	1.525	1.089	1.416
51	0.09546	0.0	1.344	1.439	1.44	1.508
52	0.08515	0.0	1.627	1.315	1.365	1.208
53	0.1355	0.0	2.101	1.311	2.076	1.179
54	0.04938	0.0	0.73	1.464	0.6404	1.212
55	0.1088	0.0	2.106	1.965	1.586	1.656
56	0.1183	0.0	2.002	1.105	1.795	1.058
57	0.09674	0.0	1.621	1.556	1.35	1.091
58	0.1347	0.0	2.504	1.876	2.012	1.667
59	0.09935	0.0	1.437	1.72	1.419	1.461
60	0.0797	0.0	1.326	2.491	1.125	1.721
61	0.1095	0.0	1.75	1.657	1.675	1.901
62	0.07335	0.0	1.279	1.406	1.006	1.379
63	0.0969	0.0	1.503	0.8785	1.433	0.7006
64	0.1243	0.0	1.939	2.146	1.755	1.823
65	0.09132	0.0	1.615	2.209	1.197	1.642
66	0.108	0.0	1.548	1.552	1.588	1.472
67	0.1164	0.0	1.999	2.114	1.708	1.658
68	0.1196	0.0	2.269	2.52	1.653	2.018
69	0.08906	0.0	1.805	1.575	1.119	0.9984
70	0.05921	0.0	1.049	2.107	0.8803	1.609
71	0.08331	0.0	1.402	2.221	1.248	1.503
72	0.1072	0.0	2.346	2.28	1.442	1.373
73	0.09022	0.0	2.031	1.021	1.269	0.8165
74	0.08278	0.0	1.174	0.734	1.179	0.6882
75	0.1419	0.0	3.03	2.324	2.093	1.733
76	0.111	0.0	1.987	2.287	1.672	1.591
77	0.1123	0.0	1.995	2.573	1.574	2.011
78	0.09993	0.0	1.703	2.016	1.559	2.014
79	0.06405	0.0	1.062	2.088	0.8574	1.738
80	0.06409	0.0	0.9159	1.436	0.8435	1.314
81	0.1067	0.0	1.948	2.026	1.501	1.577
82	0.08853	0.0	1.648	2.896	1.126	1.763
83	0.1203	0.0	2.03	1.968	1.746	1.85
84	0.1141	0.0	2.357	2.173	1.618	1.585
85	0.1082	0.0	1.652	1.123	1.594	0.9355
86	0.07779	0.0	1.1	1.763	1.094	1.552
87	0.1228	0.0	2.361	1.887	1.819	1.718
88	0.07445	0.0	1.059	1.214	1.018	1.127
89	0.06346	0.0	1.037	2.6	0.8716	1.818
90	0.08867	0.0	1.273	1.528	1.348	1.624
91	0.07403	0.0	0.9579	1.277	1.065	1.251
92	0.1235	0.0	1.978	2.096	1.767	1.75
93	0.1047	0.0	2.498	1.55	1.343	1.009
94	0.08273	0.0	1.222	1.178	1.117	1.168
95	0.07183	0.0	1.235	1.761	0.9568	1.277
96	0.1076	0.0	1.812	2.002	1.528	1.555
97	0.1213	0.0	2.432	1.618	1.697	1.256
98	0.09326	0.0	1.567	1.567	1.318	1.415
99	0.1291	0.0	2.118	2.454	1.907	1.811
100	0.1131	0.0	1.772	1.6	1.598	1.349
101	0.08473	0.0	1.287	1.188	1.227	1.1
102	0.09991	0.0	1.721	1.347	1.435	1.293
103	0.08815	0.0	1.361	1.741	1.268	1.448
104	0.1122	0.0	1.956	1.71	1.685	1.477
105	0.07213	0.0	1.167	1.82	0.9249	1.717
106	0.08418	0.0	1.343	1.097	1.139	1.165
107	0.09957	0.0	1.591	2.159	1.446	1.69
108	0.124	0.0	1.987	2.006	1.828	1.572
109	0.07423	0.0	1.716	1.366	0.9632	0.9865
110	0.09374	0.0	1.47	1.139	1.284	1.011
111	0.103	0.0	1.311	1.506	1.796	2.059
112	0.1229	0.0	1.966	1.452	1.807	1.05
113	0.0787	0.0	1.396	0.9438	1.06	0.8013
114	0.07898	0.0	1.211	1.234	1.089	1.222
115	0.08766	0.0	1.417	1.754	1.281	1.785
116	0.07542	0.0	1.002	0.6575	1.027	0.5814
117	0.07847	0.0	1.104	1.337	1.099	1.434
118	0.06465	0.0	0.9072	1.271	0.9457	1.227
119	0.107	0.0	1.899	1.204	1.504	0.9881
120	0.1125	0.0	2.0	1.851	1.565	1.47
121	0.08825	0.0	1.299	1.153	1.218	0.9768
122	0.06727	0.0	1.02	2.002	0.9079	1.619
123	0.1145	0.0	1.815	1.743	1.684	1.641
124	0.1171	0.0	1.942	1.873	1.645	1.201
125	0.06196	0.0	0.8517	1.181	0.8083	1.209
126	0.1025	0.0	1.408	1.427	1.447	1.231
127	0.08354	0.0	1.225	1.362	1.121	1.648
128	0.1164	0.0	1.929	1.684	1.648	1.644
129	0.08422	0.0	1.201	1.325	1.166	1.504
