Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	4.452	3.602	4.452	2.954	4.113
2	0.0	4.15	2.865	4.15	3.107	4.052
3	0.0	4.917	3.88	4.917	4.117	4.086
4	0.0	2.784	2.653	2.784	2.631	2.682
5	0.0	3.173	3.72	3.173	4.104	3.771
6	0.0	3.292	3.134	3.292	2.414	2.574
7	0.0	3.153	3.664	3.153	3.804	3.294
8	0.0	3.118	2.731	3.118	3.434	3.212
9	0.0	3.317	1.812	3.317	1.526	4.368
10	0.0	3.335	3.21	3.335	2.681	2.91
11	0.0	4.36	3.365	4.36	3.813	4.232
12	0.0	2.281	2.35	2.281	2.547	2.75
13	0.0	1.248	3.438	1.248	3.351	1.25
14	0.0	2.178	2.324	2.178	2.747	2.69
15	0.0	2.625	2.313	2.625	2.873	2.999
16	0.0	2.09	1.617	2.09	1.944	2.553
17	0.0	1.984	2.504	1.984	3.088	2.642
18	0.0	2.355	2.024	2.355	2.125	2.231
19	0.0	2.244	1.786	2.244	1.755	2.51
20	0.0	1.58	2.685	1.58	3.002	1.775
21	0.0	1.664	2.683	1.664	3.187	1.895
22	0.0	1.443	2.527	1.443	3.113	1.473
23	0.0	1.782	1.947	1.782	2.145	2.013
24	0.0	2.301	2.128	2.301	2.488	2.734
25	0.0	1.862	1.827	1.862	1.54	1.458
26	0.0	2.014	1.818	2.014	2.066	2.162
27	0.0	1.868	1.69	1.868	1.687	2.139
28	0.0	1.56	1.336	1.56	1.426	2.044
29	0.0	2.183	1.662	2.183	2.123	2.456
30	0.0	1.689	0.925	1.689	1.005	1.544
31	0.0	1.436	0.8947	1.436	1.126	1.673
32	0.0	1.82	0.8035	1.82	0.8198	1.91
33	0.0	2.156	2.002	2.156	2.749	2.767
34	0.0	2.314	2.308	2.314	2.62	2.551
35	0.0	1.412	1.49	1.412	1.759	1.332
36	0.0	2.294	1.761	2.294	1.878	2.564
37	0.0	1.646	1.769	1.646	1.918	1.958
38	0.0	1.957	2.281	1.957	2.334	1.738
39	0.0	1.146	1.859	1.146	1.83	1.177
40	0.0	1.737	2.158	1.737	2.269	1.601
41	0.0	1.48	1.752	1.48	1.821	1.651
42	0.0	1.419	2.403	1.419	2.645	1.453
43	0.0	1.625	1.663	1.625	1.362	1.432
44	0.0	1.71	1.385	1.71	1.194	1.426
45	0.0	1.556	1.467	1.556	1.519	1.792
46	0.0	2.116	1.885	2.116	2.251	2.226
47	0.0	1.285	1.361	1.285	1.585	1.427
48	0.0	1.433	1.504	1.433	1.685	1.364
49	0.0	2.005	1.71	2.005	1.94	2.158
50	0.0	1.298	1.905	1.298	2.226	1.549
51	0.0	1.467	1.68	1.467	1.792	1.369
52	0.0	1.274	0.9324	1.274	1.033	1.51
53	0.0	1.842	1.861	1.842	2.285	2.136
54	0.0	1.854	1.187	1.854	1.228	2.118
55	0.0	1.921	1.82	1.921	2.254	2.269
56	0.0	1.825	1.806	1.825	2.094	2.139
57	0.0	1.502	1.141	1.502	1.227	1.511
58	0.0	1.081	1.135	1.081	1.242	1.242
59	0.0	2.082	2.116	2.082	2.298	2.356
60	0.0	0.8531	0.886	0.8531	0.9891	0.9226
61	0.0	1.191	0.9563	1.191	1.058	1.188
62	0.0	1.968	1.38	1.968	1.659	2.273
63	0.0	1.682	0.749	1.682	0.7609	1.815
64	0.0	0.9757	1.617	0.9757	1.427	1.002
65	0.0	1.706	1.754	1.706	2.117	2.103
66	0.0	2.064	1.531	2.064	1.347	2.774
67	0.0	1.352	1.446	1.352	1.747	1.468
68	0.0	1.463	1.471	1.463	1.504	1.431
69	0.0	1.142	1.481	1.142	1.93	1.334
70	0.0	1.911	1.868	1.911	2.414	2.242
71	0.0	1.464	1.607	1.464	1.848	1.661
72	0.0	1.716	1.477	1.716	2.255	2.201
73	0.0	1.3	1.109	1.3	1.271	1.556
74	0.0	1.589	1.323	1.589	1.472	1.951
75	0.0	1.223	1.377	1.223	1.348	1.194
76	0.0	1.269	1.726	1.269	2.222	1.32
77	0.0	1.639	1.667	1.639	2.009	2.365
78	0.0	1.402	1.37	1.402	1.768	1.665
79	0.0	1.849	0.9889	1.849	1.086	2.013
80	0.0	1.621	1.667	1.621	2.124	2.175
81	0.0	1.65	1.578	1.65	1.917	2.022
82	0.0	1.491	0.9993	1.491	1.011	1.558
83	0.0	1.539	1.736	1.539	2.099	1.836
84	0.0	1.14	1.561	1.14	1.87	1.274
85	0.0	1.418	1.154	1.418	1.173	1.503
86	0.0	1.67	1.504	1.67	1.847	1.964
87	0.0	1.714	1.537	1.714	1.785	2.02
88	0.0	1.617	1.412	1.617	1.59	2.134
89	0.0	1.341	1.473	1.341	1.805	1.77
90	0.0	1.665	1.618	1.665	1.978	2.002
91	0.0	1.705	1.502	1.705	1.82	2.08
92	0.0	1.09	1.342	1.09	1.466	1.323
93	0.0	1.279	0.9971	1.279	1.202	1.617
94	0.0	1.4	1.582	1.4	1.914	1.658
95	0.0	1.449	1.071	1.449	1.129	1.828
96	0.0	0.8499	1.599	0.8499	1.353	1.221
97	0.0	1.516	0.9257	1.516	1.003	1.972
98	0.0	1.483	1.611	1.483	1.88	1.844
99	0.0	0.9115	0.8119	0.9115	0.9326	1.058
100	0.0	1.448	0.911	1.448	0.9943	1.59
101	0.0	0.9192	1.499	0.9192	2.015	1.062
102	0.0	1.129	1.012	1.129	1.217	1.294
103	0.0	1.41	1.565	1.41	1.898	1.746
104	0.0	0.8947	1.095	0.8947	1.284	0.983
105	0.0	1.232	1.127	1.232	1.248	1.302
106	0.0	1.499	1.29	1.499	1.034	1.954
107	0.0	1.522	1.388	1.522	1.821	1.954
108	0.0	1.319	1.216	1.319	1.397	1.703
109	0.0	1.357	1.251	1.357	1.612	1.504
110	0.0	1.123	1.152	1.123	1.347	1.211
111	0.0	1.163	1.382	1.163	1.136	1.403
112	0.0	1.599	1.145	1.599	1.363	1.795
113	0.0	1.453	1.366	1.453	1.556	1.678
114	0.0	1.375	1.494	1.375	1.285	1.605
115	0.0	1.396	1.576	1.396	1.879	1.825
116	0.0	0.7916	0.9714	0.7916	1.05	0.8883
117	0.0	1.35	1.377	1.35	1.594	1.708
118	0.0	1.48	1.507	1.48	1.396	1.856
119	0.0	1.275	1.146	1.275	1.524	1.558
120	0.0	1.436	1.276	1.436	1.03	1.826
121	0.0	1.154	1.633	1.154	1.929	1.66
122	0.0	1.2	1.185	1.2	1.216	1.113
123	0.0	0.9025	1.26	0.9025	1.496	1.003
124	0.0	1.499	1.259	1.499	1.528	2.02
125	0.0	1.409	1.892	1.409	1.845	1.839
126	0.0	1.364	0.7331	1.364	0.7604	1.729
127	0.0	1.181	1.008	1.181	0.9565	1.373
128	0.0	1.506	1.142	1.506	0.8181	1.843
129	0.0	1.179	1.027	1.179	1.022	1.138
130	0.0	0.6706	1.24	0.6706	1.357	0.9071
131	0.0	1.222	1.118	1.222	1.107	1.423
132	0.0	0.8754	1.22	0.8754	1.055	0.9466
133	0.0	1.315	0.8285	1.315	0.9948	1.489
134	0.0	1.397	1.562	1.397	1.754	1.277
135	0.0	0.7269	1.38	0.7269	1.593	0.8171
136	0.0	1.132	1.166	1.132	1.27	1.297
137	0.0	1.378	1.451	1.378	1.895	1.704
138	0.0	1.662	1.773	1.662	1.263	1.917
139	0.0	0.9445	1.264	0.9445	1.562	1.162
140	0.0	1.175	1.286	1.175	1.44	1.281
141	0.0	1.193	1.091	1.193	1.27	1.694
142	0.0	1.072	1.402	1.072	1.509	1.236
143	0.0	1.137	1.302	1.137	1.292	1.163
144	0.0	1.347	0.9131	1.347	1.025	1.538
145	0.0	1.256	1.082	1.256	1.159	1.384
146	0.0	1.142	1.37	1.142	1.432	1.097
147	0.0	1.258	1.141	1.258	1.201	1.166
148	0.0	1.127	1.086	1.127	1.126	1.135
149	0.0	1.338	1.104	1.338	1.268	1.748
150	0.0	1.202	1.538	1.202	1.063	1.403
151	0.0	0.8359	0.9733	0.8359	1.101	1.076
152	0.0	1.051	1.211	1.051	1.362	1.211
153	0.0	1.404	0.8964	1.404	1.043	1.61
154	0.0	1.369	1.121	1.369	1.376	1.625
155	0.0	0.9641	1.321	0.9641	0.9515	1.061
156	0.0	1.08	1.467	1.08	1.876	1.428
157	0.0	1.296	1.157	1.296	1.475	1.696
158	0.0	1.198	0.8614	1.198	1.135	1.475
159	0.0	1.258	1.029	1.258	1.103	1.448
160	0.0	1.332	1.231	1.332	1.451	1.576
161	0.0	1.058	1.442	1.058	1.058	1.32
162	0.0	1.097	1.014	1.097	1.327	1.21
163	0.0	1.392	1.405	1.392	1.874	1.805
164	0.0	1.035	1.52	1.035	1.295	1.141
165	0.0	0.7823	0.8427	0.7823	0.9906	0.9926
166	0.0	1.301	0.9476	1.301	1.014	1.636
167	0.0	1.233	0.8863	1.233	1.019	1.458
168	0.0	1.217	1.335	1.217	1.478	1.224
169	0.0	1.228	1.316	1.228	1.965	1.443
170	0.0	1.285	1.224	1.285	1.2	1.534
171	0.0	1.243	1.173	1.243	1.382	1.313
172	0.0	1.099	1.038	1.099	1.178	1.233
173	0.0	1.074	1.115	1.074	1.333	1.361
174	0.0	1.292	1.267	1.292	1.561	1.717
175	0.0	1.034	1.052	1.034	1.141	1.221
176	0.0	1.117	1.126	1.117	1.337	1.446
177	0.0	0.7927	1.28	0.7927	1.547	0.9588
178	0.0	1.159	1.422	1.159	1.004	1.404
179	0.0	1.016	0.984	1.016	1.029	1.083
180	0.0	1.102	0.8673	1.102	0.9878	1.314
181	0.0	1.287	1.355	1.287	1.745	1.56
182	0.0	1.56	1.769	1.56	1.573	2.019
183	0.0	1.152	0.8142	1.152	0.9102	1.44
184	0.0	1.214	1.339	1.214	1.73	1.584
185	0.0	0.7248	1.764	0.7248	1.152	0.9095
186	0.0	1.015	0.7529	1.015	0.6976	1.004
187	0.0	1.263	0.8803	1.263	0.9917	1.529
188	0.0	0.8303	1.482	0.8303	1.169	1.055
189	0.0	0.8649	1.179	0.8649	1.384	1.037
190	0.0	1.358	1.418	1.358	1.719	1.595
191	0.0	1.352	1.329	1.352	1.726	1.791
192	0.0	1.059	1.193	1.059	1.448	1.193
193	0.0	1.254	0.8917	1.254	1.052	1.517
194	0.0	1.162	1.126	1.162	0.8982	1.259
195	0.0	1.31	1.161	1.31	1.333	1.754
196	0.0	1.291	0.8558	1.291	0.9721	1.511
197	0.0	1.211	1.314	1.211	0.9226	1.441
198	0.0	1.234	1.412	1.234	1.819	1.516
199	0.0	1.069	0.9269	1.069	1.012	1.387
200	0.0	1.28	1.289	1.28	1.356	1.661
201	0.0	1.248	1.039	1.248	0.9656	1.479
202	0.0	1.499	1.257	1.499	1.416	1.737
203	0.0	0.8278	0.9389	0.8278	1.107	0.9461
204	0.0	1.355	0.9619	1.355	1.099	1.612
205	0.0	1.358	1.213	1.358	1.51	1.73
206	0.0	1.004	0.9604	1.004	1.071	1.179
207	0.0	1.289	1.571	1.289	2.161	1.688
208	0.0	0.7668	1.127	0.7668	1.243	0.8921
209	0.0	1.075	1.12	1.075	1.219	1.152
210	0.0	1.121	0.9779	1.121	1.2	1.387
211	0.0	1.311	1.22	1.311	1.505	1.634
212	0.0	1.189	0.875	1.189	0.9836	1.422
213	0.0	1.043	1.216	1.043	1.544	1.306
214	0.0	0.9936	0.8427	0.9936	0.9697	1.036
215	0.0	1.213	1.158	1.213	1.309	1.389
216	0.0	1.408	1.168	1.408	1.347	1.559
217	0.0	1.18	0.6927	1.18	0.7852	1.431
218	0.0	1.348	1.168	1.348	1.228	1.535
219	0.0	1.122	1.238	1.122	1.456	1.314
220	0.0	1.205	0.6009	1.205	0.6561	1.509
221	0.0	1.147	1.097	1.147	1.322	1.436
222	0.0	1.082	1.0	1.082	1.224	1.382
223	0.0	1.262	1.048	1.262	1.159	1.467
224	0.0	1.06	1.111	1.06	1.415	1.296
225	0.0	1.574	1.199	1.574	1.437	1.666
226	0.0	1.021	1.228	1.021	1.251	1.136
227	0.0	0.8496	1.246	0.8496	1.553	0.9157
228	0.0	1.205	0.7578	1.205	0.8257	1.707
229	0.0	1.205	1.016	1.205	1.281	1.485
230	0.0	1.193	0.9041	1.193	0.9244	1.461
231	0.0	1.226	1.22	1.226	1.444	1.521
232	0.0	1.074	1.281	1.074	1.575	1.318
233	0.0	0.8328	1.049	0.8328	1.243	1.044
234	0.0	0.9672	1.085	0.9672	1.315	1.109
235	0.0	1.043	0.9053	1.043	1.147	1.284
236	0.0	1.215	1.193	1.215	1.442	1.407
237	0.0	0.9507	0.7501	0.9507	0.8671	1.06
238	0.0	1.339	1.287	1.339	1.441	1.358
239	0.0	1.007	0.7905	1.007	0.9057	1.069
240	0.0	0.7902	1.01	0.7902	1.18	0.9692
241	0.0	1.152	1.048	1.152	1.238	1.386
242	0.0	1.316	1.33	1.316	1.664	1.613
243	0.0	1.004	1.244	1.004	1.383	1.172
244	0.0	1.431	1.201	1.431	1.47	1.68
245	0.0	1.283	0.9313	1.283	1.108	1.645
246	0.0	0.9409	0.9332	0.9409	1.082	1.228
247	0.0	0.991	0.9556	0.991	1.018	1.073
248	0.0	0.8087	1.082	0.8087	1.241	0.9492
249	0.0	0.9938	1.057	0.9938	1.199	1.121
250	0.0	1.279	1.259	1.279	1.641	1.528
251	0.0	0.8563	1.031	0.8563	1.145	1.007
252	0.0	0.9344	1.11	0.9344	1.163	1.132
253	0.0	1.035	0.9199	1.035	1.064	1.293
254	0.0	1.148	1.294	1.148	1.632	1.361
255	0.0	0.8241	0.9419	0.8241	1.091	0.9748
256	0.0	0.9646	1.005	0.9646	1.203	1.055
257	0.0	1.132	1.312	1.132	1.743	1.266
258	0.0	1.156	1.14	1.156	1.343	1.381
259	0.0	0.8891	1.022	0.8891	1.173	0.9601
260	0.0	1.039	1.143	1.039	1.382	1.212
261	0.0	1.073	1.077	1.073	1.304	1.248
262	0.0	1.107	1.169	1.107	1.406	1.301
263	0.0	1.498	0.7636	1.498	0.8306	1.593
264	0.0	1.359	0.8945	1.359	0.9849	1.591
265	0.0	0.7854	1.054	0.7854	1.082	0.7767
266	0.0	0.9408	1.14	0.9408	1.34	0.9784
267	0.0	1.696	0.9075	1.696	1.052	1.882
268	0.0	1.051	1.044	1.051	1.13	1.198
269	0.0	0.9372	1.0	0.9372	1.093	0.9642
270	0.0	0.8934	1.225	0.8934	1.503	1.107
271	0.0	1.354	1.362	1.354	1.588	1.648
272	0.0	0.7383	0.7326	0.7383	0.8361	0.8619
273	0.0	1.004	1.148	1.004	1.459	1.171
274	0.0	1.083	0.674	1.083	0.7725	1.193
275	0.0	1.116	1.057	1.116	1.191	1.358
276	0.0	0.7862	0.9274	0.7862	1.011	0.9324
277	0.0	0.8115	1.169	0.8115	1.319	1.085
278	0.0	1.028	0.9026	1.028	1.055	1.236
279	0.0	0.8958	1.135	0.8958	1.172	1.066
280	0.0	0.8864	1.175	0.8864	1.515	1.183
