Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	3.421	3.458	4.29	2.653	3.421
2	0.0	4.141	2.849	4.416	3.055	4.141
3	0.0	3.872	4.179	4.624	4.706	3.872
4	0.0	3.054	2.643	3.24	2.685	3.054
5	0.0	4.206	3.656	3.936	3.887	4.206
6	0.0	2.917	3.532	3.846	2.625	2.917
7	0.0	3.451	3.526	3.424	3.639	3.451
8	0.0	3.212	2.802	3.495	3.081	3.212
9	0.0	3.904	1.917	3.673	1.516	3.904
10	0.0	3.182	3.314	3.7	2.288	3.182
11	0.0	3.645	3.694	4.766	3.613	3.645
12	0.0	2.352	2.709	2.406	2.54	2.352
13	0.0	1.265	3.688	1.495	2.871	1.265
14	0.0	2.195	2.57	2.504	2.451	2.195
15	0.0	2.641	2.693	3.107	2.323	2.641
16	0.0	2.209	1.998	2.36	1.528	2.209
17	0.0	2.048	2.782	2.293	2.474	2.048
18	0.0	2.022	2.675	3.186	1.863	2.022
19	0.0	2.049	2.362	2.639	1.48	2.049
20	0.0	1.502	3.732	1.946	2.576	1.502
21	0.0	1.648	3.3	1.942	2.726	1.648
22	0.0	1.278	3.105	1.835	2.555	1.278
23	0.0	2.087	2.441	2.235	2.037	2.087
24	0.0	2.204	2.59	2.693	2.043	2.204
25	0.0	1.521	2.776	2.556	1.624	1.521
26	0.0	1.919	2.484	2.901	1.698	1.919
27	0.0	1.743	2.751	2.718	1.642	1.743
28	0.0	1.553	1.53	1.749	1.195	1.553
29	0.0	1.802	1.963	2.615	1.512	1.802
30	0.0	1.535	1.514	2.677	1.092	1.535
31	0.0	1.307	1.449	2.042	1.16	1.307
32	0.0	1.623	1.148	2.515	0.8557	1.623
33	0.0	2.157	2.827	2.678	2.336	2.157
34	0.0	2.237	2.877	2.949	2.252	2.237
35	0.0	1.181	1.904	2.053	1.313	1.181
36	0.0	2.122	2.353	3.07	1.538	2.122
37	0.0	1.914	2.228	2.144	1.616	1.914
38	0.0	1.678	2.854	2.655	1.796	1.678
39	0.0	1.228	2.592	1.905	1.609	1.228
40	0.0	1.425	2.802	2.49	1.94	1.425
41	0.0	1.264	2.305	1.873	1.609	1.264
42	0.0	1.251	2.964	1.825	2.188	1.251
43	0.0	1.385	2.299	2.426	1.338	1.385
44	0.0	1.356	2.091	2.439	1.235	1.356
45	0.0	1.671	1.97	2.23	1.495	1.671
46	0.0	1.992	2.602	3.297	1.864	1.992
47	0.0	1.097	2.183	1.945	1.202	1.097
48	0.0	1.141	1.962	1.913	1.463	1.141
49	0.0	1.822	1.974	2.533	1.559	1.822
50	0.0	1.273	2.457	1.568	1.884	1.273
51	0.0	1.218	2.218	2.099	1.597	1.218
52	0.0	1.173	1.022	2.243	0.8706	1.173
53	0.0	1.995	2.666	2.891	1.867	1.995
54	0.0	1.885	1.394	2.358	1.08	1.885
55	0.0	1.811	2.797	2.481	2.026	1.811
56	0.0	1.805	2.3	2.35	1.733	1.805
57	0.0	1.461	1.553	2.336	1.068	1.461
58	0.0	1.086	1.575	1.425	1.07	1.086
59	0.0	2.005	2.952	3.07	2.052	2.005
60	0.0	0.7673	1.027	1.074	0.7841	0.7673
61	0.0	1.007	1.179	1.649	0.888	1.007
62	0.0	2.09	1.852	2.734	1.517	2.09
63	0.0	1.612	0.8976	2.295	0.7051	1.612
64	0.0	0.9386	2.223	1.471	1.324	0.9386
65	0.0	1.854	2.329	2.408	1.911	1.854
66	0.0	3.086	2.105	3.164	1.176	3.086
67	0.0	1.249	1.87	1.794	1.457	1.249
68	0.0	1.134	2.059	1.928	1.304	1.134
69	0.0	1.124	2.062	1.374	1.58	1.124
70	0.0	1.952	2.426	2.585	1.867	1.952
71	0.0	1.315	2.082	1.881	1.595	1.315
72	0.0	1.792	1.817	2.371	1.751	1.792
73	0.0	1.16	1.421	1.628	1.065	1.16
74	0.0	1.729	1.642	2.218	1.263	1.729
75	0.0	1.019	1.947	1.706	1.263	1.019
76	0.0	1.15	2.233	1.677	1.698	1.15
77	0.0	1.994	2.307	2.101	1.703	1.994
78	0.0	1.419	1.956	1.811	1.51	1.419
79	0.0	1.597	1.292	2.54	0.8734	1.597
80	0.0	1.664	2.167	2.041	1.783	1.664
81	0.0	1.809	2.137	2.338	1.518	1.809
82	0.0	1.396	1.279	2.076	0.8585	1.396
83	0.0	1.694	2.645	2.541	1.93	1.694
84	0.0	1.235	2.101	1.574	1.54	1.235
85	0.0	1.306	1.571	1.849	1.035	1.306
86	0.0	1.748	2.31	2.654	1.683	1.748
87	0.0	1.658	1.9	2.05	1.414	1.658
88	0.0	1.659	2.015	2.161	1.42	1.659
89	0.0	1.545	1.88	1.903	1.53	1.545
90	0.0	1.709	2.355	2.388	1.61	1.709
91	0.0	1.995	2.097	2.602	1.534	1.995
92	0.0	1.018	1.956	1.331	1.325	1.018
93	0.0	1.419	1.358	1.845	1.085	1.419
94	0.0	1.588	2.052	2.041	1.632	1.588
95	0.0	1.364	1.436	1.735	1.032	1.364
96	0.0	0.7996	2.194	0.8688	1.285	0.7996
97	0.0	1.7	1.262	2.243	0.9039	1.7
98	0.0	1.597	2.331	2.239	1.721	1.597
99	0.0	0.9118	0.9319	1.047	0.7916	0.9118
100	0.0	1.441	1.293	2.076	0.9025	1.441
101	0.0	0.8941	2.316	1.018	1.821	0.8941
102	0.0	0.9803	1.201	1.509	0.8287	0.9803
103	0.0	1.425	2.22	2.043	1.583	1.425
104	0.0	0.749	1.468	1.282	1.015	0.749
105	0.0	1.164	1.887	1.874	1.068	1.164
106	0.0	1.835	1.469	2.311	1.134	1.835
107	0.0	1.812	2.035	2.807	1.569	1.812
108	0.0	1.615	1.678	1.839	1.259	1.615
109	0.0	1.23	1.945	2.073	1.485	1.23
110	0.0	1.027	1.849	1.423	0.9994	1.027
111	0.0	1.074	1.786	1.584	1.076	1.074
112	0.0	1.884	1.776	2.757	1.471	1.884
113	0.0	1.403	2.126	2.192	1.652	1.403
114	0.0	1.261	2.21	1.998	1.222	1.261
115	0.0	1.716	2.01	2.488	1.843	1.716
116	0.0	0.7515	1.852	0.9963	1.443	0.7515
117	0.0	1.832	2.219	2.733	1.604	1.832
118	0.0	1.623	1.806	2.113	1.452	1.623
119	0.0	1.355	2.036	1.819	1.585	1.355
120	0.0	1.654	2.227	2.073	1.659	1.654
121	0.0	1.311	1.643	1.524	1.161	1.311
122	0.0	1.032	1.94	1.944	1.323	1.032
123	0.0	0.8274	1.796	1.057	1.496	0.8274
124	0.0	1.992	1.229	2.763	0.94	1.992
125	0.0	1.628	2.051	1.992	1.572	1.628
126	0.0	1.346	1.807	1.959	1.327	1.346
127	0.0	1.271	1.585	1.539	1.31	1.271
128	0.0	1.529	2.084	2.121	1.584	1.529
129	0.0	1.05	0.9322	1.9	0.74	1.05
130	0.0	0.7167	1.486	1.062	0.8656	0.7167
131	0.0	1.134	1.603	1.857	0.9348	1.134
132	0.0	0.7845	1.38	1.17	1.028	0.7845
133	0.0	1.35	2.114	1.835	1.651	1.35
