Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.389	1.968	3.301	1.92	3.645
2	0.0	0.9397	2.336	1.887	2.489	1.998
3	0.0	0.7695	4.024	1.66	5.065	1.92
4	0.0	1.628	3.98	4.096	4.139	4.79
5	0.0	1.515	3.651	3.819	3.121	3.721
6	0.0	0.9297	2.027	1.949	2.189	1.958
7	0.0	0.994	2.017	2.208	2.094	2.114
8	0.0	1.079	2.825	2.72	2.742	2.354
9	0.0	0.8418	1.917	1.73	2.297	1.883
10	0.0	0.6222	1.588	1.082	1.608	1.283
11	0.0	0.8585	1.603	2.361	1.548	1.734
12	0.0	0.7624	1.896	1.549	1.908	1.655
13	0.0	0.793	1.708	1.59	1.923	1.801
14	0.0	0.5555	2.204	1.141	2.616	1.043
15	0.0	0.8036	1.4	1.62	1.266	1.588
16	0.0	0.6406	1.656	1.28	1.415	1.419
17	0.0	0.6514	1.272	1.264	1.171	1.279
18	0.0	1.256	1.014	2.791	1.116	2.648
19	0.0	0.5669	2.643	1.09	2.618	1.122
20	0.0	0.986	2.744	2.104	2.233	1.717
21	0.0	0.6923	1.677	1.507	1.642	1.408
22	0.0	0.9966	1.623	1.911	1.63	2.249
23	0.0	0.7757	1.487	1.753	1.477	1.62
24	0.0	1.261	2.049	2.613	2.066	2.986
25	0.0	0.8936	1.747	1.938	1.908	1.681
26	0.0	0.8065	2.09	1.878	1.875	1.551
27	0.0	0.8522	1.638	1.625	1.57	1.6
28	0.0	0.8142	2.074	1.739	1.745	1.337
29	0.0	1.072	1.739	2.313	1.519	2.02
30	0.0	0.9988	1.302	1.919	1.218	1.942
31	0.0	0.8657	1.539	1.672	1.657	1.83
32	0.0	0.7502	0.6931	1.344	0.6611	1.595
33	0.0	1.132	0.9645	2.315	0.8447	2.274
34	0.0	0.5778	1.331	1.148	1.188	0.9646
35	0.0	0.7797	1.486	1.679	1.455	1.459
36	0.0	0.7736	1.574	1.544	1.451	1.407
37	0.0	0.8557	1.927	1.779	1.944	1.853
38	0.0	0.5133	1.688	0.8656	1.804	0.9315
39	0.0	1.092	2.254	2.977	1.468	1.857
40	0.0	1.157	0.8315	2.198	0.7976	2.344
41	0.0	0.5566	1.38	1.111	1.184	0.921
42	0.0	0.6949	1.113	1.28	1.107	1.217
43	0.0	0.9088	1.113	2.339	0.9339	1.869
44	0.0	0.9148	1.756	2.038	1.253	1.495
45	0.0	0.8255	1.958	1.612	1.82	1.385
46	0.0	0.8774	1.177	1.945	1.306	1.905
47	0.0	0.7405	1.546	1.465	1.632	1.462
48	0.0	0.5567	0.6316	1.066	0.6257	1.013
49	0.0	1.116	2.109	2.116	1.93	2.17
50	0.0	0.6993	1.183	1.153	1.076	1.229
51	0.0	0.7506	1.197	1.307	1.361	1.536
52	0.0	0.5705	1.392	1.123	1.263	1.103
53	0.0	0.7163	1.821	1.331	1.869	1.278
54	0.0	0.7301	0.7364	1.404	0.6558	1.326
55	0.0	0.9266	1.846	1.926	1.634	1.7
56	0.0	0.6376	1.608	1.155	1.629	1.165
57	0.0	0.7208	1.495	1.431	1.39	1.147
58	0.0	0.7963	2.474	1.538	1.949	1.565
59	0.0	0.7851	1.323	1.507	1.456	1.458
60	0.0	1.047	1.293	2.32	1.211	2.038
61	0.0	0.8287	1.563	1.517	1.729	1.968
62	0.0	0.8493	1.153	1.583	1.036	1.623
63	0.0	0.4621	1.527	0.8112	1.56	0.7255
64	0.0	0.9313	1.894	1.82	1.864	1.854
65	0.0	0.964	1.487	2.095	1.239	1.732
66	0.0	0.8075	1.39	1.339	1.572	1.598
67	0.0	0.9791	1.709	1.918	1.649	1.759
68	0.0	1.043	1.929	2.067	1.693	2.088
69	0.0	0.7113	1.58	1.401	1.044	1.008
70	0.0	0.9322	1.014	1.846	0.9016	1.757
71	0.0	0.8616	1.197	1.817	1.128	1.523
72	0.0	0.8607	2.071	2.228	1.555	1.283
73	0.0	0.5076	1.747	0.9401	1.158	0.727
74	0.0	0.4483	1.06	0.7375	1.095	0.7214
75	0.0	0.946	2.75	1.985	2.179	2.109
76	0.0	0.8548	1.698	1.764	1.639	1.512
77	0.0	1.056	1.776	2.3	1.567	2.061
78	0.0	1.109	1.292	1.998	1.442	2.063
79	0.0	0.9348	1.012	1.81	0.9139	1.763
80	0.0	0.6627	0.9234	1.177	0.8769	1.129
