Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.0	1.696	1.996	4.673	2.195	4.884
2	0.0	1.015	2.237	2.068	2.431	2.322
3	0.0	0.7568	4.018	1.758	4.939	2.173
4	0.0	1.609	3.918	4.292	4.523	4.953
5	0.0	1.452	2.82	3.41	2.814	3.33
6	0.0	0.9737	2.01	2.13	1.964	2.232
7	0.0	1.005	2.186	2.297	2.163	2.315
8	0.0	1.097	2.604	2.706	2.629	2.227
9	0.0	1.014	1.903	2.473	2.12	2.701
10	0.0	0.6468	1.557	1.124	1.663	1.26
11	0.0	0.85	1.403	2.211	1.411	1.817
12	0.0	0.7137	2.058	1.417	2.12	1.667
13	0.0	0.7757	1.931	1.645	2.731	1.688
14	0.0	0.5266	2.39	1.013	2.635	1.147
15	0.0	0.758	1.419	1.439	1.106	1.469
16	0.0	0.6028	1.593	1.325	1.489	1.095
17	0.0	0.7062	1.31	1.424	1.081	1.384
18	0.0	1.435	0.9747	3.508	0.8957	3.209
19	0.0	0.5798	2.713	1.09	2.613	1.1
20	0.0	1.05	3.36	2.589	2.28	1.817
21	0.0	0.7234	1.817	1.646	1.768	1.414
22	0.0	0.9407	1.588	1.814	1.511	1.937
23	0.0	0.757	1.602	1.676	1.491	1.61
24	0.0	1.313	2.157	2.881	2.09	2.993
25	0.0	0.854	1.736	1.806	1.857	1.601
26	0.0	0.7575	2.089	1.894	1.796	1.425
27	0.0	0.8226	1.797	1.657	1.587	1.457
28	0.0	0.8853	2.278	1.954	1.682	1.61
29	0.0	1.018	1.764	2.163	1.488	1.866
30	0.0	0.9601	1.342	1.886	1.188	1.915
31	0.0	0.8478	1.572	1.588	1.56	1.791
32	0.0	0.7878	0.7028	1.437	0.6438	1.643
33	0.0	1.253	0.9392	2.774	0.8266	2.455
34	0.0	0.5575	1.546	1.136	1.283	0.9285
35	0.0	0.7517	1.533	1.579	1.416	1.409
36	0.0	0.7972	1.687	1.54	1.45	1.45
37	0.0	0.9055	1.942	1.827	1.85	1.815
38	0.0	0.5353	1.823	0.9497	1.736	0.9713
39	0.0	1.121	2.66	3.29	1.449	2.031
40	0.0	1.174	0.8725	2.437	0.7465	2.302
41	0.0	0.5342	1.464	1.172	1.175	0.8774
42	0.0	0.6586	1.134	1.367	1.045	1.062
43	0.0	0.939	1.107	2.447	0.9674	1.883
44	0.0	0.9302	1.892	2.352	1.204	1.56
45	0.0	0.8003	2.097	1.835	1.753	1.409
46	0.0	0.866	1.311	1.931	1.262	1.751
47	0.0	0.7323	1.604	1.513	1.627	1.348
48	0.0	0.5226	0.623	1.046	0.6229	0.8852
49	0.0	1.084	2.153	2.077	1.882	2.085
50	0.0	0.6682	1.225	1.148	1.105	1.137
51	0.0	0.705	1.489	1.257	1.543	1.324
52	0.0	0.5844	1.565	1.177	1.231	1.135
53	0.0	0.6861	1.815	1.213	1.951	1.164
54	0.0	0.7153	0.7374	1.423	0.6792	1.234
55	0.0	0.9411	1.948	2.039	1.621	1.691
56	0.0	0.6071	1.782	1.158	1.571	1.081
57	0.0	0.7336	1.514	1.568	1.383	1.18
58	0.0	0.7788	2.402	1.496	1.942	1.386
59	0.0	0.7912	2.027	1.635	2.07	1.431
60	0.0	0.9625	1.295	2.294	1.085	1.764
61	0.0	0.7713	1.659	1.423	1.737	1.579
62	0.0	0.7904	1.286	1.4	1.029	1.437
63	0.0	0.4431	1.457	0.8621	1.44	0.6689
64	0.0	0.9031	1.828	1.755	1.709	1.738
65	0.0	0.9594	1.562	2.191	1.199	1.71
66	0.0	0.7336	1.486	1.28	1.45	1.277
67	0.0	0.9555	1.783	2.074	1.613	1.649
68	0.0	1.073	2.266	2.402	1.716	2.09
69	0.0	0.678	1.622	1.448	1.067	0.9961
70	0.0	0.9098	1.019	1.964	0.8548	1.623
71	0.0	0.8799	1.33	2.041	1.169	1.519
72	0.0	0.8275	1.749	2.229	1.238	1.301
73	0.0	0.5113	1.874	1.035	1.313	0.7962
74	0.0	0.4396	1.054	0.7582	1.081	0.6945
75	0.0	0.8771	2.412	2.209	2.093	1.624
76	0.0	0.866	1.906	2.062	1.716	1.496
77	0.0	1.045	1.896	2.496	1.466	1.961
78	0.0	1.079	1.485	1.826	1.427	2.053
79	0.0	0.9012	1.025	1.92	0.8584	1.618
80	0.0	0.7092	0.9905	1.337	0.8632	1.281
81	0.0	0.9293	1.897	2.117	1.597	1.763
82	0.0	0.9774	1.533	2.419	1.119	1.649
83	0.0	0.941	1.851	1.842	1.733	1.762
84	0.0	0.9601	1.768	1.998	1.531	1.709
85	0.0	0.5613	1.528	1.028	1.553	0.9303
86	0.0	0.739	1.012	1.523	0.9335	1.449
87	0.0	0.8583	1.995	1.64	1.734	1.57
88	0.0	0.6119	1.062	1.123	1.066	1.094
89	0.0	0.9834	1.01	2.15	0.8876	1.802
90	0.0	0.7579	1.131	1.43	1.27	1.506
91	0.0	0.6643	1.024	1.143	1.064	1.166
92	0.0	1.026	1.983	2.051	1.778	2.002
93	0.0	0.6709	2.257	1.524	1.376	1.011
94	0.0	0.6267	1.213	1.029	1.115	1.082
95	0.0	0.7944	1.222	1.76	0.9375	1.342
96	0.0	0.864	1.794	1.929	1.536	1.562
97	0.0	0.7412	1.991	1.625	1.497	1.353
98	0.0	0.8477	1.483	1.528	1.338	1.517
99	0.0	0.9415	2.089	2.323	1.895	1.795
100	0.0	0.7595	1.777	1.468	1.733	1.273
101	0.0	0.6379	1.224	1.134	1.245	1.167
102	0.0	0.7283	1.614	1.32	1.407	1.291
103	0.0	0.662	1.526	1.155	1.393	1.148
104	0.0	0.6715	1.76	1.404	1.684	1.109
105	0.0	0.9251	0.877	1.768	0.6587	1.67
106	0.0	0.5994	0.7669	0.9238	0.6016	1.046
107	0.0	0.8789	1.752	1.761	1.493	1.623
108	0.0	0.9007	1.324	2.012	1.005	1.629
109	0.0	0.5924	1.581	1.286	1.13	0.8818
110	0.0	0.6107	1.338	1.109	1.343	1.051
111	0.0	0.8378	1.193	1.56	1.756	1.933
112	0.0	0.6956	1.933	1.387	1.599	1.132
113	0.0	0.5017	1.204	0.9035	0.9476	0.8197
114	0.0	0.6747	1.124	1.395	1.073	1.198
115	0.0	0.7789	1.405	1.456	1.244	1.485
116	0.0	0.4067	1.128	0.7109	1.116	0.5956
117	0.0	0.7861	1.833	1.431	2.116	1.608
118	0.0	0.7049	0.9696	1.308	0.9223	1.363
119	0.0	0.586	1.116	1.167	0.9742	0.954
120	0.0	0.8162	1.832	1.679	1.504	1.422
121	0.0	0.599	1.183	1.11	1.095	0.9703
122	0.0	0.9245	2.011	1.964	1.742	1.617
123	0.0	0.73	1.467	1.452	1.263	1.262
124	0.0	0.7653	2.133	1.931	1.937	1.239
125	0.0	0.5412	1.382	1.048	1.245	0.992
126	0.0	0.8097	1.446	1.442	1.32	1.343
127	0.0	0.7929	1.298	1.404	1.246	1.649
128	0.0	0.9297	1.864	1.713	1.661	1.69
129	0.0	0.6849	1.319	1.156	1.238	1.431
130	0.0	0.5517	1.114	1.029	0.75	0.8883
131	0.0	0.809	1.236	1.636	1.005	1.483
132	0.0	0.8	0.9444	1.731	0.7419	1.325
133	0.0	0.7609	2.057	1.588	1.638	1.242
134	0.0	1.025	2.175	2.437	1.881	2.134
135	0.0	0.4897	1.475	0.8578	1.516	0.7998
136	0.0	0.7375	1.507	1.318	1.49	1.264
137	0.0	0.7535	1.735	1.384	1.567	1.29
138	0.0	0.7779	1.085	1.511	1.04	1.643
139	0.0	0.6333	1.257	1.176	1.231	1.109
140	0.0	0.8429	1.106	1.469	1.093	1.637
141	0.0	0.6906	1.135	1.218	1.146	1.243
142	0.0	0.3953	1.64	0.6264	1.854	0.6008
143	0.0	0.8019	2.28	2.125	1.22	1.192
144	0.0	0.8212	1.34	1.563	1.19	1.545
145	0.0	0.7005	1.095	1.19	0.9119	1.223
146	0.0	0.5444	1.603	1.037	1.166	0.8385
147	0.0	0.5347	1.5	0.935	1.524	0.8553
148	0.0	0.7176	1.369	1.659	0.9709	1.204
149	0.0	0.6608	1.642	1.469	1.39	1.174
150	0.0	0.7896	1.143	1.49	1.066	1.587
151	0.0	0.6395	1.299	1.103	1.241	1.135
152	0.0	0.8	1.945	1.558	1.714	1.376
153	0.0	0.8832	1.774	1.742	1.718	1.516
154	0.0	0.5018	1.139	0.8207	1.074	0.7985
155	0.0	0.815	1.255	1.334	1.133	1.563
156	0.0	0.7127	1.648	1.538	1.625	1.219
157	0.0	0.548	1.307	1.038	1.1	0.9213
158	0.0	0.5779	1.026	1.062	0.9754	0.9837
159	0.0	0.7412	1.182	1.3	1.154	1.228
160	0.0	0.7353	1.32	1.27	1.137	1.287
161	0.0	0.5072	1.376	1.262	0.9871	0.8014
162	0.0	0.5918	1.564	1.145	1.149	0.9214
163	0.0	0.6974	1.384	1.292	1.341	1.145
164	0.0	0.4705	0.7757	0.885	0.7206	0.7327
165	0.0	0.7922	1.363	1.513	1.413	1.582
166	0.0	0.7355	0.8964	1.322	0.8353	1.268
167	0.0	0.6351	1.266	1.165	1.293	1.063
168	0.0	0.8552	1.273	1.58	1.309	1.532
169	0.0	0.7821	1.335	1.693	1.182	1.342
170	0.0	0.6497	1.134	1.078	1.122	1.226
171	0.0	0.8506	1.689	1.685	1.437	1.541
172	0.0	0.7347	1.406	1.404	1.038	1.225
173	0.0	0.6218	1.152	1.573	0.8662	0.9768
174	0.0	0.5789	1.252	1.046	1.048	0.9196
175	0.0	0.8915	0.6504	1.783	0.5749	1.623
176	0.0	0.7275	1.657	1.852	0.958	1.163
177	0.0	0.4859	1.372	0.9665	1.005	0.733
178	0.0	0.6609	1.539	1.132	1.488	1.307
179	0.0	0.871	2.044	3.065	1.137	1.384
180	0.0	0.5896	0.5926	0.9997	0.3896	1.219
181	0.0	0.7904	1.548	1.531	1.356	1.325
182	0.0	0.8039	1.269	1.529	1.261	1.51
183	0.0	0.8533	1.707	1.772	1.655	1.437
184	0.0	0.8374	0.7626	1.652	0.6734	1.714
185	0.0	0.7429	1.805	1.49	1.485	1.275
186	0.0	0.7888	1.644	2.14	1.114	1.367
