Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	3.576	0.0	3.576	4.409	2.762	4.131
2	2.762	0.0	2.762	3.994	3.113	4.041
3	4.219	0.0	4.219	4.618	4.533	4.124
4	2.489	0.0	2.489	2.719	2.584	2.711
5	3.763	0.0	3.763	2.881	4.049	3.404
6	3.23	0.0	3.23	3.759	2.94	3.551
7	3.471	0.0	3.471	3.194	3.897	3.439
8	2.874	0.0	2.874	3.471	3.55	3.632
9	1.721	0.0	1.721	3.465	1.48	3.976
10	2.816	0.0	2.816	3.476	2.736	2.898
11	3.473	0.0	3.473	4.407	4.039	4.53
12	2.336	0.0	2.336	2.355	2.598	2.595
13	3.368	0.0	3.368	1.158	3.806	1.136
14	2.302	0.0	2.302	2.159	2.776	2.538
15	2.304	0.0	2.304	2.607	2.763	2.969
16	1.612	0.0	1.612	2.152	1.939	2.534
17	2.496	0.0	2.496	1.88	2.977	2.654
18	2.011	0.0	2.011	2.067	1.992	1.926
19	1.742	0.0	1.742	2.363	1.618	2.635
20	2.875	0.0	2.875	1.497	3.203	1.613
21	2.919	0.0	2.919	1.612	3.548	1.818
22	2.592	0.0	2.592	1.412	3.012	1.444
23	2.068	0.0	2.068	1.753	2.2	2.403
24	2.147	0.0	2.147	2.37	2.498	2.841
25	1.904	0.0	1.904	1.698	1.636	1.426
26	1.764	0.0	1.764	1.914	1.74	1.937
27	1.705	0.0	1.705	1.889	1.77	1.879
28	1.33	0.0	1.33	1.523	1.473	1.862
29	1.697	0.0	1.697	2.122	2.078	2.379
30	0.9428	0.0	0.9428	1.515	1.029	1.306
31	0.8017	0.0	0.8017	1.683	1.162	1.685
32	0.7958	0.0	0.7958	1.85	0.8281	1.99
33	2.062	0.0	2.062	2.173	2.753	2.723
34	2.28	0.0	2.28	2.198	2.628	2.547
35	1.541	0.0	1.541	1.489	1.738	1.357
36	1.864	0.0	1.864	2.308	1.926	2.511
37	1.7	0.0	1.7	1.715	1.836	2.067
38	2.154	0.0	2.154	1.782	2.312	1.862
39	1.853	0.0	1.853	1.244	1.769	1.23
40	2.169	0.0	2.169	1.592	2.264	1.626
41	1.754	0.0	1.754	1.526	1.841	1.573
42	2.29	0.0	2.29	1.375	2.503	1.439
43	1.644	0.0	1.644	1.567	1.442	1.433
44	1.39	0.0	1.39	1.609	1.215	1.402
45	1.518	0.0	1.518	1.531	1.569	1.824
46	1.899	0.0	1.899	2.044	2.274	2.214
47	1.466	0.0	1.466	1.352	1.601	1.492
48	1.433	0.0	1.433	1.404	1.687	1.521
49	1.65	0.0	1.65	1.84	1.858	2.164
50	1.897	0.0	1.897	1.277	2.183	1.556
51	1.576	0.0	1.576	1.389	1.682	1.241
52	0.8905	0.0	0.8905	1.265	0.9666	1.434
53	1.804	0.0	1.804	1.936	2.171	2.278
54	1.141	0.0	1.141	1.842	1.241	2.217
55	1.933	0.0	1.933	1.91	2.34	2.199
56	1.752	0.0	1.752	1.828	2.137	2.065
57	1.157	0.0	1.157	1.7	1.286	1.612
58	1.15	0.0	1.15	1.059	1.269	1.21
59	2.213	0.0	2.213	2.066	2.426	2.411
60	0.8351	0.0	0.8351	0.8155	0.9402	0.8896
61	0.8923	0.0	0.8923	1.092	1.053	1.188
62	1.328	0.0	1.328	1.98	1.66	2.319
63	0.7616	0.0	0.7616	1.646	0.768	1.84
64	1.719	0.0	1.719	1.121	1.375	1.189
65	1.755	0.0	1.755	1.782	2.003	2.129
66	1.551	0.0	1.551	2.065	1.376	2.795
67	1.428	0.0	1.428	1.381	1.653	1.47
68	1.517	0.0	1.517	1.379	1.557	1.319
69	1.397	0.0	1.397	1.112	1.82	1.346
70	1.704	0.0	1.704	1.801	2.198	2.156
71	1.615	0.0	1.615	1.447	2.048	1.65
72	1.553	0.0	1.553	1.767	2.348	2.176
73	1.106	0.0	1.106	1.322	1.256	1.606
74	1.273	0.0	1.273	1.605	1.493	1.902
75	1.371	0.0	1.371	1.246	1.363	1.193
76	1.623	0.0	1.623	1.269	2.175	1.3
77	1.658	0.0	1.658	1.631	1.979	2.431
78	1.463	0.0	1.463	1.346	1.788	1.613
79	0.9654	0.0	0.9654	1.789	1.073	2.044
80	1.657	0.0	1.657	1.579	2.029	2.087
81	1.563	0.0	1.563	1.56	1.856	1.957
82	0.9859	0.0	0.9859	1.423	1.037	1.57
83	1.791	0.0	1.791	1.649	2.069	1.857
84	1.532	0.0	1.532	1.162	1.754	1.311
85	1.152	0.0	1.152	1.418	1.199	1.544
86	1.592	0.0	1.592	1.686	1.957	1.975
87	1.558	0.0	1.558	1.485	1.671	1.863
88	1.483	0.0	1.483	1.701	1.704	2.211
89	1.452	0.0	1.452	1.401	1.808	1.759
90	1.654	0.0	1.654	1.599	1.928	1.876
91	1.509	0.0	1.509	1.788	1.947	2.133
92	1.397	0.0	1.397	1.101	1.485	1.383
93	1.053	0.0	1.053	1.295	1.338	1.545
94	1.561	0.0	1.561	1.367	1.92	1.625
95	1.092	0.0	1.092	1.361	1.156	1.743
96	1.465	0.0	1.465	0.8763	1.358	1.278
97	0.936	0.0	0.936	1.523	1.008	1.911
98	1.72	0.0	1.72	1.538	1.946	1.818
99	0.7678	0.0	0.7678	0.8585	0.8432	0.9228
100	0.9081	0.0	0.9081	1.62	1.013	1.728
101	1.588	0.0	1.588	0.9007	1.953	1.053
102	0.9874	0.0	0.9874	1.085	1.156	1.236
103	1.582	0.0	1.582	1.543	1.924	1.887
104	1.113	0.0	1.113	0.8777	1.302	1.064
105	1.443	0.0	1.443	1.296	1.512	1.328
106	1.728	0.0	1.728	1.577	2.077	2.081
107	1.581	0.0	1.581	1.552	1.939	2.021
108	1.333	0.0	1.333	1.394	1.563	1.741
109	0.9636	0.0	0.9636	1.374	1.002	1.488
110	1.02	0.0	1.02	1.059	1.114	1.154
111	1.503	0.0	1.503	1.205	1.662	1.528
112	1.621	0.0	1.621	1.667	1.958	1.915
113	1.639	0.0	1.639	1.445	2.201	1.683
114	1.659	0.0	1.659	1.404	1.826	1.565
115	1.093	0.0	1.093	1.485	1.323	1.96
116	1.151	0.0	1.151	0.8014	1.406	0.9189
117	1.258	0.0	1.258	1.494	1.488	1.914
118	1.709	0.0	1.709	1.452	2.088	1.828
119	0.9869	0.0	0.9869	1.341	1.108	1.595
120	1.243	0.0	1.243	1.564	1.452	1.874
121	1.712	0.0	1.712	1.098	2.059	1.642
122	1.524	0.0	1.524	1.273	1.601	1.197
123	1.422	0.0	1.422	0.8731	1.625	1.029
124	1.028	0.0	1.028	1.774	1.223	2.221
125	1.609	0.0	1.609	1.462	1.955	1.89
126	1.261	0.0	1.261	1.481	1.63	1.824
127	0.7579	0.0	0.7579	1.209	0.8545	1.441
