Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	2.673	0.0	3.512	5.291	2.673	3.815
2	3.258	0.0	2.831	4.036	3.258	4.037
3	4.366	0.0	3.915	4.632	4.366	3.381
4	2.531	0.0	2.45	2.72	2.531	2.528
5	4.035	0.0	3.604	3.527	4.035	3.759
6	2.498	0.0	3.624	3.743	2.498	2.922
7	3.912	0.0	3.797	3.14	3.912	2.926
8	3.177	0.0	2.843	3.336	3.177	3.008
9	1.524	0.0	2.075	3.36	1.524	3.615
10	2.46	0.0	3.664	3.641	2.46	3.07
11	3.292	0.0	3.517	4.583	3.292	4.184
12	2.513	0.0	2.732	2.532	2.513	2.426
13	3.411	0.0	4.121	1.436	3.411	1.098
14	2.309	0.0	2.412	2.383	2.309	2.105
15	2.259	0.0	2.527	3.073	2.259	2.516
16	1.594	0.0	2.089	2.41	1.594	1.937
17	2.449	0.0	2.726	2.488	2.449	2.054
18	1.969	0.0	2.952	3.256	1.969	1.929
19	1.533	0.0	2.397	2.694	1.533	2.154
20	2.776	0.0	3.647	1.867	2.776	1.412
21	2.805	0.0	3.478	2.059	2.805	1.652
22	2.38	0.0	3.009	1.936	2.38	1.294
23	2.015	0.0	2.312	2.149	2.015	2.083
24	2.055	0.0	2.693	2.759	2.055	2.301
25	1.627	0.0	2.926	2.727	1.627	1.588
26	1.719	0.0	2.597	3.237	1.719	1.817
27	1.678	0.0	2.777	2.946	1.678	1.814
28	1.247	0.0	1.631	1.747	1.247	1.561
29	1.53	0.0	1.867	2.638	1.53	1.906
30	1.062	0.0	1.509	2.225	1.062	1.452
31	1.247	0.0	1.47	2.058	1.247	1.385
32	0.8591	0.0	1.157	2.517	0.8591	1.558
33	2.148	0.0	2.724	2.673	2.148	2.328
34	2.34	0.0	2.913	2.967	2.34	2.265
35	1.268	0.0	1.918	2.074	1.268	1.229
36	1.55	0.0	2.316	3.03	1.55	2.204
37	1.622	0.0	2.167	2.09	1.622	1.924
38	1.853	0.0	2.794	2.739	1.853	1.696
39	1.606	0.0	2.594	1.798	1.606	1.162
40	1.911	0.0	2.813	2.48	1.911	1.412
41	1.554	0.0	2.336	2.043	1.554	1.296
42	2.245	0.0	2.945	1.866	2.245	1.268
43	1.463	0.0	2.556	2.501	1.463	1.292
44	1.193	0.0	2.053	2.453	1.193	1.375
45	1.517	0.0	1.929	2.166	1.517	1.662
46	1.804	0.0	2.578	3.359	1.804	2.046
47	1.22	0.0	2.061	1.97	1.22	1.172
