Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.8357	0.0	1.839	3.976	1.858	4.015
2	1.077	0.0	2.347	1.934	2.688	2.06
3	1.673	0.0	4.298	1.57	4.914	1.577
4	1.496	0.0	3.902	3.815	3.999	4.415
5	1.038	0.0	2.624	3.123	2.101	3.371
6	0.9786	0.0	2.065	2.064	2.26	2.089
7	0.7933	0.0	1.842	2.2	1.678	2.304
8	1.101	0.0	2.584	2.761	2.676	2.485
9	0.9506	0.0	1.873	1.913	2.287	1.949
10	0.7609	0.0	1.568	1.17	1.7	1.311
11	0.7376	0.0	1.411	2.469	1.379	1.779
12	0.9457	0.0	1.892	1.359	1.848	1.351
13	0.9584	0.0	2.173	1.576	2.85	1.823
14	1.091	0.0	2.324	1.143	2.464	1.111
15	0.6071	0.0	1.366	1.539	1.206	1.571
16	0.8104	0.0	1.595	1.332	1.721	1.327
17	0.6428	0.0	1.363	1.158	1.14	1.309
18	0.5102	0.0	0.9541	3.158	0.9013	3.097
19	1.17	0.0	2.499	1.136	2.589	1.148
20	1.14	0.0	3.222	1.917	2.082	1.415
21	0.817	0.0	1.616	1.457	1.624	1.335
22	0.8004	0.0	1.523	2.017	1.544	2.268
23	0.8138	0.0	1.503	1.543	1.463	1.486
24	1.005	0.0	2.035	2.76	2.021	2.932
25	0.8687	0.0	1.648	1.834	1.729	1.621
26	0.9222	0.0	2.105	1.675	1.809	1.556
27	0.8582	0.0	1.703	1.62	1.623	1.511
28	0.9492	0.0	2.028	1.676	1.756	1.29
29	0.8485	0.0	1.71	2.013	1.507	1.763
30	0.6833	0.0	1.348	1.909	1.2	1.941
31	0.835	0.0	1.552	1.698	1.682	1.926
32	0.4205	0.0	0.6618	1.3	0.6232	1.526
33	0.5358	0.0	0.9357	2.383	0.8826	2.258
34	0.6305	0.0	1.263	1.185	1.2	1.023
35	0.7183	0.0	1.362	1.539	1.361	1.476
36	0.8972	0.0	1.661	1.579	1.555	1.658
37	1.005	0.0	1.918	1.873	1.856	2.059
38	0.8778	0.0	1.78	0.8652	1.819	0.9046
39	0.947	0.0	2.536	2.936	1.467	1.931
40	0.4482	0.0	0.7971	2.228	0.7387	2.182
41	0.6755	0.0	1.368	1.094	1.165	0.9135
42	0.5835	0.0	1.077	1.306	1.057	1.167
43	0.5921	0.0	1.093	2.396	0.9312	1.844
44	0.7729	0.0	1.715	2.065	1.127	1.534
45	0.9717	0.0	2.062	1.502	1.848	1.362
46	0.6701	0.0	1.243	1.953	1.288	1.846
47	0.8001	0.0	1.421	1.415	1.519	1.419
48	0.3986	0.0	0.6146	1.049	0.6321	0.9883
49	0.987	0.0	2.014	1.997	1.886	2.015
50	0.6359	0.0	1.134	1.123	1.132	1.248
51	0.694	0.0	1.156	1.173	1.316	1.387
52	0.6737	0.0	1.593	1.183	1.22	1.168
53	0.9571	0.0	1.724	1.46	1.957	1.403
54	0.4253	0.0	0.7112	1.364	0.6781	1.296
55	0.8359	0.0	1.751	1.98	1.507	1.734
56	0.8263	0.0	1.58	1.017	1.464	1.107
57	0.774	0.0	1.459	1.498	1.358	1.087
58	1.026	0.0	2.203	1.661	1.928	1.61
59	0.7446	0.0	1.252	1.505	1.391	1.45
60	0.6386	0.0	1.236	2.175	1.121	1.877
61	0.8375	0.0	1.598	1.49	1.659	1.787
62	0.5869	0.0	1.068	1.383	0.9825	1.478
63	0.7386	0.0	1.399	0.7851	1.382	0.7054
64	0.9617	0.0	1.713	1.717	1.803	1.682
65	0.7657	0.0	1.541	2.025	1.262	1.745
66	0.7697	0.0	1.385	1.261	1.441	1.433
67	0.8892	0.0	1.772	1.742	1.661	1.618
68	0.9595	0.0	1.935	2.138	1.654	1.967
69	0.7518	0.0	1.617	1.289	1.109	0.9564
70	0.4499	0.0	1.012	1.744	0.8586	1.617
71	0.6752	0.0	1.281	1.829	1.264	1.6
72	0.7561	0.0	1.693	2.07	1.284	1.269
73	0.6937	0.0	1.676	0.8305	1.218	0.6724
74	0.5914	0.0	1.043	0.7108	1.059	0.6813
75	1.131	0.0	2.669	1.733	1.954	1.73
76	0.853	0.0	1.696	1.868	1.65	1.578
77	0.8779	0.0	1.769	2.208	1.494	1.908
78	0.7512	0.0	1.343	2.092	1.504	2.034
79	0.5344	0.0	0.9939	1.912	0.9207	1.749
80	0.5064	0.0	0.863	1.243	0.8603	1.212
81	0.8561	0.0	1.678	2.024	1.558	1.719
82	0.7164	0.0	1.388	2.543	1.169	1.791
83	0.9154	0.0	1.69	1.743	1.747	1.748
84	0.8298	0.0	1.529	1.428	1.475	1.497
85	0.7935	0.0	1.438	0.8777	1.581	0.8853
86	0.6152	0.0	1.018	1.622	1.073	1.641
87	0.8854	0.0	1.666	1.655	1.698	1.663
88	0.5628	0.0	0.9276	1.101	1.008	1.078
89	0.5384	0.0	0.9877	2.005	1.008	1.768
90	0.7015	0.0	1.204	1.355	1.418	1.5
91	0.5754	0.0	0.9944	1.123	1.09	1.264
92	0.9712	0.0	1.898	1.965	1.797	1.94
93	0.9291	0.0	2.388	1.379	1.459	1.024
94	0.6979	0.0	1.233	1.106	1.189	1.225
95	0.5721	0.0	1.11	1.634	0.928	1.254
96	0.8231	0.0	1.504	1.728	1.466	1.479
97	0.9032	0.0	1.93	1.475	1.544	1.268
98	0.7197	0.0	1.36	1.362	1.311	1.447
99	0.9909	0.0	1.896	2.29	1.878	1.804
100	0.8754	0.0	1.581	1.196	1.61	1.28
101	0.638	0.0	1.081	1.078	1.191	1.077
102	0.8031	0.0	1.591	1.171	1.545	1.248
103	0.7632	0.0	1.42	1.119	1.413	1.182
104	0.9049	0.0	1.619	1.395	1.931	1.415
105	0.8271	0.0	1.473	1.728	1.483	1.752
106	0.6451	0.0	1.084	0.9532	1.064	1.065
107	0.7785	0.0	1.492	1.792	1.449	1.683
108	0.616	0.0	1.054	1.889	0.9968	1.532
109	0.6216	0.0	1.22	1.156	0.9376	0.8605
110	0.6794	0.0	1.207	1.033	1.172	1.086
111	0.8226	0.0	1.554	1.478	1.842	1.98
112	0.9046	0.0	1.819	1.38	1.704	1.208
113	0.7083	0.0	1.249	0.8163	1.272	0.8088
