Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.8595	0.0	1.96	4.765	1.908	5.007
2	1.055	0.0	2.32	1.898	2.451	1.991
3	1.754	0.0	4.776	1.425	5.334	1.713
4	1.505	0.0	3.895	4.105	4.07	4.651
5	1.151	0.0	2.824	3.592	2.425	3.904
6	0.9848	0.0	2.23	2.053	2.317	2.077
7	0.8109	0.0	1.891	2.192	1.744	2.578
8	1.141	0.0	2.601	2.78	2.746	2.547
9	0.923	0.0	1.785	1.973	1.96	2.835
10	0.8624	0.0	1.982	1.129	1.936	1.266
11	0.7296	0.0	1.354	2.164	1.466	1.781
12	0.9723	0.0	1.993	1.56	2.034	1.536
13	0.9595	0.0	1.95	1.675	2.641	1.934
14	1.173	0.0	2.474	1.092	2.813	1.093
15	0.6012	0.0	1.487	1.612	1.117	1.657
16	0.7609	0.0	1.535	1.33	1.386	1.513
17	0.6336	0.0	1.355	1.379	1.203	1.349
18	0.4865	0.0	0.9069	3.204	0.8768	3.009
19	1.255	0.0	2.899	1.271	2.692	1.244
20	1.122	0.0	3.306	2.391	2.148	1.717
21	0.8186	0.0	1.673	1.397	1.596	1.191
22	0.8263	0.0	1.697	1.759	1.657	1.956
23	0.8122	0.0	1.511	1.653	1.484	1.533
24	1.016	0.0	2.143	2.9	1.983	2.974
25	0.8832	0.0	1.763	1.925	1.743	1.643
26	0.8885	0.0	2.154	1.92	1.693	1.479
27	0.8184	0.0	1.698	1.654	1.501	1.484
28	0.9086	0.0	1.984	1.838	1.669	1.477
29	0.8542	0.0	1.777	1.891	1.56	1.713
30	0.6514	0.0	1.285	2.023	1.149	1.998
31	0.8373	0.0	1.661	1.65	1.547	1.849
32	0.4322	0.0	0.7256	1.407	0.6472	1.528
33	0.5324	0.0	0.9566	2.476	0.855	2.168
34	0.6585	0.0	1.435	1.17	1.232	0.8757
35	0.7505	0.0	1.473	1.683	1.365	1.455
36	0.8667	0.0	1.655	1.54	1.424	1.622
37	1.023	0.0	2.068	1.828	1.862	1.939
38	0.8835	0.0	1.835	0.9288	1.756	0.9583
39	0.9678	0.0	2.752	3.417	1.571	2.078
40	0.4791	0.0	0.8724	2.372	0.7867	2.288
41	0.6809	0.0	1.492	1.184	1.233	0.947
42	0.5872	0.0	1.138	1.417	1.097	1.189
43	0.586	0.0	1.099	2.403	0.934	1.744
44	0.7375	0.0	1.792	2.139	1.105	1.457
45	0.9401	0.0	2.029	1.623	1.754	1.358
46	0.6787	0.0	1.183	2.138	1.27	1.82
47	0.8119	0.0	1.51	1.465	1.517	1.382
48	0.3922	0.0	0.6201	1.027	0.6042	0.8508
49	0.9873	0.0	2.181	2.069	1.841	2.021
50	0.6285	0.0	1.209	1.283	1.081	1.356
51	0.7657	0.0	1.397	1.354	1.436	1.411
52	0.651	0.0	1.596	1.156	1.234	1.106
53	0.9383	0.0	1.725	1.309	1.853	1.248
54	0.421	0.0	0.7687	1.42	0.6919	1.294
55	0.8514	0.0	1.922	1.924	1.593	1.621
56	0.8742	0.0	1.769	1.077	1.539	1.067
57	0.717	0.0	1.494	1.605	1.174	1.1
58	1.09	0.0	2.573	1.753	2.053	1.541
59	0.7622	0.0	1.291	1.52	1.363	1.319
60	0.6405	0.0	1.346	2.257	1.15	1.779
61	0.8194	0.0	1.649	1.391	1.611	1.769
62	0.5928	0.0	1.205	1.362	0.9757	1.397
63	0.7533	0.0	1.455	0.835	1.403	0.7039
64	0.9682	0.0	1.8	1.913	1.76	1.614
65	0.7625	0.0	1.543	2.074	1.271	1.637
66	0.8497	0.0	1.564	1.479	1.639	1.464
67	0.8906	0.0	1.826	2.005	1.619	1.679
68	0.9766	0.0	2.276	2.316	1.723	1.969
69	0.7124	0.0	1.715	1.421	1.085	0.9787
70	0.4645	0.0	1.164	2.068	0.8853	1.633
71	0.6569	0.0	1.332	2.006	1.175	1.614
72	0.7865	0.0	1.885	2.179	1.302	1.324
73	0.6731	0.0	1.828	0.9708	1.19	0.8575
74	0.6533	0.0	1.158	0.7135	1.186	0.6601
75	1.108	0.0	2.862	2.273	1.935	1.795
76	0.8485	0.0	1.779	2.09	1.558	1.549
77	0.8795	0.0	1.919	2.355	1.531	1.933
78	0.7842	0.0	1.53	1.779	1.643	2.021
79	0.517	0.0	1.029	2.033	0.8656	1.638
80	0.5011	0.0	0.9134	1.371	0.7958	1.304
81	0.8362	0.0	1.726	2.173	1.487	1.795
82	0.6758	0.0	1.457	2.578	1.041	1.65
83	0.9342	0.0	1.842	1.839	1.724	1.757
84	0.9049	0.0	2.058	1.958	1.524	1.647
85	0.8235	0.0	1.576	1.057	1.533	1.002
86	0.624	0.0	1.112	1.555	1.066	1.346
87	0.8898	0.0	1.912	1.759	1.57	1.696
88	0.6014	0.0	0.9967	1.157	1.024	1.128
89	0.55	0.0	1.052	2.511	0.9736	1.984
90	0.6472	0.0	1.036	1.477	1.215	1.563
91	0.584	0.0	1.054	1.145	1.032	1.151
92	1.019	0.0	2.086	2.014	1.865	1.912
93	0.865	0.0	2.386	1.388	1.344	1.033
94	0.6628	0.0	1.194	1.013	1.09	1.107
95	0.5663	0.0	1.225	1.711	0.9013	1.259
96	0.8582	0.0	1.731	1.85	1.511	1.501
97	0.8869	0.0	1.984	1.642	1.538	1.366
98	0.7138	0.0	1.393	1.42	1.258	1.393
99	0.9932	0.0	1.976	2.421	1.843	1.927
100	0.8916	0.0	1.706	1.234	1.6	1.242
101	0.6686	0.0	1.197	1.091	1.232	0.9776
102	0.7672	0.0	1.525	1.244	1.381	1.324
103	0.7341	0.0	1.366	1.441	1.327	1.48
104	0.8655	0.0	1.677	1.36	1.599	1.576
105	0.4966	0.0	1.114	1.709	0.7408	1.644
106	0.6655	0.0	1.15	0.9955	1.112	1.057
107	0.5165	0.0	1.019	1.903	0.8033	1.67
108	0.4576	0.0	0.7638	2.146	0.7521	1.657
109	0.6336	0.0	1.857	1.255	1.058	0.8555
110	0.4338	0.0	0.8695	1.115	0.662	1.02
111	0.7648	0.0	1.273	1.659	1.781	2.191
112	0.8988	0.0	1.803	1.668	1.546	1.26
113	0.5727	0.0	1.265	0.8774	0.9062	0.807
114	0.8277	0.0	1.527	1.314	1.457	1.323
115	0.8079	0.0	1.588	1.477	1.499	1.494
116	0.5629	0.0	0.9471	0.652	0.9289	0.5761
117	0.722	0.0	1.337	1.401	1.547	1.522
118	0.7354	0.0	1.32	1.222	1.324	1.261
119	0.7769	0.0	1.451	1.091	1.423	0.9265
120	0.5942	0.0	1.181	1.632	0.9804	1.381
121	0.6705	0.0	1.146	1.066	1.164	0.9739
122	0.8186	0.0	1.583	1.926	1.399	1.643
123	0.8681	0.0	1.533	1.381	1.608	1.445
124	0.7721	0.0	1.931	1.732	1.278	1.19
125	0.4484	0.0	0.7655	0.8629	0.6777	0.8227
126	0.7552	0.0	1.322	1.436	1.302	1.258
127	0.73	0.0	1.296	1.354	1.227	1.656
128	0.9151	0.0	1.761	1.726	1.674	1.769
129	0.5364	0.0	0.96	1.209	0.9054	1.509
130	0.6369	0.0	1.193	1.0	1.05	0.8821
131	0.6806	0.0	1.351	1.617	1.172	1.46
132	0.5279	0.0	1.156	1.693	0.8115	1.288
133	0.95	0.0	2.069	1.583	1.695	1.306
134	0.9166	0.0	1.826	2.118	1.651	1.824
135	0.5477	0.0	0.9166	0.8333	0.9485	0.7707
136	0.6165	0.0	1.104	1.262	1.056	1.198
137	0.8117	0.0	1.616	1.556	1.362	1.363
138	0.595	0.0	1.015	1.33	1.013	1.618
139	0.6076	0.0	1.301	1.302	1.083	1.197
140	0.6026	0.0	1.077	1.337	0.9323	1.41
141	0.8269	0.0	1.644	1.078	1.426	1.106
142	0.802	0.0	1.437	0.6157	1.364	0.5727
143	0.5463	0.0	1.148	2.081	0.8173	1.201
144	0.7445	0.0	1.407	1.611	1.243	1.765
145	0.6626	0.0	1.217	1.249	1.137	1.298
146	0.7868	0.0	1.664	0.9863	1.297	0.8158
147	0.7791	0.0	1.648	0.9457	1.322	0.8863
148	0.5935	0.0	1.096	1.646	0.9494	1.284
149	0.971	0.0	2.199	1.457	1.714	1.141
150	0.5426	0.0	1.043	1.548	0.8848	1.697
151	0.5846	0.0	1.004	1.11	0.9606	1.118
152	0.6969	0.0	1.3	1.469	1.199	1.312
153	0.8615	0.0	1.636	1.684	1.592	1.413
154	0.7297	0.0	1.246	0.8537	1.324	0.8733
155	0.5503	0.0	0.9769	1.291	0.8971	1.472
156	0.9041	0.0	1.827	1.465	1.59	1.13
157	0.7585	0.0	1.371	0.9834	1.391	0.9096
158	0.5778	0.0	1.005	1.008	0.9741	0.9904
159	0.745	0.0	1.369	1.341	1.35	1.256
160	0.6435	0.0	1.08	1.354	1.085	1.387
161	0.5302	0.0	1.217	1.178	0.7695	0.75
162	0.8357	0.0	1.584	1.177	1.446	0.9662
163	0.8077	0.0	1.368	1.231	1.469	1.094
164	0.4701	0.0	0.8206	0.9198	0.7315	0.765
165	0.5678	0.0	0.9623	1.71	0.9421	1.721
166	0.6992	0.0	1.228	1.373	1.238	1.318
167	0.5337	0.0	1.022	1.113	0.8599	1.043
168	0.8262	0.0	1.436	1.443	1.555	1.459
169	0.6621	0.0	1.369	1.501	1.025	1.378
170	0.707	0.0	1.201	1.083	1.229	1.259
171	0.5699	0.0	1.067	1.516	0.9814	1.357
172	0.8869	0.0	1.751	1.386	1.555	1.235
173	0.525	0.0	0.919	1.53	0.7959	0.9734
174	0.4754	0.0	0.8634	1.013	0.774	0.9403
175	0.9078	0.0	1.694	1.698	1.646	1.549
176	0.6166	0.0	1.435	1.868	0.9246	1.166
177	0.5857	0.0	1.384	0.9837	1.002	0.7125
178	0.6647	0.0	1.158	1.242	1.159	1.339
179	0.7108	0.0	1.913	2.793	1.112	1.357
180	0.8747	0.0	1.916	1.03	1.388	1.213
181	0.8139	0.0	1.756	1.541	1.4	1.362
182	0.599	0.0	1.073	1.441	1.044	1.6
183	0.7826	0.0	1.632	1.786	1.376	1.371
184	0.6959	0.0	1.168	1.286	1.271	1.421
185	0.8291	0.0	1.641	1.444	1.428	1.305
186	0.7852	0.0	1.804	1.917	1.209	1.352
187	0.8428	0.0	1.63	1.725	1.404	1.545
188	0.857	0.0	1.667	1.222	1.572	1.126
189	0.5752	0.0	1.061	1.255	1.021	1.24
190	0.7231	0.0	1.875	1.456	1.309	1.327
191	0.5658	0.0	1.028	1.376	0.9585	1.242
192	0.7991	0.0	1.363	2.019	1.614	1.902
193	0.6562	0.0	1.254	2.003	1.045	1.552
194	0.5915	0.0	1.158	1.558	1.053	1.604
195	0.4718	0.0	0.7704	1.308	0.7568	1.407
196	0.5153	0.0	0.9064	1.373	0.7811	1.465
197	0.5942	0.0	1.228	1.949	0.8931	1.361
198	0.6213	0.0	1.046	0.8565	1.059	0.8098
199	0.5682	0.0	1.244	1.847	0.8432	1.461
200	0.6765	0.0	1.337	0.9469	1.088	0.8484
201	0.6293	0.0	1.183	1.222	1.045	1.282
202	0.4563	0.0	0.7982	1.129	0.7411	1.001
203	0.9021	0.0	1.803	1.667	1.599	1.543
204	0.504	0.0	0.8996	1.145	0.8277	0.9244
205	0.6291	0.0	1.027	0.6796	1.186	0.6909
206	0.5339	0.0	1.146	1.247	0.941	1.039
207	0.6446	0.0	1.162	1.146	1.072	1.054
208	0.5876	0.0	1.041	0.9223	1.018	0.8305
209	0.5119	0.0	1.095	1.157	0.8398	1.061
210	0.6324	0.0	1.226	0.8265	1.077	0.8006
211	0.7297	0.0	1.378	1.715	1.231	1.307
212	0.6439	0.0	1.111	1.48	0.9767	1.223
213	0.7954	0.0	1.683	1.294	1.384	0.9527
214	0.5208	0.0	0.9239	1.148	0.819	1.073
215	0.6142	0.0	1.15	1.387	1.291	1.619
216	0.7209	0.0	1.311	1.531	1.258	1.43
217	0.4843	0.0	0.8458	0.8471	0.7219	0.9707
218	0.6319	0.0	1.093	0.9446	1.141	1.056
219	0.6559	0.0	1.149	1.181	1.145	1.233
220	0.544	0.0	0.8648	1.029	0.8495	0.9586
221	0.8474	0.0	1.655	1.413	1.937	1.819
222	0.5556	0.0	1.001	1.812	0.9455	1.688
223	0.5825	0.0	1.093	1.151	1.01	1.601
224	0.7279	0.0	1.4	1.567	1.273	1.36
225	0.5943	0.0	1.067	1.187	1.047	1.149
226	0.7701	0.0	1.539	1.247	1.289	1.295
227	0.7138	0.0	1.45	0.6762	1.21	0.7251
228	0.6552	0.0	1.839	1.632	1.18	0.9538
229	0.6064	0.0	1.073	1.17	0.9873	1.267
230	0.5844	0.0	1.067	1.274	0.8867	1.128
231	0.5197	0.0	0.8654	0.7809	0.8244	0.7317
232	0.8293	0.0	1.731	1.46	1.452	1.247
233	0.5506	0.0	0.9805	0.7113	0.9333	0.6888
234	0.6767	0.0	1.273	0.9973	1.233	0.9582
235	0.4804	0.0	0.8512	0.8914	0.7568	0.8197
236	0.6415	0.0	1.334	0.9562	1.007	0.666
237	0.6197	0.0	1.224	1.283	1.013	1.08
238	0.5993	0.0	1.132	1.981	0.9958	1.721
239	0.6456	0.0	1.078	1.164	1.117	1.202
240	0.637	0.0	1.197	1.315	1.046	1.358
241	0.8686	0.0	1.749	1.386	1.5	1.353
242	0.5968	0.0	1.071	0.7119	0.9799	0.678
243	0.7258	0.0	1.38	1.628	1.234	1.486
244	0.7157	0.0	1.317	1.302	1.14	1.139
245	0.2723	0.0	0.4261	1.231	0.4395	1.083
246	0.7332	0.0	1.246	1.142	1.22	1.134
247	0.7918	0.0	2.483	1.413	1.247	0.9477
248	0.6267	0.0	1.215	1.182	1.03	1.101
249	0.5513	0.0	0.9782	1.002	0.9263	0.86
250	0.6718	0.0	1.235	1.006	1.064	0.8294
251	0.4026	0.0	0.6348	0.727	0.6303	0.6524
252	0.4792	0.0	0.7686	1.028	0.798	0.6644
253	0.495	0.0	1.065	1.444	0.7329	1.099
254	0.7305	0.0	1.184	0.7483	1.23	0.7199
255	0.5103	0.0	0.8572	0.9334	0.8375	0.8304
256	0.7003	0.0	1.379	1.576	1.33	1.418
257	0.8694	0.0	1.653	1.523	1.544	1.32
258	0.6048	0.0	1.041	1.032	1.015	1.084
259	0.5885	0.0	1.006	1.436	0.9808	1.306
260	0.5716	0.0	1.081	0.9454	0.8729	0.9826
261	0.4935	0.0	0.8663	1.048	0.7909	1.026
262	0.563	0.0	0.9986	0.8973	0.92	0.9269
263	0.7704	0.0	1.287	0.5866	1.27	0.6046
264	0.3287	0.0	0.5142	1.301	0.466	1.268
265	0.5732	0.0	1.459	0.7431	0.8443	0.6409
266	0.7582	0.0	1.518	1.493	1.243	1.189
267	0.6264	0.0	1.167	1.174	1.093	1.229
268	0.5544	0.0	1.076	1.349	0.884	1.422
269	0.5971	0.0	0.9909	1.197	1.084	1.106
270	0.4836	0.0	0.8038	1.133	0.7647	1.139
271	0.5908	0.0	1.055	1.218	0.9989	1.213
272	0.7666	0.0	1.426	1.236	1.314	1.311
273	0.4544	0.0	1.001	1.253	0.6841	1.214
274	0.5957	0.0	0.9086	1.082	1.175	1.042
275	0.4182	0.0	0.6592	1.071	0.6592	1.038
276	0.7658	0.0	1.375	1.205	1.318	1.236
277	0.411	0.0	0.6675	1.461	0.5758	0.9158
278	0.5131	0.0	0.8828	1.111	0.7935	1.051
279	0.4317	0.0	0.7212	1.284	0.661	1.166
280	0.718	0.0	1.927	1.321	1.145	1.094
281	0.4244	0.0	0.7739	0.9498	0.6417	0.8289
282	0.5387	0.0	0.9923	1.544	0.8858	1.208
283	0.6396	0.0	1.724	0.9288	1.04	1.213
284	0.7807	0.0	1.5	1.554	1.385	1.565
285	0.5468	0.0	0.9002	1.438	0.9208	1.267
286	0.5542	0.0	0.964	1.157	0.8929	1.033
287	0.8452	0.0	1.677	1.426	1.55	1.352
288	0.5954	0.0	1.149	1.105	1.0	1.251
289	0.7287	0.0	1.416	1.318	1.219	1.201
290	0.5645	0.0	1.343	1.877	0.8119	1.145
291	0.5839	0.0	1.08	1.183	0.9242	1.11
292	0.5388	0.0	1.135	0.9694	0.8301	1.021
293	0.5423	0.0	0.9461	0.7717	0.8617	0.6715
294	0.4755	0.0	0.8289	1.221	0.7663	1.064
295	0.7543	0.0	1.425	1.385	1.305	1.316
296	0.8091	0.0	1.505	0.6543	1.371	0.5744
297	0.4321	0.0	0.804	0.9039	0.6425	0.6196
298	0.6345	0.0	1.122	0.8396	1.079	0.8116
299	0.5388	0.0	0.8728	0.6802	0.8712	0.639
300	0.7307	0.0	1.39	1.183	1.259	1.404
301	0.5859	0.0	1.234	1.83	0.9378	1.018
302	0.63	0.0	1.13	0.9511	1.049	0.879
303	0.4826	0.0	0.8647	1.214	0.7105	0.8932
304	0.6799	0.0	1.195	1.012	1.135	1.014
305	0.5129	0.0	0.8993	1.235	0.7769	1.043
306	0.6069	0.0	1.318	1.167	1.007	1.208
307	0.8846	0.0	1.706	1.538	1.615	1.248
308	0.6671	0.0	1.457	1.149	1.196	0.9651
309	0.5531	0.0	0.9986	0.7931	0.925	0.7959
310	0.5514	0.0	1.007	1.207	1.027	1.142
311	0.5898	0.0	0.9967	0.9842	0.9403	0.8113
312	0.6334	0.0	1.189	0.9893	1.204	0.8065
313	0.634	0.0	1.302	1.01	1.006	0.8553
314	0.5966	0.0	1.018	0.9834	0.9852	0.9067
315	0.4975	0.0	1.187	1.183	0.8424	0.8518
316	0.7152	0.0	1.336	1.342	1.133	1.194
317	0.5337	0.0	1.117	2.04	0.7992	1.228
318	0.5151	0.0	0.8313	1.196	0.8324	1.144
319	0.6425	0.0	1.099	1.266	1.144	1.286
320	0.6881	0.0	1.242	1.175	1.104	0.9765
321	0.5653	0.0	0.9039	0.8521	0.9308	0.6937
322	0.6942	0.0	1.201	1.976	1.238	2.086
323	0.5468	0.0	0.9469	1.342	0.9372	1.401
324	0.5464	0.0	0.893	0.8746	0.9678	0.9219
325	0.8616	0.0	1.386	0.922	2.053	1.178
326	0.8028	0.0	1.584	1.228	1.616	1.044
327	0.5189	0.0	0.8799	1.036	0.8218	1.063
328	0.4144	0.0	0.6635	0.9161	0.6183	0.9218
