Step	Loss(S)	Loss(T)	fwd_S	fwd_T	rev_S	rev_T
1	0.06427	0.09803	2.903	4.859	3.044	4.396
2	0.07142	0.07999	2.474	3.472	2.697	3.196
3	0.1135	0.1065	4.91	5.786	4.677	5.451
4	0.132	0.05177	6.807	2.062	6.105	2.257
5	0.1205	0.1119	6.733	5.256	5.925	4.782
6	0.06597	0.05892	2.235	2.021	2.656	2.22
7	0.04896	0.05511	1.5	1.76	1.524	2.723
8	0.07289	0.06876	2.522	2.339	2.829	2.757
9	0.0653	0.04264	2.101	1.441	2.409	1.541
10	0.05489	0.05929	1.651	1.98	1.935	2.519
11	0.05824	0.06709	1.853	2.243	2.136	2.594
12	0.05467	0.06324	1.594	1.947	1.775	2.558
13	0.06667	0.05598	2.274	1.905	3.233	3.106
14	0.08026	0.05706	2.489	1.868	3.985	2.356
15	0.04616	0.0551	1.446	1.571	1.388	2.079
16	0.07485	0.09525	2.383	3.14	2.7	4.662
17	0.04411	0.03666	1.279	0.9661	1.459	1.093
18	0.03969	0.08714	1.132	2.849	1.256	3.74
19	0.0671	0.05135	2.022	1.455	2.032	1.605
20	0.08936	0.0909	2.807	2.965	3.753	3.713
21	0.05429	0.04373	1.571	1.278	1.908	1.431
22	0.0651	0.06482	1.86	1.866	2.626	2.249
23	0.05875	0.05509	1.731	1.616	2.064	1.998
24	0.06459	0.06248	1.819	1.804	2.337	2.074
25	0.06121	0.05453	1.792	1.737	2.214	1.644
26	0.0566	0.06579	1.627	2.108	1.985	2.448
27	0.0527	0.06038	1.499	1.773	1.655	2.182
28	0.04482	0.04305	1.218	1.186	1.245	1.453
29	0.04544	0.05222	1.207	1.486	1.461	1.752
30	0.03568	0.0445	0.9311	1.188	1.024	1.602
31	0.06408	0.05487	1.998	1.654	2.637	2.135
32	0.02857	0.05674	0.7188	1.675	0.79	2.334
33	0.03348	0.04364	0.8668	1.097	0.9026	1.681
34	0.03109	0.05821	0.8014	1.687	0.861	2.371
35	0.05373	0.0462	1.59	1.363	1.871	1.935
36	0.06684	0.04382	1.851	1.153	2.554	1.378
37	0.0608	0.04626	1.838	1.222	2.098	1.676
38	0.06228	0.06802	1.897	2.156	2.775	2.802
39	0.04236	0.05784	1.067	1.512	1.42	2.287
40	0.03731	0.05039	1.063	1.531	1.086	1.552
41	0.04134	0.04851	1.161	1.391	1.209	1.821
42	0.02912	0.03625	0.7519	0.9273	0.8117	1.153
43	0.04462	0.04773	1.24	1.479	1.289	1.466
44	0.04707	0.0568	1.253	1.551	1.608	2.285
45	0.03573	0.02783	0.9014	0.6976	1.247	0.8231
46	0.03718	0.04907	1.016	1.463	1.214	1.647
47	0.05422	0.03088	1.574	0.8158	1.67	0.9835
48	0.03101	0.02909	0.8227	0.7038	0.82	1.229
49	0.05776	0.03334	1.518	0.936	2.399	1.262
50	0.04077	0.05232	1.116	1.494	1.092	1.856
51	0.05268	0.0556	1.546	1.796	1.641	1.883
52	0.03904	0.05247	1.079	1.582	1.412	1.512
53	0.06078	0.05611	1.978	1.737	2.221	1.841
54	0.03038	0.03721	0.8461	1.016	0.8224	1.117
55	0.04439	0.0293	1.185	0.7492	1.358	0.7714
56	0.05946	0.05161	1.975	1.577	1.88	1.61
57	0.0438	0.03464	1.254	0.8785	1.19	0.9612
58	0.02866	0.04184	0.7133	1.181	0.8185	1.215
59	0.0516	0.03597	1.582	0.9591	1.555	1.125
60	0.03787	0.04746	1.076	1.313	1.16	1.628
61	0.06141	0.04413	2.015	1.289	2.167	1.377
62	0.04046	0.04214	1.125	1.181	1.272	1.341
63	0.03782	0.05562	1.005	1.677	1.133	1.736
64	0.04893	0.04848	1.503	1.405	1.655	1.637
65	0.03986	0.02633	1.104	0.6764	1.151	0.7999
66	0.05092	0.04032	1.459	1.059	1.694	1.75
67	0.05092	0.04165	1.469	1.153	1.566	1.282
68	0.0601	0.04236	1.596	1.163	2.211	1.429
69	0.03062	0.03394	0.7639	0.8175	0.799	1.274
70	0.01959	0.03835	0.5384	1.061	0.7864	1.337
71	0.03703	0.05176	0.9747	1.381	1.064	1.843
72	0.03166	0.03099	0.7809	0.7847	0.9461	1.043
73	0.02933	0.03268	0.7709	0.8019	0.834	0.9212
74	0.04693	0.04073	1.341	1.606	1.626	2.099
75	0.0383	0.03733	1.04	1.072	1.029	1.381
76	0.04194	0.03885	1.136	0.9883	1.223	1.081
77	0.02678	0.02607	0.697	0.6359	0.791	0.8273
78	0.0379	0.04738	1.046	1.413	1.205	1.534
79	0.03633	0.02438	0.9771	0.6725	1.127	0.8893
80	0.04119	0.03464	1.205	0.9703	1.262	0.8827
81	0.03962	0.04884	1.005	1.323	1.276	1.445
82	0.0295	0.02559	0.7601	0.6359	0.8818	0.8916
83	0.04139	0.0408	1.111	1.179	1.139	1.246
84	0.04208	0.04598	1.138	1.282	1.146	1.253
85	0.05299	0.04998	1.67	1.458	1.599	2.054
86	0.02764	0.03012	0.7515	0.818	0.8191	0.8829
87	0.05005	0.04517	1.401	1.32	1.375	1.292
88	0.04193	0.04391	1.209	1.338	1.212	1.628
89	0.03365	0.03108	0.9279	0.8555	1.077	0.983
90	0.05357	0.03298	1.598	0.8631	1.91	0.8931
91	0.04505	0.05372	1.365	1.687	1.386	1.801
92	0.03785	0.04339	1.032	1.189	1.137	1.621
93	0.02733	0.02144	0.6958	0.5258	0.8446	0.6376
94	0.0396	0.0318	1.102	0.8217	1.101	0.8481
95	0.0249	0.02405	0.6091	0.6092	0.6461	0.6059
96	0.03127	0.03688	0.769	1.015	0.99	1.004
97	0.04677	0.05204	1.338	1.676	1.492	1.492
98	0.01865	0.01322	0.453	0.3124	0.5644	0.3536
99	0.05095	0.02252	1.488	0.643	1.508	0.6881
100	0.04929	0.04414	1.442	1.175	1.301	1.266
101	0.04409	0.04966	1.318	1.463	1.2	1.705
102	0.03524	0.03777	0.9493	1.088	0.9415	1.072
103	0.03165	0.03362	0.9228	0.8602	1.082	0.9622
104	0.05253	0.04503	1.412	1.396	1.811	1.622
105	0.03174	0.02496	0.7838	0.6597	0.9895	0.7873
106	0.02027	0.03851	0.4953	1.087	0.4752	1.129
107	0.01502	0.03529	0.3831	0.8739	0.4561	1.166
108	0.02592	0.02429	0.6866	0.6136	0.6311	0.6998
